# NKPT   119 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     13   (0,1,0)/2
#     25   (1,1,0)/2
#     43   (0,0,0)/2
#     72   (0,0,1)/2
#     90   (1,1,1)/2
#    119   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.20933
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.41866
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.71470
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20577
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50181
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99288
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99288,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.15995E+00  0.18475E+00  0.18475E+00  0.18501E+00  0.19237E+00  0.20430E+00  0.20430E+00  0.21013E+00  0.60388E+00  0.62208E+00  0.63263E+00  0.63948E+00  0.65611E+00  0.68288E+00  0.68782E+00  0.68782E+00  0.68949E+00  0.70030E+00  0.70030E+00  0.70334E+00  0.70441E+00  0.70441E+00  0.70643E+00  0.70811E+00  0.71150E+00  0.71150E+00  0.73012E+00  0.73012E+00  0.74023E+00  0.74835E+00  0.74835E+00  0.76138E+00  0.76765E+00  0.77283E+00  0.77283E+00  0.77322E+00  0.77738E+00  0.78250E+00  0.78345E+00  0.78694E+00  0.80460E+00  0.80600E+00  0.80600E+00  0.80773E+00  0.81407E+00  0.81407E+00  0.82654E+00  0.84426E+00  0.84426E+00  0.84775E+00  0.88075E+00  0.99856E+00  0.10102E+01  0.11337E+01  0.11346E+01  0.11717E+01  0.12543E+01  0.12543E+01  0.12836E+01  0.12836E+01  0.13045E+01  0.13062E+01  0.13092E+01  0.13121E+01  0.13198E+01  0.13292E+01  0.13292E+01  0.13333E+01  0.13352E+01  0.13352E+01  0.13439E+01  0.13439E+01  0.13466E+01  0.13860E+01  0.13860E+01  0.13946E+01  0.13946E+01  0.13955E+01  0.13963E+01  0.13994E+01  0.14150E+01  0.14238E+01  0.14240E+01  0.14553E+01  0.14675E+01  0.14791E+01  0.14865E+01  0.14865E+01  0.15485E+01  0.15573E+01  0.15990E+01  0.16054E+01  0.16159E+01  0.16159E+01  0.16227E+01  0.16227E+01  0.16390E+01  0.16580E+01  0.16675E+01  0.16801E+01  0.16801E+01  0.16824E+01  0.16824E+01  0.17103E+01  0.17351E+01  0.17393E+01  0.17393E+01  0.17662E+01  0.17662E+01  0.18636E+01  0.18649E+01  0.18649E+01  0.18833E+01  0.18833E+01  0.19315E+01  0.19332E+01  0.19639E+01  0.20097E+01  0.20172E+01  0.20181E+01  0.20181E+01  0.20186E+01  0.20320E+01  0.20809E+01  0.20853E+01  0.20866E+01  0.20866E+01  0.20943E+01  0.20943E+01  0.21092E+01  0.21736E+01  0.21801E+01  0.21898E+01  0.21900E+01
  0.17444E-01 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16000E+00  0.18400E+00  0.18475E+00  0.18564E+00  0.19244E+00  0.20430E+00  0.20430E+00  0.21013E+00  0.60404E+00  0.62222E+00  0.63265E+00  0.63961E+00  0.65613E+00  0.68274E+00  0.68783E+00  0.68789E+00  0.68932E+00  0.70030E+00  0.70032E+00  0.70291E+00  0.70449E+00  0.70454E+00  0.70643E+00  0.70812E+00  0.71134E+00  0.71150E+00  0.72903E+00  0.73006E+00  0.73986E+00  0.74843E+00  0.74891E+00  0.76150E+00  0.76756E+00  0.77279E+00  0.77284E+00  0.77333E+00  0.77828E+00  0.78256E+00  0.78368E+00  0.78699E+00  0.80459E+00  0.80579E+00  0.80599E+00  0.80787E+00  0.81397E+00  0.81407E+00  0.82645E+00  0.84416E+00  0.84424E+00  0.84773E+00  0.88106E+00  0.99828E+00  0.10106E+01  0.11332E+01  0.11343E+01  0.11715E+01  0.12544E+01  0.12549E+01  0.12834E+01  0.12835E+01  0.13046E+01  0.13062E+01  0.13093E+01  0.13121E+01  0.13198E+01  0.13291E+01  0.13292E+01  0.13333E+01  0.13346E+01  0.13350E+01  0.13436E+01  0.13441E+01  0.13468E+01  0.13859E+01  0.13862E+01  0.13946E+01  0.13946E+01  0.13953E+01  0.13961E+01  0.13994E+01  0.14151E+01  0.14241E+01  0.14245E+01  0.14549E+01  0.14672E+01  0.14793E+01  0.14860E+01  0.14868E+01  0.15474E+01  0.15562E+01  0.15955E+01  0.16022E+01  0.16160E+01  0.16192E+01  0.16235E+01  0.16261E+01  0.16394E+01  0.16590E+01  0.16673E+01  0.16805E+01  0.16810E+01  0.16819E+01  0.16828E+01  0.17113E+01  0.17347E+01  0.17393E+01  0.17394E+01  0.17659E+01  0.17661E+01  0.18588E+01  0.18654E+01  0.18655E+01  0.18825E+01  0.18887E+01  0.19319E+01  0.19337E+01  0.19620E+01  0.20100E+01  0.20166E+01  0.20182E+01  0.20186E+01  0.20187E+01  0.20327E+01  0.20788E+01  0.20839E+01  0.20849E+01  0.20867E+01  0.20939E+01  0.20945E+01  0.21092E+01  0.21738E+01  0.21817E+01  0.21900E+01  0.21907E+01
  0.34889E-01 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16017E+00  0.18301E+00  0.18478E+00  0.18626E+00  0.19265E+00  0.20427E+00  0.20428E+00  0.21013E+00  0.60453E+00  0.62262E+00  0.63270E+00  0.63999E+00  0.65618E+00  0.68228E+00  0.68785E+00  0.68811E+00  0.68886E+00  0.70029E+00  0.70036E+00  0.70177E+00  0.70459E+00  0.70488E+00  0.70641E+00  0.70816E+00  0.71087E+00  0.71150E+00  0.72605E+00  0.72988E+00  0.73899E+00  0.74866E+00  0.75032E+00  0.76184E+00  0.76727E+00  0.77276E+00  0.77286E+00  0.77364E+00  0.78061E+00  0.78272E+00  0.78430E+00  0.78720E+00  0.80456E+00  0.80525E+00  0.80598E+00  0.80821E+00  0.81366E+00  0.81406E+00  0.82619E+00  0.84388E+00  0.84421E+00  0.84765E+00  0.88199E+00  0.99742E+00  0.10119E+01  0.11310E+01  0.11344E+01  0.11710E+01  0.12545E+01  0.12567E+01  0.12831E+01  0.12835E+01  0.13049E+01  0.13065E+01  0.13096E+01  0.13122E+01  0.13199E+01  0.13289E+01  0.13292E+01  0.13331E+01  0.13333E+01  0.13344E+01  0.13427E+01  0.13447E+01  0.13471E+01  0.13857E+01  0.13869E+01  0.13944E+01  0.13945E+01  0.13945E+01  0.13954E+01  0.13992E+01  0.14153E+01  0.14245E+01  0.14265E+01  0.14539E+01  0.14664E+01  0.14799E+01  0.14843E+01  0.14878E+01  0.15434E+01  0.15543E+01  0.15884E+01  0.15960E+01  0.16139E+01  0.16255E+01  0.16282E+01  0.16332E+01  0.16407E+01  0.16612E+01  0.16663E+01  0.16814E+01  0.16817E+01  0.16836E+01  0.16840E+01  0.17139E+01  0.17335E+01  0.17396E+01  0.17400E+01  0.17653E+01  0.17658E+01  0.18501E+01  0.18668E+01  0.18671E+01  0.18801E+01  0.18993E+01  0.19326E+01  0.19354E+01  0.19568E+01  0.20108E+01  0.20138E+01  0.20176E+01  0.20199E+01  0.20204E+01  0.20348E+01  0.20725E+01  0.20777E+01  0.20838E+01  0.20867E+01  0.20927E+01  0.20949E+01  0.21096E+01  0.21708E+01  0.21891E+01  0.21903E+01  0.21929E+01
  0.52333E-01 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16044E+00  0.18192E+00  0.18481E+00  0.18677E+00  0.19295E+00  0.20423E+00  0.20426E+00  0.21013E+00  0.60531E+00  0.62328E+00  0.63280E+00  0.64062E+00  0.65627E+00  0.68144E+00  0.68787E+00  0.68829E+00  0.68846E+00  0.70006E+00  0.70028E+00  0.70042E+00  0.70466E+00  0.70535E+00  0.70637E+00  0.70817E+00  0.71011E+00  0.71150E+00  0.72182E+00  0.72959E+00  0.73801E+00  0.74908E+00  0.75218E+00  0.76233E+00  0.76674E+00  0.77290E+00  0.77294E+00  0.77407E+00  0.78298E+00  0.78346E+00  0.78517E+00  0.78787E+00  0.80450E+00  0.80451E+00  0.80596E+00  0.80866E+00  0.81320E+00  0.81405E+00  0.82577E+00  0.84341E+00  0.84414E+00  0.84752E+00  0.88354E+00  0.99600E+00  0.10141E+01  0.11274E+01  0.11346E+01  0.11701E+01  0.12548E+01  0.12594E+01  0.12825E+01  0.12834E+01  0.13053E+01  0.13069E+01  0.13101E+01  0.13124E+01  0.13199E+01  0.13284E+01  0.13290E+01  0.13307E+01  0.13332E+01  0.13335E+01  0.13415E+01  0.13455E+01  0.13473E+01  0.13855E+01  0.13879E+01  0.13933E+01  0.13941E+01  0.13944E+01  0.13945E+01  0.13988E+01  0.14157E+01  0.14250E+01  0.14298E+01  0.14522E+01  0.14651E+01  0.14810E+01  0.14818E+01  0.14893E+01  0.15369E+01  0.15523E+01  0.15803E+01  0.15891E+01  0.16101E+01  0.16322E+01  0.16350E+01  0.16416E+01  0.16432E+01  0.16619E+01  0.16661E+01  0.16828E+01  0.16835E+01  0.16860E+01  0.16877E+01  0.17172E+01  0.17316E+01  0.17400E+01  0.17408E+01  0.17642E+01  0.17654E+01  0.18411E+01  0.18692E+01  0.18696E+01  0.18760E+01  0.19114E+01  0.19328E+01  0.19381E+01  0.19497E+01  0.20090E+01  0.20121E+01  0.20158E+01  0.20220E+01  0.20230E+01  0.20383E+01  0.20637E+01  0.20700E+01  0.20818E+01  0.20867E+01  0.20907E+01  0.20953E+01  0.21105E+01  0.21647E+01  0.21909E+01  0.21965E+01  0.22000E+01
  0.69777E-01 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16081E+00  0.18076E+00  0.18486E+00  0.18722E+00  0.19329E+00  0.20417E+00  0.20423E+00  0.21013E+00  0.60636E+00  0.62415E+00  0.63298E+00  0.64149E+00  0.65637E+00  0.68015E+00  0.68779E+00  0.68791E+00  0.68896E+00  0.69782E+00  0.70026E+00  0.70049E+00  0.70472E+00  0.70587E+00  0.70632E+00  0.70811E+00  0.70912E+00  0.71150E+00  0.71700E+00  0.72922E+00  0.73711E+00  0.74968E+00  0.75420E+00  0.76288E+00  0.76605E+00  0.77294E+00  0.77344E+00  0.77451E+00  0.78335E+00  0.78530E+00  0.78613E+00  0.78994E+00  0.80355E+00  0.80444E+00  0.80594E+00  0.80920E+00  0.81262E+00  0.81404E+00  0.82520E+00  0.84278E+00  0.84406E+00  0.84735E+00  0.88568E+00  0.99405E+00  0.10171E+01  0.11226E+01  0.11351E+01  0.11690E+01  0.12551E+01  0.12627E+01  0.12817E+01  0.12836E+01  0.13057E+01  0.13075E+01  0.13108E+01  0.13128E+01  0.13200E+01  0.13272E+01  0.13279E+01  0.13292E+01  0.13324E+01  0.13330E+01  0.13402E+01  0.13468E+01  0.13475E+01  0.13851E+01  0.13894E+01  0.13915E+01  0.13932E+01  0.13938E+01  0.13942E+01  0.13984E+01  0.14160E+01  0.14256E+01  0.14343E+01  0.14499E+01  0.14636E+01  0.14786E+01  0.14825E+01  0.14915E+01  0.15291E+01  0.15500E+01  0.15719E+01  0.15820E+01  0.16061E+01  0.16390E+01  0.16394E+01  0.16487E+01  0.16504E+01  0.16579E+01  0.16703E+01  0.16861E+01  0.16864E+01  0.16887E+01  0.16934E+01  0.17207E+01  0.17290E+01  0.17405E+01  0.17419E+01  0.17629E+01  0.17650E+01  0.18324E+01  0.18704E+01  0.18724E+01  0.18728E+01  0.19244E+01  0.19301E+01  0.19382E+01  0.19469E+01  0.20026E+01  0.20114E+01  0.20139E+01  0.20251E+01  0.20264E+01  0.20431E+01  0.20545E+01  0.20625E+01  0.20786E+01  0.20867E+01  0.20879E+01  0.20954E+01  0.21125E+01  0.21566E+01  0.21918E+01  0.22017E+01  0.22034E+01
  0.87221E-01 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16128E+00  0.17956E+00  0.18492E+00  0.18761E+00  0.19363E+00  0.20411E+00  0.20421E+00  0.21013E+00  0.60761E+00  0.62516E+00  0.63332E+00  0.64257E+00  0.65644E+00  0.67844E+00  0.68744E+00  0.68795E+00  0.68959E+00  0.69515E+00  0.70023E+00  0.70058E+00  0.70475E+00  0.70624E+00  0.70638E+00  0.70775E+00  0.70793E+00  0.71150E+00  0.71230E+00  0.72879E+00  0.73637E+00  0.75048E+00  0.75624E+00  0.76326E+00  0.76544E+00  0.77300E+00  0.77428E+00  0.77488E+00  0.78382E+00  0.78591E+00  0.78706E+00  0.79321E+00  0.80243E+00  0.80435E+00  0.80591E+00  0.80985E+00  0.81199E+00  0.81403E+00  0.82450E+00  0.84201E+00  0.84397E+00  0.84717E+00  0.88837E+00  0.99161E+00  0.10208E+01  0.11168E+01  0.11356E+01  0.11677E+01  0.12556E+01  0.12665E+01  0.12808E+01  0.12840E+01  0.13058E+01  0.13082E+01  0.13116E+01  0.13135E+01  0.13201E+01  0.13235E+01  0.13271E+01  0.13290E+01  0.13309E+01  0.13329E+01  0.13389E+01  0.13475E+01  0.13483E+01  0.13847E+01  0.13892E+01  0.13914E+01  0.13919E+01  0.13937E+01  0.13940E+01  0.13980E+01  0.14162E+01  0.14263E+01  0.14399E+01  0.14469E+01  0.14620E+01  0.14751E+01  0.14845E+01  0.14942E+01  0.15207E+01  0.15469E+01  0.15636E+01  0.15749E+01  0.16028E+01  0.16414E+01  0.16457E+01  0.16525E+01  0.16547E+01  0.16592E+01  0.16777E+01  0.16892E+01  0.16916E+01  0.16919E+01  0.17004E+01  0.17238E+01  0.17257E+01  0.17411E+01  0.17429E+01  0.17615E+01  0.17645E+01  0.18241E+01  0.18634E+01  0.18762E+01  0.18765E+01  0.19204E+01  0.19371E+01  0.19381E+01  0.19516E+01  0.19947E+01  0.20037E+01  0.20161E+01  0.20289E+01  0.20306E+01  0.20434E+01  0.20492E+01  0.20591E+01  0.20741E+01  0.20843E+01  0.20868E+01  0.20947E+01  0.21158E+01  0.21472E+01  0.21930E+01  0.21948E+01  0.22083E+01
  0.10467E+00 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16183E+00  0.17834E+00  0.18498E+00  0.18796E+00  0.19393E+00  0.20404E+00  0.20420E+00  0.21012E+00  0.60900E+00  0.62621E+00  0.63394E+00  0.64386E+00  0.65645E+00  0.67642E+00  0.68722E+00  0.68800E+00  0.69035E+00  0.69215E+00  0.70021E+00  0.70068E+00  0.70442E+00  0.70578E+00  0.70637E+00  0.70659E+00  0.70683E+00  0.70951E+00  0.71150E+00  0.72836E+00  0.73579E+00  0.75145E+00  0.75819E+00  0.76309E+00  0.76533E+00  0.77306E+00  0.77507E+00  0.77541E+00  0.78438E+00  0.78613E+00  0.78790E+00  0.79657E+00  0.80115E+00  0.80425E+00  0.80588E+00  0.81062E+00  0.81137E+00  0.81404E+00  0.82370E+00  0.84114E+00  0.84386E+00  0.84697E+00  0.89152E+00  0.98877E+00  0.10253E+01  0.11103E+01  0.11361E+01  0.11663E+01  0.12561E+01  0.12703E+01  0.12797E+01  0.12849E+01  0.13057E+01  0.13091E+01  0.13125E+01  0.13144E+01  0.13194E+01  0.13202E+01  0.13263E+01  0.13288E+01  0.13293E+01  0.13327E+01  0.13375E+01  0.13475E+01  0.13502E+01  0.13842E+01  0.13866E+01  0.13904E+01  0.13937E+01  0.13937E+01  0.13938E+01  0.13975E+01  0.14161E+01  0.14269E+01  0.14435E+01  0.14463E+01  0.14604E+01  0.14717E+01  0.14869E+01  0.14974E+01  0.15123E+01  0.15426E+01  0.15555E+01  0.15678E+01  0.16007E+01  0.16426E+01  0.16469E+01  0.16523E+01  0.16584E+01  0.16678E+01  0.16881E+01  0.16928E+01  0.16955E+01  0.16981E+01  0.17085E+01  0.17220E+01  0.17264E+01  0.17418E+01  0.17436E+01  0.17605E+01  0.17641E+01  0.18164E+01  0.18549E+01  0.18784E+01  0.18814E+01  0.19085E+01  0.19366E+01  0.19523E+01  0.19584E+01  0.19857E+01  0.19937E+01  0.20188E+01  0.20301E+01  0.20337E+01  0.20354E+01  0.20564E+01  0.20604E+01  0.20684E+01  0.20802E+01  0.20870E+01  0.20929E+01  0.21205E+01  0.21371E+01  0.21841E+01  0.21946E+01  0.22165E+01
  0.12211E+00 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16244E+00  0.17714E+00  0.18504E+00  0.18829E+00  0.19417E+00  0.20396E+00  0.20421E+00  0.21012E+00  0.61043E+00  0.62712E+00  0.63498E+00  0.64529E+00  0.65629E+00  0.67422E+00  0.68709E+00  0.68805E+00  0.68899E+00  0.69124E+00  0.70018E+00  0.70075E+00  0.70123E+00  0.70517E+00  0.70518E+00  0.70615E+00  0.70720E+00  0.70896E+00  0.71150E+00  0.72797E+00  0.73534E+00  0.75254E+00  0.75995E+00  0.76246E+00  0.76569E+00  0.77312E+00  0.77505E+00  0.77676E+00  0.78501E+00  0.78625E+00  0.78861E+00  0.79957E+00  0.79974E+00  0.80414E+00  0.80585E+00  0.81082E+00  0.81147E+00  0.81407E+00  0.82283E+00  0.84020E+00  0.84376E+00  0.84678E+00  0.89500E+00  0.98568E+00  0.10304E+01  0.11034E+01  0.11368E+01  0.11649E+01  0.12566E+01  0.12740E+01  0.12787E+01  0.12864E+01  0.13050E+01  0.13102E+01  0.13135E+01  0.13141E+01  0.13168E+01  0.13204E+01  0.13253E+01  0.13275E+01  0.13284E+01  0.13326E+01  0.13363E+01  0.13475E+01  0.13524E+01  0.13834E+01  0.13840E+01  0.13890E+01  0.13935E+01  0.13942E+01  0.13963E+01  0.13971E+01  0.14157E+01  0.14273E+01  0.14399E+01  0.14533E+01  0.14589E+01  0.14689E+01  0.14899E+01  0.15012E+01  0.15042E+01  0.15370E+01  0.15476E+01  0.15607E+01  0.15999E+01  0.16400E+01  0.16447E+01  0.16589E+01  0.16604E+01  0.16759E+01  0.16967E+01  0.16979E+01  0.16992E+01  0.17078E+01  0.17175E+01  0.17178E+01  0.17284E+01  0.17424E+01  0.17435E+01  0.17602E+01  0.17639E+01  0.18092E+01  0.18453E+01  0.18750E+01  0.18870E+01  0.19010E+01  0.19358E+01  0.19662E+01  0.19670E+01  0.19759E+01  0.19833E+01  0.20161E+01  0.20219E+01  0.20390E+01  0.20406E+01  0.20619E+01  0.20644E+01  0.20648E+01  0.20757E+01  0.20871E+01  0.20893E+01  0.21265E+01  0.21266E+01  0.21719E+01  0.21967E+01  0.22085E+01
  0.13955E+00 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16308E+00  0.17600E+00  0.18509E+00  0.18857E+00  0.19434E+00  0.20390E+00  0.20422E+00  0.21011E+00  0.61181E+00  0.62776E+00  0.63659E+00  0.64684E+00  0.65583E+00  0.67196E+00  0.68590E+00  0.68703E+00  0.68809E+00  0.69225E+00  0.69747E+00  0.70016E+00  0.70079E+00  0.70372E+00  0.70521E+00  0.70605E+00  0.70748E+00  0.70882E+00  0.71150E+00  0.72764E+00  0.73501E+00  0.75369E+00  0.76146E+00  0.76174E+00  0.76614E+00  0.77317E+00  0.77481E+00  0.77824E+00  0.78567E+00  0.78632E+00  0.78921E+00  0.79821E+00  0.80209E+00  0.80402E+00  0.80582E+00  0.81035E+00  0.81236E+00  0.81412E+00  0.82197E+00  0.83926E+00  0.84366E+00  0.84660E+00  0.89857E+00  0.98251E+00  0.10360E+01  0.10961E+01  0.11374E+01  0.11635E+01  0.12571E+01  0.12773E+01  0.12777E+01  0.12885E+01  0.13037E+01  0.13106E+01  0.13114E+01  0.13146E+01  0.13179E+01  0.13205E+01  0.13242E+01  0.13256E+01  0.13280E+01  0.13324E+01  0.13352E+01  0.13474E+01  0.13549E+01  0.13805E+01  0.13835E+01  0.13877E+01  0.13932E+01  0.13950E+01  0.13967E+01  0.13993E+01  0.14145E+01  0.14271E+01  0.14365E+01  0.14575E+01  0.14603E+01  0.14676E+01  0.14934E+01  0.14966E+01  0.15054E+01  0.15303E+01  0.15400E+01  0.15538E+01  0.16004E+01  0.16343E+01  0.16454E+01  0.16615E+01  0.16653E+01  0.16832E+01  0.17008E+01  0.17028E+01  0.17048E+01  0.17133E+01  0.17212E+01  0.17270E+01  0.17303E+01  0.17422E+01  0.17432E+01  0.17610E+01  0.17639E+01  0.18027E+01  0.18347E+01  0.18628E+01  0.18934E+01  0.19015E+01  0.19342E+01  0.19657E+01  0.19739E+01  0.19748E+01  0.19819E+01  0.20022E+01  0.20255E+01  0.20452E+01  0.20452E+01  0.20556E+01  0.20685E+01  0.20711E+01  0.20757E+01  0.20836E+01  0.20868E+01  0.21160E+01  0.21339E+01  0.21589E+01  0.21885E+01  0.21995E+01
  0.15700E+00 -0.32355E+01 -0.32355E+01 -0.32117E+01 -0.31245E+01 -0.18135E+01 -0.18135E+01 -0.18121E+01 -0.18121E+01 -0.17838E+01 -0.17801E+01 -0.17801E+01 -0.17703E+01 -0.17703E+01 -0.16933E+01 -0.16910E+01 -0.16910E+01  0.16372E+00  0.17497E+00  0.18514E+00  0.18882E+00  0.19445E+00  0.20384E+00  0.20425E+00  0.21011E+00  0.61304E+00  0.62812E+00  0.63871E+00  0.64840E+00  0.65494E+00  0.66980E+00  0.68320E+00  0.68700E+00  0.68813E+00  0.69337E+00  0.69427E+00  0.70014E+00  0.70067E+00  0.70239E+00  0.70530E+00  0.70595E+00  0.70769E+00  0.70878E+00  0.71150E+00  0.72738E+00  0.73477E+00  0.75480E+00  0.76111E+00  0.76267E+00  0.76655E+00  0.77322E+00  0.77441E+00  0.77972E+00  0.78630E+00  0.78637E+00  0.78975E+00  0.79663E+00  0.80390E+00  0.80407E+00  0.80579E+00  0.80998E+00  0.81321E+00  0.81419E+00  0.82116E+00  0.83840E+00  0.84358E+00  0.84645E+00  0.90195E+00  0.97951E+00  0.10421E+01  0.10887E+01  0.11380E+01  0.11623E+01  0.12576E+01  0.12769E+01  0.12803E+01  0.12909E+01  0.13016E+01  0.13075E+01  0.13127E+01  0.13158E+01  0.13195E+01  0.13206E+01  0.13229E+01  0.13238E+01  0.13274E+01  0.13323E+01  0.13343E+01  0.13473E+01  0.13576E+01  0.13772E+01  0.13832E+01  0.13865E+01  0.13930E+01  0.13964E+01  0.13964E+01  0.14026E+01  0.14127E+01  0.14256E+01  0.14341E+01  0.14564E+01  0.14640E+01  0.14712E+01  0.14896E+01  0.14974E+01  0.15100E+01  0.15228E+01  0.15328E+01  0.15470E+01  0.16020E+01  0.16287E+01  0.16462E+01  0.16623E+01  0.16715E+01  0.16893E+01  0.17049E+01  0.17057E+01  0.17091E+01  0.17101E+01  0.17284E+01  0.17359E+01  0.17396E+01  0.17401E+01  0.17444E+01  0.17628E+01  0.17645E+01  0.17968E+01  0.18236E+01  0.18465E+01  0.19004E+01  0.19054E+01  0.19317E+01  0.19553E+01  0.19666E+01  0.19838E+01  0.19893E+01  0.19970E+01  0.20296E+01  0.20429E+01  0.20520E+01  0.20561E+01  0.20638E+01  0.20758E+01  0.20789E+01  0.20851E+01  0.20856E+01  0.21056E+01  0.21425E+01  0.21457E+01  0.21698E+01  0.22029E+01
