# NKPT   119 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     13   (0,1,0)/2
#     25   (1,1,0)/2
#     43   (0,0,0)/2
#     72   (0,0,1)/2
#     90   (1,1,1)/2
#    119   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.20933
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.41866
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.71470
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20577
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50181
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99288
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99288,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15612E+00  0.17694E+00  0.18067E+00  0.18239E+00  0.19573E+00  0.20665E+00  0.21284E+00  0.21537E+00  0.58117E+00  0.60320E+00  0.62937E+00  0.63237E+00  0.66102E+00  0.66189E+00  0.66671E+00  0.67538E+00  0.68512E+00  0.69229E+00  0.69367E+00  0.70159E+00  0.70160E+00  0.70210E+00  0.70495E+00  0.72249E+00  0.72326E+00  0.72622E+00  0.73085E+00  0.73449E+00  0.73788E+00  0.74742E+00  0.74818E+00  0.75048E+00  0.75843E+00  0.76647E+00  0.77619E+00  0.77625E+00  0.78140E+00  0.78652E+00  0.79208E+00  0.79908E+00  0.80604E+00  0.80612E+00  0.80962E+00  0.81210E+00  0.81496E+00  0.81691E+00  0.82928E+00  0.84766E+00  0.85102E+00  0.85115E+00  0.88359E+00  0.10051E+01  0.10145E+01  0.11301E+01  0.11346E+01  0.11788E+01  0.12520E+01  0.12534E+01  0.12837E+01  0.12849E+01  0.13044E+01  0.13061E+01  0.13092E+01  0.13120E+01  0.13171E+01  0.13293E+01  0.13293E+01  0.13335E+01  0.13348E+01  0.13356E+01  0.13439E+01  0.13439E+01  0.13474E+01  0.13860E+01  0.13861E+01  0.13945E+01  0.13945E+01  0.13957E+01  0.13962E+01  0.13995E+01  0.14144E+01  0.14230E+01  0.14232E+01  0.14558E+01  0.14681E+01  0.14788E+01  0.14863E+01  0.14865E+01  0.15500E+01  0.15549E+01  0.15995E+01  0.16046E+01  0.16164E+01  0.16181E+01  0.16198E+01  0.16202E+01  0.16353E+01  0.16594E+01  0.16672E+01  0.16782E+01  0.16792E+01  0.16835E+01  0.16836E+01  0.17132E+01  0.17353E+01  0.17380E+01  0.17382E+01  0.17676E+01  0.17676E+01  0.18636E+01  0.18649E+01  0.18650E+01  0.18834E+01  0.18836E+01  0.19281E+01  0.19316E+01  0.19660E+01  0.20096E+01  0.20174E+01  0.20176E+01  0.20182E+01  0.20186E+01  0.20317E+01  0.20801E+01  0.20859E+01  0.20867E+01  0.20868E+01  0.20944E+01  0.20944E+01  0.21096E+01  0.21742E+01  0.21797E+01  0.21900E+01  0.21904E+01
  0.17444E-01 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15617E+00  0.17694E+00  0.18044E+00  0.18254E+00  0.19577E+00  0.20663E+00  0.21284E+00  0.21538E+00  0.58119E+00  0.60339E+00  0.62945E+00  0.63252E+00  0.66102E+00  0.66191E+00  0.66670E+00  0.67538E+00  0.68482E+00  0.69177E+00  0.69401E+00  0.70112E+00  0.70161E+00  0.70210E+00  0.70496E+00  0.72238E+00  0.72326E+00  0.72654E+00  0.73034E+00  0.73451E+00  0.73785E+00  0.74702E+00  0.74831E+00  0.75099E+00  0.75853E+00  0.76652E+00  0.77606E+00  0.77634E+00  0.78142E+00  0.78677E+00  0.79209E+00  0.79907E+00  0.80600E+00  0.80600E+00  0.80969E+00  0.81261E+00  0.81488E+00  0.81691E+00  0.82920E+00  0.84756E+00  0.85099E+00  0.85113E+00  0.88370E+00  0.10054E+01  0.10146E+01  0.11299E+01  0.11339E+01  0.11787E+01  0.12520E+01  0.12540E+01  0.12837E+01  0.12848E+01  0.13045E+01  0.13062E+01  0.13093E+01  0.13120E+01  0.13171E+01  0.13292E+01  0.13293E+01  0.13334E+01  0.13346E+01  0.13351E+01  0.13435E+01  0.13441E+01  0.13476E+01  0.13859E+01  0.13863E+01  0.13944E+01  0.13945E+01  0.13955E+01  0.13960E+01  0.13994E+01  0.14145E+01  0.14234E+01  0.14237E+01  0.14554E+01  0.14678E+01  0.14790E+01  0.14859E+01  0.14866E+01  0.15489E+01  0.15539E+01  0.15961E+01  0.16011E+01  0.16177E+01  0.16206E+01  0.16211E+01  0.16230E+01  0.16359E+01  0.16604E+01  0.16668E+01  0.16786E+01  0.16801E+01  0.16832E+01  0.16840E+01  0.17141E+01  0.17349E+01  0.17380E+01  0.17384E+01  0.17674E+01  0.17675E+01  0.18589E+01  0.18654E+01  0.18655E+01  0.18828E+01  0.18888E+01  0.19285E+01  0.19320E+01  0.19642E+01  0.20099E+01  0.20167E+01  0.20179E+01  0.20183E+01  0.20188E+01  0.20324E+01  0.20780E+01  0.20842E+01  0.20854E+01  0.20869E+01  0.20940E+01  0.20945E+01  0.21096E+01  0.21743E+01  0.21814E+01  0.21902E+01  0.21910E+01
  0.34889E-01 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15629E+00  0.17695E+00  0.17990E+00  0.18286E+00  0.19588E+00  0.20656E+00  0.21282E+00  0.21543E+00  0.58124E+00  0.60397E+00  0.62968E+00  0.63297E+00  0.66103E+00  0.66195E+00  0.66667E+00  0.67539E+00  0.68390E+00  0.69073E+00  0.69451E+00  0.69988E+00  0.70165E+00  0.70211E+00  0.70499E+00  0.72206E+00  0.72326E+00  0.72716E+00  0.72914E+00  0.73459E+00  0.73776E+00  0.74625E+00  0.74872E+00  0.75208E+00  0.75882E+00  0.76665E+00  0.77556E+00  0.77678E+00  0.78146E+00  0.78743E+00  0.79209E+00  0.79902E+00  0.80566E+00  0.80589E+00  0.80989E+00  0.81280E+00  0.81592E+00  0.81692E+00  0.82897E+00  0.84728E+00  0.85091E+00  0.85110E+00  0.88403E+00  0.10060E+01  0.10148E+01  0.11294E+01  0.11322E+01  0.11782E+01  0.12521E+01  0.12557E+01  0.12836E+01  0.12845E+01  0.13048E+01  0.13064E+01  0.13096E+01  0.13121E+01  0.13171E+01  0.13290E+01  0.13293E+01  0.13334E+01  0.13335E+01  0.13341E+01  0.13427E+01  0.13446E+01  0.13479E+01  0.13857E+01  0.13869E+01  0.13942E+01  0.13944E+01  0.13947E+01  0.13953E+01  0.13992E+01  0.14146E+01  0.14237E+01  0.14259E+01  0.14544E+01  0.14670E+01  0.14797E+01  0.14843E+01  0.14875E+01  0.15446E+01  0.15523E+01  0.15887E+01  0.15950E+01  0.16143E+01  0.16266E+01  0.16270E+01  0.16301E+01  0.16376E+01  0.16629E+01  0.16655E+01  0.16797E+01  0.16827E+01  0.16831E+01  0.16853E+01  0.17165E+01  0.17337E+01  0.17383E+01  0.17389E+01  0.17667E+01  0.17672E+01  0.18503E+01  0.18668E+01  0.18672E+01  0.18803E+01  0.18993E+01  0.19291E+01  0.19336E+01  0.19592E+01  0.20107E+01  0.20139E+01  0.20175E+01  0.20194E+01  0.20206E+01  0.20345E+01  0.20716E+01  0.20781E+01  0.20843E+01  0.20871E+01  0.20928E+01  0.20949E+01  0.21099E+01  0.21710E+01  0.21891E+01  0.21905E+01  0.21932E+01
  0.52333E-01 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15649E+00  0.17697E+00  0.17921E+00  0.18321E+00  0.19606E+00  0.20644E+00  0.21280E+00  0.21549E+00  0.58133E+00  0.60491E+00  0.63006E+00  0.63370E+00  0.66103E+00  0.66201E+00  0.66659E+00  0.67541E+00  0.68232E+00  0.68946E+00  0.69493E+00  0.69817E+00  0.70172E+00  0.70212E+00  0.70501E+00  0.72157E+00  0.72326E+00  0.72591E+00  0.72939E+00  0.73474E+00  0.73762E+00  0.74546E+00  0.74944E+00  0.75333E+00  0.75924E+00  0.76685E+00  0.77496E+00  0.77751E+00  0.78153E+00  0.78832E+00  0.79210E+00  0.79896E+00  0.80512E+00  0.80571E+00  0.81023E+00  0.81152E+00  0.81694E+00  0.81900E+00  0.82858E+00  0.84682E+00  0.85078E+00  0.85105E+00  0.88452E+00  0.10068E+01  0.10155E+01  0.11272E+01  0.11308E+01  0.11776E+01  0.12523E+01  0.12584E+01  0.12837E+01  0.12840E+01  0.13052E+01  0.13068E+01  0.13101E+01  0.13123E+01  0.13172E+01  0.13286E+01  0.13292E+01  0.13311E+01  0.13332E+01  0.13333E+01  0.13415E+01  0.13455E+01  0.13482E+01  0.13854E+01  0.13880E+01  0.13934E+01  0.13939E+01  0.13942E+01  0.13944E+01  0.13989E+01  0.14149E+01  0.14241E+01  0.14293E+01  0.14527E+01  0.14659E+01  0.14807E+01  0.14818E+01  0.14890E+01  0.15377E+01  0.15508E+01  0.15804E+01  0.15884E+01  0.16101E+01  0.16326E+01  0.16334E+01  0.16387E+01  0.16414E+01  0.16621E+01  0.16670E+01  0.16815E+01  0.16844E+01  0.16868E+01  0.16874E+01  0.17196E+01  0.17318E+01  0.17387E+01  0.17398E+01  0.17657E+01  0.17669E+01  0.18413E+01  0.18692E+01  0.18697E+01  0.18763E+01  0.19114E+01  0.19289E+01  0.19365E+01  0.19520E+01  0.20091E+01  0.20120E+01  0.20158E+01  0.20215E+01  0.20233E+01  0.20380E+01  0.20628E+01  0.20704E+01  0.20825E+01  0.20870E+01  0.20908E+01  0.20953E+01  0.21107E+01  0.21648E+01  0.21911E+01  0.21968E+01  0.22001E+01
  0.69777E-01 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15677E+00  0.17699E+00  0.17843E+00  0.18354E+00  0.19628E+00  0.20629E+00  0.21276E+00  0.21557E+00  0.58143E+00  0.60621E+00  0.63057E+00  0.63470E+00  0.66104E+00  0.66210E+00  0.66646E+00  0.67544E+00  0.68011E+00  0.68806E+00  0.69523E+00  0.69624E+00  0.70181E+00  0.70213E+00  0.70501E+00  0.72095E+00  0.72326E+00  0.72327E+00  0.73062E+00  0.73500E+00  0.73746E+00  0.74477E+00  0.75049E+00  0.75459E+00  0.75970E+00  0.76708E+00  0.77448E+00  0.77850E+00  0.78161E+00  0.78928E+00  0.79211E+00  0.79887E+00  0.80440E+00  0.80545E+00  0.80958E+00  0.81071E+00  0.81697E+00  0.82309E+00  0.82806E+00  0.84620E+00  0.85062E+00  0.85099E+00  0.88511E+00  0.10072E+01  0.10170E+01  0.11229E+01  0.11302E+01  0.11768E+01  0.12526E+01  0.12617E+01  0.12833E+01  0.12839E+01  0.13056E+01  0.13074E+01  0.13108E+01  0.13127E+01  0.13173E+01  0.13276E+01  0.13280E+01  0.13293E+01  0.13321E+01  0.13331E+01  0.13402E+01  0.13467E+01  0.13483E+01  0.13850E+01  0.13895E+01  0.13916E+01  0.13932E+01  0.13937E+01  0.13939E+01  0.13985E+01  0.14151E+01  0.14247E+01  0.14340E+01  0.14503E+01  0.14644E+01  0.14786E+01  0.14823E+01  0.14910E+01  0.15297E+01  0.15489E+01  0.15720E+01  0.15816E+01  0.16058E+01  0.16358E+01  0.16399E+01  0.16476E+01  0.16483E+01  0.16580E+01  0.16716E+01  0.16840E+01  0.16876E+01  0.16901E+01  0.16924E+01  0.17228E+01  0.17291E+01  0.17392E+01  0.17409E+01  0.17644E+01  0.17664E+01  0.18326E+01  0.18707E+01  0.18724E+01  0.18729E+01  0.19244E+01  0.19261E+01  0.19392E+01  0.19466E+01  0.20026E+01  0.20114E+01  0.20137E+01  0.20246E+01  0.20268E+01  0.20428E+01  0.20536E+01  0.20629E+01  0.20796E+01  0.20868E+01  0.20880E+01  0.20954E+01  0.21127E+01  0.21566E+01  0.21920E+01  0.22020E+01  0.22032E+01
  0.87221E-01 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15710E+00  0.17702E+00  0.17760E+00  0.18384E+00  0.19652E+00  0.20612E+00  0.21273E+00  0.21567E+00  0.58154E+00  0.60783E+00  0.63117E+00  0.63596E+00  0.66105E+00  0.66220E+00  0.66622E+00  0.67545E+00  0.67738E+00  0.68658E+00  0.69423E+00  0.69542E+00  0.70191E+00  0.70215E+00  0.70501E+00  0.72025E+00  0.72041E+00  0.72327E+00  0.73173E+00  0.73545E+00  0.73731E+00  0.74418E+00  0.75186E+00  0.75577E+00  0.76013E+00  0.76727E+00  0.77429E+00  0.77974E+00  0.78172E+00  0.79019E+00  0.79211E+00  0.79877E+00  0.80353E+00  0.80511E+00  0.80723E+00  0.81133E+00  0.81702E+00  0.82742E+00  0.82768E+00  0.84545E+00  0.85043E+00  0.85091E+00  0.88574E+00  0.10070E+01  0.10197E+01  0.11176E+01  0.11298E+01  0.11759E+01  0.12529E+01  0.12653E+01  0.12826E+01  0.12844E+01  0.13057E+01  0.13081E+01  0.13116E+01  0.13134E+01  0.13174E+01  0.13239E+01  0.13273E+01  0.13291E+01  0.13307E+01  0.13330E+01  0.13388E+01  0.13483E+01  0.13484E+01  0.13846E+01  0.13893E+01  0.13914E+01  0.13919E+01  0.13936E+01  0.13936E+01  0.13982E+01  0.14153E+01  0.14252E+01  0.14397E+01  0.14473E+01  0.14629E+01  0.14750E+01  0.14842E+01  0.14936E+01  0.15212E+01  0.15459E+01  0.15636E+01  0.15747E+01  0.16024E+01  0.16376E+01  0.16465E+01  0.16512E+01  0.16564E+01  0.16568E+01  0.16788E+01  0.16869E+01  0.16924E+01  0.16935E+01  0.16993E+01  0.17258E+01  0.17259E+01  0.17398E+01  0.17421E+01  0.17629E+01  0.17660E+01  0.18245E+01  0.18637E+01  0.18764E+01  0.18765E+01  0.19182E+01  0.19380E+01  0.19381E+01  0.19495E+01  0.19948E+01  0.20036E+01  0.20159E+01  0.20284E+01  0.20311E+01  0.20428E+01  0.20488E+01  0.20594E+01  0.20753E+01  0.20846E+01  0.20868E+01  0.20948E+01  0.21160E+01  0.21472E+01  0.21932E+01  0.21947E+01  0.22086E+01
  0.10467E+00 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15748E+00  0.17675E+00  0.17705E+00  0.18410E+00  0.19677E+00  0.20594E+00  0.21268E+00  0.21577E+00  0.58165E+00  0.60971E+00  0.63184E+00  0.63744E+00  0.66106E+00  0.66231E+00  0.66574E+00  0.67439E+00  0.67546E+00  0.68508E+00  0.69217E+00  0.69553E+00  0.70202E+00  0.70216E+00  0.70500E+00  0.71769E+00  0.71953E+00  0.72327E+00  0.73250E+00  0.73611E+00  0.73717E+00  0.74370E+00  0.75351E+00  0.75682E+00  0.76044E+00  0.76739E+00  0.77449E+00  0.78117E+00  0.78183E+00  0.79098E+00  0.79212E+00  0.79865E+00  0.80254E+00  0.80462E+00  0.80470E+00  0.81208E+00  0.81709E+00  0.82668E+00  0.83242E+00  0.84460E+00  0.85024E+00  0.85083E+00  0.88635E+00  0.10064E+01  0.10233E+01  0.11115E+01  0.11295E+01  0.11750E+01  0.12532E+01  0.12690E+01  0.12817E+01  0.12854E+01  0.13055E+01  0.13089E+01  0.13126E+01  0.13143E+01  0.13175E+01  0.13200E+01  0.13264E+01  0.13289E+01  0.13291E+01  0.13328E+01  0.13375E+01  0.13485E+01  0.13502E+01  0.13841E+01  0.13867E+01  0.13905E+01  0.13933E+01  0.13936E+01  0.13937E+01  0.13978E+01  0.14152E+01  0.14257E+01  0.14439E+01  0.14463E+01  0.14614E+01  0.14714E+01  0.14867E+01  0.14966E+01  0.15128E+01  0.15418E+01  0.15554E+01  0.15678E+01  0.16000E+01  0.16389E+01  0.16463E+01  0.16530E+01  0.16605E+01  0.16649E+01  0.16887E+01  0.16903E+01  0.16972E+01  0.16987E+01  0.17073E+01  0.17221E+01  0.17284E+01  0.17405E+01  0.17431E+01  0.17616E+01  0.17657E+01  0.18168E+01  0.18553E+01  0.18786E+01  0.18814E+01  0.19074E+01  0.19367E+01  0.19523E+01  0.19561E+01  0.19858E+01  0.19936E+01  0.20186E+01  0.20296E+01  0.20333E+01  0.20360E+01  0.20559E+01  0.20606E+01  0.20697E+01  0.20805E+01  0.20869E+01  0.20929E+01  0.21208E+01  0.21370E+01  0.21840E+01  0.21948E+01  0.22167E+01
  0.12211E+00 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15788E+00  0.17594E+00  0.17708E+00  0.18433E+00  0.19701E+00  0.20575E+00  0.21264E+00  0.21587E+00  0.58176E+00  0.61179E+00  0.63255E+00  0.63912E+00  0.66107E+00  0.66242E+00  0.66468E+00  0.67166E+00  0.67544E+00  0.68366E+00  0.69006E+00  0.69558E+00  0.70213E+00  0.70218E+00  0.70500E+00  0.71534E+00  0.71883E+00  0.72327E+00  0.73293E+00  0.73689E+00  0.73705E+00  0.74330E+00  0.75535E+00  0.75772E+00  0.76059E+00  0.76746E+00  0.77506E+00  0.78195E+00  0.78271E+00  0.79161E+00  0.79213E+00  0.79854E+00  0.80147E+00  0.80191E+00  0.80422E+00  0.81293E+00  0.81719E+00  0.82590E+00  0.83703E+00  0.84369E+00  0.85004E+00  0.85075E+00  0.88689E+00  0.10056E+01  0.10276E+01  0.11051E+01  0.11291E+01  0.11742E+01  0.12535E+01  0.12724E+01  0.12809E+01  0.12869E+01  0.13049E+01  0.13099E+01  0.13136E+01  0.13143E+01  0.13172E+01  0.13176E+01  0.13254E+01  0.13273E+01  0.13286E+01  0.13326E+01  0.13362E+01  0.13484E+01  0.13523E+01  0.13834E+01  0.13840E+01  0.13891E+01  0.13930E+01  0.13941E+01  0.13964E+01  0.13974E+01  0.14147E+01  0.14261E+01  0.14402E+01  0.14535E+01  0.14600E+01  0.14683E+01  0.14897E+01  0.15001E+01  0.15047E+01  0.15363E+01  0.15475E+01  0.15610E+01  0.15991E+01  0.16391E+01  0.16417E+01  0.16594E+01  0.16628E+01  0.16729E+01  0.16940E+01  0.16982E+01  0.17012E+01  0.17081E+01  0.17160E+01  0.17179E+01  0.17305E+01  0.17414E+01  0.17437E+01  0.17607E+01  0.17654E+01  0.18098E+01  0.18457E+01  0.18752E+01  0.18870E+01  0.19003E+01  0.19355E+01  0.19638E+01  0.19669E+01  0.19760E+01  0.19832E+01  0.20159E+01  0.20217E+01  0.20385E+01  0.20415E+01  0.20630E+01  0.20636E+01  0.20649E+01  0.20764E+01  0.20869E+01  0.20893E+01  0.21265E+01  0.21270E+01  0.21718E+01  0.21969E+01  0.22082E+01
  0.13955E+00 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15828E+00  0.17518E+00  0.17711E+00  0.18453E+00  0.19723E+00  0.20558E+00  0.21261E+00  0.21596E+00  0.58186E+00  0.61395E+00  0.63323E+00  0.64096E+00  0.66108E+00  0.66252E+00  0.66258E+00  0.66984E+00  0.67539E+00  0.68238E+00  0.68797E+00  0.69560E+00  0.70220E+00  0.70224E+00  0.70499E+00  0.71344E+00  0.71820E+00  0.72327E+00  0.73317E+00  0.73697E+00  0.73763E+00  0.74299E+00  0.75728E+00  0.75845E+00  0.76061E+00  0.76750E+00  0.77588E+00  0.78206E+00  0.78428E+00  0.79208E+00  0.79213E+00  0.79843E+00  0.79923E+00  0.80039E+00  0.80369E+00  0.81383E+00  0.81732E+00  0.82510E+00  0.84123E+00  0.84279E+00  0.84987E+00  0.85068E+00  0.88733E+00  0.10046E+01  0.10324E+01  0.10985E+01  0.11288E+01  0.11735E+01  0.12539E+01  0.12756E+01  0.12801E+01  0.12890E+01  0.13035E+01  0.13111E+01  0.13113E+01  0.13147E+01  0.13177E+01  0.13179E+01  0.13243E+01  0.13255E+01  0.13281E+01  0.13325E+01  0.13352E+01  0.13484E+01  0.13548E+01  0.13805E+01  0.13833E+01  0.13878E+01  0.13926E+01  0.13949E+01  0.13971E+01  0.13993E+01  0.14137E+01  0.14259E+01  0.14366E+01  0.14588E+01  0.14612E+01  0.14662E+01  0.14932E+01  0.14971E+01  0.15040E+01  0.15298E+01  0.15399E+01  0.15545E+01  0.15993E+01  0.16346E+01  0.16415E+01  0.16642E+01  0.16658E+01  0.16801E+01  0.16977E+01  0.17048E+01  0.17051E+01  0.17133E+01  0.17214E+01  0.17250E+01  0.17324E+01  0.17426E+01  0.17433E+01  0.17608E+01  0.17655E+01  0.18035E+01  0.18353E+01  0.18629E+01  0.18934E+01  0.19010E+01  0.19337E+01  0.19657E+01  0.19721E+01  0.19738E+01  0.19818E+01  0.20021E+01  0.20253E+01  0.20447E+01  0.20474E+01  0.20557E+01  0.20678E+01  0.20712E+01  0.20764E+01  0.20837E+01  0.20866E+01  0.21160E+01  0.21344E+01  0.21588E+01  0.21882E+01  0.21996E+01
  0.15700E+00 -0.32813E+01 -0.32333E+01 -0.31843E+01 -0.31157E+01 -0.18620E+01 -0.18615E+01 -0.18189E+01 -0.18107E+01 -0.18104E+01 -0.17785E+01 -0.17570E+01 -0.17448E+01 -0.17422E+01 -0.16887E+01 -0.16795E+01 -0.16788E+01  0.15865E+00  0.17452E+00  0.17713E+00  0.18469E+00  0.19741E+00  0.20543E+00  0.21257E+00  0.21604E+00  0.58194E+00  0.61603E+00  0.63384E+00  0.64293E+00  0.65959E+00  0.66108E+00  0.66261E+00  0.66896E+00  0.67531E+00  0.68133E+00  0.68603E+00  0.69558E+00  0.70221E+00  0.70233E+00  0.70498E+00  0.71203E+00  0.71767E+00  0.72327E+00  0.73331E+00  0.73692E+00  0.73826E+00  0.74275E+00  0.75901E+00  0.75913E+00  0.76053E+00  0.76755E+00  0.77679E+00  0.78215E+00  0.78574E+00  0.79214E+00  0.79242E+00  0.79678E+00  0.79833E+00  0.79935E+00  0.80314E+00  0.81468E+00  0.81746E+00  0.82437E+00  0.84196E+00  0.84480E+00  0.84972E+00  0.85061E+00  0.88765E+00  0.10037E+01  0.10375E+01  0.10920E+01  0.11285E+01  0.11728E+01  0.12542E+01  0.12785E+01  0.12795E+01  0.12914E+01  0.13014E+01  0.13083E+01  0.13124E+01  0.13159E+01  0.13179E+01  0.13195E+01  0.13231E+01  0.13237E+01  0.13275E+01  0.13324E+01  0.13343E+01  0.13483E+01  0.13575E+01  0.13773E+01  0.13829E+01  0.13867E+01  0.13924E+01  0.13963E+01  0.13968E+01  0.14026E+01  0.14120E+01  0.14249E+01  0.14337E+01  0.14578E+01  0.14647E+01  0.14698E+01  0.14903E+01  0.14971E+01  0.15081E+01  0.15223E+01  0.15327E+01  0.15482E+01  0.16006E+01  0.16293E+01  0.16422E+01  0.16651E+01  0.16720E+01  0.16861E+01  0.17013E+01  0.17080E+01  0.17091E+01  0.17098E+01  0.17301E+01  0.17328E+01  0.17403E+01  0.17421E+01  0.17449E+01  0.17618E+01  0.17659E+01  0.17980E+01  0.18243E+01  0.18467E+01  0.19005E+01  0.19050E+01  0.19313E+01  0.19554E+01  0.19663E+01  0.19808E+01  0.19894E+01  0.19968E+01  0.20293E+01  0.20472E+01  0.20515E+01  0.20543E+01  0.20638E+01  0.20759E+01  0.20789E+01  0.20852E+01  0.20855E+01  0.21056E+01  0.21431E+01  0.21456E+01  0.21696E+01  0.22031E+01
