# NKPT   119 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     13   (0,1,0)/2
#     25   (1,1,0)/2
#     43   (0,0,0)/2
#     72   (0,0,1)/2
#     90   (1,1,1)/2
#    119   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.20933
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.41866
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.71470
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20577
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50181
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99288
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99288,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16036E+00  0.18503E+00  0.18589E+00  0.18589E+00  0.18882E+00  0.19995E+00  0.19995E+00  0.20637E+00  0.60075E+00  0.60350E+00  0.62054E+00  0.63558E+00  0.64163E+00  0.68369E+00  0.68369E+00  0.68739E+00  0.69089E+00  0.69374E+00  0.70019E+00  0.70019E+00  0.70717E+00  0.70717E+00  0.70788E+00  0.71370E+00  0.71457E+00  0.71457E+00  0.71690E+00  0.72189E+00  0.72189E+00  0.72934E+00  0.74486E+00  0.74511E+00  0.74511E+00  0.74911E+00  0.74911E+00  0.76665E+00  0.77043E+00  0.77956E+00  0.77975E+00  0.78087E+00  0.78879E+00  0.80684E+00  0.80788E+00  0.80788E+00  0.81137E+00  0.81154E+00  0.81154E+00  0.82121E+00  0.82506E+00  0.82900E+00  0.82900E+00  0.90713E+00  0.10092E+01  0.11264E+01  0.11275E+01  0.11622E+01  0.12563E+01  0.12563E+01  0.12814E+01  0.12814E+01  0.13052E+01  0.13067E+01  0.13101E+01  0.13127E+01  0.13259E+01  0.13302E+01  0.13302E+01  0.13331E+01  0.13331E+01  0.13357E+01  0.13413E+01  0.13450E+01  0.13450E+01  0.13872E+01  0.13872E+01  0.13953E+01  0.13953E+01  0.13973E+01  0.13974E+01  0.14004E+01  0.14155E+01  0.14236E+01  0.14247E+01  0.14580E+01  0.14605E+01  0.14803E+01  0.14833E+01  0.14833E+01  0.15499E+01  0.15510E+01  0.16018E+01  0.16027E+01  0.16172E+01  0.16172E+01  0.16191E+01  0.16191E+01  0.16413E+01  0.16604E+01  0.16627E+01  0.16793E+01  0.16793E+01  0.16807E+01  0.16807E+01  0.17016E+01  0.17344E+01  0.17416E+01  0.17416E+01  0.17623E+01  0.17623E+01  0.18649E+01  0.18661E+01  0.18661E+01  0.18814E+01  0.18814E+01  0.19304E+01  0.19313E+01  0.19608E+01  0.20108E+01  0.20164E+01  0.20164E+01  0.20190E+01  0.20192E+01  0.20327E+01  0.20806E+01  0.20811E+01  0.20874E+01  0.20874E+01  0.20954E+01  0.20954E+01  0.21114E+01  0.21760E+01  0.21770E+01  0.21904E+01  0.21904E+01
  0.17444E-01 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16042E+00  0.18447E+00  0.18590E+00  0.18617E+00  0.18904E+00  0.19993E+00  0.19995E+00  0.20636E+00  0.60083E+00  0.60368E+00  0.62066E+00  0.63565E+00  0.64176E+00  0.68370E+00  0.68374E+00  0.68725E+00  0.69083E+00  0.69354E+00  0.69780E+00  0.70024E+00  0.70718E+00  0.70721E+00  0.70975E+00  0.71373E+00  0.71445E+00  0.71456E+00  0.71713E+00  0.72082E+00  0.72188E+00  0.72919E+00  0.74489E+00  0.74493E+00  0.74512E+00  0.74919E+00  0.74951E+00  0.76676E+00  0.77059E+00  0.77968E+00  0.77977E+00  0.78152E+00  0.78939E+00  0.80686E+00  0.80776E+00  0.80790E+00  0.81134E+00  0.81135E+00  0.81155E+00  0.82118E+00  0.82497E+00  0.82889E+00  0.82897E+00  0.90682E+00  0.10096E+01  0.11259E+01  0.11273E+01  0.11620E+01  0.12564E+01  0.12569E+01  0.12813E+01  0.12813E+01  0.13053E+01  0.13068E+01  0.13102E+01  0.13127E+01  0.13259E+01  0.13302E+01  0.13302E+01  0.13325E+01  0.13329E+01  0.13357E+01  0.13412E+01  0.13449E+01  0.13452E+01  0.13872E+01  0.13874E+01  0.13952E+01  0.13953E+01  0.13970E+01  0.13971E+01  0.14003E+01  0.14155E+01  0.14243E+01  0.14249E+01  0.14577E+01  0.14602E+01  0.14806E+01  0.14828E+01  0.14836E+01  0.15483E+01  0.15504E+01  0.15979E+01  0.15994E+01  0.16159E+01  0.16200E+01  0.16214E+01  0.16234E+01  0.16416E+01  0.16612E+01  0.16633E+01  0.16778E+01  0.16798E+01  0.16811E+01  0.16816E+01  0.17031E+01  0.17340E+01  0.17417E+01  0.17418E+01  0.17620E+01  0.17622E+01  0.18594E+01  0.18666E+01  0.18667E+01  0.18806E+01  0.18875E+01  0.19308E+01  0.19318E+01  0.19590E+01  0.20111E+01  0.20168E+01  0.20169E+01  0.20181E+01  0.20191E+01  0.20334E+01  0.20794E+01  0.20803E+01  0.20844E+01  0.20874E+01  0.20950E+01  0.20956E+01  0.21115E+01  0.21750E+01  0.21799E+01  0.21905E+01  0.21911E+01
  0.34889E-01 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16059E+00  0.18343E+00  0.18593E+00  0.18650E+00  0.18958E+00  0.19990E+00  0.19995E+00  0.20634E+00  0.60104E+00  0.60428E+00  0.62101E+00  0.63587E+00  0.64214E+00  0.68371E+00  0.68386E+00  0.68680E+00  0.69041E+00  0.69306E+00  0.69360E+00  0.70037E+00  0.70718E+00  0.70733E+00  0.71208E+00  0.71387E+00  0.71412E+00  0.71456E+00  0.71717E+00  0.71909E+00  0.72186E+00  0.72879E+00  0.74438E+00  0.74496E+00  0.74512E+00  0.74942E+00  0.75066E+00  0.76709E+00  0.77107E+00  0.77984E+00  0.78005E+00  0.78283E+00  0.79156E+00  0.80691E+00  0.80744E+00  0.80797E+00  0.81079E+00  0.81125E+00  0.81157E+00  0.82109E+00  0.82469E+00  0.82856E+00  0.82887E+00  0.90588E+00  0.10109E+01  0.11240E+01  0.11274E+01  0.11615E+01  0.12565E+01  0.12586E+01  0.12809E+01  0.12812E+01  0.13056E+01  0.13070E+01  0.13105E+01  0.13128E+01  0.13259E+01  0.13299E+01  0.13302E+01  0.13310E+01  0.13324E+01  0.13357E+01  0.13410E+01  0.13445E+01  0.13458E+01  0.13870E+01  0.13881E+01  0.13950E+01  0.13952E+01  0.13962E+01  0.13966E+01  0.14000E+01  0.14157E+01  0.14253E+01  0.14264E+01  0.14565E+01  0.14594E+01  0.14812E+01  0.14812E+01  0.14846E+01  0.15433E+01  0.15498E+01  0.15902E+01  0.15934E+01  0.16127E+01  0.16258E+01  0.16273E+01  0.16315E+01  0.16424E+01  0.16623E+01  0.16654E+01  0.16746E+01  0.16810E+01  0.16823E+01  0.16842E+01  0.17065E+01  0.17328E+01  0.17420E+01  0.17425E+01  0.17613E+01  0.17619E+01  0.18502E+01  0.18680E+01  0.18682E+01  0.18781E+01  0.18986E+01  0.19314E+01  0.19338E+01  0.19537E+01  0.20119E+01  0.20151E+01  0.20181E+01  0.20184E+01  0.20186E+01  0.20355E+01  0.20739E+01  0.20772E+01  0.20793E+01  0.20873E+01  0.20937E+01  0.20959E+01  0.21117E+01  0.21709E+01  0.21885E+01  0.21908E+01  0.21933E+01
  0.52333E-01 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16088E+00  0.18222E+00  0.18598E+00  0.18677E+00  0.19022E+00  0.19984E+00  0.19997E+00  0.20631E+00  0.60128E+00  0.60535E+00  0.62157E+00  0.63627E+00  0.64278E+00  0.68372E+00  0.68407E+00  0.68595E+00  0.68726E+00  0.69153E+00  0.69248E+00  0.70050E+00  0.70719E+00  0.70752E+00  0.71133E+00  0.71359E+00  0.71386E+00  0.71455E+00  0.71508E+00  0.72148E+00  0.72182E+00  0.72827E+00  0.74355E+00  0.74501E+00  0.74512E+00  0.74978E+00  0.75237E+00  0.76756E+00  0.77187E+00  0.77995E+00  0.78064E+00  0.78384E+00  0.79562E+00  0.80669E+00  0.80722E+00  0.80807E+00  0.80998E+00  0.81112E+00  0.81161E+00  0.82094E+00  0.82427E+00  0.82801E+00  0.82872E+00  0.90432E+00  0.10130E+01  0.11205E+01  0.11277E+01  0.11607E+01  0.12569E+01  0.12612E+01  0.12802E+01  0.12810E+01  0.13060E+01  0.13073E+01  0.13110E+01  0.13130E+01  0.13260E+01  0.13285E+01  0.13295E+01  0.13302E+01  0.13316E+01  0.13355E+01  0.13407E+01  0.13440E+01  0.13467E+01  0.13867E+01  0.13891E+01  0.13947E+01  0.13948E+01  0.13951E+01  0.13956E+01  0.13997E+01  0.14159E+01  0.14261E+01  0.14297E+01  0.14546E+01  0.14582E+01  0.14788E+01  0.14822E+01  0.14861E+01  0.15362E+01  0.15488E+01  0.15817E+01  0.15867E+01  0.16086E+01  0.16322E+01  0.16348E+01  0.16404E+01  0.16438E+01  0.16620E+01  0.16672E+01  0.16746E+01  0.16830E+01  0.16842E+01  0.16884E+01  0.17106E+01  0.17308E+01  0.17425E+01  0.17436E+01  0.17600E+01  0.17614E+01  0.18408E+01  0.18703E+01  0.18708E+01  0.18740E+01  0.19110E+01  0.19320E+01  0.19369E+01  0.19461E+01  0.20103E+01  0.20133E+01  0.20168E+01  0.20204E+01  0.20208E+01  0.20389E+01  0.20655E+01  0.20690E+01  0.20773E+01  0.20872E+01  0.20917E+01  0.20963E+01  0.21125E+01  0.21644E+01  0.21914E+01  0.21970E+01  0.21999E+01
  0.69777E-01 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16129E+00  0.18093E+00  0.18605E+00  0.18703E+00  0.19083E+00  0.19977E+00  0.20001E+00  0.20626E+00  0.60150E+00  0.60695E+00  0.62229E+00  0.63688E+00  0.64365E+00  0.68207E+00  0.68374E+00  0.68434E+00  0.68463E+00  0.69122E+00  0.69200E+00  0.70058E+00  0.70654E+00  0.70720E+00  0.70777E+00  0.71290E+00  0.71376E+00  0.71453E+00  0.71504E+00  0.72177E+00  0.72498E+00  0.72775E+00  0.74252E+00  0.74505E+00  0.74512E+00  0.75024E+00  0.75446E+00  0.76811E+00  0.77294E+00  0.78011E+00  0.78141E+00  0.78443E+00  0.80076E+00  0.80591E+00  0.80742E+00  0.80821E+00  0.80930E+00  0.81093E+00  0.81166E+00  0.82071E+00  0.82373E+00  0.82726E+00  0.82851E+00  0.90214E+00  0.10159E+01  0.11160E+01  0.11283E+01  0.11596E+01  0.12573E+01  0.12646E+01  0.12794E+01  0.12810E+01  0.13064E+01  0.13078E+01  0.13117E+01  0.13135E+01  0.13252E+01  0.13261E+01  0.13289E+01  0.13301E+01  0.13305E+01  0.13354E+01  0.13401E+01  0.13434E+01  0.13479E+01  0.13863E+01  0.13906E+01  0.13929E+01  0.13944E+01  0.13945E+01  0.13950E+01  0.13992E+01  0.14161E+01  0.14270E+01  0.14343E+01  0.14518E+01  0.14569E+01  0.14758E+01  0.14838E+01  0.14883E+01  0.15281E+01  0.15471E+01  0.15731E+01  0.15796E+01  0.16044E+01  0.16388E+01  0.16408E+01  0.16469E+01  0.16496E+01  0.16578E+01  0.16707E+01  0.16791E+01  0.16857E+01  0.16868E+01  0.16942E+01  0.17146E+01  0.17281E+01  0.17431E+01  0.17449E+01  0.17584E+01  0.17608E+01  0.18317E+01  0.18683E+01  0.18735E+01  0.18739E+01  0.19242E+01  0.19302E+01  0.19359E+01  0.19437E+01  0.20037E+01  0.20124E+01  0.20151E+01  0.20235E+01  0.20241E+01  0.20438E+01  0.20558E+01  0.20619E+01  0.20742E+01  0.20871E+01  0.20888E+01  0.20964E+01  0.21142E+01  0.21561E+01  0.21922E+01  0.22022E+01  0.22039E+01
  0.87221E-01 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17689E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16179E+00  0.17959E+00  0.18612E+00  0.18731E+00  0.19133E+00  0.19968E+00  0.20008E+00  0.20620E+00  0.60169E+00  0.60905E+00  0.62313E+00  0.63775E+00  0.64475E+00  0.67656E+00  0.68286E+00  0.68377E+00  0.68467E+00  0.69104E+00  0.69169E+00  0.70060E+00  0.70083E+00  0.70722E+00  0.70807E+00  0.71211E+00  0.71379E+00  0.71452E+00  0.71509E+00  0.72170E+00  0.72729E+00  0.72858E+00  0.74138E+00  0.74506E+00  0.74513E+00  0.75075E+00  0.75673E+00  0.76868E+00  0.77422E+00  0.78030E+00  0.78230E+00  0.78484E+00  0.80404E+00  0.80488E+00  0.80778E+00  0.80838E+00  0.81070E+00  0.81112E+00  0.81172E+00  0.82034E+00  0.82317E+00  0.82633E+00  0.82827E+00  0.89937E+00  0.10195E+01  0.11105E+01  0.11291E+01  0.11582E+01  0.12579E+01  0.12684E+01  0.12784E+01  0.12813E+01  0.13066E+01  0.13085E+01  0.13125E+01  0.13142E+01  0.13214E+01  0.13262E+01  0.13282E+01  0.13291E+01  0.13299E+01  0.13352E+01  0.13394E+01  0.13429E+01  0.13495E+01  0.13859E+01  0.13906E+01  0.13924E+01  0.13931E+01  0.13942E+01  0.13948E+01  0.13986E+01  0.14162E+01  0.14281E+01  0.14399E+01  0.14483E+01  0.14554E+01  0.14724E+01  0.14857E+01  0.14910E+01  0.15197E+01  0.15443E+01  0.15646E+01  0.15725E+01  0.16010E+01  0.16433E+01  0.16455E+01  0.16513E+01  0.16519E+01  0.16587E+01  0.16785E+01  0.16850E+01  0.16889E+01  0.16901E+01  0.17014E+01  0.17181E+01  0.17248E+01  0.17438E+01  0.17463E+01  0.17568E+01  0.17602E+01  0.18232E+01  0.18610E+01  0.18772E+01  0.18776E+01  0.19198E+01  0.19351E+01  0.19380E+01  0.19492E+01  0.19958E+01  0.20045E+01  0.20173E+01  0.20274E+01  0.20282E+01  0.20439E+01  0.20498E+01  0.20594E+01  0.20697E+01  0.20852E+01  0.20871E+01  0.20957E+01  0.21171E+01  0.21466E+01  0.21934E+01  0.21955E+01  0.22090E+01
  0.10467E+00 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17688E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16240E+00  0.17824E+00  0.18621E+00  0.18763E+00  0.19169E+00  0.19958E+00  0.20019E+00  0.20613E+00  0.60186E+00  0.61161E+00  0.62400E+00  0.63895E+00  0.64604E+00  0.67096E+00  0.68077E+00  0.68379E+00  0.68505E+00  0.69055E+00  0.69153E+00  0.69524E+00  0.70055E+00  0.70723E+00  0.70838E+00  0.71128E+00  0.71385E+00  0.71450E+00  0.71509E+00  0.72162E+00  0.72694E+00  0.73200E+00  0.74020E+00  0.74506E+00  0.74513E+00  0.75128E+00  0.75905E+00  0.76925E+00  0.77561E+00  0.78052E+00  0.78331E+00  0.78523E+00  0.80343E+00  0.80365E+00  0.80831E+00  0.80856E+00  0.81044E+00  0.81181E+00  0.81709E+00  0.81982E+00  0.82265E+00  0.82522E+00  0.82801E+00  0.89602E+00  0.10238E+01  0.11044E+01  0.11299E+01  0.11567E+01  0.12585E+01  0.12722E+01  0.12773E+01  0.12821E+01  0.13064E+01  0.13093E+01  0.13135E+01  0.13151E+01  0.13173E+01  0.13263E+01  0.13273E+01  0.13276E+01  0.13297E+01  0.13350E+01  0.13385E+01  0.13424E+01  0.13514E+01  0.13855E+01  0.13879E+01  0.13917E+01  0.13942E+01  0.13947E+01  0.13947E+01  0.13980E+01  0.14160E+01  0.14292E+01  0.14444E+01  0.14463E+01  0.14538E+01  0.14692E+01  0.14882E+01  0.14943E+01  0.15113E+01  0.15403E+01  0.15564E+01  0.15653E+01  0.15988E+01  0.16444E+01  0.16458E+01  0.16521E+01  0.16543E+01  0.16676E+01  0.16895E+01  0.16917E+01  0.16924E+01  0.16939E+01  0.17098E+01  0.17209E+01  0.17210E+01  0.17446E+01  0.17469E+01  0.17558E+01  0.17595E+01  0.18152E+01  0.18524E+01  0.18792E+01  0.18824E+01  0.19079E+01  0.19350E+01  0.19524E+01  0.19562E+01  0.19868E+01  0.19944E+01  0.20200E+01  0.20303E+01  0.20321E+01  0.20331E+01  0.20571E+01  0.20611E+01  0.20640E+01  0.20809E+01  0.20871E+01  0.20938E+01  0.21215E+01  0.21364E+01  0.21848E+01  0.21950E+01  0.22171E+01
  0.12211E+00 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17688E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16308E+00  0.17690E+00  0.18630E+00  0.18796E+00  0.19190E+00  0.19949E+00  0.20034E+00  0.20605E+00  0.60200E+00  0.61461E+00  0.62481E+00  0.64053E+00  0.64748E+00  0.66537E+00  0.67849E+00  0.68382E+00  0.68544E+00  0.68763E+00  0.69146E+00  0.69215E+00  0.70046E+00  0.70725E+00  0.70866E+00  0.71050E+00  0.71392E+00  0.71448E+00  0.71505E+00  0.72153E+00  0.72670E+00  0.73512E+00  0.73906E+00  0.74505E+00  0.74514E+00  0.75176E+00  0.76128E+00  0.76978E+00  0.77701E+00  0.78077E+00  0.78441E+00  0.78568E+00  0.80172E+00  0.80223E+00  0.80875E+00  0.80900E+00  0.81014E+00  0.81193E+00  0.81913E+00  0.82225E+00  0.82397E+00  0.82421E+00  0.82774E+00  0.89214E+00  0.10287E+01  0.10977E+01  0.11309E+01  0.11551E+01  0.12592E+01  0.12757E+01  0.12761E+01  0.12836E+01  0.13058E+01  0.13102E+01  0.13125E+01  0.13145E+01  0.13169E+01  0.13259E+01  0.13264E+01  0.13264E+01  0.13294E+01  0.13349E+01  0.13376E+01  0.13421E+01  0.13536E+01  0.13848E+01  0.13852E+01  0.13902E+01  0.13945E+01  0.13945E+01  0.13973E+01  0.13974E+01  0.14154E+01  0.14301E+01  0.14404E+01  0.14522E+01  0.14535E+01  0.14664E+01  0.14912E+01  0.14981E+01  0.15032E+01  0.15350E+01  0.15484E+01  0.15582E+01  0.15979E+01  0.16391E+01  0.16459E+01  0.16560E+01  0.16586E+01  0.16759E+01  0.16961E+01  0.16966E+01  0.16980E+01  0.17045E+01  0.17167E+01  0.17192E+01  0.17231E+01  0.17454E+01  0.17457E+01  0.17566E+01  0.17590E+01  0.18076E+01  0.18425E+01  0.18750E+01  0.18880E+01  0.19009E+01  0.19345E+01  0.19641E+01  0.19671E+01  0.19770E+01  0.19839E+01  0.20160E+01  0.20232E+01  0.20375E+01  0.20387E+01  0.20572E+01  0.20653E+01  0.20656E+01  0.20761E+01  0.20868E+01  0.20901E+01  0.21258E+01  0.21272E+01  0.21727E+01  0.21971E+01  0.22089E+01
  0.13955E+00 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17688E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16382E+00  0.17561E+00  0.18638E+00  0.18831E+00  0.19198E+00  0.19940E+00  0.20051E+00  0.20597E+00  0.60211E+00  0.61797E+00  0.62552E+00  0.64248E+00  0.64902E+00  0.65988E+00  0.67617E+00  0.68235E+00  0.68384E+00  0.68583E+00  0.69146E+00  0.69166E+00  0.70034E+00  0.70726E+00  0.70874E+00  0.70996E+00  0.71399E+00  0.71447E+00  0.71499E+00  0.72145E+00  0.72654E+00  0.73788E+00  0.73802E+00  0.74503E+00  0.74514E+00  0.75216E+00  0.76329E+00  0.77027E+00  0.77829E+00  0.78104E+00  0.78564E+00  0.78624E+00  0.79976E+00  0.80068E+00  0.80894E+00  0.80984E+00  0.80988E+00  0.81207E+00  0.81834E+00  0.82197E+00  0.82262E+00  0.82748E+00  0.83151E+00  0.88777E+00  0.10342E+01  0.10908E+01  0.11320E+01  0.11535E+01  0.12599E+01  0.12749E+01  0.12786E+01  0.12862E+01  0.13045E+01  0.13084E+01  0.13113E+01  0.13156E+01  0.13185E+01  0.13241E+01  0.13253E+01  0.13265E+01  0.13290E+01  0.13347E+01  0.13367E+01  0.13419E+01  0.13560E+01  0.13818E+01  0.13848E+01  0.13889E+01  0.13943E+01  0.13953E+01  0.13969E+01  0.14003E+01  0.14141E+01  0.14303E+01  0.14369E+01  0.14505E+01  0.14613E+01  0.14647E+01  0.14946E+01  0.14955E+01  0.15025E+01  0.15285E+01  0.15407E+01  0.15511E+01  0.15984E+01  0.16329E+01  0.16469E+01  0.16569E+01  0.16651E+01  0.16835E+01  0.16997E+01  0.17023E+01  0.17025E+01  0.17120E+01  0.17193E+01  0.17251E+01  0.17293E+01  0.17430E+01  0.17462E+01  0.17587E+01  0.17590E+01  0.18006E+01  0.18315E+01  0.18621E+01  0.18944E+01  0.19018E+01  0.19332E+01  0.19668E+01  0.19728E+01  0.19745E+01  0.19821E+01  0.20020E+01  0.20269E+01  0.20438E+01  0.20449E+01  0.20495E+01  0.20700E+01  0.20720E+01  0.20754E+01  0.20844E+01  0.20860E+01  0.21152E+01  0.21344E+01  0.21597E+01  0.21888E+01  0.21999E+01
  0.15700E+00 -0.32506E+01 -0.32210E+01 -0.32210E+01 -0.31807E+01 -0.18289E+01 -0.18289E+01 -0.17973E+01 -0.17973E+01 -0.17969E+01 -0.17969E+01 -0.17934E+01 -0.17688E+01 -0.17688E+01 -0.17534E+01 -0.17534E+01 -0.17363E+01  0.16458E+00  0.17442E+00  0.18645E+00  0.18865E+00  0.19195E+00  0.19932E+00  0.20069E+00  0.20589E+00  0.60220E+00  0.62163E+00  0.62608E+00  0.64464E+00  0.65056E+00  0.65469E+00  0.67397E+00  0.67713E+00  0.68386E+00  0.68618E+00  0.69148E+00  0.69153E+00  0.70022E+00  0.70727E+00  0.70842E+00  0.70988E+00  0.71406E+00  0.71445E+00  0.71493E+00  0.72139E+00  0.72644E+00  0.73715E+00  0.74019E+00  0.74500E+00  0.74514E+00  0.75244E+00  0.76497E+00  0.77069E+00  0.77933E+00  0.78130E+00  0.78695E+00  0.78702E+00  0.79777E+00  0.79902E+00  0.80909E+00  0.80954E+00  0.81090E+00  0.81223E+00  0.81755E+00  0.82120E+00  0.82178E+00  0.82726E+00  0.83865E+00  0.88305E+00  0.10400E+01  0.10837E+01  0.11331E+01  0.11519E+01  0.12607E+01  0.12738E+01  0.12811E+01  0.12893E+01  0.13019E+01  0.13053E+01  0.13125E+01  0.13168E+01  0.13202E+01  0.13223E+01  0.13242E+01  0.13266E+01  0.13283E+01  0.13345E+01  0.13360E+01  0.13417E+01  0.13588E+01  0.13784E+01  0.13846E+01  0.13877E+01  0.13942E+01  0.13965E+01  0.13965E+01  0.14036E+01  0.14122E+01  0.14282E+01  0.14355E+01  0.14490E+01  0.14641E+01  0.14695E+01  0.14884E+01  0.14986E+01  0.15072E+01  0.15211E+01  0.15334E+01  0.15443E+01  0.16001E+01  0.16269E+01  0.16477E+01  0.16575E+01  0.16714E+01  0.16901E+01  0.17028E+01  0.17069E+01  0.17071E+01  0.17074E+01  0.17239E+01  0.17376E+01  0.17393E+01  0.17394E+01  0.17475E+01  0.17589E+01  0.17622E+01  0.17942E+01  0.18197E+01  0.18456E+01  0.19015E+01  0.19059E+01  0.19312E+01  0.19564E+01  0.19672E+01  0.19819E+01  0.19890E+01  0.19973E+01  0.20311E+01  0.20410E+01  0.20507E+01  0.20516E+01  0.20647E+01  0.20765E+01  0.20799E+01  0.20844E+01  0.20854E+01  0.21047E+01  0.21428E+01  0.21466E+01  0.21701E+01  0.22034E+01
