# NKPT   119 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     13   (0,1,0)/2
#     25   (1,1,0)/2
#     43   (0,0,0)/2
#     72   (0,0,1)/2
#     90   (1,1,1)/2
#    119   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.20933
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.41866
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.71470
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20577
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50181
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99288
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99288,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16109E+00  0.18550E+00  0.18709E+00  0.18722E+00  0.18989E+00  0.19601E+00  0.19981E+00  0.20610E+00  0.60333E+00  0.61018E+00  0.61683E+00  0.63276E+00  0.64358E+00  0.68836E+00  0.68924E+00  0.69386E+00  0.69628E+00  0.69743E+00  0.70038E+00  0.70137E+00  0.70244E+00  0.70341E+00  0.71017E+00  0.71144E+00  0.71371E+00  0.71991E+00  0.72201E+00  0.72535E+00  0.72930E+00  0.72947E+00  0.73014E+00  0.73051E+00  0.73989E+00  0.74913E+00  0.74927E+00  0.76809E+00  0.77144E+00  0.77763E+00  0.78092E+00  0.78210E+00  0.78517E+00  0.80632E+00  0.80750E+00  0.81106E+00  0.81129E+00  0.81231E+00  0.81476E+00  0.81565E+00  0.82425E+00  0.82460E+00  0.82838E+00  0.90615E+00  0.10095E+01  0.11266E+01  0.11282E+01  0.11608E+01  0.12564E+01  0.12574E+01  0.12805E+01  0.12816E+01  0.13053E+01  0.13067E+01  0.13100E+01  0.13127E+01  0.13281E+01  0.13303E+01  0.13303E+01  0.13329E+01  0.13332E+01  0.13358E+01  0.13395E+01  0.13451E+01  0.13452E+01  0.13872E+01  0.13873E+01  0.13952E+01  0.13954E+01  0.13973E+01  0.13974E+01  0.14005E+01  0.14157E+01  0.14237E+01  0.14250E+01  0.14587E+01  0.14591E+01  0.14805E+01  0.14832E+01  0.14834E+01  0.15503E+01  0.15506E+01  0.16022E+01  0.16024E+01  0.16171E+01  0.16174E+01  0.16192E+01  0.16198E+01  0.16426E+01  0.16602E+01  0.16625E+01  0.16787E+01  0.16792E+01  0.16809E+01  0.16813E+01  0.17006E+01  0.17343E+01  0.17418E+01  0.17426E+01  0.17613E+01  0.17618E+01  0.18649E+01  0.18662E+01  0.18662E+01  0.18813E+01  0.18813E+01  0.19311E+01  0.19313E+01  0.19604E+01  0.20109E+01  0.20164E+01  0.20164E+01  0.20192E+01  0.20192E+01  0.20328E+01  0.20806E+01  0.20813E+01  0.20874E+01  0.20874E+01  0.20954E+01  0.20955E+01  0.21114E+01  0.21764E+01  0.21765E+01  0.21902E+01  0.21904E+01
  0.17444E-01 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16116E+00  0.18498E+00  0.18666E+00  0.18810E+00  0.18991E+00  0.19599E+00  0.19982E+00  0.20609E+00  0.60358E+00  0.61025E+00  0.61681E+00  0.63292E+00  0.64373E+00  0.68843E+00  0.68890E+00  0.69388E+00  0.69631E+00  0.69741E+00  0.69759E+00  0.70215E+00  0.70249E+00  0.70341E+00  0.71003E+00  0.71322E+00  0.71378E+00  0.71991E+00  0.72074E+00  0.72514E+00  0.72945E+00  0.72947E+00  0.73013E+00  0.73050E+00  0.73968E+00  0.74934E+00  0.74957E+00  0.76828E+00  0.77149E+00  0.77777E+00  0.78091E+00  0.78211E+00  0.78642E+00  0.80635E+00  0.80738E+00  0.81107E+00  0.81108E+00  0.81235E+00  0.81474E+00  0.81565E+00  0.82419E+00  0.82449E+00  0.82827E+00  0.90583E+00  0.10099E+01  0.11259E+01  0.11283E+01  0.11606E+01  0.12569E+01  0.12574E+01  0.12803E+01  0.12816E+01  0.13054E+01  0.13068E+01  0.13101E+01  0.13127E+01  0.13281E+01  0.13302E+01  0.13303E+01  0.13324E+01  0.13331E+01  0.13358E+01  0.13395E+01  0.13450E+01  0.13453E+01  0.13871E+01  0.13875E+01  0.13951E+01  0.13954E+01  0.13971E+01  0.13972E+01  0.14005E+01  0.14158E+01  0.14244E+01  0.14252E+01  0.14585E+01  0.14586E+01  0.14807E+01  0.14827E+01  0.14837E+01  0.15484E+01  0.15504E+01  0.15981E+01  0.15994E+01  0.16161E+01  0.16200E+01  0.16214E+01  0.16239E+01  0.16428E+01  0.16604E+01  0.16638E+01  0.16774E+01  0.16791E+01  0.16817E+01  0.16817E+01  0.17022E+01  0.17339E+01  0.17420E+01  0.17428E+01  0.17612E+01  0.17615E+01  0.18594E+01  0.18666E+01  0.18667E+01  0.18805E+01  0.18874E+01  0.19315E+01  0.19318E+01  0.19585E+01  0.20112E+01  0.20168E+01  0.20169E+01  0.20182E+01  0.20191E+01  0.20335E+01  0.20797E+01  0.20803E+01  0.20843E+01  0.20874E+01  0.20950E+01  0.20956E+01  0.21115E+01  0.21751E+01  0.21797E+01  0.21905E+01  0.21910E+01
  0.34889E-01 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16135E+00  0.18384E+00  0.18662E+00  0.18910E+00  0.18999E+00  0.19591E+00  0.19983E+00  0.20605E+00  0.60434E+00  0.61046E+00  0.61678E+00  0.63341E+00  0.64416E+00  0.68792E+00  0.68864E+00  0.69296E+00  0.69393E+00  0.69639E+00  0.69737E+00  0.70240E+00  0.70262E+00  0.70341E+00  0.70962E+00  0.71400E+00  0.71676E+00  0.71753E+00  0.71992E+00  0.72460E+00  0.72949E+00  0.72975E+00  0.73012E+00  0.73049E+00  0.73906E+00  0.74955E+00  0.75082E+00  0.76885E+00  0.77165E+00  0.77819E+00  0.78088E+00  0.78213E+00  0.78992E+00  0.80641E+00  0.80704E+00  0.81049E+00  0.81108E+00  0.81249E+00  0.81468E+00  0.81562E+00  0.82402E+00  0.82416E+00  0.82793E+00  0.90486E+00  0.10112E+01  0.11237E+01  0.11286E+01  0.11601E+01  0.12577E+01  0.12586E+01  0.12799E+01  0.12815E+01  0.13057E+01  0.13070E+01  0.13105E+01  0.13128E+01  0.13282E+01  0.13300E+01  0.13303E+01  0.13308E+01  0.13326E+01  0.13357E+01  0.13394E+01  0.13445E+01  0.13458E+01  0.13870E+01  0.13881E+01  0.13951E+01  0.13952E+01  0.13962E+01  0.13967E+01  0.14002E+01  0.14159E+01  0.14257E+01  0.14264E+01  0.14572E+01  0.14579E+01  0.14812E+01  0.14813E+01  0.14847E+01  0.15432E+01  0.15499E+01  0.15903E+01  0.15934E+01  0.16129E+01  0.16258E+01  0.16274E+01  0.16320E+01  0.16435E+01  0.16611E+01  0.16673E+01  0.16731E+01  0.16804E+01  0.16829E+01  0.16843E+01  0.17058E+01  0.17327E+01  0.17427E+01  0.17431E+01  0.17607E+01  0.17609E+01  0.18501E+01  0.18680E+01  0.18683E+01  0.18780E+01  0.18985E+01  0.19322E+01  0.19339E+01  0.19533E+01  0.20120E+01  0.20151E+01  0.20182E+01  0.20184E+01  0.20187E+01  0.20356E+01  0.20747E+01  0.20765E+01  0.20792E+01  0.20873E+01  0.20938E+01  0.20960E+01  0.21117E+01  0.21709E+01  0.21884E+01  0.21908E+01  0.21932E+01
  0.52333E-01 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16166E+00  0.18251E+00  0.18673E+00  0.19002E+00  0.19012E+00  0.19577E+00  0.19986E+00  0.20599E+00  0.60560E+00  0.61079E+00  0.61672E+00  0.63423E+00  0.64487E+00  0.68639E+00  0.68771E+00  0.68898E+00  0.69401E+00  0.69653E+00  0.69731E+00  0.70237E+00  0.70276E+00  0.70340E+00  0.70896E+00  0.71268E+00  0.71437E+00  0.71994E+00  0.72093E+00  0.72385E+00  0.72951E+00  0.73007E+00  0.73010E+00  0.73047E+00  0.73809E+00  0.74988E+00  0.75271E+00  0.76974E+00  0.77191E+00  0.77885E+00  0.78082E+00  0.78219E+00  0.79501E+00  0.80629E+00  0.80671E+00  0.80959E+00  0.81111E+00  0.81272E+00  0.81459E+00  0.81558E+00  0.82363E+00  0.82375E+00  0.82738E+00  0.90325E+00  0.10133E+01  0.11202E+01  0.11292E+01  0.11592E+01  0.12580E+01  0.12613E+01  0.12792E+01  0.12813E+01  0.13061E+01  0.13074E+01  0.13110E+01  0.13131E+01  0.13283E+01  0.13284E+01  0.13296E+01  0.13302E+01  0.13317E+01  0.13356E+01  0.13393E+01  0.13438E+01  0.13467E+01  0.13867E+01  0.13892E+01  0.13948E+01  0.13949E+01  0.13950E+01  0.13958E+01  0.13998E+01  0.14161E+01  0.14265E+01  0.14298E+01  0.14550E+01  0.14570E+01  0.14788E+01  0.14824E+01  0.14862E+01  0.15361E+01  0.15489E+01  0.15818E+01  0.15866E+01  0.16087E+01  0.16322E+01  0.16353E+01  0.16410E+01  0.16444E+01  0.16615E+01  0.16691E+01  0.16724E+01  0.16823E+01  0.16849E+01  0.16886E+01  0.17100E+01  0.17307E+01  0.17436E+01  0.17438E+01  0.17595E+01  0.17603E+01  0.18407E+01  0.18704E+01  0.18708E+01  0.18739E+01  0.19109E+01  0.19331E+01  0.19368E+01  0.19455E+01  0.20103E+01  0.20134E+01  0.20169E+01  0.20204E+01  0.20208E+01  0.20390E+01  0.20669E+01  0.20678E+01  0.20772E+01  0.20872E+01  0.20917E+01  0.20963E+01  0.21125E+01  0.21645E+01  0.21914E+01  0.21969E+01  0.21998E+01
  0.69777E-01 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16210E+00  0.18110E+00  0.18691E+00  0.19029E+00  0.19081E+00  0.19559E+00  0.19992E+00  0.20591E+00  0.60736E+00  0.61122E+00  0.61664E+00  0.63542E+00  0.64585E+00  0.68217E+00  0.68441E+00  0.68945E+00  0.69413E+00  0.69672E+00  0.69721E+00  0.70197E+00  0.70284E+00  0.70338E+00  0.70748E+00  0.70808E+00  0.71488E+00  0.71997E+00  0.72306E+00  0.72465E+00  0.72954E+00  0.73005E+00  0.73044E+00  0.73064E+00  0.73685E+00  0.75030E+00  0.75505E+00  0.77085E+00  0.77226E+00  0.77972E+00  0.78072E+00  0.78231E+00  0.80076E+00  0.80552E+00  0.80691E+00  0.80882E+00  0.81116E+00  0.81303E+00  0.81448E+00  0.81553E+00  0.82291E+00  0.82337E+00  0.82663E+00  0.90100E+00  0.10163E+01  0.11157E+01  0.11299E+01  0.11580E+01  0.12586E+01  0.12646E+01  0.12783E+01  0.12813E+01  0.13064E+01  0.13079E+01  0.13117E+01  0.13135E+01  0.13251E+01  0.13284E+01  0.13290E+01  0.13301E+01  0.13306E+01  0.13353E+01  0.13391E+01  0.13429E+01  0.13479E+01  0.13863E+01  0.13906E+01  0.13930E+01  0.13946E+01  0.13946E+01  0.13949E+01  0.13993E+01  0.14163E+01  0.14275E+01  0.14344E+01  0.14520E+01  0.14558E+01  0.14757E+01  0.14839E+01  0.14884E+01  0.15280E+01  0.15472E+01  0.15733E+01  0.15796E+01  0.16046E+01  0.16388E+01  0.16430E+01  0.16454E+01  0.16501E+01  0.16581E+01  0.16708E+01  0.16782E+01  0.16850E+01  0.16876E+01  0.16944E+01  0.17141E+01  0.17281E+01  0.17443E+01  0.17451E+01  0.17579E+01  0.17597E+01  0.18316E+01  0.18681E+01  0.18736E+01  0.18740E+01  0.19241E+01  0.19323E+01  0.19340E+01  0.19439E+01  0.20038E+01  0.20124E+01  0.20152E+01  0.20235E+01  0.20241E+01  0.20439E+01  0.20565E+01  0.20614E+01  0.20740E+01  0.20871E+01  0.20888E+01  0.20964E+01  0.21142E+01  0.21562E+01  0.21923E+01  0.22022E+01  0.22041E+01
  0.87221E-01 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16265E+00  0.17965E+00  0.18714E+00  0.19051E+00  0.19143E+00  0.19537E+00  0.20003E+00  0.20581E+00  0.60958E+00  0.61172E+00  0.61653E+00  0.63698E+00  0.64711E+00  0.67646E+00  0.68209E+00  0.69006E+00  0.69427E+00  0.69696E+00  0.69710E+00  0.69937E+00  0.70281E+00  0.70336E+00  0.70402E+00  0.70702E+00  0.71554E+00  0.72000E+00  0.72233E+00  0.72738E+00  0.72957E+00  0.73001E+00  0.73040E+00  0.73195E+00  0.73540E+00  0.75074E+00  0.75765E+00  0.77208E+00  0.77271E+00  0.78056E+00  0.78076E+00  0.78251E+00  0.80398E+00  0.80447E+00  0.80730E+00  0.81095E+00  0.81122E+00  0.81343E+00  0.81436E+00  0.81546E+00  0.82203E+00  0.82290E+00  0.82568E+00  0.89813E+00  0.10199E+01  0.11102E+01  0.11308E+01  0.11565E+01  0.12592E+01  0.12684E+01  0.12772E+01  0.12815E+01  0.13066E+01  0.13085E+01  0.13125E+01  0.13142E+01  0.13212E+01  0.13283E+01  0.13286E+01  0.13293E+01  0.13300E+01  0.13350E+01  0.13388E+01  0.13419E+01  0.13495E+01  0.13859E+01  0.13906E+01  0.13925E+01  0.13932E+01  0.13943E+01  0.13947E+01  0.13987E+01  0.14164E+01  0.14286E+01  0.14399E+01  0.14485E+01  0.14543E+01  0.14724E+01  0.14859E+01  0.14912E+01  0.15196E+01  0.15444E+01  0.15648E+01  0.15724E+01  0.16012E+01  0.16455E+01  0.16464E+01  0.16485E+01  0.16523E+01  0.16593E+01  0.16785E+01  0.16844E+01  0.16881E+01  0.16909E+01  0.17016E+01  0.17176E+01  0.17248E+01  0.17451E+01  0.17463E+01  0.17563E+01  0.17589E+01  0.18230E+01  0.18609E+01  0.18773E+01  0.18776E+01  0.19203E+01  0.19347E+01  0.19380E+01  0.19495E+01  0.19959E+01  0.20045E+01  0.20174E+01  0.20274E+01  0.20282E+01  0.20441E+01  0.20500E+01  0.20593E+01  0.20696E+01  0.20851E+01  0.20871E+01  0.20957E+01  0.21172E+01  0.21467E+01  0.21935E+01  0.21956E+01  0.22089E+01
  0.10467E+00 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16332E+00  0.17818E+00  0.18740E+00  0.19077E+00  0.19189E+00  0.19510E+00  0.20019E+00  0.20569E+00  0.61198E+00  0.61255E+00  0.61640E+00  0.63895E+00  0.64862E+00  0.67066E+00  0.67951E+00  0.69079E+00  0.69381E+00  0.69444E+00  0.69696E+00  0.69725E+00  0.70267E+00  0.70332E+00  0.70338E+00  0.70581E+00  0.71633E+00  0.72003E+00  0.72172E+00  0.72861E+00  0.72962E+00  0.72996E+00  0.73035E+00  0.73381E+00  0.73449E+00  0.75115E+00  0.76039E+00  0.77315E+00  0.77339E+00  0.78030E+00  0.78194E+00  0.78284E+00  0.80300E+00  0.80321E+00  0.80784E+00  0.81131E+00  0.81391E+00  0.81424E+00  0.81539E+00  0.81744E+00  0.82103E+00  0.82235E+00  0.82456E+00  0.89464E+00  0.10243E+01  0.11040E+01  0.11319E+01  0.11548E+01  0.12600E+01  0.12723E+01  0.12759E+01  0.12823E+01  0.13065E+01  0.13093E+01  0.13134E+01  0.13151E+01  0.13172E+01  0.13274E+01  0.13278E+01  0.13288E+01  0.13298E+01  0.13346E+01  0.13386E+01  0.13410E+01  0.13514E+01  0.13855E+01  0.13880E+01  0.13918E+01  0.13943E+01  0.13946E+01  0.13947E+01  0.13981E+01  0.14162E+01  0.14298E+01  0.14446E+01  0.14464E+01  0.14526E+01  0.14691E+01  0.14884E+01  0.14945E+01  0.15112E+01  0.15404E+01  0.15565E+01  0.15652E+01  0.15990E+01  0.16457E+01  0.16476E+01  0.16517E+01  0.16521E+01  0.16682E+01  0.16902E+01  0.16906E+01  0.16916E+01  0.16947E+01  0.17100E+01  0.17205E+01  0.17209E+01  0.17460E+01  0.17466E+01  0.17557E+01  0.17582E+01  0.18149E+01  0.18522E+01  0.18792E+01  0.18825E+01  0.19081E+01  0.19350E+01  0.19523E+01  0.19565E+01  0.19868E+01  0.19944E+01  0.20201E+01  0.20304E+01  0.20321E+01  0.20331E+01  0.20573E+01  0.20611E+01  0.20638E+01  0.20808E+01  0.20871E+01  0.20938E+01  0.21216E+01  0.21364E+01  0.21850E+01  0.21951E+01  0.22171E+01
  0.12211E+00 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16410E+00  0.17671E+00  0.18769E+00  0.19106E+00  0.19219E+00  0.19479E+00  0.20040E+00  0.20555E+00  0.61271E+00  0.61550E+00  0.61624E+00  0.64134E+00  0.65038E+00  0.66484E+00  0.67674E+00  0.68773E+00  0.69164E+00  0.69462E+00  0.69679E+00  0.69758E+00  0.70242E+00  0.70320E+00  0.70333E+00  0.70449E+00  0.71726E+00  0.72007E+00  0.72124E+00  0.72907E+00  0.72967E+00  0.72991E+00  0.73030E+00  0.73213E+00  0.73750E+00  0.75146E+00  0.76316E+00  0.77373E+00  0.77450E+00  0.77993E+00  0.78329E+00  0.78334E+00  0.80104E+00  0.80177E+00  0.80857E+00  0.81144E+00  0.81414E+00  0.81446E+00  0.81531E+00  0.81995E+00  0.82172E+00  0.82329E+00  0.82493E+00  0.89056E+00  0.10292E+01  0.10973E+01  0.11332E+01  0.11529E+01  0.12609E+01  0.12745E+01  0.12758E+01  0.12838E+01  0.13059E+01  0.13103E+01  0.13123E+01  0.13145E+01  0.13169E+01  0.13261E+01  0.13265E+01  0.13290E+01  0.13295E+01  0.13341E+01  0.13384E+01  0.13401E+01  0.13536E+01  0.13849E+01  0.13852E+01  0.13904E+01  0.13945E+01  0.13947E+01  0.13974E+01  0.13975E+01  0.14156E+01  0.14308E+01  0.14407E+01  0.14508E+01  0.14536E+01  0.14664E+01  0.14913E+01  0.14983E+01  0.15031E+01  0.15350E+01  0.15485E+01  0.15581E+01  0.15982E+01  0.16393E+01  0.16487E+01  0.16532E+01  0.16587E+01  0.16767E+01  0.16951E+01  0.16966E+01  0.16990E+01  0.17043E+01  0.17166E+01  0.17195E+01  0.17227E+01  0.17450E+01  0.17470E+01  0.17568E+01  0.17575E+01  0.18073E+01  0.18422E+01  0.18750E+01  0.18881E+01  0.19011E+01  0.19345E+01  0.19645E+01  0.19671E+01  0.19771E+01  0.19840E+01  0.20161E+01  0.20233E+01  0.20376E+01  0.20387E+01  0.20569E+01  0.20656E+01  0.20656E+01  0.20759E+01  0.20868E+01  0.20901E+01  0.21258E+01  0.21273E+01  0.21728E+01  0.21972E+01  0.22089E+01
  0.13955E+00 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16497E+00  0.17526E+00  0.18799E+00  0.19139E+00  0.19233E+00  0.19445E+00  0.20064E+00  0.20540E+00  0.61324E+00  0.61606E+00  0.61906E+00  0.64416E+00  0.65237E+00  0.65905E+00  0.67386E+00  0.68169E+00  0.69261E+00  0.69483E+00  0.69661E+00  0.69796E+00  0.70207E+00  0.70311E+00  0.70316E+00  0.70331E+00  0.71831E+00  0.72010E+00  0.72088E+00  0.72928E+00  0.72972E+00  0.72986E+00  0.73024E+00  0.73041E+00  0.74042E+00  0.75158E+00  0.76586E+00  0.77431E+00  0.77542E+00  0.77939E+00  0.78407E+00  0.78479E+00  0.79881E+00  0.80016E+00  0.80948E+00  0.81162E+00  0.81406E+00  0.81507E+00  0.81523E+00  0.81885E+00  0.82104E+00  0.82191E+00  0.83261E+00  0.88590E+00  0.10348E+01  0.10902E+01  0.11346E+01  0.11509E+01  0.12620E+01  0.12731E+01  0.12788E+01  0.12863E+01  0.13046E+01  0.13082E+01  0.13113E+01  0.13156E+01  0.13185E+01  0.13243E+01  0.13254E+01  0.13290E+01  0.13293E+01  0.13335E+01  0.13382E+01  0.13395E+01  0.13561E+01  0.13818E+01  0.13847E+01  0.13890E+01  0.13943E+01  0.13954E+01  0.13970E+01  0.14003E+01  0.14143E+01  0.14307E+01  0.14378E+01  0.14489E+01  0.14614E+01  0.14647E+01  0.14948E+01  0.14953E+01  0.15027E+01  0.15286E+01  0.15408E+01  0.15510E+01  0.15987E+01  0.16330E+01  0.16499E+01  0.16540E+01  0.16651E+01  0.16845E+01  0.16985E+01  0.17023E+01  0.17037E+01  0.17119E+01  0.17191E+01  0.17249E+01  0.17296E+01  0.17419E+01  0.17479E+01  0.17571E+01  0.17595E+01  0.18002E+01  0.18312E+01  0.18622E+01  0.18944E+01  0.19019E+01  0.19333E+01  0.19668E+01  0.19732E+01  0.19747E+01  0.19821E+01  0.20020E+01  0.20270E+01  0.20438E+01  0.20449E+01  0.20491E+01  0.20704E+01  0.20721E+01  0.20750E+01  0.20844E+01  0.20860E+01  0.21152E+01  0.21345E+01  0.21598E+01  0.21889E+01  0.21999E+01
  0.15700E+00 -0.32357E+01 -0.32357E+01 -0.32008E+01 -0.32008E+01 -0.18131E+01 -0.18131E+01 -0.18128E+01 -0.18128E+01 -0.17810E+01 -0.17810E+01 -0.17753E+01 -0.17753E+01 -0.17751E+01 -0.17751E+01 -0.17525E+01 -0.17525E+01  0.16593E+00  0.17384E+00  0.18827E+00  0.19175E+00  0.19237E+00  0.19409E+00  0.20089E+00  0.20526E+00  0.61374E+00  0.61584E+00  0.62302E+00  0.64741E+00  0.65333E+00  0.65457E+00  0.67093E+00  0.67584E+00  0.69368E+00  0.69505E+00  0.69641E+00  0.69836E+00  0.70165E+00  0.70168E+00  0.70315E+00  0.70328E+00  0.71949E+00  0.72013E+00  0.72064E+00  0.72870E+00  0.72942E+00  0.72978E+00  0.72981E+00  0.73018E+00  0.74307E+00  0.75145E+00  0.76841E+00  0.77488E+00  0.77605E+00  0.77866E+00  0.78506E+00  0.78647E+00  0.79650E+00  0.79842E+00  0.81056E+00  0.81184E+00  0.81403E+00  0.81516E+00  0.81574E+00  0.81777E+00  0.82031E+00  0.82045E+00  0.84028E+00  0.88069E+00  0.10408E+01  0.10830E+01  0.11363E+01  0.11487E+01  0.12631E+01  0.12716E+01  0.12814E+01  0.12894E+01  0.13017E+01  0.13053E+01  0.13126E+01  0.13167E+01  0.13202E+01  0.13225E+01  0.13244E+01  0.13284E+01  0.13296E+01  0.13329E+01  0.13380E+01  0.13389E+01  0.13588E+01  0.13785E+01  0.13845E+01  0.13879E+01  0.13942E+01  0.13965E+01  0.13967E+01  0.14037E+01  0.14124E+01  0.14282E+01  0.14372E+01  0.14470E+01  0.14642E+01  0.14696E+01  0.14882E+01  0.14988E+01  0.15075E+01  0.15212E+01  0.15335E+01  0.15441E+01  0.16005E+01  0.16269E+01  0.16509E+01  0.16543E+01  0.16715E+01  0.16914E+01  0.17014E+01  0.17068E+01  0.17074E+01  0.17086E+01  0.17234E+01  0.17376E+01  0.17380E+01  0.17399E+01  0.17488E+01  0.17575E+01  0.17629E+01  0.17936E+01  0.18194E+01  0.18456E+01  0.19015E+01  0.19060E+01  0.19312E+01  0.19565E+01  0.19673E+01  0.19825E+01  0.19889E+01  0.19973E+01  0.20313E+01  0.20405E+01  0.20507E+01  0.20516E+01  0.20647E+01  0.20765E+01  0.20799E+01  0.20843E+01  0.20854E+01  0.21047E+01  0.21430E+01  0.21467E+01  0.21701E+01  0.22034E+01
