# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77654E+00 -0.75658E+00 -0.74457E+00 -0.74320E+00 -0.73992E+00 -0.73366E+00 -0.71677E+00 -0.71342E+00 -0.35011E+00 -0.32078E+00 -0.31705E+00 -0.29902E+00 -0.26448E+00 -0.26122E+00 -0.25480E+00 -0.25234E+00 -0.24993E+00 -0.24890E+00 -0.24277E+00 -0.24017E+00 -0.23971E+00 -0.22847E+00 -0.22683E+00 -0.20377E+00 -0.20203E+00 -0.19079E+00 -0.18874E+00 -0.18200E+00 -0.18120E+00 -0.18087E+00 -0.18017E+00 -0.17755E+00 -0.17406E+00 -0.16496E+00 -0.15951E+00 -0.15857E+00 -0.15288E+00 -0.15168E+00 -0.14797E+00 -0.13641E+00 -0.12412E+00 -0.11630E+00 -0.11407E+00 -0.11297E+00 -0.10628E+00 -0.10599E+00 -0.10339E+00 -0.97387E-01 -0.88187E-01 -0.79326E-01 -0.34252E-01  0.55254E-01  0.63453E-01  0.17013E+00  0.18379E+00  0.21550E+00  0.29347E+00  0.29865E+00  0.32696E+00  0.33307E+00  0.34841E+00  0.34971E+00  0.35114E+00  0.35310E+00  0.35322E+00  0.36490E+00  0.36744E+00  0.36746E+00  0.37650E+00  0.37735E+00  0.37884E+00  0.37939E+00  0.37952E+00  0.42185E+00  0.42200E+00  0.43550E+00  0.43566E+00  0.43776E+00  0.43862E+00  0.43998E+00  0.45211E+00  0.45693E+00  0.47144E+00  0.49614E+00  0.49824E+00  0.52647E+00  0.53778E+00  0.53881E+00  0.58865E+00  0.59090E+00  0.65576E+00  0.65702E+00  0.66444E+00  0.66900E+00  0.67110E+00  0.67203E+00  0.68233E+00  0.70055E+00  0.71041E+00  0.71348E+00  0.71501E+00  0.72159E+00  0.72485E+00  0.75250E+00  0.77061E+00  0.77358E+00  0.77856E+00  0.80461E+00  0.80502E+00  0.89207E+00  0.90723E+00  0.90723E+00  0.92209E+00  0.92232E+00  0.97944E+00  0.98107E+00  0.10235E+01  0.10338E+01  0.10624E+01  0.10625E+01  0.10626E+01  0.10687E+01  0.10694E+01  0.11181E+01  0.11182E+01  0.11208E+01  0.11209E+01  0.11374E+01  0.11432E+01  0.11611E+01  0.12219E+01  0.12232E+01  0.12273E+01  0.12285E+01
  0.16279E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77651E+00 -0.75657E+00 -0.74477E+00 -0.74316E+00 -0.73975E+00 -0.73370E+00 -0.71677E+00 -0.71342E+00 -0.35011E+00 -0.32057E+00 -0.31694E+00 -0.29895E+00 -0.26448E+00 -0.26122E+00 -0.25478E+00 -0.25233E+00 -0.25004E+00 -0.24890E+00 -0.24277E+00 -0.24018E+00 -0.23981E+00 -0.22875E+00 -0.22731E+00 -0.20421E+00 -0.20168E+00 -0.19079E+00 -0.18875E+00 -0.18188E+00 -0.18102E+00 -0.18086E+00 -0.18050E+00 -0.17776E+00 -0.17394E+00 -0.16455E+00 -0.15951E+00 -0.15856E+00 -0.15275E+00 -0.15152E+00 -0.14797E+00 -0.13641E+00 -0.12410E+00 -0.11571E+00 -0.11433E+00 -0.11297E+00 -0.10638E+00 -0.10614E+00 -0.10338E+00 -0.97468E-01 -0.88199E-01 -0.79337E-01 -0.34138E-01  0.55590E-01  0.63351E-01  0.17008E+00  0.18311E+00  0.21548E+00  0.29349E+00  0.29921E+00  0.32685E+00  0.33288E+00  0.34843E+00  0.34984E+00  0.35123E+00  0.35311E+00  0.35326E+00  0.36485E+00  0.36737E+00  0.36749E+00  0.37637E+00  0.37735E+00  0.37839E+00  0.37926E+00  0.37967E+00  0.42180E+00  0.42218E+00  0.43530E+00  0.43540E+00  0.43770E+00  0.43853E+00  0.44002E+00  0.45217E+00  0.45706E+00  0.47206E+00  0.49570E+00  0.49809E+00  0.52667E+00  0.53805E+00  0.53828E+00  0.58859E+00  0.58945E+00  0.65145E+00  0.65365E+00  0.66765E+00  0.67003E+00  0.67268E+00  0.67407E+00  0.68273E+00  0.70122E+00  0.71076E+00  0.71427E+00  0.71519E+00  0.72120E+00  0.72529E+00  0.75340E+00  0.77069E+00  0.77380E+00  0.77825E+00  0.80437E+00  0.80489E+00  0.88911E+00  0.90762E+00  0.90771E+00  0.92137E+00  0.92580E+00  0.97943E+00  0.98168E+00  0.10214E+01  0.10341E+01  0.10615E+01  0.10616E+01  0.10632E+01  0.10690E+01  0.10703E+01  0.11178E+01  0.11184E+01  0.11193E+01  0.11210E+01  0.11360E+01  0.11430E+01  0.11610E+01  0.12220E+01  0.12237E+01  0.12260E+01  0.12306E+01
  0.32558E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77642E+00 -0.75657E+00 -0.74532E+00 -0.74307E+00 -0.73933E+00 -0.73381E+00 -0.71677E+00 -0.71341E+00 -0.35011E+00 -0.31991E+00 -0.31663E+00 -0.29871E+00 -0.26448E+00 -0.26121E+00 -0.25474E+00 -0.25231E+00 -0.25041E+00 -0.24890E+00 -0.24277E+00 -0.24023E+00 -0.24008E+00 -0.22959E+00 -0.22863E+00 -0.20545E+00 -0.20071E+00 -0.19077E+00 -0.18877E+00 -0.18150E+00 -0.18140E+00 -0.18082E+00 -0.18052E+00 -0.17831E+00 -0.17363E+00 -0.16342E+00 -0.15951E+00 -0.15855E+00 -0.15238E+00 -0.15102E+00 -0.14797E+00 -0.13642E+00 -0.12405E+00 -0.11512E+00 -0.11408E+00 -0.11288E+00 -0.10667E+00 -0.10657E+00 -0.10337E+00 -0.97711E-01 -0.88235E-01 -0.79369E-01 -0.33810E-01  0.56594E-01  0.63049E-01  0.16992E+00  0.18109E+00  0.21543E+00  0.29355E+00  0.30086E+00  0.32656E+00  0.33231E+00  0.34847E+00  0.35022E+00  0.35143E+00  0.35318E+00  0.35340E+00  0.36471E+00  0.36719E+00  0.36759E+00  0.37598E+00  0.37704E+00  0.37733E+00  0.37886E+00  0.38014E+00  0.42165E+00  0.42270E+00  0.43460E+00  0.43472E+00  0.43751E+00  0.43830E+00  0.44009E+00  0.45234E+00  0.45742E+00  0.47390E+00  0.49441E+00  0.49767E+00  0.52729E+00  0.53673E+00  0.53886E+00  0.58547E+00  0.58841E+00  0.64336E+00  0.64899E+00  0.66417E+00  0.67656E+00  0.67818E+00  0.67853E+00  0.68436E+00  0.70214E+00  0.71181E+00  0.71581E+00  0.71662E+00  0.72088E+00  0.72663E+00  0.75577E+00  0.77093E+00  0.77444E+00  0.77734E+00  0.80366E+00  0.80453E+00  0.88257E+00  0.90878E+00  0.90914E+00  0.91922E+00  0.93391E+00  0.97934E+00  0.98352E+00  0.10157E+01  0.10348E+01  0.10588E+01  0.10590E+01  0.10651E+01  0.10701E+01  0.10727E+01  0.11154E+01  0.11169E+01  0.11190E+01  0.11213E+01  0.11317E+01  0.11423E+01  0.11608E+01  0.12223E+01  0.12223E+01  0.12254E+01  0.12363E+01
  0.48836E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77627E+00 -0.75655E+00 -0.74607E+00 -0.74291E+00 -0.73878E+00 -0.73399E+00 -0.71676E+00 -0.71339E+00 -0.35011E+00 -0.31883E+00 -0.31612E+00 -0.29834E+00 -0.26447E+00 -0.26120E+00 -0.25468E+00 -0.25226E+00 -0.25108E+00 -0.24891E+00 -0.24277E+00 -0.24065E+00 -0.24018E+00 -0.23105E+00 -0.23043E+00 -0.20729E+00 -0.19935E+00 -0.19075E+00 -0.18880E+00 -0.18265E+00 -0.18087E+00 -0.18076E+00 -0.17976E+00 -0.17907E+00 -0.17325E+00 -0.16178E+00 -0.15952E+00 -0.15853E+00 -0.15181E+00 -0.15019E+00 -0.14797E+00 -0.13643E+00 -0.12397E+00 -0.11639E+00 -0.11322E+00 -0.11107E+00 -0.10730E+00 -0.10716E+00 -0.10334E+00 -0.98109E-01 -0.88293E-01 -0.79421E-01 -0.33301E-01  0.58251E-01  0.62554E-01  0.16967E+00  0.17790E+00  0.21536E+00  0.29365E+00  0.30344E+00  0.32613E+00  0.33144E+00  0.34855E+00  0.35080E+00  0.35157E+00  0.35349E+00  0.35364E+00  0.36447E+00  0.36688E+00  0.36773E+00  0.37489E+00  0.37534E+00  0.37730E+00  0.37825E+00  0.38092E+00  0.42141E+00  0.42358E+00  0.43331E+00  0.43380E+00  0.43724E+00  0.43798E+00  0.44016E+00  0.45260E+00  0.45799E+00  0.47689E+00  0.49231E+00  0.49700E+00  0.52831E+00  0.53428E+00  0.54019E+00  0.57971E+00  0.58801E+00  0.63513E+00  0.64342E+00  0.65959E+00  0.68005E+00  0.68377E+00  0.68648E+00  0.68893E+00  0.70125E+00  0.71351E+00  0.71705E+00  0.72046E+00  0.72240E+00  0.72881E+00  0.75894E+00  0.77132E+00  0.77549E+00  0.77586E+00  0.80249E+00  0.80398E+00  0.87496E+00  0.91071E+00  0.91145E+00  0.91564E+00  0.94412E+00  0.97896E+00  0.98654E+00  0.10072E+01  0.10360E+01  0.10536E+01  0.10547E+01  0.10683E+01  0.10719E+01  0.10760E+01  0.11112E+01  0.11153E+01  0.11197E+01  0.11220E+01  0.11246E+01  0.11407E+01  0.11612E+01  0.12165E+01  0.12227E+01  0.12282E+01  0.12364E+01
  0.65115E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77607E+00 -0.75653E+00 -0.74692E+00 -0.74269E+00 -0.73819E+00 -0.73423E+00 -0.71676E+00 -0.71337E+00 -0.35011E+00 -0.31733E+00 -0.31544E+00 -0.29783E+00 -0.26445E+00 -0.26119E+00 -0.25460E+00 -0.25220E+00 -0.25217E+00 -0.24892E+00 -0.24277E+00 -0.24126E+00 -0.24021E+00 -0.23333E+00 -0.23219E+00 -0.20946E+00 -0.19782E+00 -0.19072E+00 -0.18884E+00 -0.18406E+00 -0.18069E+00 -0.17998E+00 -0.17993E+00 -0.17885E+00 -0.17285E+00 -0.15984E+00 -0.15954E+00 -0.15850E+00 -0.15109E+00 -0.14903E+00 -0.14797E+00 -0.13645E+00 -0.12383E+00 -0.11806E+00 -0.11322E+00 -0.10830E+00 -0.10782E+00 -0.10769E+00 -0.10331E+00 -0.98650E-01 -0.88369E-01 -0.79489E-01 -0.32659E-01  0.60534E-01  0.61883E-01  0.16933E+00  0.17371E+00  0.21526E+00  0.29378E+00  0.30676E+00  0.32565E+00  0.33035E+00  0.34864E+00  0.35144E+00  0.35152E+00  0.35396E+00  0.35419E+00  0.36415E+00  0.36647E+00  0.36793E+00  0.37203E+00  0.37448E+00  0.37725E+00  0.37749E+00  0.38201E+00  0.42110E+00  0.42479E+00  0.43157E+00  0.43259E+00  0.43693E+00  0.43763E+00  0.44021E+00  0.45293E+00  0.45871E+00  0.48092E+00  0.48953E+00  0.49611E+00  0.52972E+00  0.53114E+00  0.54204E+00  0.57289E+00  0.58727E+00  0.62696E+00  0.63748E+00  0.65470E+00  0.68194E+00  0.68927E+00  0.69471E+00  0.69624E+00  0.69804E+00  0.71582E+00  0.71950E+00  0.72570E+00  0.72610E+00  0.73179E+00  0.76234E+00  0.77183E+00  0.77383E+00  0.77692E+00  0.80089E+00  0.80329E+00  0.86723E+00  0.91066E+00  0.91337E+00  0.91451E+00  0.95544E+00  0.97766E+00  0.99066E+00  0.99715E+00  0.10376E+01  0.10458E+01  0.10489E+01  0.10727E+01  0.10744E+01  0.10798E+01  0.11072E+01  0.11131E+01  0.11158E+01  0.11205E+01  0.11229E+01  0.11377E+01  0.11626E+01  0.12090E+01  0.12234E+01  0.12303E+01  0.12322E+01
  0.81394E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77583E+00 -0.75651E+00 -0.74780E+00 -0.74241E+00 -0.73761E+00 -0.73453E+00 -0.71675E+00 -0.71334E+00 -0.35010E+00 -0.31542E+00 -0.31460E+00 -0.29721E+00 -0.26444E+00 -0.26117E+00 -0.25450E+00 -0.25379E+00 -0.25214E+00 -0.24892E+00 -0.24277E+00 -0.24190E+00 -0.24025E+00 -0.23598E+00 -0.23404E+00 -0.21171E+00 -0.19629E+00 -0.19068E+00 -0.18890E+00 -0.18550E+00 -0.18084E+00 -0.18060E+00 -0.17884E+00 -0.17789E+00 -0.17246E+00 -0.15955E+00 -0.15848E+00 -0.15773E+00 -0.15028E+00 -0.14797E+00 -0.14753E+00 -0.13647E+00 -0.12362E+00 -0.12007E+00 -0.11328E+00 -0.10957E+00 -0.10863E+00 -0.10381E+00 -0.10326E+00 -0.99318E-01 -0.88458E-01 -0.79570E-01 -0.31941E-01  0.61061E-01  0.63403E-01  0.16876E+00  0.16893E+00  0.21514E+00  0.29394E+00  0.31060E+00  0.32523E+00  0.32911E+00  0.34876E+00  0.35108E+00  0.35234E+00  0.35439E+00  0.35523E+00  0.36375E+00  0.36595E+00  0.36814E+00  0.36861E+00  0.37343E+00  0.37665E+00  0.37718E+00  0.38341E+00  0.42073E+00  0.42630E+00  0.42945E+00  0.43118E+00  0.43659E+00  0.43735E+00  0.44024E+00  0.45330E+00  0.45954E+00  0.48588E+00  0.48616E+00  0.49505E+00  0.52734E+00  0.53169E+00  0.54437E+00  0.56556E+00  0.58600E+00  0.61891E+00  0.63138E+00  0.65008E+00  0.68328E+00  0.69346E+00  0.69483E+00  0.70273E+00  0.70328E+00  0.71865E+00  0.72452E+00  0.73102E+00  0.73220E+00  0.73549E+00  0.76560E+00  0.77131E+00  0.77241E+00  0.77871E+00  0.79888E+00  0.80252E+00  0.85973E+00  0.90432E+00  0.91676E+00  0.91818E+00  0.96751E+00  0.97330E+00  0.98823E+00  0.99579E+00  0.10361E+01  0.10395E+01  0.10418E+01  0.10776E+01  0.10782E+01  0.10839E+01  0.10985E+01  0.11103E+01  0.11112E+01  0.11209E+01  0.11241E+01  0.11334E+01  0.11652E+01  0.12003E+01  0.12226E+01  0.12244E+01  0.12374E+01
  0.97673E-01 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77556E+00 -0.75649E+00 -0.74869E+00 -0.74208E+00 -0.73708E+00 -0.73490E+00 -0.71675E+00 -0.71330E+00 -0.35010E+00 -0.31364E+00 -0.31313E+00 -0.29651E+00 -0.26442E+00 -0.26116E+00 -0.25604E+00 -0.25438E+00 -0.25206E+00 -0.24893E+00 -0.24277E+00 -0.24250E+00 -0.24028E+00 -0.23873E+00 -0.23599E+00 -0.21381E+00 -0.19486E+00 -0.19064E+00 -0.18895E+00 -0.18690E+00 -0.18173E+00 -0.18050E+00 -0.17749E+00 -0.17693E+00 -0.17209E+00 -0.15956E+00 -0.15845E+00 -0.15557E+00 -0.14946E+00 -0.14797E+00 -0.14572E+00 -0.13650E+00 -0.12334E+00 -0.12230E+00 -0.11336E+00 -0.11109E+00 -0.10958E+00 -0.10322E+00 -0.10009E+00 -0.99700E-01 -0.88554E-01 -0.79659E-01 -0.31200E-01  0.60122E-01  0.66803E-01  0.16324E+00  0.16847E+00  0.21501E+00  0.29412E+00  0.31474E+00  0.32495E+00  0.32780E+00  0.34889E+00  0.35051E+00  0.35320E+00  0.35491E+00  0.35650E+00  0.36330E+00  0.36480E+00  0.36535E+00  0.36835E+00  0.37223E+00  0.37580E+00  0.37710E+00  0.38511E+00  0.42035E+00  0.42663E+00  0.42850E+00  0.42964E+00  0.43621E+00  0.43726E+00  0.44024E+00  0.45362E+00  0.46040E+00  0.48234E+00  0.49162E+00  0.49389E+00  0.52337E+00  0.53400E+00  0.54717E+00  0.55809E+00  0.58398E+00  0.61104E+00  0.62522E+00  0.64614E+00  0.68448E+00  0.68826E+00  0.70038E+00  0.70785E+00  0.71044E+00  0.72191E+00  0.73344E+00  0.73637E+00  0.73977E+00  0.73985E+00  0.76835E+00  0.76850E+00  0.77304E+00  0.78082E+00  0.79651E+00  0.80173E+00  0.85258E+00  0.89671E+00  0.92085E+00  0.92215E+00  0.96313E+00  0.98014E+00  0.98355E+00  0.10018E+01  0.10254E+01  0.10336E+01  0.10418E+01  0.10815E+01  0.10846E+01  0.10846E+01  0.10883E+01  0.11071E+01  0.11117E+01  0.11205E+01  0.11256E+01  0.11278E+01  0.11692E+01  0.11909E+01  0.12139E+01  0.12256E+01  0.12438E+01
  0.11395E+00 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77527E+00 -0.75647E+00 -0.74954E+00 -0.74170E+00 -0.73660E+00 -0.73531E+00 -0.71675E+00 -0.71327E+00 -0.35010E+00 -0.31261E+00 -0.31048E+00 -0.29575E+00 -0.26441E+00 -0.26114E+00 -0.25893E+00 -0.25427E+00 -0.25198E+00 -0.24894E+00 -0.24299E+00 -0.24277E+00 -0.24144E+00 -0.24032E+00 -0.23794E+00 -0.21563E+00 -0.19361E+00 -0.19060E+00 -0.18901E+00 -0.18818E+00 -0.18258E+00 -0.18040E+00 -0.17616E+00 -0.17586E+00 -0.17174E+00 -0.15957E+00 -0.15843E+00 -0.15343E+00 -0.14868E+00 -0.14797E+00 -0.14363E+00 -0.13652E+00 -0.12466E+00 -0.12298E+00 -0.11344E+00 -0.11286E+00 -0.11060E+00 -0.10318E+00 -0.10094E+00 -0.95608E-01 -0.88653E-01 -0.79751E-01 -0.30483E-01  0.59109E-01  0.70653E-01  0.15738E+00  0.16799E+00  0.21488E+00  0.29431E+00  0.31901E+00  0.32489E+00  0.32650E+00  0.34904E+00  0.34977E+00  0.35409E+00  0.35552E+00  0.35793E+00  0.36077E+00  0.36281E+00  0.36468E+00  0.36852E+00  0.37091E+00  0.37499E+00  0.37702E+00  0.38709E+00  0.41996E+00  0.42395E+00  0.42808E+00  0.43059E+00  0.43582E+00  0.43747E+00  0.44022E+00  0.45381E+00  0.46126E+00  0.47819E+00  0.49269E+00  0.49802E+00  0.51944E+00  0.53676E+00  0.55038E+00  0.55073E+00  0.58100E+00  0.60337E+00  0.61907E+00  0.64319E+00  0.68285E+00  0.68558E+00  0.70589E+00  0.71031E+00  0.71768E+00  0.72547E+00  0.74175E+00  0.74436E+00  0.74569E+00  0.74848E+00  0.76501E+00  0.77088E+00  0.77368E+00  0.78320E+00  0.79385E+00  0.80099E+00  0.84586E+00  0.88795E+00  0.92561E+00  0.92562E+00  0.95011E+00  0.98106E+00  0.99320E+00  0.10086E+01  0.10146E+01  0.10246E+01  0.10445E+01  0.10688E+01  0.10860E+01  0.10916E+01  0.10930E+01  0.11038E+01  0.11144E+01  0.11189E+01  0.11212E+01  0.11272E+01  0.11746E+01  0.11812E+01  0.12045E+01  0.12272E+01  0.12515E+01
  0.13023E+00 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77497E+00 -0.75644E+00 -0.75033E+00 -0.74128E+00 -0.73619E+00 -0.73576E+00 -0.71674E+00 -0.71323E+00 -0.35009E+00 -0.31156E+00 -0.30752E+00 -0.29499E+00 -0.26439E+00 -0.26235E+00 -0.26112E+00 -0.25415E+00 -0.25190E+00 -0.24895E+00 -0.24400E+00 -0.24336E+00 -0.24277E+00 -0.24035E+00 -0.23980E+00 -0.21712E+00 -0.19256E+00 -0.19056E+00 -0.18932E+00 -0.18906E+00 -0.18335E+00 -0.18031E+00 -0.17538E+00 -0.17426E+00 -0.17142E+00 -0.15957E+00 -0.15841E+00 -0.15139E+00 -0.14797E+00 -0.14797E+00 -0.14129E+00 -0.13654E+00 -0.12703E+00 -0.12255E+00 -0.11485E+00 -0.11352E+00 -0.11167E+00 -0.10314E+00 -0.10182E+00 -0.91741E-01 -0.88749E-01 -0.79840E-01 -0.29827E-01  0.58079E-01  0.74846E-01  0.15137E+00  0.16752E+00  0.21474E+00  0.29450E+00  0.32322E+00  0.32513E+00  0.32527E+00  0.34883E+00  0.34918E+00  0.35500E+00  0.35592E+00  0.35699E+00  0.35943E+00  0.36232E+00  0.36397E+00  0.36862E+00  0.36952E+00  0.37428E+00  0.37695E+00  0.38933E+00  0.41961E+00  0.42092E+00  0.42656E+00  0.43311E+00  0.43544E+00  0.43804E+00  0.44020E+00  0.45374E+00  0.46206E+00  0.47383E+00  0.49152E+00  0.50494E+00  0.51586E+00  0.53996E+00  0.54370E+00  0.55396E+00  0.57697E+00  0.59595E+00  0.61299E+00  0.64140E+00  0.67748E+00  0.68657E+00  0.71131E+00  0.71171E+00  0.72431E+00  0.72920E+00  0.74691E+00  0.74931E+00  0.75795E+00  0.75965E+00  0.76135E+00  0.77265E+00  0.77428E+00  0.78580E+00  0.79100E+00  0.80034E+00  0.83962E+00  0.87820E+00  0.92405E+00  0.93104E+00  0.94080E+00  0.97879E+00  0.10047E+01  0.10066E+01  0.10151E+01  0.10160E+01  0.10476E+01  0.10526E+01  0.10911E+01  0.10954E+01  0.10977E+01  0.11041E+01  0.11139E+01  0.11158E+01  0.11183E+01  0.11288E+01  0.11714E+01  0.11812E+01  0.11949E+01  0.12293E+01  0.12371E+01
  0.14651E+00 -0.41921E+01 -0.41921E+01 -0.40696E+01 -0.40695E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27712E+01 -0.27326E+01 -0.27326E+01 -0.26442E+01 -0.26442E+01 -0.26309E+01 -0.26309E+01 -0.26292E+01 -0.26291E+01 -0.77469E+00 -0.75642E+00 -0.75102E+00 -0.74082E+00 -0.73624E+00 -0.73585E+00 -0.71674E+00 -0.71319E+00 -0.35009E+00 -0.31055E+00 -0.30430E+00 -0.29426E+00 -0.26616E+00 -0.26438E+00 -0.26111E+00 -0.25405E+00 -0.25183E+00 -0.24896E+00 -0.24628E+00 -0.24363E+00 -0.24277E+00 -0.24149E+00 -0.24038E+00 -0.21826E+00 -0.19172E+00 -0.19052E+00 -0.19029E+00 -0.18910E+00 -0.18401E+00 -0.18022E+00 -0.17476E+00 -0.17262E+00 -0.17114E+00 -0.15957E+00 -0.15839E+00 -0.14953E+00 -0.14797E+00 -0.14738E+00 -0.13878E+00 -0.13657E+00 -0.12929E+00 -0.12206E+00 -0.11703E+00 -0.11359E+00 -0.11272E+00 -0.10310E+00 -0.10269E+00 -0.88836E-01 -0.88284E-01 -0.79921E-01 -0.29262E-01  0.57096E-01  0.79226E-01  0.14543E+00  0.16708E+00  0.21463E+00  0.29468E+00  0.32413E+00  0.32568E+00  0.32730E+00  0.34768E+00  0.34931E+00  0.35254E+00  0.35590E+00  0.35719E+00  0.36091E+00  0.36185E+00  0.36325E+00  0.36809E+00  0.36859E+00  0.37369E+00  0.37687E+00  0.39181E+00  0.41773E+00  0.41932E+00  0.42517E+00  0.43510E+00  0.43594E+00  0.43899E+00  0.44019E+00  0.45329E+00  0.46277E+00  0.46937E+00  0.49045E+00  0.51225E+00  0.51295E+00  0.53718E+00  0.54361E+00  0.55782E+00  0.57189E+00  0.58880E+00  0.60708E+00  0.64078E+00  0.67232E+00  0.68743E+00  0.71261E+00  0.71662E+00  0.73018E+00  0.73290E+00  0.75167E+00  0.75406E+00  0.75743E+00  0.76809E+00  0.77378E+00  0.77481E+00  0.77485E+00  0.78807E+00  0.78855E+00  0.79979E+00  0.83393E+00  0.86769E+00  0.91148E+00  0.93711E+00  0.94181E+00  0.97617E+00  0.99651E+00  0.10054E+01  0.10201E+01  0.10238E+01  0.10367E+01  0.10510E+01  0.10923E+01  0.10968E+01  0.11026E+01  0.11062E+01  0.11108E+01  0.11118E+01  0.11232E+01  0.11301E+01  0.11617E+01  0.11853E+01  0.11891E+01  0.12188E+01  0.12320E+01
