# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.77106E+00 -0.74480E+00 -0.74477E+00 -0.74146E+00 -0.74143E+00 -0.73519E+00 -0.73516E+00 -0.72636E+00 -0.32632E+00 -0.31552E+00 -0.31383E+00 -0.31074E+00 -0.28750E+00 -0.23603E+00 -0.23451E+00 -0.23428E+00 -0.23369E+00 -0.23017E+00 -0.23015E+00 -0.22874E+00 -0.22834E+00 -0.21568E+00 -0.21386E+00 -0.21249E+00 -0.21117E+00 -0.21107E+00 -0.21106E+00 -0.20917E+00 -0.20835E+00 -0.20584E+00 -0.20430E+00 -0.20374E+00 -0.20235E+00 -0.18046E+00 -0.18046E+00 -0.16451E+00 -0.16438E+00 -0.16143E+00 -0.14468E+00 -0.14351E+00 -0.14145E+00 -0.12735E+00 -0.11907E+00 -0.11900E+00 -0.11855E+00 -0.11854E+00 -0.11394E+00 -0.11292E+00 -0.10662E+00 -0.10656E+00 -0.10341E+00 -0.18986E-01  0.55809E-01  0.17112E+00  0.17189E+00  0.19696E+00  0.29882E+00  0.29883E+00  0.32793E+00  0.32794E+00  0.35036E+00  0.35177E+00  0.35333E+00  0.35351E+00  0.35905E+00  0.36727E+00  0.36777E+00  0.36812E+00  0.36812E+00  0.37545E+00  0.37546E+00  0.38025E+00  0.38025E+00  0.42291E+00  0.42291E+00  0.43663E+00  0.43669E+00  0.43883E+00  0.43883E+00  0.44044E+00  0.45290E+00  0.45740E+00  0.47115E+00  0.49470E+00  0.49523E+00  0.52768E+00  0.53527E+00  0.53527E+00  0.58683E+00  0.58752E+00  0.65605E+00  0.65663E+00  0.66795E+00  0.66795E+00  0.66946E+00  0.66947E+00  0.68946E+00  0.70426E+00  0.70483E+00  0.71324E+00  0.71324E+00  0.71811E+00  0.71811E+00  0.74166E+00  0.77497E+00  0.77498E+00  0.77710E+00  0.79932E+00  0.79933E+00  0.89308E+00  0.90825E+00  0.90825E+00  0.92015E+00  0.92015E+00  0.98057E+00  0.98070E+00  0.10183E+01  0.10348E+01  0.10632E+01  0.10632E+01  0.10634E+01  0.10669E+01  0.10669E+01  0.11190E+01  0.11190E+01  0.11213E+01  0.11213E+01  0.11381E+01  0.11385E+01  0.11599E+01  0.12226E+01  0.12226E+01  0.12269E+01  0.12273E+01
  0.16279E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.77101E+00 -0.74531E+00 -0.74475E+00 -0.74144E+00 -0.74094E+00 -0.73523E+00 -0.73518E+00 -0.72637E+00 -0.32614E+00 -0.31546E+00 -0.31371E+00 -0.31069E+00 -0.28737E+00 -0.23621E+00 -0.23449E+00 -0.23421E+00 -0.23386E+00 -0.23151E+00 -0.23019E+00 -0.22868E+00 -0.22835E+00 -0.21573E+00 -0.21339E+00 -0.21265E+00 -0.21142E+00 -0.21117E+00 -0.21105E+00 -0.20892E+00 -0.20835E+00 -0.20584E+00 -0.20446E+00 -0.20394E+00 -0.20235E+00 -0.18040E+00 -0.18011E+00 -0.16443E+00 -0.16413E+00 -0.16134E+00 -0.14470E+00 -0.14308E+00 -0.14077E+00 -0.12733E+00 -0.11912E+00 -0.11903E+00 -0.11873E+00 -0.11853E+00 -0.11396E+00 -0.11294E+00 -0.10671E+00 -0.10661E+00 -0.10351E+00 -0.19267E-01  0.56169E-01  0.17070E+00  0.17175E+00  0.19687E+00  0.29888E+00  0.29936E+00  0.32772E+00  0.32782E+00  0.35049E+00  0.35184E+00  0.35337E+00  0.35353E+00  0.35908E+00  0.36725E+00  0.36775E+00  0.36806E+00  0.36815E+00  0.37500E+00  0.37532E+00  0.38006E+00  0.38041E+00  0.42287E+00  0.42308E+00  0.43637E+00  0.43647E+00  0.43876E+00  0.43882E+00  0.44039E+00  0.45296E+00  0.45758E+00  0.47176E+00  0.49437E+00  0.49495E+00  0.52788E+00  0.53476E+00  0.53556E+00  0.58570E+00  0.58721E+00  0.65187E+00  0.65359E+00  0.66664E+00  0.67070E+00  0.67107E+00  0.67391E+00  0.68959E+00  0.70482E+00  0.70604E+00  0.71362E+00  0.71404E+00  0.71641E+00  0.71851E+00  0.74309E+00  0.77508E+00  0.77521E+00  0.77679E+00  0.79906E+00  0.79917E+00  0.88973E+00  0.90864E+00  0.90873E+00  0.91942E+00  0.92401E+00  0.98070E+00  0.98127E+00  0.10163E+01  0.10351E+01  0.10623E+01  0.10625E+01  0.10639E+01  0.10673E+01  0.10677E+01  0.11186E+01  0.11192E+01  0.11199E+01  0.11214E+01  0.11365E+01  0.11382E+01  0.11599E+01  0.12226E+01  0.12231E+01  0.12258E+01  0.12293E+01
  0.32558E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.77084E+00 -0.74645E+00 -0.74465E+00 -0.74137E+00 -0.73994E+00 -0.73534E+00 -0.73525E+00 -0.72642E+00 -0.32562E+00 -0.31531E+00 -0.31329E+00 -0.31050E+00 -0.28697E+00 -0.23689E+00 -0.23480E+00 -0.23444E+00 -0.23421E+00 -0.23401E+00 -0.23025E+00 -0.22850E+00 -0.22840E+00 -0.21692E+00 -0.21520E+00 -0.21168E+00 -0.21119E+00 -0.21101E+00 -0.20972E+00 -0.20865E+00 -0.20837E+00 -0.20583E+00 -0.20495E+00 -0.20453E+00 -0.20235E+00 -0.18020E+00 -0.17908E+00 -0.16428E+00 -0.16333E+00 -0.16107E+00 -0.14474E+00 -0.14271E+00 -0.13802E+00 -0.12726E+00 -0.11951E+00 -0.11927E+00 -0.11891E+00 -0.11847E+00 -0.11401E+00 -0.11300E+00 -0.10699E+00 -0.10676E+00 -0.10379E+00 -0.20112E-01  0.57245E-01  0.16891E+00  0.17187E+00  0.19660E+00  0.29904E+00  0.30092E+00  0.32707E+00  0.32749E+00  0.35085E+00  0.35201E+00  0.35350E+00  0.35364E+00  0.35918E+00  0.36719E+00  0.36769E+00  0.36787E+00  0.36824E+00  0.37367E+00  0.37493E+00  0.37952E+00  0.38090E+00  0.42273E+00  0.42359E+00  0.43558E+00  0.43586E+00  0.43857E+00  0.43877E+00  0.44026E+00  0.45315E+00  0.45811E+00  0.47358E+00  0.49318E+00  0.49432E+00  0.52849E+00  0.53325E+00  0.53642E+00  0.58188E+00  0.58700E+00  0.64420E+00  0.64815E+00  0.66314E+00  0.67555E+00  0.67590E+00  0.68181E+00  0.68997E+00  0.70597E+00  0.70972E+00  0.71224E+00  0.71476E+00  0.71640E+00  0.71969E+00  0.74649E+00  0.77542E+00  0.77588E+00  0.77590E+00  0.79826E+00  0.79873E+00  0.88263E+00  0.90979E+00  0.91014E+00  0.91724E+00  0.93263E+00  0.98087E+00  0.98315E+00  0.10106E+01  0.10358E+01  0.10595E+01  0.10598E+01  0.10658E+01  0.10684E+01  0.10698E+01  0.11164E+01  0.11176E+01  0.11197E+01  0.11216E+01  0.11316E+01  0.11373E+01  0.11600E+01  0.12221E+01  0.12229E+01  0.12248E+01  0.12353E+01
  0.48836E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.77055E+00 -0.74779E+00 -0.74448E+00 -0.74127E+00 -0.73881E+00 -0.73551E+00 -0.73536E+00 -0.72651E+00 -0.32479E+00 -0.31516E+00 -0.31251E+00 -0.31016E+00 -0.28632E+00 -0.23898E+00 -0.23827E+00 -0.23444E+00 -0.23434E+00 -0.23367E+00 -0.23034E+00 -0.22848E+00 -0.22819E+00 -0.22120E+00 -0.21541E+00 -0.21169E+00 -0.21121E+00 -0.21096E+00 -0.20852E+00 -0.20839E+00 -0.20625E+00 -0.20583E+00 -0.20583E+00 -0.20534E+00 -0.20236E+00 -0.17989E+00 -0.17746E+00 -0.16404E+00 -0.16206E+00 -0.16066E+00 -0.14483E+00 -0.14261E+00 -0.13340E+00 -0.12713E+00 -0.12015E+00 -0.12014E+00 -0.11871E+00 -0.11839E+00 -0.11409E+00 -0.11310E+00 -0.10746E+00 -0.10700E+00 -0.10426E+00 -0.21517E-01  0.59017E-01  0.16588E+00  0.17225E+00  0.19614E+00  0.29932E+00  0.30338E+00  0.32605E+00  0.32701E+00  0.35141E+00  0.35207E+00  0.35372E+00  0.35402E+00  0.35934E+00  0.36709E+00  0.36756E+00  0.36759E+00  0.36839E+00  0.37152E+00  0.37429E+00  0.37868E+00  0.38171E+00  0.42251E+00  0.42443E+00  0.43427E+00  0.43492E+00  0.43829E+00  0.43869E+00  0.44004E+00  0.45343E+00  0.45896E+00  0.47654E+00  0.49113E+00  0.49341E+00  0.52950E+00  0.53087E+00  0.53786E+00  0.57626E+00  0.58665E+00  0.63602E+00  0.64206E+00  0.65853E+00  0.68159E+00  0.68175E+00  0.69033E+00  0.69057E+00  0.70671E+00  0.70827E+00  0.71490E+00  0.71662E+00  0.72028E+00  0.72162E+00  0.75059E+00  0.77437E+00  0.77597E+00  0.77704E+00  0.79694E+00  0.79802E+00  0.87459E+00  0.91171E+00  0.91241E+00  0.91360E+00  0.94319E+00  0.98107E+00  0.98622E+00  0.10019E+01  0.10370E+01  0.10543E+01  0.10555E+01  0.10690E+01  0.10702E+01  0.10727E+01  0.11128E+01  0.11159E+01  0.11205E+01  0.11221E+01  0.11237E+01  0.11354E+01  0.11605E+01  0.12162E+01  0.12234E+01  0.12277E+01  0.12372E+01
  0.65115E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.77015E+00 -0.74922E+00 -0.74426E+00 -0.74112E+00 -0.73768E+00 -0.73575E+00 -0.73551E+00 -0.72663E+00 -0.32371E+00 -0.31504E+00 -0.31134E+00 -0.30961E+00 -0.28541E+00 -0.24356E+00 -0.24030E+00 -0.23450E+00 -0.23422E+00 -0.23319E+00 -0.23048E+00 -0.22859E+00 -0.22777E+00 -0.22663E+00 -0.21543E+00 -0.21169E+00 -0.21124E+00 -0.21089E+00 -0.20846E+00 -0.20843E+00 -0.20709E+00 -0.20630E+00 -0.20583E+00 -0.20261E+00 -0.20236E+00 -0.17948E+00 -0.17538E+00 -0.16371E+00 -0.16048E+00 -0.16006E+00 -0.14497E+00 -0.14258E+00 -0.12760E+00 -0.12693E+00 -0.12133E+00 -0.12102E+00 -0.11844E+00 -0.11827E+00 -0.11420E+00 -0.11323E+00 -0.10809E+00 -0.10733E+00 -0.10490E+00 -0.23478E-01  0.61459E-01  0.16185E+00  0.17280E+00  0.19552E+00  0.29970E+00  0.30657E+00  0.32472E+00  0.32647E+00  0.35187E+00  0.35212E+00  0.35402E+00  0.35480E+00  0.35956E+00  0.36696E+00  0.36714E+00  0.36746E+00  0.36857E+00  0.36867E+00  0.37343E+00  0.37759E+00  0.38283E+00  0.42222E+00  0.42562E+00  0.43249E+00  0.43368E+00  0.43799E+00  0.43858E+00  0.43977E+00  0.45379E+00  0.46007E+00  0.48055E+00  0.48837E+00  0.49222E+00  0.52776E+00  0.53094E+00  0.53985E+00  0.56956E+00  0.58598E+00  0.62781E+00  0.63573E+00  0.65364E+00  0.68739E+00  0.68799E+00  0.69137E+00  0.69898E+00  0.70071E+00  0.71268E+00  0.71917E+00  0.72065E+00  0.72422E+00  0.72556E+00  0.75469E+00  0.77232E+00  0.77670E+00  0.77861E+00  0.79511E+00  0.79710E+00  0.86650E+00  0.90855E+00  0.91436E+00  0.91544E+00  0.95477E+00  0.98116E+00  0.99044E+00  0.99079E+00  0.10386E+01  0.10465E+01  0.10497E+01  0.10728E+01  0.10734E+01  0.10763E+01  0.11106E+01  0.11130E+01  0.11136E+01  0.11212E+01  0.11228E+01  0.11323E+01  0.11620E+01  0.12086E+01  0.12241E+01  0.12311E+01  0.12318E+01
  0.81394E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.76964E+00 -0.75068E+00 -0.74398E+00 -0.74094E+00 -0.73667E+00 -0.73598E+00 -0.73567E+00 -0.72679E+00 -0.32247E+00 -0.31495E+00 -0.30979E+00 -0.30875E+00 -0.28425E+00 -0.24835E+00 -0.24278E+00 -0.23446E+00 -0.23406E+00 -0.23267E+00 -0.23258E+00 -0.23064E+00 -0.22873E+00 -0.22723E+00 -0.21542E+00 -0.21168E+00 -0.21128E+00 -0.21079E+00 -0.20861E+00 -0.20847E+00 -0.20843E+00 -0.20741E+00 -0.20583E+00 -0.20236E+00 -0.19903E+00 -0.17901E+00 -0.17296E+00 -0.16331E+00 -0.15968E+00 -0.15833E+00 -0.14517E+00 -0.14254E+00 -0.12663E+00 -0.12279E+00 -0.12214E+00 -0.12104E+00 -0.11811E+00 -0.11809E+00 -0.11433E+00 -0.11339E+00 -0.10890E+00 -0.10775E+00 -0.10568E+00 -0.25990E-01  0.64534E-01  0.15700E+00  0.17351E+00  0.19471E+00  0.30020E+00  0.31029E+00  0.32314E+00  0.32598E+00  0.35146E+00  0.35292E+00  0.35443E+00  0.35588E+00  0.35985E+00  0.36523E+00  0.36662E+00  0.36679E+00  0.36731E+00  0.36879E+00  0.37237E+00  0.37635E+00  0.38426E+00  0.42189E+00  0.42713E+00  0.43029E+00  0.43222E+00  0.43775E+00  0.43845E+00  0.43945E+00  0.45417E+00  0.46139E+00  0.48503E+00  0.48547E+00  0.49077E+00  0.52416E+00  0.53280E+00  0.54237E+00  0.56231E+00  0.58478E+00  0.61970E+00  0.62927E+00  0.64903E+00  0.69202E+00  0.69296E+00  0.69319E+00  0.69450E+00  0.70757E+00  0.72025E+00  0.72232E+00  0.72664E+00  0.72741E+00  0.73214E+00  0.75846E+00  0.76977E+00  0.77759E+00  0.78058E+00  0.79278E+00  0.79603E+00  0.85864E+00  0.90211E+00  0.91774E+00  0.91905E+00  0.96703E+00  0.97790E+00  0.98105E+00  0.99572E+00  0.10367E+01  0.10406E+01  0.10426E+01  0.10760E+01  0.10790E+01  0.10803E+01  0.10999E+01  0.11103E+01  0.11105E+01  0.11215E+01  0.11237E+01  0.11278E+01  0.11646E+01  0.11999E+01  0.12235E+01  0.12250E+01  0.12371E+01
  0.97673E-01 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.76903E+00 -0.75217E+00 -0.74363E+00 -0.74072E+00 -0.73654E+00 -0.73598E+00 -0.73534E+00 -0.72699E+00 -0.32121E+00 -0.31488E+00 -0.30789E+00 -0.30746E+00 -0.28285E+00 -0.25323E+00 -0.24557E+00 -0.23905E+00 -0.23436E+00 -0.23388E+00 -0.23185E+00 -0.23084E+00 -0.22889E+00 -0.22658E+00 -0.21540E+00 -0.21168E+00 -0.21131E+00 -0.21069E+00 -0.21028E+00 -0.20865E+00 -0.20853E+00 -0.20842E+00 -0.20583E+00 -0.20236E+00 -0.19561E+00 -0.17853E+00 -0.17033E+00 -0.16283E+00 -0.15914E+00 -0.15610E+00 -0.14546E+00 -0.14246E+00 -0.12621E+00 -0.12445E+00 -0.12348E+00 -0.11793E+00 -0.11768E+00 -0.11447E+00 -0.11403E+00 -0.11357E+00 -0.10986E+00 -0.10824E+00 -0.10657E+00 -0.29042E-01  0.68198E-01  0.15151E+00  0.17437E+00  0.19374E+00  0.30082E+00  0.31436E+00  0.32140E+00  0.32565E+00  0.35086E+00  0.35380E+00  0.35493E+00  0.35718E+00  0.36019E+00  0.36137E+00  0.36601E+00  0.36659E+00  0.36717E+00  0.36900E+00  0.37117E+00  0.37503E+00  0.38599E+00  0.42155E+00  0.42772E+00  0.42899E+00  0.43064E+00  0.43766E+00  0.43831E+00  0.43913E+00  0.45451E+00  0.46287E+00  0.48123E+00  0.48912E+00  0.49120E+00  0.52035E+00  0.53511E+00  0.54541E+00  0.55486E+00  0.58283E+00  0.61175E+00  0.62275E+00  0.64515E+00  0.68813E+00  0.69318E+00  0.69577E+00  0.69894E+00  0.71596E+00  0.72602E+00  0.73086E+00  0.73109E+00  0.73263E+00  0.73989E+00  0.76170E+00  0.76676E+00  0.77860E+00  0.78294E+00  0.78998E+00  0.79487E+00  0.85112E+00  0.89436E+00  0.92181E+00  0.92294E+00  0.96385E+00  0.97982E+00  0.98051E+00  0.10019E+01  0.10260E+01  0.10344E+01  0.10430E+01  0.10799E+01  0.10846E+01  0.10849E+01  0.10857E+01  0.11069E+01  0.11118E+01  0.11211E+01  0.11222E+01  0.11248E+01  0.11685E+01  0.11904E+01  0.12147E+01  0.12263E+01  0.12436E+01
  0.11395E+00 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.76831E+00 -0.75366E+00 -0.74324E+00 -0.74047E+00 -0.73693E+00 -0.73622E+00 -0.73440E+00 -0.72723E+00 -0.32004E+00 -0.31482E+00 -0.30577E+00 -0.30550E+00 -0.28121E+00 -0.25812E+00 -0.24855E+00 -0.24557E+00 -0.23422E+00 -0.23368E+00 -0.23105E+00 -0.23098E+00 -0.22907E+00 -0.22582E+00 -0.21537E+00 -0.21205E+00 -0.21167E+00 -0.21134E+00 -0.21057E+00 -0.20999E+00 -0.20859E+00 -0.20842E+00 -0.20583E+00 -0.20236E+00 -0.19240E+00 -0.17807E+00 -0.16757E+00 -0.16231E+00 -0.15868E+00 -0.15369E+00 -0.14587E+00 -0.14229E+00 -0.12628E+00 -0.12570E+00 -0.12499E+00 -0.11772E+00 -0.11720E+00 -0.11463E+00 -0.11374E+00 -0.11095E+00 -0.10880E+00 -0.10755E+00 -0.10676E+00 -0.32623E-01  0.72404E-01  0.14555E+00  0.17537E+00  0.19261E+00  0.30155E+00  0.31858E+00  0.31954E+00  0.32558E+00  0.35008E+00  0.35471E+00  0.35553E+00  0.35724E+00  0.35864E+00  0.36059E+00  0.36533E+00  0.36633E+00  0.36706E+00  0.36917E+00  0.36984E+00  0.37371E+00  0.38801E+00  0.42123E+00  0.42486E+00  0.42900E+00  0.43117E+00  0.43781E+00  0.43817E+00  0.43881E+00  0.45469E+00  0.46446E+00  0.47709E+00  0.48730E+00  0.49758E+00  0.51662E+00  0.53785E+00  0.54748E+00  0.54894E+00  0.57991E+00  0.60401E+00  0.61621E+00  0.64235E+00  0.68190E+00  0.69419E+00  0.69748E+00  0.70463E+00  0.72398E+00  0.73018E+00  0.73504E+00  0.73838E+00  0.74374E+00  0.74868E+00  0.76335E+00  0.76430E+00  0.77970E+00  0.78565E+00  0.78674E+00  0.79366E+00  0.84397E+00  0.88541E+00  0.92618E+00  0.92656E+00  0.94972E+00  0.97948E+00  0.99302E+00  0.10090E+01  0.10152E+01  0.10254E+01  0.10458E+01  0.10689E+01  0.10845E+01  0.10894E+01  0.10934E+01  0.11027E+01  0.11148E+01  0.11154E+01  0.11195E+01  0.11259E+01  0.11738E+01  0.11805E+01  0.12053E+01  0.12279E+01  0.12513E+01
  0.13023E+00 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.76750E+00 -0.75514E+00 -0.74280E+00 -0.74019E+00 -0.73739E+00 -0.73650E+00 -0.73348E+00 -0.72752E+00 -0.31908E+00 -0.31478E+00 -0.30331E+00 -0.30291E+00 -0.27934E+00 -0.26299E+00 -0.25211E+00 -0.25164E+00 -0.23406E+00 -0.23347E+00 -0.23128E+00 -0.23000E+00 -0.22926E+00 -0.22497E+00 -0.21534E+00 -0.21385E+00 -0.21168E+00 -0.21139E+00 -0.21136E+00 -0.21045E+00 -0.20866E+00 -0.20843E+00 -0.20583E+00 -0.20236E+00 -0.18946E+00 -0.17771E+00 -0.16479E+00 -0.16174E+00 -0.15833E+00 -0.15115E+00 -0.14643E+00 -0.14199E+00 -0.12822E+00 -0.12684E+00 -0.12489E+00 -0.11749E+00 -0.11667E+00 -0.11479E+00 -0.11388E+00 -0.11216E+00 -0.10940E+00 -0.10856E+00 -0.99382E-01 -0.36717E-01  0.77102E-01  0.13924E+00  0.17651E+00  0.19135E+00  0.30240E+00  0.31763E+00  0.32281E+00  0.32586E+00  0.34909E+00  0.35298E+00  0.35563E+00  0.35624E+00  0.36018E+00  0.36102E+00  0.36458E+00  0.36602E+00  0.36699E+00  0.36844E+00  0.36926E+00  0.37244E+00  0.39029E+00  0.42097E+00  0.42177E+00  0.42739E+00  0.43368E+00  0.43802E+00  0.43828E+00  0.43853E+00  0.45457E+00  0.46613E+00  0.47273E+00  0.48536E+00  0.50450E+00  0.51335E+00  0.54033E+00  0.54105E+00  0.55292E+00  0.57589E+00  0.59652E+00  0.60968E+00  0.64080E+00  0.67582E+00  0.69519E+00  0.69852E+00  0.71025E+00  0.73144E+00  0.73472E+00  0.73913E+00  0.74387E+00  0.75802E+00  0.75838E+00  0.75959E+00  0.76618E+00  0.78085E+00  0.78308E+00  0.78871E+00  0.79246E+00  0.83720E+00  0.87541E+00  0.92363E+00  0.93197E+00  0.94081E+00  0.97787E+00  0.10054E+01  0.10065E+01  0.10159E+01  0.10168E+01  0.10489E+01  0.10524E+01  0.10897E+01  0.10944E+01  0.10980E+01  0.11020E+01  0.11078E+01  0.11163E+01  0.11189E+01  0.11268E+01  0.11706E+01  0.11804E+01  0.11957E+01  0.12300E+01  0.12368E+01
  0.14651E+00 -0.41507E+01 -0.41465E+01 -0.41459E+01 -0.41428E+01 -0.27269E+01 -0.27261E+01 -0.27221E+01 -0.27221E+01 -0.27220E+01 -0.27212E+01 -0.27179E+01 -0.27179E+01 -0.26991E+01 -0.26955E+01 -0.26946E+01 -0.26927E+01 -0.76659E+00 -0.75660E+00 -0.74233E+00 -0.73989E+00 -0.73789E+00 -0.73680E+00 -0.73261E+00 -0.72785E+00 -0.31836E+00 -0.31476E+00 -0.30033E+00 -0.29990E+00 -0.27727E+00 -0.26778E+00 -0.25857E+00 -0.25478E+00 -0.23388E+00 -0.23326E+00 -0.23152E+00 -0.22945E+00 -0.22892E+00 -0.22403E+00 -0.21564E+00 -0.21532E+00 -0.21281E+00 -0.21169E+00 -0.21137E+00 -0.21032E+00 -0.20874E+00 -0.20844E+00 -0.20583E+00 -0.20236E+00 -0.18680E+00 -0.17750E+00 -0.16206E+00 -0.16115E+00 -0.15812E+00 -0.14854E+00 -0.14717E+00 -0.14153E+00 -0.13020E+00 -0.12877E+00 -0.12403E+00 -0.11724E+00 -0.11610E+00 -0.11498E+00 -0.11396E+00 -0.11347E+00 -0.11005E+00 -0.10956E+00 -0.92011E-01 -0.41304E-01  0.82241E-01  0.13271E+00  0.17776E+00  0.18997E+00  0.30338E+00  0.31572E+00  0.32652E+00  0.32694E+00  0.34789E+00  0.34875E+00  0.35656E+00  0.35706E+00  0.36150E+00  0.36176E+00  0.36378E+00  0.36566E+00  0.36699E+00  0.36699E+00  0.36923E+00  0.37127E+00  0.39282E+00  0.41850E+00  0.42079E+00  0.42588E+00  0.43651E+00  0.43788E+00  0.43826E+00  0.43920E+00  0.45401E+00  0.46785E+00  0.46826E+00  0.48336E+00  0.51084E+00  0.51188E+00  0.53359E+00  0.54470E+00  0.55732E+00  0.57079E+00  0.58930E+00  0.60319E+00  0.64057E+00  0.66995E+00  0.69613E+00  0.69915E+00  0.71578E+00  0.73810E+00  0.73955E+00  0.74311E+00  0.74896E+00  0.75552E+00  0.76729E+00  0.76886E+00  0.77334E+00  0.77905E+00  0.78203E+00  0.79127E+00  0.79210E+00  0.83081E+00  0.86452E+00  0.91026E+00  0.93803E+00  0.94227E+00  0.97563E+00  0.99723E+00  0.10061E+01  0.10202E+01  0.10252E+01  0.10365E+01  0.10526E+01  0.10929E+01  0.10956E+01  0.10994E+01  0.10998E+01  0.11112E+01  0.11114E+01  0.11239E+01  0.11272E+01  0.11607E+01  0.11860E+01  0.11882E+01  0.12185E+01  0.12327E+01
