# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77925E+00 -0.75284E+00 -0.75210E+00 -0.75210E+00 -0.74818E+00 -0.73607E+00 -0.73607E+00 -0.72923E+00 -0.33363E+00 -0.31709E+00 -0.30155E+00 -0.29811E+00 -0.28655E+00 -0.25019E+00 -0.24783E+00 -0.24783E+00 -0.24292E+00 -0.23445E+00 -0.23445E+00 -0.23401E+00 -0.23401E+00 -0.22747E+00 -0.22450E+00 -0.22241E+00 -0.21962E+00 -0.21961E+00 -0.20942E+00 -0.20942E+00 -0.19778E+00 -0.18878E+00 -0.18878E+00 -0.18013E+00 -0.17452E+00 -0.17272E+00 -0.17272E+00 -0.16220E+00 -0.16190E+00 -0.16172E+00 -0.15107E+00 -0.14945E+00 -0.13389E+00 -0.12943E+00 -0.12943E+00 -0.12772E+00 -0.12318E+00 -0.12318E+00 -0.10867E+00 -0.98264E-01 -0.98264E-01 -0.95263E-01 -0.60381E-01  0.41767E-01  0.49792E-01  0.17007E+00  0.17131E+00  0.20004E+00  0.28977E+00  0.28977E+00  0.32226E+00  0.32226E+00  0.34199E+00  0.34369E+00  0.34374E+00  0.34557E+00  0.34581E+00  0.35830E+00  0.35976E+00  0.35976E+00  0.36799E+00  0.36999E+00  0.36999E+00  0.37195E+00  0.37195E+00  0.41438E+00  0.41438E+00  0.42770E+00  0.42831E+00  0.43091E+00  0.43091E+00  0.43223E+00  0.44570E+00  0.45004E+00  0.46431E+00  0.48553E+00  0.49331E+00  0.51914E+00  0.53105E+00  0.53105E+00  0.57918E+00  0.58606E+00  0.64674E+00  0.65131E+00  0.65974E+00  0.65974E+00  0.66513E+00  0.66513E+00  0.67879E+00  0.69574E+00  0.70320E+00  0.70581E+00  0.70581E+00  0.71440E+00  0.71440E+00  0.74252E+00  0.76581E+00  0.76581E+00  0.77081E+00  0.79581E+00  0.79581E+00  0.88450E+00  0.89966E+00  0.89966E+00  0.91467E+00  0.91467E+00  0.97403E+00  0.97531E+00  0.10139E+01  0.10264E+01  0.10545E+01  0.10553E+01  0.10554E+01  0.10618E+01  0.10618E+01  0.11106E+01  0.11106E+01  0.11132E+01  0.11132E+01  0.11307E+01  0.11354E+01  0.11533E+01  0.12147E+01  0.12149E+01  0.12179E+01  0.12227E+01
  0.16279E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77920E+00 -0.75344E+00 -0.75209E+00 -0.75171E+00 -0.74802E+00 -0.73608E+00 -0.73607E+00 -0.72924E+00 -0.33347E+00 -0.31698E+00 -0.30153E+00 -0.29799E+00 -0.28652E+00 -0.25033E+00 -0.24782E+00 -0.24776E+00 -0.24314E+00 -0.23445E+00 -0.23443E+00 -0.23436E+00 -0.23387E+00 -0.22740E+00 -0.22451E+00 -0.22242E+00 -0.21980E+00 -0.21962E+00 -0.21027E+00 -0.20946E+00 -0.19810E+00 -0.18871E+00 -0.18822E+00 -0.18000E+00 -0.17503E+00 -0.17271E+00 -0.17235E+00 -0.16212E+00 -0.16164E+00 -0.16164E+00 -0.15105E+00 -0.14884E+00 -0.13387E+00 -0.12951E+00 -0.12942E+00 -0.12774E+00 -0.12324E+00 -0.12317E+00 -0.10876E+00 -0.98360E-01 -0.98280E-01 -0.95291E-01 -0.60136E-01  0.41535E-01  0.50157E-01  0.16970E+00  0.17107E+00  0.19992E+00  0.28981E+00  0.29032E+00  0.32205E+00  0.32217E+00  0.34211E+00  0.34371E+00  0.34382E+00  0.34559E+00  0.34586E+00  0.35828E+00  0.35969E+00  0.35979E+00  0.36787E+00  0.36955E+00  0.36985E+00  0.37187E+00  0.37211E+00  0.41433E+00  0.41455E+00  0.42746E+00  0.42808E+00  0.43085E+00  0.43086E+00  0.43222E+00  0.44577E+00  0.45018E+00  0.46492E+00  0.48522E+00  0.49303E+00  0.51935E+00  0.53052E+00  0.53133E+00  0.57837E+00  0.58536E+00  0.64306E+00  0.64816E+00  0.65975E+00  0.66323E+00  0.66537E+00  0.66844E+00  0.67920E+00  0.69665E+00  0.70311E+00  0.70618E+00  0.70659E+00  0.71389E+00  0.71480E+00  0.74356E+00  0.76591E+00  0.76601E+00  0.77050E+00  0.79558E+00  0.79567E+00  0.88152E+00  0.90005E+00  0.90014E+00  0.91396E+00  0.91818E+00  0.97431E+00  0.97568E+00  0.10118E+01  0.10267E+01  0.10536E+01  0.10545E+01  0.10559E+01  0.10621E+01  0.10626E+01  0.11102E+01  0.11108E+01  0.11117E+01  0.11133E+01  0.11291E+01  0.11352E+01  0.11533E+01  0.12148E+01  0.12154E+01  0.12178E+01  0.12236E+01
  0.32558E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77905E+00 -0.75444E+00 -0.75207E+00 -0.75127E+00 -0.74761E+00 -0.73611E+00 -0.73607E+00 -0.72926E+00 -0.33301E+00 -0.31665E+00 -0.30147E+00 -0.29763E+00 -0.28642E+00 -0.25081E+00 -0.24780E+00 -0.24756E+00 -0.24369E+00 -0.23537E+00 -0.23447E+00 -0.23437E+00 -0.23352E+00 -0.22723E+00 -0.22455E+00 -0.22247E+00 -0.22036E+00 -0.21962E+00 -0.21265E+00 -0.20957E+00 -0.19887E+00 -0.18850E+00 -0.18676E+00 -0.17962E+00 -0.17610E+00 -0.17270E+00 -0.17164E+00 -0.16193E+00 -0.16141E+00 -0.16095E+00 -0.15099E+00 -0.14713E+00 -0.13382E+00 -0.12975E+00 -0.12942E+00 -0.12779E+00 -0.12342E+00 -0.12315E+00 -0.10901E+00 -0.98648E-01 -0.98327E-01 -0.95372E-01 -0.59402E-01  0.40837E-01  0.51253E-01  0.16801E+00  0.17098E+00  0.19957E+00  0.28994E+00  0.29191E+00  0.32142E+00  0.32190E+00  0.34248E+00  0.34378E+00  0.34399E+00  0.34569E+00  0.34600E+00  0.35823E+00  0.35951E+00  0.35988E+00  0.36750E+00  0.36822E+00  0.36943E+00  0.37168E+00  0.37259E+00  0.41418E+00  0.41508E+00  0.42674E+00  0.42742E+00  0.43068E+00  0.43073E+00  0.43218E+00  0.44596E+00  0.45060E+00  0.46676E+00  0.48427E+00  0.49223E+00  0.51997E+00  0.52897E+00  0.53219E+00  0.57547E+00  0.58404E+00  0.63591E+00  0.64262E+00  0.65728E+00  0.66876E+00  0.66894E+00  0.67536E+00  0.68025E+00  0.69868E+00  0.70235E+00  0.70728E+00  0.70892E+00  0.71364E+00  0.71601E+00  0.74623E+00  0.76621E+00  0.76660E+00  0.76959E+00  0.79488E+00  0.79528E+00  0.87492E+00  0.90121E+00  0.90157E+00  0.91181E+00  0.92633E+00  0.97466E+00  0.97722E+00  0.10061E+01  0.10274E+01  0.10509E+01  0.10518E+01  0.10579E+01  0.10632E+01  0.10649E+01  0.11082E+01  0.11092E+01  0.11113E+01  0.11136E+01  0.11245E+01  0.11342E+01  0.11534E+01  0.12149E+01  0.12151E+01  0.12171E+01  0.12286E+01
  0.48836E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77879E+00 -0.75560E+00 -0.75203E+00 -0.75092E+00 -0.74706E+00 -0.73616E+00 -0.73607E+00 -0.72929E+00 -0.33225E+00 -0.31611E+00 -0.30136E+00 -0.29704E+00 -0.28626E+00 -0.25170E+00 -0.24776E+00 -0.24723E+00 -0.24436E+00 -0.23694E+00 -0.23449E+00 -0.23427E+00 -0.23306E+00 -0.22702E+00 -0.22463E+00 -0.22263E+00 -0.22124E+00 -0.21962E+00 -0.21611E+00 -0.20975E+00 -0.19975E+00 -0.18813E+00 -0.18477E+00 -0.17910E+00 -0.17736E+00 -0.17269E+00 -0.17079E+00 -0.16174E+00 -0.16110E+00 -0.15996E+00 -0.15089E+00 -0.14458E+00 -0.13377E+00 -0.13010E+00 -0.12940E+00 -0.12788E+00 -0.12367E+00 -0.12310E+00 -0.10942E+00 -0.99119E-01 -0.98402E-01 -0.95500E-01 -0.58174E-01  0.39676E-01  0.53071E-01  0.16496E+00  0.17117E+00  0.19903E+00  0.29015E+00  0.29441E+00  0.32045E+00  0.32154E+00  0.34305E+00  0.34389E+00  0.34406E+00  0.34605E+00  0.34625E+00  0.35814E+00  0.35920E+00  0.36003E+00  0.36610E+00  0.36687E+00  0.36875E+00  0.37141E+00  0.37339E+00  0.41396E+00  0.41596E+00  0.42551E+00  0.42641E+00  0.43045E+00  0.43052E+00  0.43211E+00  0.44627E+00  0.45127E+00  0.46973E+00  0.48267E+00  0.49102E+00  0.52101E+00  0.52652E+00  0.53360E+00  0.57035E+00  0.58293E+00  0.62801E+00  0.63655E+00  0.65293E+00  0.67436E+00  0.67482E+00  0.68209E+00  0.68334E+00  0.69808E+00  0.70295E+00  0.70908E+00  0.71272E+00  0.71563E+00  0.71800E+00  0.74969E+00  0.76668E+00  0.76754E+00  0.76810E+00  0.79375E+00  0.79468E+00  0.86724E+00  0.90313E+00  0.90387E+00  0.90823E+00  0.93657E+00  0.97477E+00  0.97994E+00  0.99756E+00  0.10286E+01  0.10459E+01  0.10473E+01  0.10611E+01  0.10650E+01  0.10681E+01  0.11043E+01  0.11076E+01  0.11121E+01  0.11142E+01  0.11168E+01  0.11323E+01  0.11541E+01  0.12093E+01  0.12156E+01  0.12199E+01  0.12294E+01
  0.65115E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77843E+00 -0.75683E+00 -0.75198E+00 -0.75061E+00 -0.74649E+00 -0.73622E+00 -0.73605E+00 -0.72934E+00 -0.33123E+00 -0.31537E+00 -0.30118E+00 -0.29622E+00 -0.28603E+00 -0.25306E+00 -0.24772E+00 -0.24676E+00 -0.24494E+00 -0.23894E+00 -0.23452E+00 -0.23415E+00 -0.23259E+00 -0.22681E+00 -0.22490E+00 -0.22330E+00 -0.22239E+00 -0.21970E+00 -0.21961E+00 -0.21000E+00 -0.20056E+00 -0.18759E+00 -0.18250E+00 -0.17905E+00 -0.17812E+00 -0.17267E+00 -0.16976E+00 -0.16159E+00 -0.16078E+00 -0.15882E+00 -0.15075E+00 -0.14155E+00 -0.13382E+00 -0.13041E+00 -0.12938E+00 -0.12800E+00 -0.12397E+00 -0.12304E+00 -0.10999E+00 -0.99762E-01 -0.98501E-01 -0.95664E-01 -0.56455E-01  0.38068E-01  0.55588E-01  0.16084E+00  0.17150E+00  0.19833E+00  0.29044E+00  0.29759E+00  0.31919E+00  0.32117E+00  0.34376E+00  0.34388E+00  0.34404E+00  0.34661E+00  0.34678E+00  0.35802E+00  0.35878E+00  0.36022E+00  0.36328E+00  0.36602E+00  0.36783E+00  0.37111E+00  0.37451E+00  0.41366E+00  0.41719E+00  0.42380E+00  0.42514E+00  0.43022E+00  0.43025E+00  0.43203E+00  0.44666E+00  0.45211E+00  0.47376E+00  0.48041E+00  0.48954E+00  0.52248E+00  0.52332E+00  0.53555E+00  0.56381E+00  0.58183E+00  0.61996E+00  0.63027E+00  0.64816E+00  0.67872E+00  0.68068E+00  0.68584E+00  0.69160E+00  0.69371E+00  0.70695E+00  0.71154E+00  0.71789E+00  0.71975E+00  0.72070E+00  0.75332E+00  0.76607E+00  0.76731E+00  0.76878E+00  0.79224E+00  0.79391E+00  0.85944E+00  0.90326E+00  0.90579E+00  0.90693E+00  0.94792E+00  0.97444E+00  0.98208E+00  0.98875E+00  0.10302E+01  0.10383E+01  0.10414E+01  0.10655E+01  0.10675E+01  0.10718E+01  0.11012E+01  0.11053E+01  0.11071E+01  0.11128E+01  0.11150E+01  0.11291E+01  0.11558E+01  0.12019E+01  0.12163E+01  0.12233E+01  0.12240E+01
  0.81394E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77798E+00 -0.75812E+00 -0.75191E+00 -0.75031E+00 -0.74598E+00 -0.73629E+00 -0.73600E+00 -0.72940E+00 -0.33000E+00 -0.31448E+00 -0.30091E+00 -0.29518E+00 -0.28575E+00 -0.25486E+00 -0.24766E+00 -0.24617E+00 -0.24537E+00 -0.24130E+00 -0.23455E+00 -0.23400E+00 -0.23217E+00 -0.22732E+00 -0.22655E+00 -0.22434E+00 -0.22375E+00 -0.22132E+00 -0.21961E+00 -0.21029E+00 -0.20121E+00 -0.18688E+00 -0.18032E+00 -0.18011E+00 -0.17754E+00 -0.17265E+00 -0.16855E+00 -0.16151E+00 -0.16052E+00 -0.15765E+00 -0.15057E+00 -0.13839E+00 -0.13418E+00 -0.13050E+00 -0.12936E+00 -0.12814E+00 -0.12425E+00 -0.12296E+00 -0.11070E+00 -0.10056E+00 -0.98619E-01 -0.95854E-01 -0.54260E-01  0.36048E-01  0.58764E-01  0.15586E+00  0.17192E+00  0.19753E+00  0.29081E+00  0.30122E+00  0.31774E+00  0.32093E+00  0.34346E+00  0.34423E+00  0.34457E+00  0.34707E+00  0.34783E+00  0.35787E+00  0.35826E+00  0.35983E+00  0.36051E+00  0.36499E+00  0.36671E+00  0.37083E+00  0.37593E+00  0.41332E+00  0.41876E+00  0.42165E+00  0.42367E+00  0.42994E+00  0.43006E+00  0.43193E+00  0.44707E+00  0.45308E+00  0.47754E+00  0.47870E+00  0.48793E+00  0.51962E+00  0.52438E+00  0.53803E+00  0.55659E+00  0.58033E+00  0.61195E+00  0.62389E+00  0.64367E+00  0.68079E+00  0.68649E+00  0.68821E+00  0.69076E+00  0.69983E+00  0.71365E+00  0.71457E+00  0.72404E+00  0.72431E+00  0.72506E+00  0.75676E+00  0.76355E+00  0.76805E+00  0.77023E+00  0.79044E+00  0.79306E+00  0.85185E+00  0.89693E+00  0.90917E+00  0.91059E+00  0.96001E+00  0.97026E+00  0.97640E+00  0.99064E+00  0.10287E+01  0.10321E+01  0.10342E+01  0.10707E+01  0.10711E+01  0.10760E+01  0.10921E+01  0.11023E+01  0.11028E+01  0.11132E+01  0.11160E+01  0.11245E+01  0.11588E+01  0.11932E+01  0.12156E+01  0.12172E+01  0.12292E+01
  0.97673E-01 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77745E+00 -0.75942E+00 -0.75185E+00 -0.74999E+00 -0.74557E+00 -0.73637E+00 -0.73593E+00 -0.72946E+00 -0.32861E+00 -0.31346E+00 -0.30050E+00 -0.29395E+00 -0.28543E+00 -0.25700E+00 -0.24759E+00 -0.24564E+00 -0.24544E+00 -0.24392E+00 -0.23459E+00 -0.23384E+00 -0.23191E+00 -0.23181E+00 -0.22642E+00 -0.22526E+00 -0.22457E+00 -0.22165E+00 -0.21961E+00 -0.21060E+00 -0.20171E+00 -0.18602E+00 -0.18166E+00 -0.17772E+00 -0.17686E+00 -0.17262E+00 -0.16718E+00 -0.16152E+00 -0.16036E+00 -0.15649E+00 -0.15036E+00 -0.13540E+00 -0.13495E+00 -0.13021E+00 -0.12933E+00 -0.12832E+00 -0.12444E+00 -0.12285E+00 -0.11152E+00 -0.10149E+00 -0.98749E-01 -0.96054E-01 -0.51630E-01  0.33669E-01  0.62554E-01  0.15021E+00  0.17243E+00  0.19665E+00  0.29124E+00  0.30506E+00  0.31616E+00  0.32095E+00  0.34284E+00  0.34445E+00  0.34544E+00  0.34763E+00  0.34908E+00  0.35613E+00  0.35765E+00  0.35772E+00  0.36068E+00  0.36385E+00  0.36542E+00  0.37057E+00  0.37765E+00  0.41297E+00  0.41913E+00  0.42067E+00  0.42208E+00  0.42961E+00  0.43008E+00  0.43182E+00  0.44745E+00  0.45407E+00  0.47418E+00  0.48442E+00  0.48626E+00  0.51569E+00  0.52672E+00  0.54100E+00  0.54914E+00  0.57812E+00  0.60406E+00  0.61747E+00  0.63993E+00  0.68094E+00  0.68386E+00  0.69223E+00  0.69398E+00  0.70782E+00  0.71811E+00  0.72308E+00  0.72792E+00  0.73123E+00  0.73182E+00  0.75979E+00  0.76059E+00  0.76886E+00  0.77168E+00  0.78854E+00  0.79221E+00  0.84459E+00  0.88933E+00  0.91325E+00  0.91454E+00  0.95752E+00  0.97266E+00  0.97467E+00  0.99649E+00  0.10180E+01  0.10260E+01  0.10345E+01  0.10745E+01  0.10777E+01  0.10777E+01  0.10804E+01  0.10988E+01  0.11039E+01  0.11128E+01  0.11169E+01  0.11192E+01  0.11630E+01  0.11838E+01  0.12068E+01  0.12185E+01  0.12357E+01
  0.11395E+00 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77684E+00 -0.76072E+00 -0.75177E+00 -0.74967E+00 -0.74528E+00 -0.73645E+00 -0.73582E+00 -0.72954E+00 -0.32713E+00 -0.31240E+00 -0.29992E+00 -0.29253E+00 -0.28510E+00 -0.25936E+00 -0.24753E+00 -0.24670E+00 -0.24580E+00 -0.24460E+00 -0.23681E+00 -0.23463E+00 -0.23368E+00 -0.23152E+00 -0.22686E+00 -0.22626E+00 -0.22469E+00 -0.22174E+00 -0.21961E+00 -0.21092E+00 -0.20207E+00 -0.18503E+00 -0.18292E+00 -0.17621E+00 -0.17542E+00 -0.17260E+00 -0.16571E+00 -0.16162E+00 -0.16032E+00 -0.15538E+00 -0.15011E+00 -0.13608E+00 -0.13278E+00 -0.12960E+00 -0.12931E+00 -0.12851E+00 -0.12448E+00 -0.12272E+00 -0.11243E+00 -0.10252E+00 -0.98883E-01 -0.96254E-01 -0.48641E-01  0.31007E-01  0.66900E-01  0.14407E+00  0.17298E+00  0.19573E+00  0.29173E+00  0.30886E+00  0.31454E+00  0.32138E+00  0.34197E+00  0.34469E+00  0.34634E+00  0.34831E+00  0.35036E+00  0.35231E+00  0.35696E+00  0.35756E+00  0.36085E+00  0.36269E+00  0.36400E+00  0.37034E+00  0.37965E+00  0.41262E+00  0.41632E+00  0.42045E+00  0.42290E+00  0.42929E+00  0.43036E+00  0.43171E+00  0.44768E+00  0.45499E+00  0.47051E+00  0.48459E+00  0.49077E+00  0.51186E+00  0.52951E+00  0.54175E+00  0.54445E+00  0.57496E+00  0.59637E+00  0.61103E+00  0.63724E+00  0.67612E+00  0.68405E+00  0.69600E+00  0.69789E+00  0.71537E+00  0.72205E+00  0.73221E+00  0.73260E+00  0.73971E+00  0.74025E+00  0.75725E+00  0.76230E+00  0.76972E+00  0.77275E+00  0.78696E+00  0.79143E+00  0.83772E+00  0.88058E+00  0.91796E+00  0.91799E+00  0.94354E+00  0.97329E+00  0.98574E+00  0.10034E+01  0.10074E+01  0.10170E+01  0.10372E+01  0.10616E+01  0.10791E+01  0.10851E+01  0.10852E+01  0.10949E+01  0.11068E+01  0.11112E+01  0.11117E+01  0.11191E+01  0.11685E+01  0.11740E+01  0.11974E+01  0.12202E+01  0.12433E+01
  0.13023E+00 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77617E+00 -0.76199E+00 -0.75170E+00 -0.74933E+00 -0.74510E+00 -0.73653E+00 -0.73568E+00 -0.72962E+00 -0.32565E+00 -0.31136E+00 -0.29908E+00 -0.29097E+00 -0.28480E+00 -0.26183E+00 -0.24955E+00 -0.24747E+00 -0.24589E+00 -0.24363E+00 -0.24150E+00 -0.23467E+00 -0.23355E+00 -0.23130E+00 -0.22850E+00 -0.22611E+00 -0.22480E+00 -0.22178E+00 -0.21961E+00 -0.21121E+00 -0.20231E+00 -0.18404E+00 -0.18395E+00 -0.17563E+00 -0.17329E+00 -0.17258E+00 -0.16425E+00 -0.16185E+00 -0.16036E+00 -0.15428E+00 -0.14985E+00 -0.13748E+00 -0.13070E+00 -0.12928E+00 -0.12877E+00 -0.12871E+00 -0.12430E+00 -0.12256E+00 -0.11339E+00 -0.10361E+00 -0.99014E-01 -0.96442E-01 -0.45422E-01  0.28168E-01  0.71744E-01  0.13758E+00  0.17357E+00  0.19480E+00  0.29227E+00  0.31237E+00  0.31294E+00  0.32239E+00  0.34080E+00  0.34494E+00  0.34725E+00  0.34807E+00  0.34911E+00  0.35217E+00  0.35621E+00  0.35741E+00  0.36095E+00  0.36157E+00  0.36249E+00  0.37013E+00  0.38191E+00  0.41226E+00  0.41334E+00  0.41886E+00  0.42546E+00  0.42899E+00  0.43098E+00  0.43160E+00  0.44763E+00  0.45564E+00  0.46681E+00  0.48299E+00  0.49752E+00  0.50857E+00  0.53276E+00  0.53463E+00  0.54833E+00  0.57073E+00  0.58890E+00  0.60462E+00  0.63580E+00  0.67045E+00  0.68500E+00  0.69727E+00  0.70346E+00  0.72226E+00  0.72629E+00  0.73672E+00  0.73932E+00  0.74940E+00  0.75213E+00  0.75359E+00  0.76439E+00  0.77058E+00  0.77276E+00  0.78638E+00  0.79083E+00  0.83128E+00  0.87083E+00  0.91643E+00  0.92340E+00  0.93381E+00  0.97143E+00  0.99759E+00  0.99914E+00  0.10074E+01  0.10111E+01  0.10404E+01  0.10453E+01  0.10842E+01  0.10891E+01  0.10897E+01  0.10950E+01  0.11045E+01  0.11081E+01  0.11108E+01  0.11203E+01  0.11642E+01  0.11753E+01  0.11877E+01  0.12223E+01  0.12292E+01
  0.14651E+00 -0.41643E+01 -0.41643E+01 -0.41416E+01 -0.40751E+01 -0.27414E+01 -0.27414E+01 -0.27398E+01 -0.27398E+01 -0.27143E+01 -0.27111E+01 -0.27111E+01 -0.27001E+01 -0.27001E+01 -0.26425E+01 -0.26425E+01 -0.26416E+01 -0.77547E+00 -0.76319E+00 -0.75164E+00 -0.74900E+00 -0.74504E+00 -0.73660E+00 -0.73553E+00 -0.72970E+00 -0.32426E+00 -0.31044E+00 -0.29793E+00 -0.28930E+00 -0.28462E+00 -0.26430E+00 -0.25232E+00 -0.24741E+00 -0.24594E+00 -0.24571E+00 -0.24255E+00 -0.23471E+00 -0.23349E+00 -0.23114E+00 -0.23010E+00 -0.22596E+00 -0.22491E+00 -0.22179E+00 -0.21961E+00 -0.21146E+00 -0.20247E+00 -0.18501E+00 -0.18285E+00 -0.17513E+00 -0.17255E+00 -0.17142E+00 -0.16289E+00 -0.16224E+00 -0.16043E+00 -0.15312E+00 -0.14957E+00 -0.13906E+00 -0.12926E+00 -0.12925E+00 -0.12891E+00 -0.12785E+00 -0.12386E+00 -0.12238E+00 -0.11434E+00 -0.10470E+00 -0.99133E-01 -0.96609E-01 -0.42155E-01  0.25301E-01  0.77013E-01  0.13090E+00  0.17415E+00  0.19392E+00  0.29282E+00  0.31145E+00  0.31543E+00  0.32404E+00  0.33914E+00  0.34450E+00  0.34519E+00  0.34817E+00  0.35001E+00  0.35366E+00  0.35542E+00  0.35729E+00  0.36055E+00  0.36093E+00  0.36093E+00  0.36997E+00  0.38441E+00  0.40998E+00  0.41219E+00  0.41738E+00  0.42832E+00  0.42873E+00  0.43151E+00  0.43201E+00  0.44717E+00  0.45554E+00  0.46362E+00  0.48151E+00  0.50334E+00  0.50735E+00  0.52797E+00  0.53646E+00  0.55261E+00  0.56547E+00  0.58171E+00  0.59827E+00  0.63561E+00  0.66488E+00  0.68589E+00  0.69813E+00  0.70892E+00  0.72825E+00  0.73068E+00  0.74120E+00  0.74467E+00  0.74969E+00  0.75888E+00  0.76295E+00  0.76946E+00  0.77128E+00  0.77148E+00  0.78727E+00  0.79058E+00  0.82530E+00  0.86030E+00  0.90395E+00  0.92943E+00  0.93455E+00  0.96897E+00  0.98948E+00  0.99759E+00  0.10127E+01  0.10193E+01  0.10294E+01  0.10439E+01  0.10846E+01  0.10900E+01  0.10921E+01  0.10991E+01  0.11031E+01  0.11039E+01  0.11158E+01  0.11212E+01  0.11544E+01  0.11781E+01  0.11833E+01  0.12109E+01  0.12250E+01
