# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77146E+00 -0.74534E+00 -0.74534E+00 -0.74188E+00 -0.74166E+00 -0.73531E+00 -0.73531E+00 -0.72655E+00 -0.32664E+00 -0.31472E+00 -0.31472E+00 -0.31154E+00 -0.28778E+00 -0.23513E+00 -0.23513E+00 -0.23443E+00 -0.23443E+00 -0.23045E+00 -0.23045E+00 -0.22892E+00 -0.22891E+00 -0.21434E+00 -0.21412E+00 -0.21193E+00 -0.21193E+00 -0.21163E+00 -0.21140E+00 -0.21126E+00 -0.20871E+00 -0.20462E+00 -0.20462E+00 -0.20425E+00 -0.20424E+00 -0.18081E+00 -0.18079E+00 -0.16474E+00 -0.16474E+00 -0.16185E+00 -0.14498E+00 -0.14281E+00 -0.14281E+00 -0.12775E+00 -0.11930E+00 -0.11930E+00 -0.11902E+00 -0.11902E+00 -0.11360E+00 -0.11360E+00 -0.10694E+00 -0.10689E+00 -0.10373E+00 -0.19304E-01  0.55497E-01  0.17120E+00  0.17120E+00  0.19661E+00  0.29849E+00  0.29851E+00  0.32762E+00  0.32762E+00  0.34998E+00  0.35142E+00  0.35299E+00  0.35319E+00  0.35878E+00  0.36716E+00  0.36716E+00  0.36782E+00  0.36785E+00  0.37514E+00  0.37515E+00  0.37993E+00  0.37993E+00  0.42257E+00  0.42257E+00  0.43636E+00  0.43636E+00  0.43819E+00  0.43851E+00  0.44043E+00  0.45259E+00  0.45708E+00  0.47083E+00  0.49465E+00  0.49465E+00  0.52736E+00  0.53494E+00  0.53494E+00  0.58686E+00  0.58686E+00  0.65602E+00  0.65602E+00  0.66768E+00  0.66772E+00  0.66907E+00  0.66910E+00  0.68917E+00  0.70422E+00  0.70422E+00  0.71292E+00  0.71294E+00  0.71779E+00  0.71779E+00  0.74133E+00  0.77464E+00  0.77467E+00  0.77678E+00  0.79900E+00  0.79900E+00  0.89276E+00  0.90792E+00  0.90792E+00  0.91983E+00  0.91983E+00  0.98032E+00  0.98032E+00  0.10179E+01  0.10345E+01  0.10629E+01  0.10630E+01  0.10630E+01  0.10666E+01  0.10666E+01  0.11186E+01  0.11186E+01  0.11210E+01  0.11210E+01  0.11378E+01  0.11382E+01  0.11596E+01  0.12222E+01  0.12222E+01  0.12268E+01  0.12268E+01
  0.16279E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77140E+00 -0.74583E+00 -0.74531E+00 -0.74177E+00 -0.74130E+00 -0.73534E+00 -0.73532E+00 -0.72657E+00 -0.32646E+00 -0.31473E+00 -0.31454E+00 -0.31147E+00 -0.28765E+00 -0.23551E+00 -0.23512E+00 -0.23441E+00 -0.23436E+00 -0.23180E+00 -0.23047E+00 -0.22893E+00 -0.22885E+00 -0.21433E+00 -0.21361E+00 -0.21290E+00 -0.21194E+00 -0.21157E+00 -0.21130E+00 -0.21077E+00 -0.20871E+00 -0.20477E+00 -0.20462E+00 -0.20447E+00 -0.20424E+00 -0.18073E+00 -0.18044E+00 -0.16470E+00 -0.16447E+00 -0.16176E+00 -0.14499E+00 -0.14282E+00 -0.14170E+00 -0.12772E+00 -0.11943E+00 -0.11926E+00 -0.11920E+00 -0.11900E+00 -0.11362E+00 -0.11362E+00 -0.10702E+00 -0.10695E+00 -0.10383E+00 -0.19586E-01  0.55858E-01  0.17055E+00  0.17128E+00  0.19652E+00  0.29856E+00  0.29904E+00  0.32740E+00  0.32750E+00  0.35011E+00  0.35149E+00  0.35303E+00  0.35321E+00  0.35882E+00  0.36714E+00  0.36714E+00  0.36777E+00  0.36787E+00  0.37469E+00  0.37501E+00  0.37975E+00  0.38009E+00  0.42252E+00  0.42274E+00  0.43609E+00  0.43616E+00  0.43815E+00  0.43847E+00  0.44038E+00  0.45265E+00  0.45727E+00  0.47144E+00  0.49421E+00  0.49447E+00  0.52756E+00  0.53443E+00  0.53523E+00  0.58546E+00  0.58682E+00  0.65161E+00  0.65322E+00  0.66634E+00  0.67041E+00  0.67073E+00  0.67357E+00  0.68930E+00  0.70454E+00  0.70566E+00  0.71331E+00  0.71373E+00  0.71609E+00  0.71819E+00  0.74276E+00  0.77477E+00  0.77489E+00  0.77648E+00  0.79874E+00  0.79885E+00  0.88941E+00  0.90831E+00  0.90840E+00  0.91910E+00  0.92369E+00  0.98039E+00  0.98095E+00  0.10159E+01  0.10348E+01  0.10621E+01  0.10621E+01  0.10636E+01  0.10670E+01  0.10674E+01  0.11183E+01  0.11188E+01  0.11195E+01  0.11210E+01  0.11362E+01  0.11379E+01  0.11596E+01  0.12223E+01  0.12228E+01  0.12255E+01  0.12290E+01
  0.32558E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77123E+00 -0.74692E+00 -0.74521E+00 -0.74169E+00 -0.74038E+00 -0.73545E+00 -0.73537E+00 -0.72661E+00 -0.32594E+00 -0.31475E+00 -0.31399E+00 -0.31125E+00 -0.28725E+00 -0.23661E+00 -0.23508E+00 -0.23504E+00 -0.23434E+00 -0.23415E+00 -0.23053E+00 -0.22899E+00 -0.22867E+00 -0.21689E+00 -0.21431E+00 -0.21197E+00 -0.21155E+00 -0.21127E+00 -0.21045E+00 -0.21004E+00 -0.20873E+00 -0.20520E+00 -0.20512E+00 -0.20462E+00 -0.20425E+00 -0.18054E+00 -0.17941E+00 -0.16455E+00 -0.16366E+00 -0.16149E+00 -0.14504E+00 -0.14284E+00 -0.13855E+00 -0.12765E+00 -0.11981E+00 -0.11973E+00 -0.11914E+00 -0.11895E+00 -0.11369E+00 -0.11367E+00 -0.10729E+00 -0.10711E+00 -0.10412E+00 -0.20430E-01  0.56934E-01  0.16864E+00  0.17152E+00  0.19625E+00  0.29872E+00  0.30059E+00  0.32675E+00  0.32717E+00  0.35047E+00  0.35166E+00  0.35316E+00  0.35331E+00  0.35891E+00  0.36707E+00  0.36709E+00  0.36758E+00  0.36796E+00  0.37336E+00  0.37462E+00  0.37921E+00  0.38058E+00  0.42238E+00  0.42325E+00  0.43529E+00  0.43556E+00  0.43801E+00  0.43837E+00  0.44024E+00  0.45284E+00  0.45780E+00  0.47326E+00  0.49292E+00  0.49393E+00  0.52817E+00  0.53293E+00  0.53610E+00  0.58159E+00  0.58667E+00  0.64390E+00  0.64781E+00  0.66283E+00  0.67523E+00  0.67559E+00  0.68149E+00  0.68967E+00  0.70564E+00  0.70941E+00  0.71189E+00  0.71445E+00  0.71609E+00  0.71937E+00  0.74617E+00  0.77511E+00  0.77556E+00  0.77558E+00  0.79794E+00  0.79840E+00  0.88231E+00  0.90947E+00  0.90981E+00  0.91692E+00  0.93231E+00  0.98056E+00  0.98283E+00  0.10102E+01  0.10355E+01  0.10592E+01  0.10595E+01  0.10655E+01  0.10681E+01  0.10694E+01  0.11161E+01  0.11173E+01  0.11194E+01  0.11213E+01  0.11313E+01  0.11369E+01  0.11597E+01  0.12218E+01  0.12226E+01  0.12245E+01  0.12350E+01
  0.48836E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77094E+00 -0.74824E+00 -0.74506E+00 -0.74158E+00 -0.73933E+00 -0.73562E+00 -0.73543E+00 -0.72670E+00 -0.32510E+00 -0.31479E+00 -0.31308E+00 -0.31085E+00 -0.28660E+00 -0.23936E+00 -0.23815E+00 -0.23501E+00 -0.23424E+00 -0.23380E+00 -0.23063E+00 -0.22908E+00 -0.22836E+00 -0.22144E+00 -0.21427E+00 -0.21203E+00 -0.21151E+00 -0.21122E+00 -0.21033E+00 -0.20876E+00 -0.20654E+00 -0.20615E+00 -0.20588E+00 -0.20461E+00 -0.20425E+00 -0.18022E+00 -0.17780E+00 -0.16432E+00 -0.16238E+00 -0.16108E+00 -0.14513E+00 -0.14286E+00 -0.13383E+00 -0.12753E+00 -0.12058E+00 -0.12045E+00 -0.11894E+00 -0.11887E+00 -0.11380E+00 -0.11376E+00 -0.10775E+00 -0.10735E+00 -0.10459E+00 -0.21836E-01  0.58706E-01  0.16558E+00  0.17193E+00  0.19580E+00  0.29900E+00  0.30305E+00  0.32572E+00  0.32669E+00  0.35103E+00  0.35173E+00  0.35337E+00  0.35370E+00  0.35908E+00  0.36695E+00  0.36701E+00  0.36728E+00  0.36811E+00  0.37121E+00  0.37398E+00  0.37836E+00  0.38139E+00  0.42216E+00  0.42409E+00  0.43398E+00  0.43462E+00  0.43777E+00  0.43825E+00  0.44003E+00  0.45312E+00  0.45865E+00  0.47622E+00  0.49084E+00  0.49305E+00  0.52919E+00  0.53054E+00  0.53753E+00  0.57595E+00  0.58632E+00  0.63572E+00  0.64173E+00  0.65822E+00  0.68128E+00  0.68143E+00  0.68999E+00  0.69029E+00  0.70641E+00  0.70794E+00  0.71456E+00  0.71632E+00  0.71997E+00  0.72130E+00  0.75027E+00  0.77406E+00  0.77566E+00  0.77672E+00  0.79662E+00  0.79769E+00  0.87427E+00  0.91138E+00  0.91209E+00  0.91328E+00  0.94287E+00  0.98075E+00  0.98591E+00  0.10015E+01  0.10367E+01  0.10540E+01  0.10552E+01  0.10687E+01  0.10699E+01  0.10724E+01  0.11125E+01  0.11156E+01  0.11202E+01  0.11218E+01  0.11234E+01  0.11351E+01  0.11602E+01  0.12159E+01  0.12230E+01  0.12274E+01  0.12369E+01
  0.65115E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77055E+00 -0.74964E+00 -0.74485E+00 -0.74143E+00 -0.73832E+00 -0.73586E+00 -0.73547E+00 -0.72682E+00 -0.32400E+00 -0.31484E+00 -0.31182E+00 -0.31022E+00 -0.28569E+00 -0.24390E+00 -0.24038E+00 -0.23492E+00 -0.23409E+00 -0.23332E+00 -0.23077E+00 -0.22921E+00 -0.22793E+00 -0.22691E+00 -0.21422E+00 -0.21210E+00 -0.21146E+00 -0.21114E+00 -0.21029E+00 -0.20880E+00 -0.20747E+00 -0.20679E+00 -0.20460E+00 -0.20426E+00 -0.20290E+00 -0.17982E+00 -0.17571E+00 -0.16400E+00 -0.16070E+00 -0.16058E+00 -0.14526E+00 -0.14287E+00 -0.12799E+00 -0.12732E+00 -0.12175E+00 -0.12133E+00 -0.11874E+00 -0.11866E+00 -0.11393E+00 -0.11388E+00 -0.10838E+00 -0.10769E+00 -0.10523E+00 -0.23798E-01  0.61149E-01  0.16154E+00  0.17249E+00  0.19517E+00  0.29939E+00  0.30624E+00  0.32439E+00  0.32615E+00  0.35152E+00  0.35175E+00  0.35368E+00  0.35446E+00  0.35930E+00  0.36679E+00  0.36687E+00  0.36691E+00  0.36830E+00  0.36836E+00  0.37312E+00  0.37728E+00  0.38251E+00  0.42187E+00  0.42526E+00  0.43221E+00  0.43338E+00  0.43750E+00  0.43811E+00  0.43977E+00  0.45348E+00  0.45976E+00  0.48023E+00  0.48807E+00  0.49188E+00  0.52744E+00  0.53062E+00  0.53952E+00  0.56925E+00  0.58565E+00  0.62750E+00  0.63540E+00  0.65332E+00  0.68708E+00  0.68770E+00  0.69104E+00  0.69867E+00  0.70040E+00  0.71235E+00  0.71886E+00  0.72032E+00  0.72390E+00  0.72525E+00  0.75437E+00  0.77201E+00  0.77639E+00  0.77829E+00  0.79478E+00  0.79677E+00  0.86618E+00  0.90823E+00  0.91403E+00  0.91512E+00  0.95445E+00  0.98085E+00  0.99012E+00  0.99045E+00  0.10383E+01  0.10462E+01  0.10493E+01  0.10724E+01  0.10731E+01  0.10760E+01  0.11103E+01  0.11127E+01  0.11132E+01  0.11209E+01  0.11225E+01  0.11320E+01  0.11616E+01  0.12083E+01  0.12237E+01  0.12308E+01  0.12315E+01
  0.81394E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.77004E+00 -0.75110E+00 -0.74458E+00 -0.74124E+00 -0.73749E+00 -0.73615E+00 -0.73540E+00 -0.72697E+00 -0.32274E+00 -0.31492E+00 -0.31021E+00 -0.30929E+00 -0.28453E+00 -0.24867E+00 -0.24295E+00 -0.23480E+00 -0.23391E+00 -0.23300E+00 -0.23270E+00 -0.23091E+00 -0.22937E+00 -0.22737E+00 -0.21416E+00 -0.21219E+00 -0.21140E+00 -0.21105E+00 -0.21029E+00 -0.20902E+00 -0.20886E+00 -0.20789E+00 -0.20459E+00 -0.20428E+00 -0.19932E+00 -0.17935E+00 -0.17329E+00 -0.16359E+00 -0.16004E+00 -0.15870E+00 -0.14547E+00 -0.14286E+00 -0.12702E+00 -0.12318E+00 -0.12244E+00 -0.12148E+00 -0.11853E+00 -0.11831E+00 -0.11407E+00 -0.11403E+00 -0.10918E+00 -0.10811E+00 -0.10601E+00 -0.26309E-01  0.64223E-01  0.15668E+00  0.17321E+00  0.19436E+00  0.29989E+00  0.30996E+00  0.32281E+00  0.32566E+00  0.35113E+00  0.35254E+00  0.35407E+00  0.35553E+00  0.35959E+00  0.36493E+00  0.36635E+00  0.36658E+00  0.36680E+00  0.36851E+00  0.37207E+00  0.37604E+00  0.38394E+00  0.42155E+00  0.42673E+00  0.43005E+00  0.43193E+00  0.43727E+00  0.43796E+00  0.43947E+00  0.45386E+00  0.46108E+00  0.48472E+00  0.48515E+00  0.49044E+00  0.52384E+00  0.53249E+00  0.54205E+00  0.56200E+00  0.58446E+00  0.61939E+00  0.62894E+00  0.64872E+00  0.69191E+00  0.69248E+00  0.69287E+00  0.69416E+00  0.70726E+00  0.71991E+00  0.72202E+00  0.72631E+00  0.72710E+00  0.73183E+00  0.75814E+00  0.76945E+00  0.77728E+00  0.78026E+00  0.79246E+00  0.79570E+00  0.85832E+00  0.90179E+00  0.91741E+00  0.91873E+00  0.96671E+00  0.97759E+00  0.98071E+00  0.99540E+00  0.10364E+01  0.10403E+01  0.10422E+01  0.10757E+01  0.10787E+01  0.10799E+01  0.10996E+01  0.11100E+01  0.11102E+01  0.11212E+01  0.11234E+01  0.11275E+01  0.11643E+01  0.11996E+01  0.12232E+01  0.12247E+01  0.12368E+01
  0.97673E-01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.76943E+00 -0.75257E+00 -0.74427E+00 -0.74102E+00 -0.73704E+00 -0.73650E+00 -0.73505E+00 -0.72716E+00 -0.32143E+00 -0.31501E+00 -0.30825E+00 -0.30793E+00 -0.28312E+00 -0.25355E+00 -0.24579E+00 -0.23936E+00 -0.23465E+00 -0.23370E+00 -0.23195E+00 -0.23112E+00 -0.22957E+00 -0.22671E+00 -0.21408E+00 -0.21230E+00 -0.21133E+00 -0.21093E+00 -0.21072E+00 -0.21031E+00 -0.20913E+00 -0.20893E+00 -0.20458E+00 -0.20429E+00 -0.19590E+00 -0.17886E+00 -0.17065E+00 -0.16312E+00 -0.15952E+00 -0.15646E+00 -0.14577E+00 -0.14278E+00 -0.12660E+00 -0.12484E+00 -0.12379E+00 -0.11854E+00 -0.11789E+00 -0.11437E+00 -0.11420E+00 -0.11413E+00 -0.11013E+00 -0.10861E+00 -0.10690E+00 -0.29362E-01  0.67888E-01  0.15120E+00  0.17407E+00  0.19339E+00  0.30050E+00  0.31403E+00  0.32107E+00  0.32533E+00  0.35053E+00  0.35341E+00  0.35456E+00  0.35683E+00  0.35994E+00  0.36108E+00  0.36575E+00  0.36633E+00  0.36670E+00  0.36872E+00  0.37086E+00  0.37472E+00  0.38567E+00  0.42120E+00  0.42723E+00  0.42884E+00  0.43035E+00  0.43716E+00  0.43780E+00  0.43918E+00  0.45420E+00  0.46256E+00  0.48092E+00  0.48878E+00  0.49088E+00  0.52002E+00  0.53479E+00  0.54509E+00  0.55455E+00  0.58251E+00  0.61144E+00  0.62243E+00  0.64484E+00  0.68784E+00  0.69291E+00  0.69538E+00  0.69863E+00  0.71565E+00  0.72572E+00  0.73028E+00  0.73104E+00  0.73228E+00  0.73958E+00  0.76138E+00  0.76645E+00  0.77829E+00  0.78261E+00  0.78966E+00  0.79454E+00  0.85080E+00  0.89404E+00  0.92148E+00  0.92261E+00  0.96353E+00  0.97950E+00  0.98019E+00  0.10016E+01  0.10256E+01  0.10341E+01  0.10426E+01  0.10796E+01  0.10843E+01  0.10846E+01  0.10854E+01  0.11066E+01  0.11115E+01  0.11208E+01  0.11218E+01  0.11244E+01  0.11682E+01  0.11901E+01  0.12144E+01  0.12259E+01  0.12433E+01
  0.11395E+00 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.76872E+00 -0.75405E+00 -0.74391E+00 -0.74076E+00 -0.73699E+00 -0.73689E+00 -0.73438E+00 -0.72739E+00 -0.32019E+00 -0.31511E+00 -0.30605E+00 -0.30596E+00 -0.28148E+00 -0.25844E+00 -0.24880E+00 -0.24589E+00 -0.23449E+00 -0.23345E+00 -0.23135E+00 -0.23107E+00 -0.22979E+00 -0.22593E+00 -0.21400E+00 -0.21252E+00 -0.21242E+00 -0.21126E+00 -0.21080E+00 -0.21049E+00 -0.21035E+00 -0.20902E+00 -0.20456E+00 -0.20431E+00 -0.19269E+00 -0.17841E+00 -0.16789E+00 -0.16259E+00 -0.15907E+00 -0.15404E+00 -0.14619E+00 -0.14262E+00 -0.12665E+00 -0.12605E+00 -0.12535E+00 -0.11831E+00 -0.11741E+00 -0.11441E+00 -0.11431E+00 -0.11122E+00 -0.10918E+00 -0.10788E+00 -0.10705E+00 -0.32944E-01  0.72095E-01  0.14523E+00  0.17508E+00  0.19226E+00  0.30124E+00  0.31824E+00  0.31923E+00  0.32526E+00  0.34975E+00  0.35431E+00  0.35507E+00  0.35703E+00  0.35827E+00  0.36034E+00  0.36508E+00  0.36603E+00  0.36663E+00  0.36889E+00  0.36954E+00  0.37340E+00  0.38768E+00  0.42088E+00  0.42451E+00  0.42872E+00  0.43089E+00  0.43722E+00  0.43770E+00  0.43891E+00  0.45437E+00  0.46415E+00  0.47678E+00  0.48696E+00  0.49726E+00  0.51630E+00  0.53754E+00  0.54716E+00  0.54861E+00  0.57959E+00  0.60370E+00  0.61589E+00  0.64203E+00  0.68160E+00  0.69392E+00  0.69711E+00  0.70432E+00  0.72368E+00  0.72988E+00  0.73469E+00  0.73807E+00  0.74343E+00  0.74837E+00  0.76304E+00  0.76398E+00  0.77939E+00  0.78533E+00  0.78641E+00  0.79333E+00  0.84365E+00  0.88509E+00  0.92586E+00  0.92623E+00  0.94940E+00  0.97916E+00  0.99270E+00  0.10087E+01  0.10149E+01  0.10251E+01  0.10454E+01  0.10685E+01  0.10842E+01  0.10891E+01  0.10931E+01  0.11024E+01  0.11145E+01  0.11151E+01  0.11192E+01  0.11255E+01  0.11735E+01  0.11802E+01  0.12050E+01  0.12276E+01  0.12510E+01
  0.13023E+00 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.76791E+00 -0.75552E+00 -0.74352E+00 -0.74047E+00 -0.73730E+00 -0.73715E+00 -0.73360E+00 -0.72766E+00 -0.31913E+00 -0.31524E+00 -0.30355E+00 -0.30335E+00 -0.27961E+00 -0.26331E+00 -0.25243E+00 -0.25191E+00 -0.23430E+00 -0.23318E+00 -0.23159E+00 -0.23006E+00 -0.23004E+00 -0.22504E+00 -0.21436E+00 -0.21390E+00 -0.21255E+00 -0.21191E+00 -0.21118E+00 -0.21066E+00 -0.21039E+00 -0.20912E+00 -0.20454E+00 -0.20432E+00 -0.18974E+00 -0.17805E+00 -0.16510E+00 -0.16202E+00 -0.15873E+00 -0.15150E+00 -0.14676E+00 -0.14233E+00 -0.12858E+00 -0.12710E+00 -0.12534E+00 -0.11809E+00 -0.11686E+00 -0.11463E+00 -0.11437E+00 -0.11242E+00 -0.10981E+00 -0.10890E+00 -0.99682E-01 -0.37040E-01  0.76794E-01  0.13892E+00  0.17622E+00  0.19099E+00  0.30209E+00  0.31729E+00  0.32248E+00  0.32554E+00  0.34877E+00  0.35260E+00  0.35522E+00  0.35596E+00  0.35979E+00  0.36078E+00  0.36436E+00  0.36568E+00  0.36659E+00  0.36814E+00  0.36899E+00  0.37213E+00  0.38996E+00  0.42061E+00  0.42144E+00  0.42712E+00  0.43338E+00  0.43725E+00  0.43789E+00  0.43873E+00  0.45426E+00  0.46582E+00  0.47242E+00  0.48503E+00  0.50418E+00  0.51303E+00  0.54001E+00  0.54074E+00  0.55259E+00  0.57557E+00  0.59621E+00  0.60935E+00  0.64049E+00  0.67551E+00  0.69492E+00  0.69815E+00  0.70993E+00  0.73115E+00  0.73442E+00  0.73878E+00  0.74355E+00  0.75770E+00  0.75807E+00  0.75927E+00  0.76586E+00  0.78054E+00  0.78275E+00  0.78839E+00  0.79213E+00  0.83688E+00  0.87509E+00  0.92331E+00  0.93164E+00  0.94048E+00  0.97754E+00  0.10051E+01  0.10062E+01  0.10156E+01  0.10165E+01  0.10486E+01  0.10521E+01  0.10894E+01  0.10941E+01  0.10977E+01  0.11017E+01  0.11075E+01  0.11159E+01  0.11185E+01  0.11265E+01  0.11702E+01  0.11801E+01  0.11953E+01  0.12297E+01  0.12364E+01
  0.14651E+00 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.41467E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.27223E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.26958E+01 -0.76701E+00 -0.75697E+00 -0.74312E+00 -0.74016E+00 -0.73774E+00 -0.73740E+00 -0.73282E+00 -0.72797E+00 -0.31826E+00 -0.31539E+00 -0.30044E+00 -0.30043E+00 -0.27752E+00 -0.26811E+00 -0.25888E+00 -0.25507E+00 -0.23410E+00 -0.23288E+00 -0.23184E+00 -0.23032E+00 -0.22892E+00 -0.22404E+00 -0.21622E+00 -0.21379E+00 -0.21337E+00 -0.21269E+00 -0.21110E+00 -0.21050E+00 -0.21045E+00 -0.20923E+00 -0.20452E+00 -0.20434E+00 -0.18707E+00 -0.17785E+00 -0.16236E+00 -0.16143E+00 -0.15853E+00 -0.14890E+00 -0.14750E+00 -0.14188E+00 -0.13054E+00 -0.12904E+00 -0.12447E+00 -0.11788E+00 -0.11627E+00 -0.11485E+00 -0.11437E+00 -0.11370E+00 -0.11048E+00 -0.10992E+00 -0.92311E-01 -0.41629E-01  0.81935E-01  0.13239E+00  0.17748E+00  0.18960E+00  0.30307E+00  0.31537E+00  0.32624E+00  0.32657E+00  0.34757E+00  0.34840E+00  0.35614E+00  0.35674E+00  0.36126E+00  0.36129E+00  0.36363E+00  0.36530E+00  0.36660E+00  0.36670E+00  0.36897E+00  0.37097E+00  0.39249E+00  0.41818E+00  0.42042E+00  0.42562E+00  0.43620E+00  0.43714E+00  0.43819E+00  0.43905E+00  0.45370E+00  0.46755E+00  0.46794E+00  0.48302E+00  0.51056E+00  0.51152E+00  0.53327E+00  0.54439E+00  0.55699E+00  0.57047E+00  0.58899E+00  0.60287E+00  0.64026E+00  0.66965E+00  0.69587E+00  0.69878E+00  0.71547E+00  0.73781E+00  0.73925E+00  0.74275E+00  0.74863E+00  0.75520E+00  0.76697E+00  0.76856E+00  0.77303E+00  0.77872E+00  0.78172E+00  0.79090E+00  0.79181E+00  0.83049E+00  0.86420E+00  0.90994E+00  0.93770E+00  0.94195E+00  0.97531E+00  0.99691E+00  0.10058E+01  0.10199E+01  0.10249E+01  0.10362E+01  0.10522E+01  0.10926E+01  0.10952E+01  0.10992E+01  0.10994E+01  0.11108E+01  0.11111E+01  0.11236E+01  0.11269E+01  0.11604E+01  0.11857E+01  0.11879E+01  0.12182E+01  0.12324E+01
