# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99011,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.15915E+00  0.18543E+00  0.18570E+00  0.18570E+00  0.19253E+00  0.20534E+00  0.20534E+00  0.21158E+00  0.60291E+00  0.62139E+00  0.63297E+00  0.63904E+00  0.65497E+00  0.68466E+00  0.68770E+00  0.68770E+00  0.69269E+00  0.70124E+00  0.70124E+00  0.70487E+00  0.70487E+00  0.70696E+00  0.71033E+00  0.71279E+00  0.71481E+00  0.71481E+00  0.73103E+00  0.73103E+00  0.74298E+00  0.75109E+00  0.75109E+00  0.75827E+00  0.76477E+00  0.77309E+00  0.77309E+00  0.77816E+00  0.78036E+00  0.78360E+00  0.78738E+00  0.79103E+00  0.80723E+00  0.80842E+00  0.80842E+00  0.80986E+00  0.81797E+00  0.81797E+00  0.83255E+00  0.84773E+00  0.84773E+00  0.85351E+00  0.88890E+00  0.10089E+01  0.10161E+01  0.11386E+01  0.11404E+01  0.11736E+01  0.12582E+01  0.12582E+01  0.12917E+01  0.12917E+01  0.13107E+01  0.13110E+01  0.13121E+01  0.13138E+01  0.13142E+01  0.13270E+01  0.13282E+01  0.13282E+01  0.13385E+01  0.13385E+01  0.13388E+01  0.13401E+01  0.13401E+01  0.13842E+01  0.13842E+01  0.13956E+01  0.13964E+01  0.14000E+01  0.14000E+01  0.14018E+01  0.14133E+01  0.14196E+01  0.14336E+01  0.14545E+01  0.14654E+01  0.14885E+01  0.15007E+01  0.15007E+01  0.15478E+01  0.15568E+01  0.16153E+01  0.16216E+01  0.16277E+01  0.16277E+01  0.16344E+01  0.16344E+01  0.16459E+01  0.16641E+01  0.16732E+01  0.16746E+01  0.16746E+01  0.16850E+01  0.16850E+01  0.17143E+01  0.17350E+01  0.17350E+01  0.17397E+01  0.17661E+01  0.17661E+01  0.18541E+01  0.18721E+01  0.18721E+01  0.18850E+01  0.18850E+01  0.19367E+01  0.19380E+01  0.19828E+01  0.19974E+01  0.20240E+01  0.20255E+01  0.20267E+01  0.20317E+01  0.20317E+01  0.20812E+01  0.20812E+01  0.20815E+01  0.20815E+01  0.20997E+01  0.21058E+01  0.21256E+01  0.21858E+01  0.21860E+01  0.21869E+01  0.21935E+01
  0.16279E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.15920E+00  0.18471E+00  0.18570E+00  0.18629E+00  0.19261E+00  0.20533E+00  0.20534E+00  0.21158E+00  0.60306E+00  0.62151E+00  0.63299E+00  0.63916E+00  0.65499E+00  0.68453E+00  0.68770E+00  0.68776E+00  0.69250E+00  0.70124E+00  0.70126E+00  0.70438E+00  0.70499E+00  0.70715E+00  0.71033E+00  0.71279E+00  0.71464E+00  0.71481E+00  0.73014E+00  0.73098E+00  0.74262E+00  0.75116E+00  0.75164E+00  0.75839E+00  0.76475E+00  0.77289E+00  0.77310E+00  0.77823E+00  0.78066E+00  0.78425E+00  0.78741E+00  0.79114E+00  0.80713E+00  0.80841E+00  0.80847E+00  0.80985E+00  0.81790E+00  0.81797E+00  0.83247E+00  0.84764E+00  0.84772E+00  0.85349E+00  0.88917E+00  0.10086E+01  0.10165E+01  0.11382E+01  0.11401E+01  0.11734E+01  0.12582E+01  0.12587E+01  0.12915E+01  0.12917E+01  0.13108E+01  0.13112E+01  0.13122E+01  0.13139E+01  0.13142E+01  0.13270E+01  0.13281E+01  0.13282E+01  0.13380E+01  0.13383E+01  0.13384E+01  0.13403E+01  0.13403E+01  0.13841E+01  0.13844E+01  0.13954E+01  0.13962E+01  0.14000E+01  0.14000E+01  0.14018E+01  0.14134E+01  0.14197E+01  0.14342E+01  0.14542E+01  0.14651E+01  0.14887E+01  0.15002E+01  0.15010E+01  0.15470E+01  0.15561E+01  0.16116E+01  0.16182E+01  0.16277E+01  0.16313E+01  0.16345E+01  0.16378E+01  0.16464E+01  0.16650E+01  0.16728E+01  0.16750E+01  0.16754E+01  0.16848E+01  0.16854E+01  0.17153E+01  0.17351E+01  0.17352E+01  0.17394E+01  0.17659E+01  0.17660E+01  0.18513E+01  0.18725E+01  0.18725E+01  0.18843E+01  0.18884E+01  0.19371E+01  0.19385E+01  0.19808E+01  0.19977E+01  0.20231E+01  0.20247E+01  0.20273E+01  0.20320E+01  0.20324E+01  0.20801E+01  0.20809E+01  0.20814E+01  0.20816E+01  0.20981E+01  0.21056E+01  0.21255E+01  0.21859E+01  0.21864E+01  0.21870E+01  0.21942E+01
  0.32558E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.15934E+00  0.18375E+00  0.18572E+00  0.18688E+00  0.19284E+00  0.20531E+00  0.20532E+00  0.21158E+00  0.60348E+00  0.62187E+00  0.63303E+00  0.63950E+00  0.65506E+00  0.68411E+00  0.68772E+00  0.68796E+00  0.69202E+00  0.70123E+00  0.70130E+00  0.70317E+00  0.70532E+00  0.70747E+00  0.71030E+00  0.71279E+00  0.71413E+00  0.71481E+00  0.72765E+00  0.73086E+00  0.74178E+00  0.75138E+00  0.75302E+00  0.75874E+00  0.76467E+00  0.77246E+00  0.77311E+00  0.77844E+00  0.78146E+00  0.78590E+00  0.78752E+00  0.79160E+00  0.80681E+00  0.80840E+00  0.80862E+00  0.80982E+00  0.81770E+00  0.81798E+00  0.83222E+00  0.84737E+00  0.84768E+00  0.85341E+00  0.88997E+00  0.10078E+01  0.10176E+01  0.11367E+01  0.11398E+01  0.11730E+01  0.12584E+01  0.12603E+01  0.12909E+01  0.12914E+01  0.13108E+01  0.13115E+01  0.13124E+01  0.13140E+01  0.13143E+01  0.13269E+01  0.13280E+01  0.13283E+01  0.13367E+01  0.13376E+01  0.13379E+01  0.13407E+01  0.13407E+01  0.13840E+01  0.13849E+01  0.13947E+01  0.13956E+01  0.13998E+01  0.13999E+01  0.14017E+01  0.14137E+01  0.14201E+01  0.14360E+01  0.14533E+01  0.14643E+01  0.14893E+01  0.14986E+01  0.15018E+01  0.15442E+01  0.15546E+01  0.16045E+01  0.16125E+01  0.16255E+01  0.16372E+01  0.16375E+01  0.16447E+01  0.16477E+01  0.16673E+01  0.16713E+01  0.16761E+01  0.16777E+01  0.16853E+01  0.16866E+01  0.17177E+01  0.17354E+01  0.17357E+01  0.17386E+01  0.17652E+01  0.17656E+01  0.18448E+01  0.18736E+01  0.18739E+01  0.18821E+01  0.18964E+01  0.19378E+01  0.19402E+01  0.19752E+01  0.19984E+01  0.20204E+01  0.20219E+01  0.20292E+01  0.20331E+01  0.20346E+01  0.20767E+01  0.20800E+01  0.20818E+01  0.20819E+01  0.20936E+01  0.21047E+01  0.21254E+01  0.21845E+01  0.21862E+01  0.21881E+01  0.21986E+01
  0.48836E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.15959E+00  0.18268E+00  0.18575E+00  0.18737E+00  0.19318E+00  0.20527E+00  0.20530E+00  0.21157E+00  0.60418E+00  0.62245E+00  0.63312E+00  0.64007E+00  0.65516E+00  0.68335E+00  0.68775E+00  0.68829E+00  0.69139E+00  0.70121E+00  0.70137E+00  0.70147E+00  0.70578E+00  0.70776E+00  0.71026E+00  0.71276E+00  0.71333E+00  0.71481E+00  0.72402E+00  0.73067E+00  0.74080E+00  0.75175E+00  0.75486E+00  0.75924E+00  0.76448E+00  0.77210E+00  0.77314E+00  0.77873E+00  0.78250E+00  0.78770E+00  0.78771E+00  0.79282E+00  0.80626E+00  0.80838E+00  0.80889E+00  0.80977E+00  0.81741E+00  0.81800E+00  0.83182E+00  0.84694E+00  0.84763E+00  0.85329E+00  0.89130E+00  0.10065E+01  0.10194E+01  0.11337E+01  0.11399E+01  0.11724E+01  0.12585E+01  0.12628E+01  0.12900E+01  0.12911E+01  0.13110E+01  0.13121E+01  0.13125E+01  0.13143E+01  0.13146E+01  0.13268E+01  0.13277E+01  0.13285E+01  0.13345E+01  0.13365E+01  0.13372E+01  0.13409E+01  0.13415E+01  0.13837E+01  0.13858E+01  0.13935E+01  0.13946E+01  0.13995E+01  0.13997E+01  0.14017E+01  0.14140E+01  0.14207E+01  0.14390E+01  0.14517E+01  0.14631E+01  0.14903E+01  0.14960E+01  0.15032E+01  0.15393E+01  0.15532E+01  0.15966E+01  0.16063E+01  0.16213E+01  0.16426E+01  0.16432E+01  0.16500E+01  0.16526E+01  0.16670E+01  0.16716E+01  0.16779E+01  0.16815E+01  0.16875E+01  0.16886E+01  0.17210E+01  0.17358E+01  0.17366E+01  0.17371E+01  0.17641E+01  0.17650E+01  0.18373E+01  0.18755E+01  0.18761E+01  0.18786E+01  0.19065E+01  0.19386E+01  0.19432E+01  0.19668E+01  0.19995E+01  0.20153E+01  0.20174E+01  0.20324E+01  0.20349E+01  0.20376E+01  0.20731E+01  0.20784E+01  0.20823E+01  0.20826E+01  0.20860E+01  0.21028E+01  0.21257E+01  0.21790E+01  0.21866E+01  0.21908E+01  0.21989E+01
  0.65115E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.15993E+00  0.18154E+00  0.18580E+00  0.18779E+00  0.19356E+00  0.20522E+00  0.20528E+00  0.21156E+00  0.60511E+00  0.62324E+00  0.63328E+00  0.64086E+00  0.65530E+00  0.68220E+00  0.68780E+00  0.68875E+00  0.69078E+00  0.69934E+00  0.70119E+00  0.70145E+00  0.70627E+00  0.70798E+00  0.71020E+00  0.71227E+00  0.71260E+00  0.71481E+00  0.71979E+00  0.73042E+00  0.73989E+00  0.75229E+00  0.75691E+00  0.75981E+00  0.76415E+00  0.77207E+00  0.77318E+00  0.77901E+00  0.78361E+00  0.78796E+00  0.78879E+00  0.79522E+00  0.80550E+00  0.80836E+00  0.80930E+00  0.80970E+00  0.81705E+00  0.81803E+00  0.83127E+00  0.84635E+00  0.84755E+00  0.85314E+00  0.89316E+00  0.10048E+01  0.10220E+01  0.11296E+01  0.11402E+01  0.11716E+01  0.12588E+01  0.12659E+01  0.12888E+01  0.12908E+01  0.13111E+01  0.13124E+01  0.13128E+01  0.13147E+01  0.13153E+01  0.13267E+01  0.13273E+01  0.13286E+01  0.13317E+01  0.13353E+01  0.13363E+01  0.13411E+01  0.13427E+01  0.13834E+01  0.13870E+01  0.13918E+01  0.13934E+01  0.13993E+01  0.13994E+01  0.14016E+01  0.14145E+01  0.14214E+01  0.14429E+01  0.14495E+01  0.14616E+01  0.14918E+01  0.14927E+01  0.15052E+01  0.15329E+01  0.15518E+01  0.15886E+01  0.15999E+01  0.16166E+01  0.16463E+01  0.16492E+01  0.16545E+01  0.16607E+01  0.16626E+01  0.16759E+01  0.16803E+01  0.16866E+01  0.16914E+01  0.16914E+01  0.17245E+01  0.17351E+01  0.17363E+01  0.17377E+01  0.17627E+01  0.17643E+01  0.18296E+01  0.18736E+01  0.18781E+01  0.18790E+01  0.19178E+01  0.19390E+01  0.19468E+01  0.19571E+01  0.20011E+01  0.20076E+01  0.20115E+01  0.20367E+01  0.20374E+01  0.20412E+01  0.20700E+01  0.20762E+01  0.20765E+01  0.20830E+01  0.20833E+01  0.20997E+01  0.21268E+01  0.21717E+01  0.21873E+01  0.21927E+01  0.21948E+01
  0.81394E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.16036E+00  0.18036E+00  0.18585E+00  0.18817E+00  0.19395E+00  0.20516E+00  0.20526E+00  0.21155E+00  0.60624E+00  0.62418E+00  0.63354E+00  0.64185E+00  0.65545E+00  0.68065E+00  0.68785E+00  0.68934E+00  0.69030E+00  0.69684E+00  0.70116E+00  0.70155E+00  0.70675E+00  0.70814E+00  0.71007E+00  0.71101E+00  0.71190E+00  0.71481E+00  0.71583E+00  0.73012E+00  0.73912E+00  0.75301E+00  0.75903E+00  0.76028E+00  0.76375E+00  0.77247E+00  0.77323E+00  0.77922E+00  0.78467E+00  0.78829E+00  0.78927E+00  0.79832E+00  0.80454E+00  0.80833E+00  0.80962E+00  0.80985E+00  0.81666E+00  0.81807E+00  0.83059E+00  0.84563E+00  0.84746E+00  0.85296E+00  0.89552E+00  0.10025E+01  0.10252E+01  0.11246E+01  0.11405E+01  0.11707E+01  0.12591E+01  0.12694E+01  0.12873E+01  0.12906E+01  0.13114E+01  0.13120E+01  0.13136E+01  0.13151E+01  0.13163E+01  0.13266E+01  0.13268E+01  0.13282E+01  0.13289E+01  0.13340E+01  0.13352E+01  0.13412E+01  0.13441E+01  0.13830E+01  0.13885E+01  0.13897E+01  0.13920E+01  0.13990E+01  0.13991E+01  0.14015E+01  0.14150E+01  0.14223E+01  0.14467E+01  0.14478E+01  0.14600E+01  0.14889E+01  0.14936E+01  0.15076E+01  0.15258E+01  0.15502E+01  0.15807E+01  0.15935E+01  0.16122E+01  0.16482E+01  0.16551E+01  0.16571E+01  0.16599E+01  0.16689E+01  0.16827E+01  0.16833E+01  0.16929E+01  0.16948E+01  0.16965E+01  0.17278E+01  0.17326E+01  0.17370E+01  0.17391E+01  0.17610E+01  0.17636E+01  0.18222E+01  0.18673E+01  0.18814E+01  0.18824E+01  0.19298E+01  0.19371E+01  0.19438E+01  0.19553E+01  0.19979E+01  0.20031E+01  0.20044E+01  0.20405E+01  0.20422E+01  0.20453E+01  0.20611E+01  0.20724E+01  0.20733E+01  0.20835E+01  0.20841E+01  0.20953E+01  0.21292E+01  0.21630E+01  0.21850E+01  0.21882E+01  0.21999E+01
  0.97673E-01 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.16087E+00  0.17915E+00  0.18590E+00  0.18851E+00  0.19429E+00  0.20510E+00  0.20526E+00  0.21153E+00  0.60752E+00  0.62520E+00  0.63398E+00  0.64303E+00  0.65558E+00  0.67876E+00  0.68790E+00  0.68997E+00  0.69005E+00  0.69404E+00  0.70113E+00  0.70166E+00  0.70716E+00  0.70801E+00  0.70889E+00  0.70960E+00  0.71032E+00  0.71402E+00  0.71481E+00  0.72981E+00  0.73850E+00  0.75388E+00  0.76044E+00  0.76110E+00  0.76350E+00  0.77328E+00  0.77328E+00  0.77929E+00  0.78564E+00  0.78868E+00  0.78951E+00  0.80151E+00  0.80339E+00  0.80829E+00  0.80952E+00  0.81054E+00  0.81630E+00  0.81813E+00  0.82980E+00  0.84480E+00  0.84737E+00  0.85276E+00  0.89832E+00  0.99991E+00  0.10290E+01  0.11189E+01  0.11409E+01  0.11697E+01  0.12595E+01  0.12731E+01  0.12858E+01  0.12907E+01  0.13113E+01  0.13116E+01  0.13144E+01  0.13157E+01  0.13175E+01  0.13245E+01  0.13262E+01  0.13264E+01  0.13291E+01  0.13326E+01  0.13338E+01  0.13412E+01  0.13458E+01  0.13826E+01  0.13872E+01  0.13904E+01  0.13905E+01  0.13988E+01  0.13990E+01  0.14014E+01  0.14155E+01  0.14231E+01  0.14435E+01  0.14534E+01  0.14583E+01  0.14849E+01  0.14959E+01  0.15106E+01  0.15183E+01  0.15478E+01  0.15728E+01  0.15870E+01  0.16085E+01  0.16487E+01  0.16525E+01  0.16609E+01  0.16634E+01  0.16767E+01  0.16867E+01  0.16919E+01  0.16987E+01  0.17004E+01  0.17027E+01  0.17297E+01  0.17308E+01  0.17377E+01  0.17403E+01  0.17593E+01  0.17628E+01  0.18150E+01  0.18597E+01  0.18853E+01  0.18862E+01  0.19264E+01  0.19413E+01  0.19423E+01  0.19613E+01  0.19872E+01  0.19963E+01  0.20054E+01  0.20441E+01  0.20469E+01  0.20487E+01  0.20497E+01  0.20699E+01  0.20735E+01  0.20830E+01  0.20852E+01  0.20900E+01  0.21328E+01  0.21536E+01  0.21763E+01  0.21894E+01  0.22063E+01
  0.11395E+00 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.16144E+00  0.17794E+00  0.18596E+00  0.18884E+00  0.19457E+00  0.20503E+00  0.20526E+00  0.21151E+00  0.60887E+00  0.62620E+00  0.63470E+00  0.64438E+00  0.65565E+00  0.67665E+00  0.68796E+00  0.68976E+00  0.69088E+00  0.69104E+00  0.70109E+00  0.70176E+00  0.70444E+00  0.70751E+00  0.70809E+00  0.70855E+00  0.71009E+00  0.71364E+00  0.71481E+00  0.72951E+00  0.73802E+00  0.75488E+00  0.76018E+00  0.76304E+00  0.76358E+00  0.77333E+00  0.77442E+00  0.77917E+00  0.78650E+00  0.78914E+00  0.78965E+00  0.80207E+00  0.80447E+00  0.80826E+00  0.80941E+00  0.81135E+00  0.81600E+00  0.81822E+00  0.82892E+00  0.84389E+00  0.84727E+00  0.85257E+00  0.90147E+00  0.99699E+00  0.10335E+01  0.11127E+01  0.11414E+01  0.11687E+01  0.12599E+01  0.12768E+01  0.12843E+01  0.12912E+01  0.13104E+01  0.13119E+01  0.13153E+01  0.13164E+01  0.13188E+01  0.13208E+01  0.13255E+01  0.13263E+01  0.13292E+01  0.13314E+01  0.13324E+01  0.13412E+01  0.13478E+01  0.13821E+01  0.13844E+01  0.13890E+01  0.13926E+01  0.13985E+01  0.13992E+01  0.14013E+01  0.14158E+01  0.14239E+01  0.14399E+01  0.14566E+01  0.14596E+01  0.14810E+01  0.14987E+01  0.15110E+01  0.15140E+01  0.15445E+01  0.15652E+01  0.15806E+01  0.16059E+01  0.16449E+01  0.16518E+01  0.16656E+01  0.16666E+01  0.16842E+01  0.16906E+01  0.17016E+01  0.17031E+01  0.17087E+01  0.17108E+01  0.17264E+01  0.17333E+01  0.17384E+01  0.17412E+01  0.17578E+01  0.17621E+01  0.18083E+01  0.18510E+01  0.18892E+01  0.18900E+01  0.19128E+01  0.19404E+01  0.19554E+01  0.19687E+01  0.19765E+01  0.19874E+01  0.20082E+01  0.20308E+01  0.20489E+01  0.20543E+01  0.20560E+01  0.20662E+01  0.20764E+01  0.20813E+01  0.20822E+01  0.20879E+01  0.21377E+01  0.21437E+01  0.21669E+01  0.21910E+01  0.22140E+01
  0.13023E+00 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17771E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.16206E+00  0.17677E+00  0.18601E+00  0.18915E+00  0.19478E+00  0.20496E+00  0.20529E+00  0.21149E+00  0.61022E+00  0.62704E+00  0.63582E+00  0.64586E+00  0.65557E+00  0.67442E+00  0.68798E+00  0.68801E+00  0.68962E+00  0.69183E+00  0.70042E+00  0.70106E+00  0.70183E+00  0.70654E+00  0.70778E+00  0.70867E+00  0.70997E+00  0.71353E+00  0.71481E+00  0.72924E+00  0.73767E+00  0.75596E+00  0.75963E+00  0.76389E+00  0.76479E+00  0.77338E+00  0.77575E+00  0.77885E+00  0.78726E+00  0.78964E+00  0.78974E+00  0.80061E+00  0.80705E+00  0.80822E+00  0.80930E+00  0.81223E+00  0.81577E+00  0.81834E+00  0.82799E+00  0.84295E+00  0.84717E+00  0.85238E+00  0.90484E+00  0.99391E+00  0.10384E+01  0.11062E+01  0.11418E+01  0.11677E+01  0.12603E+01  0.12802E+01  0.12828E+01  0.12922E+01  0.13092E+01  0.13122E+01  0.13162E+01  0.13167E+01  0.13172E+01  0.13206E+01  0.13248E+01  0.13261E+01  0.13293E+01  0.13302E+01  0.13309E+01  0.13411E+01  0.13500E+01  0.13811E+01  0.13820E+01  0.13875E+01  0.13951E+01  0.13982E+01  0.13997E+01  0.14012E+01  0.14158E+01  0.14244E+01  0.14363E+01  0.14551E+01  0.14662E+01  0.14778E+01  0.15019E+01  0.15039E+01  0.15178E+01  0.15402E+01  0.15578E+01  0.15742E+01  0.16045E+01  0.16394E+01  0.16527E+01  0.16670E+01  0.16721E+01  0.16910E+01  0.16947E+01  0.17076E+01  0.17089E+01  0.17176E+01  0.17223E+01  0.17228E+01  0.17354E+01  0.17392E+01  0.17413E+01  0.17572E+01  0.17617E+01  0.18020E+01  0.18413E+01  0.18868E+01  0.18953E+01  0.19038E+01  0.19391E+01  0.19667E+01  0.19687E+01  0.19769E+01  0.19779E+01  0.20113E+01  0.20145E+01  0.20540E+01  0.20589E+01  0.20598E+01  0.20663E+01  0.20751E+01  0.20780E+01  0.20804E+01  0.20892E+01  0.21338E+01  0.21438E+01  0.21572E+01  0.21931E+01  0.21990E+01
  0.14651E+00 -0.32320E+01 -0.32320E+01 -0.32070E+01 -0.31209E+01 -0.18099E+01 -0.18099E+01 -0.18083E+01 -0.18083E+01 -0.17796E+01 -0.17770E+01 -0.17770E+01 -0.17654E+01 -0.17654E+01 -0.16905E+01 -0.16868E+01 -0.16868E+01  0.16270E+00  0.17566E+00  0.18607E+00  0.18943E+00  0.19493E+00  0.20490E+00  0.20532E+00  0.21148E+00  0.61150E+00  0.62765E+00  0.63740E+00  0.64742E+00  0.65525E+00  0.67217E+00  0.68507E+00  0.68806E+00  0.68955E+00  0.69289E+00  0.69684E+00  0.70103E+00  0.70183E+00  0.70503E+00  0.70798E+00  0.70880E+00  0.70985E+00  0.71349E+00  0.71481E+00  0.72901E+00  0.73741E+00  0.75708E+00  0.75903E+00  0.76425E+00  0.76629E+00  0.77343E+00  0.77715E+00  0.77837E+00  0.78797E+00  0.78980E+00  0.79015E+00  0.79904E+00  0.80819E+00  0.80918E+00  0.80918E+00  0.81313E+00  0.81562E+00  0.81849E+00  0.82708E+00  0.84203E+00  0.84708E+00  0.85222E+00  0.90821E+00  0.99083E+00  0.10437E+01  0.10994E+01  0.11423E+01  0.11669E+01  0.12608E+01  0.12814E+01  0.12833E+01  0.12937E+01  0.13073E+01  0.13125E+01  0.13135E+01  0.13171E+01  0.13181E+01  0.13221E+01  0.13241E+01  0.13260E+01  0.13292E+01  0.13293E+01  0.13293E+01  0.13410E+01  0.13525E+01  0.13781E+01  0.13815E+01  0.13861E+01  0.13979E+01  0.13980E+01  0.14006E+01  0.14011E+01  0.14154E+01  0.14243E+01  0.14330E+01  0.14536E+01  0.14715E+01  0.14769E+01  0.14972E+01  0.15055E+01  0.15220E+01  0.15348E+01  0.15506E+01  0.15678E+01  0.16043E+01  0.16340E+01  0.16535E+01  0.16680E+01  0.16776E+01  0.16968E+01  0.16990E+01  0.17121E+01  0.17145E+01  0.17190E+01  0.17269E+01  0.17332E+01  0.17400E+01  0.17401E+01  0.17401E+01  0.17578E+01  0.17615E+01  0.17963E+01  0.18309E+01  0.18736E+01  0.19012E+01  0.19049E+01  0.19371E+01  0.19586E+01  0.19682E+01  0.19822E+01  0.19857E+01  0.19987E+01  0.20148E+01  0.20557E+01  0.20596E+01  0.20615E+01  0.20694E+01  0.20729E+01  0.20748E+01  0.20854E+01  0.20903E+01  0.21240E+01  0.21476E+01  0.21512E+01  0.21809E+01  0.21957E+01
