# NKPT   177 NBND   150 NSPIN     2
# NPANEL     8
#      1   (0,0,0)/2
#     28   (*,1,0)/2
#     47   (0,1,0)/2
#     66   (0,0,0)/2
#     93   (1,1,0)/2
#    112   (1,0,0)/2
#    131   (0,0,0)/2
#    158   (1,*,0)/2
#    177   (1,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     9
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.29928
@ XAXIS TICKLABEL    1,"(*,1,0)/2"
@ XAXIS TICK     2,     0.51091
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.02181
@ XAXIS TICKLABEL    4,"(1,1,0)/2"
@ XAXIS TICK     5,     1.23344
@ XAXIS TICKLABEL    5,"(1,0,0)/2"
@ XAXIS TICK     6,     1.44506
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ XAXIS TICK     7,     1.74435
@ XAXIS TICKLABEL    7,"(1,*,0)/2"
@ XAXIS TICK     8,     1.95597
@ XAXIS TICKLABEL    8,"(1,0,0)/2"
@ WORLD      0.00000,        -4.2,     1.95597,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79870E+00 -0.77241E+00 -0.77215E+00 -0.77215E+00 -0.76532E+00 -0.75251E+00 -0.75251E+00 -0.74627E+00 -0.35494E+00 -0.33645E+00 -0.32487E+00 -0.31880E+00 -0.30288E+00 -0.27319E+00 -0.27015E+00 -0.27015E+00 -0.26516E+00 -0.25660E+00 -0.25660E+00 -0.25297E+00 -0.25297E+00 -0.25089E+00 -0.24751E+00 -0.24505E+00 -0.24304E+00 -0.24304E+00 -0.22682E+00 -0.22682E+00 -0.21487E+00 -0.20675E+00 -0.20675E+00 -0.19958E+00 -0.19308E+00 -0.18476E+00 -0.18476E+00 -0.17969E+00 -0.17749E+00 -0.17424E+00 -0.17047E+00 -0.16682E+00 -0.15061E+00 -0.14943E+00 -0.14943E+00 -0.14799E+00 -0.13988E+00 -0.13988E+00 -0.12530E+00 -0.11012E+00 -0.11012E+00 -0.10433E+00 -0.68948E-01  0.51012E-01  0.58286E-01  0.18074E+00  0.18253E+00  0.21574E+00  0.30036E+00  0.30036E+00  0.33390E+00  0.33390E+00  0.35288E+00  0.35318E+00  0.35426E+00  0.35598E+00  0.35632E+00  0.36915E+00  0.37036E+00  0.37036E+00  0.38064E+00  0.38064E+00  0.38099E+00  0.38225E+00  0.38225E+00  0.42635E+00  0.42635E+00  0.43775E+00  0.43860E+00  0.44220E+00  0.44220E+00  0.44396E+00  0.45549E+00  0.46171E+00  0.47578E+00  0.49669E+00  0.50756E+00  0.53068E+00  0.54287E+00  0.54287E+00  0.58992E+00  0.59898E+00  0.65744E+00  0.66375E+00  0.66984E+00  0.66984E+00  0.67651E+00  0.67651E+00  0.68810E+00  0.70622E+00  0.71530E+00  0.71680E+00  0.71680E+00  0.72713E+00  0.72713E+00  0.75649E+00  0.77716E+00  0.77716E+00  0.78190E+00  0.80824E+00  0.80824E+00  0.89630E+00  0.91424E+00  0.91424E+00  0.92716E+00  0.92716E+00  0.97884E+00  0.98014E+00  0.10250E+01  0.10396E+01  0.10662E+01  0.10677E+01  0.10689E+01  0.10738E+01  0.10738E+01  0.11234E+01  0.11234E+01  0.11237E+01  0.11237E+01  0.11418E+01  0.11480E+01  0.11677E+01  0.12279E+01  0.12281E+01  0.12291E+01  0.12356E+01
  0.11085E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79868E+00 -0.77284E+00 -0.77220E+00 -0.77173E+00 -0.76528E+00 -0.75252E+00 -0.75250E+00 -0.74627E+00 -0.35487E+00 -0.33640E+00 -0.32487E+00 -0.31875E+00 -0.30286E+00 -0.27325E+00 -0.27013E+00 -0.27013E+00 -0.26525E+00 -0.25660E+00 -0.25660E+00 -0.25314E+00 -0.25299E+00 -0.25079E+00 -0.24752E+00 -0.24505E+00 -0.24308E+00 -0.24308E+00 -0.22715E+00 -0.22693E+00 -0.21504E+00 -0.20668E+00 -0.20653E+00 -0.19952E+00 -0.19309E+00 -0.18489E+00 -0.18472E+00 -0.17965E+00 -0.17734E+00 -0.17394E+00 -0.17045E+00 -0.16677E+00 -0.15066E+00 -0.14946E+00 -0.14937E+00 -0.14799E+00 -0.14002E+00 -0.13977E+00 -0.12533E+00 -0.11014E+00 -0.11014E+00 -0.10434E+00 -0.68825E-01  0.50894E-01  0.58456E-01  0.18061E+00  0.18237E+00  0.21568E+00  0.30048E+00  0.30050E+00  0.33366E+00  0.33399E+00  0.35289E+00  0.35324E+00  0.35430E+00  0.35601E+00  0.35633E+00  0.36915E+00  0.37035E+00  0.37035E+00  0.38049E+00  0.38051E+00  0.38079E+00  0.38230E+00  0.38239E+00  0.42633E+00  0.42642E+00  0.43764E+00  0.43849E+00  0.44217E+00  0.44219E+00  0.44396E+00  0.45552E+00  0.46177E+00  0.47606E+00  0.49655E+00  0.50743E+00  0.53077E+00  0.54273E+00  0.54289E+00  0.58956E+00  0.59860E+00  0.65559E+00  0.66191E+00  0.66998E+00  0.67173E+00  0.67650E+00  0.67823E+00  0.68834E+00  0.70668E+00  0.71513E+00  0.71705E+00  0.71708E+00  0.72705E+00  0.72732E+00  0.75693E+00  0.77721E+00  0.77723E+00  0.78176E+00  0.80802E+00  0.80829E+00  0.89489E+00  0.91420E+00  0.91467E+00  0.92703E+00  0.92862E+00  0.97904E+00  0.98034E+00  0.10240E+01  0.10397E+01  0.10658E+01  0.10673E+01  0.10692E+01  0.10738E+01  0.10744E+01  0.11234E+01  0.11234E+01  0.11234E+01  0.11234E+01  0.11411E+01  0.11479E+01  0.11677E+01  0.12281E+01  0.12283E+01  0.12293E+01  0.12358E+01
  0.22169E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79861E+00 -0.77338E+00 -0.77236E+00 -0.77121E+00 -0.76517E+00 -0.75256E+00 -0.75248E+00 -0.74627E+00 -0.35467E+00 -0.33623E+00 -0.32485E+00 -0.31859E+00 -0.30283E+00 -0.27342E+00 -0.27008E+00 -0.27008E+00 -0.26551E+00 -0.25659E+00 -0.25659E+00 -0.25359E+00 -0.25303E+00 -0.25055E+00 -0.24753E+00 -0.24505E+00 -0.24321E+00 -0.24319E+00 -0.22809E+00 -0.22726E+00 -0.21551E+00 -0.20646E+00 -0.20594E+00 -0.19935E+00 -0.19311E+00 -0.18526E+00 -0.18460E+00 -0.17954E+00 -0.17693E+00 -0.17311E+00 -0.17037E+00 -0.16658E+00 -0.15078E+00 -0.14957E+00 -0.14923E+00 -0.14801E+00 -0.14044E+00 -0.13944E+00 -0.12545E+00 -0.11021E+00 -0.11021E+00 -0.10438E+00 -0.68456E-01  0.50541E-01  0.58963E-01  0.18024E+00  0.18189E+00  0.21547E+00  0.30086E+00  0.30092E+00  0.33299E+00  0.33428E+00  0.35293E+00  0.35341E+00  0.35439E+00  0.35610E+00  0.35634E+00  0.36912E+00  0.37031E+00  0.37033E+00  0.38005E+00  0.38012E+00  0.38032E+00  0.38246E+00  0.38267E+00  0.42628E+00  0.42664E+00  0.43732E+00  0.43818E+00  0.44207E+00  0.44214E+00  0.44393E+00  0.45564E+00  0.46195E+00  0.47687E+00  0.49612E+00  0.50705E+00  0.53107E+00  0.54232E+00  0.54293E+00  0.58850E+00  0.59747E+00  0.65186E+00  0.65829E+00  0.66982E+00  0.67431E+00  0.67778E+00  0.68201E+00  0.68917E+00  0.70803E+00  0.71447E+00  0.71779E+00  0.71790E+00  0.72703E+00  0.72787E+00  0.75818E+00  0.77736E+00  0.77747E+00  0.78134E+00  0.80739E+00  0.80846E+00  0.89123E+00  0.91407E+00  0.91595E+00  0.92663E+00  0.93241E+00  0.97962E+00  0.98090E+00  0.10214E+01  0.10400E+01  0.10646E+01  0.10661E+01  0.10700E+01  0.10736E+01  0.10760E+01  0.11224E+01  0.11224E+01  0.11233E+01  0.11233E+01  0.11390E+01  0.11475E+01  0.11675E+01  0.12285E+01  0.12287E+01  0.12299E+01  0.12362E+01
  0.33254E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79849E+00 -0.77392E+00 -0.77261E+00 -0.77069E+00 -0.76500E+00 -0.75262E+00 -0.75244E+00 -0.74627E+00 -0.35433E+00 -0.33595E+00 -0.32481E+00 -0.31832E+00 -0.30278E+00 -0.27371E+00 -0.27000E+00 -0.26999E+00 -0.26594E+00 -0.25658E+00 -0.25658E+00 -0.25422E+00 -0.25310E+00 -0.25028E+00 -0.24754E+00 -0.24504E+00 -0.24341E+00 -0.24338E+00 -0.22957E+00 -0.22779E+00 -0.21617E+00 -0.20610E+00 -0.20508E+00 -0.19907E+00 -0.19315E+00 -0.18580E+00 -0.18440E+00 -0.17936E+00 -0.17632E+00 -0.17209E+00 -0.17010E+00 -0.16614E+00 -0.15095E+00 -0.14975E+00 -0.14903E+00 -0.14804E+00 -0.14111E+00 -0.13890E+00 -0.12564E+00 -0.11033E+00 -0.11033E+00 -0.10444E+00 -0.67848E-01  0.49960E-01  0.59801E-01  0.17962E+00  0.18110E+00  0.21512E+00  0.30148E+00  0.30162E+00  0.33194E+00  0.33475E+00  0.35299E+00  0.35365E+00  0.35449E+00  0.35632E+00  0.35636E+00  0.36908E+00  0.37023E+00  0.37029E+00  0.37936E+00  0.37952E+00  0.37974E+00  0.38272E+00  0.38296E+00  0.42619E+00  0.42700E+00  0.43680E+00  0.43766E+00  0.44192E+00  0.44206E+00  0.44389E+00  0.45582E+00  0.46224E+00  0.47815E+00  0.49542E+00  0.50643E+00  0.53160E+00  0.54163E+00  0.54302E+00  0.58671E+00  0.59558E+00  0.64785E+00  0.65441E+00  0.66934E+00  0.67416E+00  0.68224E+00  0.68586E+00  0.69103E+00  0.71020E+00  0.71308E+00  0.71900E+00  0.71926E+00  0.72753E+00  0.72879E+00  0.76003E+00  0.77761E+00  0.77786E+00  0.78065E+00  0.80636E+00  0.80873E+00  0.88630E+00  0.91387E+00  0.91805E+00  0.92597E+00  0.93755E+00  0.98051E+00  0.98178E+00  0.10175E+01  0.10406E+01  0.10627E+01  0.10642E+01  0.10715E+01  0.10733E+01  0.10784E+01  0.11208E+01  0.11208E+01  0.11231E+01  0.11232E+01  0.11356E+01  0.11469E+01  0.11674E+01  0.12292E+01  0.12294E+01  0.12309E+01  0.12369E+01
  0.44338E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79833E+00 -0.77445E+00 -0.77292E+00 -0.77017E+00 -0.76479E+00 -0.75271E+00 -0.75239E+00 -0.74627E+00 -0.35387E+00 -0.33556E+00 -0.32477E+00 -0.31795E+00 -0.30272E+00 -0.27409E+00 -0.26989E+00 -0.26987E+00 -0.26652E+00 -0.25656E+00 -0.25656E+00 -0.25503E+00 -0.25321E+00 -0.25003E+00 -0.24757E+00 -0.24504E+00 -0.24369E+00 -0.24364E+00 -0.23143E+00 -0.22852E+00 -0.21693E+00 -0.20560E+00 -0.20406E+00 -0.19867E+00 -0.19322E+00 -0.18645E+00 -0.18412E+00 -0.17910E+00 -0.17557E+00 -0.17146E+00 -0.16946E+00 -0.16516E+00 -0.15115E+00 -0.15000E+00 -0.14880E+00 -0.14809E+00 -0.14203E+00 -0.13815E+00 -0.12590E+00 -0.11049E+00 -0.11049E+00 -0.10453E+00 -0.67010E-01  0.49160E-01  0.60960E-01  0.17877E+00  0.18002E+00  0.21463E+00  0.30232E+00  0.30259E+00  0.33062E+00  0.33540E+00  0.35307E+00  0.35393E+00  0.35456E+00  0.35639E+00  0.35672E+00  0.36902E+00  0.37007E+00  0.37018E+00  0.37847E+00  0.37874E+00  0.37908E+00  0.38308E+00  0.38321E+00  0.42607E+00  0.42750E+00  0.43607E+00  0.43695E+00  0.44173E+00  0.44198E+00  0.44385E+00  0.45607E+00  0.46263E+00  0.47976E+00  0.49447E+00  0.50560E+00  0.53244E+00  0.54067E+00  0.54316E+00  0.58420E+00  0.59293E+00  0.64402E+00  0.65070E+00  0.66875E+00  0.67334E+00  0.68741E+00  0.68835E+00  0.69470E+00  0.71087E+00  0.71315E+00  0.72063E+00  0.72109E+00  0.72888E+00  0.73008E+00  0.76226E+00  0.77793E+00  0.77844E+00  0.77968E+00  0.80501E+00  0.80912E+00  0.88073E+00  0.91360E+00  0.92093E+00  0.92504E+00  0.94344E+00  0.98158E+00  0.98288E+00  0.10125E+01  0.10414E+01  0.10603E+01  0.10618E+01  0.10730E+01  0.10734E+01  0.10812E+01  0.11185E+01  0.11188E+01  0.11229E+01  0.11230E+01  0.11311E+01  0.11461E+01  0.11672E+01  0.12301E+01  0.12304E+01  0.12320E+01  0.12377E+01
  0.55423E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79812E+00 -0.77499E+00 -0.77330E+00 -0.76967E+00 -0.76457E+00 -0.75281E+00 -0.75234E+00 -0.74627E+00 -0.35328E+00 -0.33506E+00 -0.32472E+00 -0.31747E+00 -0.30263E+00 -0.27456E+00 -0.26974E+00 -0.26972E+00 -0.26724E+00 -0.25654E+00 -0.25654E+00 -0.25600E+00 -0.25335E+00 -0.24981E+00 -0.24760E+00 -0.24504E+00 -0.24405E+00 -0.24396E+00 -0.23356E+00 -0.22943E+00 -0.21773E+00 -0.20497E+00 -0.20294E+00 -0.19818E+00 -0.19332E+00 -0.18717E+00 -0.18375E+00 -0.17877E+00 -0.17472E+00 -0.17130E+00 -0.16882E+00 -0.16334E+00 -0.15136E+00 -0.15031E+00 -0.14853E+00 -0.14816E+00 -0.14315E+00 -0.13720E+00 -0.12623E+00 -0.11070E+00 -0.11070E+00 -0.10464E+00 -0.65956E-01  0.48156E-01  0.62427E-01  0.17769E+00  0.17867E+00  0.21399E+00  0.30335E+00  0.30380E+00  0.32915E+00  0.33621E+00  0.35318E+00  0.35412E+00  0.35465E+00  0.35643E+00  0.35733E+00  0.36894E+00  0.36978E+00  0.36996E+00  0.37746E+00  0.37788E+00  0.37837E+00  0.38341E+00  0.38354E+00  0.42590E+00  0.42814E+00  0.43516E+00  0.43606E+00  0.44153E+00  0.44189E+00  0.44380E+00  0.45636E+00  0.46311E+00  0.48156E+00  0.49330E+00  0.50457E+00  0.53366E+00  0.53945E+00  0.54337E+00  0.58097E+00  0.58957E+00  0.64051E+00  0.64726E+00  0.66818E+00  0.67242E+00  0.68994E+00  0.69257E+00  0.69936E+00  0.70806E+00  0.71681E+00  0.72264E+00  0.72335E+00  0.73114E+00  0.73172E+00  0.76466E+00  0.77831E+00  0.77844E+00  0.77921E+00  0.80342E+00  0.80961E+00  0.87484E+00  0.91326E+00  0.92386E+00  0.92453E+00  0.94978E+00  0.98261E+00  0.98406E+00  0.10069E+01  0.10424E+01  0.10576E+01  0.10591E+01  0.10727E+01  0.10759E+01  0.10841E+01  0.11155E+01  0.11162E+01  0.11227E+01  0.11228E+01  0.11257E+01  0.11451E+01  0.11671E+01  0.12313E+01  0.12315E+01  0.12331E+01  0.12363E+01
  0.66507E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79787E+00 -0.77552E+00 -0.77371E+00 -0.76918E+00 -0.76435E+00 -0.75291E+00 -0.75227E+00 -0.74627E+00 -0.35257E+00 -0.33444E+00 -0.32465E+00 -0.31688E+00 -0.30253E+00 -0.27509E+00 -0.26956E+00 -0.26953E+00 -0.26808E+00 -0.25716E+00 -0.25652E+00 -0.25652E+00 -0.25352E+00 -0.24964E+00 -0.24764E+00 -0.24505E+00 -0.24447E+00 -0.24435E+00 -0.23581E+00 -0.23050E+00 -0.21854E+00 -0.20422E+00 -0.20177E+00 -0.19759E+00 -0.19344E+00 -0.18791E+00 -0.18330E+00 -0.17837E+00 -0.17382E+00 -0.17131E+00 -0.16844E+00 -0.16079E+00 -0.15159E+00 -0.15070E+00 -0.14827E+00 -0.14824E+00 -0.14442E+00 -0.13607E+00 -0.12664E+00 -0.11095E+00 -0.11094E+00 -0.10478E+00 -0.64705E-01  0.46965E-01  0.64186E-01  0.17640E+00  0.17706E+00  0.21320E+00  0.30454E+00  0.30526E+00  0.32765E+00  0.33716E+00  0.35330E+00  0.35406E+00  0.35493E+00  0.35646E+00  0.35814E+00  0.36886E+00  0.36928E+00  0.36953E+00  0.37646E+00  0.37704E+00  0.37762E+00  0.38357E+00  0.38410E+00  0.42570E+00  0.42892E+00  0.43408E+00  0.43501E+00  0.44133E+00  0.44181E+00  0.44376E+00  0.45671E+00  0.46364E+00  0.48336E+00  0.49193E+00  0.50340E+00  0.53535E+00  0.53798E+00  0.54369E+00  0.57709E+00  0.58555E+00  0.63734E+00  0.64407E+00  0.66773E+00  0.67156E+00  0.69132E+00  0.69751E+00  0.70308E+00  0.70586E+00  0.72116E+00  0.72494E+00  0.72598E+00  0.73371E+00  0.73426E+00  0.76711E+00  0.77693E+00  0.77867E+00  0.78021E+00  0.80173E+00  0.81023E+00  0.86877E+00  0.91287E+00  0.92242E+00  0.92876E+00  0.95640E+00  0.98328E+00  0.98512E+00  0.10010E+01  0.10437E+01  0.10549E+01  0.10563E+01  0.10725E+01  0.10788E+01  0.10870E+01  0.11114E+01  0.11133E+01  0.11200E+01  0.11224E+01  0.11225E+01  0.11438E+01  0.11671E+01  0.12302E+01  0.12326E+01  0.12328E+01  0.12342E+01
  0.77592E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79758E+00 -0.77604E+00 -0.77416E+00 -0.76871E+00 -0.76415E+00 -0.75302E+00 -0.75220E+00 -0.74627E+00 -0.35173E+00 -0.33372E+00 -0.32457E+00 -0.31619E+00 -0.30242E+00 -0.27567E+00 -0.26935E+00 -0.26931E+00 -0.26904E+00 -0.25855E+00 -0.25649E+00 -0.25649E+00 -0.25374E+00 -0.24952E+00 -0.24769E+00 -0.24508E+00 -0.24496E+00 -0.24480E+00 -0.23806E+00 -0.23171E+00 -0.21935E+00 -0.20335E+00 -0.20057E+00 -0.19691E+00 -0.19359E+00 -0.18867E+00 -0.18276E+00 -0.17789E+00 -0.17287E+00 -0.17142E+00 -0.16824E+00 -0.15784E+00 -0.15184E+00 -0.15115E+00 -0.14842E+00 -0.14794E+00 -0.14576E+00 -0.13477E+00 -0.12710E+00 -0.11123E+00 -0.11123E+00 -0.10494E+00 -0.63278E-01  0.45608E-01  0.66218E-01  0.17491E+00  0.17522E+00  0.21223E+00  0.30582E+00  0.30693E+00  0.32626E+00  0.33823E+00  0.35344E+00  0.35384E+00  0.35532E+00  0.35649E+00  0.35912E+00  0.36850E+00  0.36876E+00  0.36879E+00  0.37563E+00  0.37634E+00  0.37684E+00  0.38368E+00  0.38475E+00  0.42546E+00  0.42982E+00  0.43284E+00  0.43382E+00  0.44114E+00  0.44177E+00  0.44375E+00  0.45707E+00  0.46422E+00  0.48499E+00  0.49040E+00  0.50210E+00  0.53626E+00  0.53757E+00  0.54417E+00  0.57262E+00  0.58097E+00  0.63446E+00  0.64109E+00  0.66747E+00  0.67083E+00  0.69262E+00  0.70060E+00  0.70216E+00  0.70948E+00  0.72612E+00  0.72746E+00  0.72887E+00  0.73608E+00  0.73818E+00  0.76950E+00  0.77516E+00  0.77890E+00  0.78147E+00  0.80013E+00  0.81096E+00  0.86265E+00  0.91242E+00  0.92074E+00  0.93353E+00  0.96325E+00  0.98298E+00  0.98584E+00  0.99519E+00  0.10452E+01  0.10526E+01  0.10538E+01  0.10724E+01  0.10821E+01  0.10898E+01  0.11057E+01  0.11099E+01  0.11147E+01  0.11221E+01  0.11222E+01  0.11423E+01  0.11671E+01  0.12226E+01  0.12339E+01  0.12341E+01  0.12349E+01
  0.88676E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79725E+00 -0.77655E+00 -0.77462E+00 -0.76825E+00 -0.76399E+00 -0.75312E+00 -0.75212E+00 -0.74626E+00 -0.35079E+00 -0.33288E+00 -0.32449E+00 -0.31539E+00 -0.30231E+00 -0.27628E+00 -0.27009E+00 -0.26911E+00 -0.26905E+00 -0.26018E+00 -0.25646E+00 -0.25646E+00 -0.25400E+00 -0.24947E+00 -0.24774E+00 -0.24549E+00 -0.24531E+00 -0.24518E+00 -0.24019E+00 -0.23304E+00 -0.22016E+00 -0.20238E+00 -0.19936E+00 -0.19614E+00 -0.19378E+00 -0.18943E+00 -0.18215E+00 -0.17734E+00 -0.17191E+00 -0.17159E+00 -0.16813E+00 -0.15483E+00 -0.15210E+00 -0.15167E+00 -0.14862E+00 -0.14761E+00 -0.14699E+00 -0.13332E+00 -0.12762E+00 -0.11156E+00 -0.11156E+00 -0.10513E+00 -0.61701E-01  0.44110E-01  0.68504E-01  0.17318E+00  0.17326E+00  0.21109E+00  0.30713E+00  0.30880E+00  0.32512E+00  0.33941E+00  0.35351E+00  0.35360E+00  0.35577E+00  0.35651E+00  0.36025E+00  0.36740E+00  0.36765E+00  0.36865E+00  0.37508E+00  0.37585E+00  0.37604E+00  0.38375E+00  0.38550E+00  0.42517E+00  0.43076E+00  0.43146E+00  0.43260E+00  0.44100E+00  0.44177E+00  0.44379E+00  0.45746E+00  0.46480E+00  0.48629E+00  0.48873E+00  0.50073E+00  0.53431E+00  0.54027E+00  0.54498E+00  0.56766E+00  0.57592E+00  0.63181E+00  0.63826E+00  0.66742E+00  0.67029E+00  0.69342E+00  0.69745E+00  0.70648E+00  0.71383E+00  0.73011E+00  0.73156E+00  0.73195E+00  0.73886E+00  0.74283E+00  0.77171E+00  0.77318E+00  0.77884E+00  0.78303E+00  0.79885E+00  0.81181E+00  0.85653E+00  0.91192E+00  0.91881E+00  0.93870E+00  0.97028E+00  0.98064E+00  0.98594E+00  0.99052E+00  0.10469E+01  0.10510E+01  0.10519E+01  0.10726E+01  0.10857E+01  0.10924E+01  0.10985E+01  0.11062E+01  0.11101E+01  0.11218E+01  0.11219E+01  0.11405E+01  0.11673E+01  0.12136E+01  0.12352E+01  0.12353E+01  0.12354E+01
  0.99761E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79687E+00 -0.77704E+00 -0.77510E+00 -0.76780E+00 -0.76388E+00 -0.75321E+00 -0.75204E+00 -0.74625E+00 -0.34973E+00 -0.33194E+00 -0.32440E+00 -0.31449E+00 -0.30219E+00 -0.27689E+00 -0.27122E+00 -0.26884E+00 -0.26876E+00 -0.26206E+00 -0.25642E+00 -0.25642E+00 -0.25429E+00 -0.24952E+00 -0.24781E+00 -0.24608E+00 -0.24586E+00 -0.24543E+00 -0.24202E+00 -0.23446E+00 -0.22097E+00 -0.20132E+00 -0.19816E+00 -0.19531E+00 -0.19399E+00 -0.19018E+00 -0.18146E+00 -0.17671E+00 -0.17183E+00 -0.17092E+00 -0.16806E+00 -0.15252E+00 -0.15238E+00 -0.15225E+00 -0.14887E+00 -0.14742E+00 -0.14728E+00 -0.13178E+00 -0.12816E+00 -0.11192E+00 -0.11192E+00 -0.10534E+00 -0.60005E-01  0.42500E-01  0.71024E-01  0.17097E+00  0.17145E+00  0.20974E+00  0.30840E+00  0.31084E+00  0.32437E+00  0.34066E+00  0.35311E+00  0.35376E+00  0.35626E+00  0.35651E+00  0.36152E+00  0.36603E+00  0.36618E+00  0.36853E+00  0.37480E+00  0.37524E+00  0.37559E+00  0.38379E+00  0.38633E+00  0.42484E+00  0.42998E+00  0.43067E+00  0.43244E+00  0.44091E+00  0.44182E+00  0.44389E+00  0.45784E+00  0.46537E+00  0.48697E+00  0.48716E+00  0.49932E+00  0.53214E+00  0.54293E+00  0.54669E+00  0.56231E+00  0.57053E+00  0.62931E+00  0.63552E+00  0.66758E+00  0.66994E+00  0.69140E+00  0.69703E+00  0.71051E+00  0.71792E+00  0.73280E+00  0.73511E+00  0.73716E+00  0.74226E+00  0.74811E+00  0.77075E+00  0.77392E+00  0.77827E+00  0.78495E+00  0.79818E+00  0.81278E+00  0.85048E+00  0.91137E+00  0.91666E+00  0.94413E+00  0.97573E+00  0.97747E+00  0.98523E+00  0.98734E+00  0.10489E+01  0.10505E+01  0.10511E+01  0.10731E+01  0.10897E+01  0.10902E+01  0.10946E+01  0.11022E+01  0.11056E+01  0.11215E+01  0.11216E+01  0.11383E+01  0.11677E+01  0.12034E+01  0.12352E+01  0.12363E+01  0.12364E+01
