# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.3,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79930E+00 -0.77947E+00 -0.76690E+00 -0.76549E+00 -0.76219E+00 -0.75592E+00 -0.73887E+00 -0.73413E+00 -0.37463E+00 -0.34354E+00 -0.34105E+00 -0.32273E+00 -0.28881E+00 -0.28588E+00 -0.27916E+00 -0.27681E+00 -0.27365E+00 -0.27328E+00 -0.26756E+00 -0.26281E+00 -0.26188E+00 -0.25098E+00 -0.24891E+00 -0.22595E+00 -0.22569E+00 -0.21197E+00 -0.21017E+00 -0.20393E+00 -0.20317E+00 -0.20256E+00 -0.20200E+00 -0.19973E+00 -0.19559E+00 -0.18670E+00 -0.18089E+00 -0.17979E+00 -0.17444E+00 -0.17403E+00 -0.16901E+00 -0.15907E+00 -0.14525E+00 -0.13863E+00 -0.13499E+00 -0.13376E+00 -0.12765E+00 -0.12749E+00 -0.12481E+00 -0.11879E+00 -0.10888E+00 -0.99934E-01 -0.53640E-01  0.59878E-01  0.70526E-01  0.17829E+00  0.19169E+00  0.22500E+00  0.30034E+00  0.30588E+00  0.33404E+00  0.34081E+00  0.35507E+00  0.35695E+00  0.35769E+00  0.35932E+00  0.35978E+00  0.37232E+00  0.37405E+00  0.37411E+00  0.38302E+00  0.38488E+00  0.38562E+00  0.38569E+00  0.38628E+00  0.42981E+00  0.42993E+00  0.44163E+00  0.44183E+00  0.44495E+00  0.44604E+00  0.44777E+00  0.45827E+00  0.46479E+00  0.47883E+00  0.50423E+00  0.50648E+00  0.53415E+00  0.54553E+00  0.54660E+00  0.59636E+00  0.59876E+00  0.66330E+00  0.66472E+00  0.67142E+00  0.67587E+00  0.67846E+00  0.67921E+00  0.68874E+00  0.70773E+00  0.71777E+00  0.72107E+00  0.72284E+00  0.72951E+00  0.73338E+00  0.76079E+00  0.77834E+00  0.78169E+00  0.78550E+00  0.81237E+00  0.81286E+00  0.89985E+00  0.91777E+00  0.91788E+00  0.93019E+00  0.93049E+00  0.97972E+00  0.98178E+00  0.10302E+01  0.10431E+01  0.10705E+01  0.10705E+01  0.10722E+01  0.10766E+01  0.10774E+01  0.11269E+01  0.11270E+01  0.11273E+01  0.11273E+01  0.11448E+01  0.11517E+01  0.11722E+01  0.12310E+01  0.12324E+01  0.12352E+01  0.12365E+01
  0.16279E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79927E+00 -0.77947E+00 -0.76710E+00 -0.76546E+00 -0.76203E+00 -0.75596E+00 -0.73887E+00 -0.73413E+00 -0.37463E+00 -0.34333E+00 -0.34095E+00 -0.32265E+00 -0.28881E+00 -0.28588E+00 -0.27915E+00 -0.27680E+00 -0.27365E+00 -0.27336E+00 -0.26756E+00 -0.26282E+00 -0.26203E+00 -0.25125E+00 -0.24941E+00 -0.22613E+00 -0.22556E+00 -0.21196E+00 -0.21018E+00 -0.20382E+00 -0.20302E+00 -0.20254E+00 -0.20232E+00 -0.19990E+00 -0.19550E+00 -0.18630E+00 -0.18090E+00 -0.17979E+00 -0.17426E+00 -0.17390E+00 -0.16901E+00 -0.15907E+00 -0.14524E+00 -0.13802E+00 -0.13527E+00 -0.13375E+00 -0.12775E+00 -0.12764E+00 -0.12480E+00 -0.11888E+00 -0.10890E+00 -0.99945E-01 -0.53517E-01  0.60218E-01  0.70432E-01  0.17822E+00  0.19098E+00  0.22497E+00  0.30036E+00  0.30644E+00  0.33394E+00  0.34061E+00  0.35509E+00  0.35708E+00  0.35778E+00  0.35937E+00  0.35979E+00  0.37227E+00  0.37398E+00  0.37414E+00  0.38289E+00  0.38494E+00  0.38515E+00  0.38557E+00  0.38638E+00  0.42976E+00  0.43010E+00  0.44145E+00  0.44157E+00  0.44488E+00  0.44596E+00  0.44779E+00  0.45834E+00  0.46491E+00  0.47944E+00  0.50379E+00  0.50633E+00  0.53435E+00  0.54579E+00  0.54606E+00  0.59630E+00  0.59731E+00  0.65892E+00  0.66117E+00  0.67452E+00  0.67724E+00  0.68000E+00  0.68128E+00  0.68918E+00  0.70839E+00  0.71812E+00  0.72185E+00  0.72303E+00  0.72913E+00  0.73383E+00  0.76169E+00  0.77841E+00  0.78190E+00  0.78520E+00  0.81214E+00  0.81274E+00  0.89696E+00  0.91815E+00  0.91834E+00  0.92946E+00  0.93391E+00  0.98043E+00  0.98188E+00  0.10282E+01  0.10433E+01  0.10696E+01  0.10697E+01  0.10728E+01  0.10770E+01  0.10783E+01  0.11258E+01  0.11266E+01  0.11272E+01  0.11274E+01  0.11434E+01  0.11516E+01  0.11720E+01  0.12311E+01  0.12329E+01  0.12339E+01  0.12385E+01
  0.32558E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79918E+00 -0.77946E+00 -0.76762E+00 -0.76536E+00 -0.76163E+00 -0.75606E+00 -0.73886E+00 -0.73412E+00 -0.37463E+00 -0.34268E+00 -0.34066E+00 -0.32243E+00 -0.28880E+00 -0.28588E+00 -0.27911E+00 -0.27677E+00 -0.27365E+00 -0.27362E+00 -0.26756E+00 -0.26285E+00 -0.26249E+00 -0.25206E+00 -0.25078E+00 -0.22735E+00 -0.22451E+00 -0.21194E+00 -0.21020E+00 -0.20346E+00 -0.20319E+00 -0.20259E+00 -0.20250E+00 -0.20037E+00 -0.19527E+00 -0.18519E+00 -0.18090E+00 -0.17977E+00 -0.17371E+00 -0.17353E+00 -0.16901E+00 -0.15908E+00 -0.14520E+00 -0.13631E+00 -0.13607E+00 -0.13371E+00 -0.12808E+00 -0.12804E+00 -0.12477E+00 -0.11912E+00 -0.10893E+00 -0.99977E-01 -0.53161E-01  0.61233E-01  0.70153E-01  0.17802E+00  0.18893E+00  0.22491E+00  0.30041E+00  0.30808E+00  0.33366E+00  0.34005E+00  0.35515E+00  0.35746E+00  0.35800E+00  0.35951E+00  0.35986E+00  0.37211E+00  0.37380E+00  0.37422E+00  0.38249E+00  0.38378E+00  0.38505E+00  0.38524E+00  0.38672E+00  0.42959E+00  0.43061E+00  0.44079E+00  0.44090E+00  0.44468E+00  0.44575E+00  0.44784E+00  0.45854E+00  0.46524E+00  0.48125E+00  0.50249E+00  0.50592E+00  0.53496E+00  0.54447E+00  0.54659E+00  0.59330E+00  0.59610E+00  0.65077E+00  0.65649E+00  0.67102E+00  0.68367E+00  0.68545E+00  0.68576E+00  0.69106E+00  0.70933E+00  0.71916E+00  0.72366E+00  0.72419E+00  0.72882E+00  0.73517E+00  0.76405E+00  0.77864E+00  0.78253E+00  0.78430E+00  0.81144E+00  0.81240E+00  0.89051E+00  0.91929E+00  0.91970E+00  0.92730E+00  0.94192E+00  0.98210E+00  0.98255E+00  0.10226E+01  0.10440E+01  0.10667E+01  0.10671E+01  0.10747E+01  0.10780E+01  0.10805E+01  0.11222E+01  0.11257E+01  0.11278E+01  0.11278E+01  0.11392E+01  0.11510E+01  0.11715E+01  0.12302E+01  0.12313E+01  0.12345E+01  0.12441E+01
  0.48836E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79904E+00 -0.77945E+00 -0.76834E+00 -0.76520E+00 -0.76110E+00 -0.75624E+00 -0.73886E+00 -0.73410E+00 -0.37462E+00 -0.34162E+00 -0.34018E+00 -0.32207E+00 -0.28879E+00 -0.28587E+00 -0.27905E+00 -0.27673E+00 -0.27413E+00 -0.27365E+00 -0.26756E+00 -0.26329E+00 -0.26284E+00 -0.25346E+00 -0.25263E+00 -0.22914E+00 -0.22304E+00 -0.21192E+00 -0.21024E+00 -0.20441E+00 -0.20286E+00 -0.20242E+00 -0.20196E+00 -0.20104E+00 -0.19496E+00 -0.18359E+00 -0.18091E+00 -0.17975E+00 -0.17296E+00 -0.17280E+00 -0.16901E+00 -0.15910E+00 -0.14513E+00 -0.13737E+00 -0.13445E+00 -0.13284E+00 -0.12881E+00 -0.12853E+00 -0.12472E+00 -0.11952E+00 -0.10899E+00 -0.10003E+00 -0.52607E-01  0.62908E-01  0.69696E-01  0.17770E+00  0.18565E+00  0.22480E+00  0.30050E+00  0.31064E+00  0.33326E+00  0.33918E+00  0.35524E+00  0.35804E+00  0.35816E+00  0.35975E+00  0.36015E+00  0.37184E+00  0.37351E+00  0.37436E+00  0.38156E+00  0.38186E+00  0.38472E+00  0.38514E+00  0.38738E+00  0.42932E+00  0.43146E+00  0.43952E+00  0.44003E+00  0.44439E+00  0.44543E+00  0.44790E+00  0.45885E+00  0.46577E+00  0.48420E+00  0.50040E+00  0.50525E+00  0.53597E+00  0.54195E+00  0.54790E+00  0.58751E+00  0.59569E+00  0.64251E+00  0.65091E+00  0.66642E+00  0.68675E+00  0.69102E+00  0.69377E+00  0.69607E+00  0.70852E+00  0.72084E+00  0.72493E+00  0.72802E+00  0.73029E+00  0.73736E+00  0.76722E+00  0.77899E+00  0.78283E+00  0.78356E+00  0.81028E+00  0.81187E+00  0.88298E+00  0.92118E+00  0.92189E+00  0.92370E+00  0.95204E+00  0.98222E+00  0.98602E+00  0.10142E+01  0.10452E+01  0.10613E+01  0.10628E+01  0.10778E+01  0.10798E+01  0.10836E+01  0.11182E+01  0.11242E+01  0.11283E+01  0.11285E+01  0.11321E+01  0.11497E+01  0.11714E+01  0.12243E+01  0.12318E+01  0.12373E+01  0.12443E+01
  0.65115E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79884E+00 -0.77943E+00 -0.76917E+00 -0.76498E+00 -0.76053E+00 -0.75648E+00 -0.73884E+00 -0.73408E+00 -0.37462E+00 -0.34015E+00 -0.33953E+00 -0.32159E+00 -0.28878E+00 -0.28585E+00 -0.27897E+00 -0.27668E+00 -0.27498E+00 -0.27366E+00 -0.26756E+00 -0.26426E+00 -0.26288E+00 -0.25566E+00 -0.25442E+00 -0.23124E+00 -0.22139E+00 -0.21188E+00 -0.21028E+00 -0.20578E+00 -0.20232E+00 -0.20201E+00 -0.20183E+00 -0.20120E+00 -0.19462E+00 -0.18169E+00 -0.18092E+00 -0.17973E+00 -0.17224E+00 -0.17153E+00 -0.16901E+00 -0.15912E+00 -0.14501E+00 -0.13909E+00 -0.13421E+00 -0.12982E+00 -0.12964E+00 -0.12918E+00 -0.12467E+00 -0.12006E+00 -0.10907E+00 -0.10010E+00 -0.51906E-01  0.65218E-01  0.69077E-01  0.17726E+00  0.18137E+00  0.22465E+00  0.30062E+00  0.31394E+00  0.33280E+00  0.33810E+00  0.35537E+00  0.35808E+00  0.35875E+00  0.36009E+00  0.36082E+00  0.37147E+00  0.37312E+00  0.37453E+00  0.37866E+00  0.38099E+00  0.38407E+00  0.38516E+00  0.38841E+00  0.42896E+00  0.43263E+00  0.43781E+00  0.43890E+00  0.44407E+00  0.44507E+00  0.44794E+00  0.45925E+00  0.46644E+00  0.48818E+00  0.49760E+00  0.50437E+00  0.53730E+00  0.53876E+00  0.54973E+00  0.58067E+00  0.59491E+00  0.63433E+00  0.64498E+00  0.66152E+00  0.68851E+00  0.69651E+00  0.70201E+00  0.70357E+00  0.70540E+00  0.72312E+00  0.72739E+00  0.73324E+00  0.73394E+00  0.74036E+00  0.77063E+00  0.77945E+00  0.78083E+00  0.78498E+00  0.80870E+00  0.81121E+00  0.87533E+00  0.91869E+00  0.92380E+00  0.92480E+00  0.96329E+00  0.98168E+00  0.99074E+00  0.10041E+01  0.10468E+01  0.10534E+01  0.10572E+01  0.10821E+01  0.10823E+01  0.10874E+01  0.11144E+01  0.11221E+01  0.11234E+01  0.11291E+01  0.11292E+01  0.11470E+01  0.11720E+01  0.12168E+01  0.12324E+01  0.12382E+01  0.12412E+01
  0.81394E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79861E+00 -0.77941E+00 -0.77003E+00 -0.76470E+00 -0.75997E+00 -0.75679E+00 -0.73883E+00 -0.73405E+00 -0.37461E+00 -0.33875E+00 -0.33827E+00 -0.32099E+00 -0.28877E+00 -0.28584E+00 -0.27888E+00 -0.27662E+00 -0.27634E+00 -0.27366E+00 -0.26756E+00 -0.26532E+00 -0.26292E+00 -0.25829E+00 -0.25623E+00 -0.23337E+00 -0.21975E+00 -0.21184E+00 -0.21034E+00 -0.20719E+00 -0.20267E+00 -0.20220E+00 -0.20093E+00 -0.20038E+00 -0.19428E+00 -0.18094E+00 -0.17970E+00 -0.17962E+00 -0.17144E+00 -0.16991E+00 -0.16901E+00 -0.15915E+00 -0.14483E+00 -0.14114E+00 -0.13427E+00 -0.13110E+00 -0.12999E+00 -0.12570E+00 -0.12460E+00 -0.12072E+00 -0.10916E+00 -0.10018E+00 -0.51117E-01  0.68121E-01  0.68318E-01  0.17630E+00  0.17674E+00  0.22449E+00  0.30076E+00  0.31775E+00  0.33239E+00  0.33687E+00  0.35552E+00  0.35776E+00  0.35955E+00  0.36052E+00  0.36183E+00  0.37103E+00  0.37263E+00  0.37473E+00  0.37521E+00  0.37993E+00  0.38336E+00  0.38514E+00  0.38977E+00  0.42854E+00  0.43391E+00  0.43592E+00  0.43758E+00  0.44375E+00  0.44473E+00  0.44796E+00  0.45968E+00  0.46721E+00  0.49307E+00  0.49422E+00  0.50333E+00  0.53478E+00  0.53934E+00  0.55203E+00  0.57332E+00  0.59359E+00  0.62627E+00  0.63890E+00  0.65690E+00  0.68987E+00  0.70087E+00  0.70207E+00  0.71003E+00  0.71069E+00  0.72591E+00  0.73240E+00  0.73884E+00  0.73972E+00  0.74407E+00  0.77391E+00  0.77833E+00  0.77998E+00  0.78675E+00  0.80672E+00  0.81047E+00  0.86789E+00  0.91233E+00  0.92713E+00  0.92827E+00  0.97530E+00  0.97868E+00  0.99446E+00  0.99658E+00  0.10436E+01  0.10487E+01  0.10502E+01  0.10855E+01  0.10875E+01  0.10914E+01  0.11059E+01  0.11188E+01  0.11194E+01  0.11294E+01  0.11305E+01  0.11429E+01  0.11740E+01  0.12081E+01  0.12305E+01  0.12333E+01  0.12463E+01
  0.97673E-01 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79834E+00 -0.77939E+00 -0.77089E+00 -0.76437E+00 -0.75945E+00 -0.75715E+00 -0.73882E+00 -0.73402E+00 -0.37460E+00 -0.33785E+00 -0.33603E+00 -0.32032E+00 -0.28875E+00 -0.28582E+00 -0.27878E+00 -0.27837E+00 -0.27655E+00 -0.27367E+00 -0.26756E+00 -0.26631E+00 -0.26296E+00 -0.26102E+00 -0.25810E+00 -0.23534E+00 -0.21822E+00 -0.21179E+00 -0.21040E+00 -0.20856E+00 -0.20351E+00 -0.20207E+00 -0.19977E+00 -0.19943E+00 -0.19394E+00 -0.18095E+00 -0.17968E+00 -0.17749E+00 -0.17061E+00 -0.16901E+00 -0.16797E+00 -0.15918E+00 -0.14458E+00 -0.14344E+00 -0.13437E+00 -0.13263E+00 -0.13093E+00 -0.12453E+00 -0.12151E+00 -0.12149E+00 -0.10926E+00 -0.10027E+00 -0.50298E-01  0.67448E-01  0.71563E-01  0.17066E+00  0.17615E+00  0.22431E+00  0.30091E+00  0.32187E+00  0.33211E+00  0.33558E+00  0.35569E+00  0.35723E+00  0.36039E+00  0.36106E+00  0.36309E+00  0.37052E+00  0.37139E+00  0.37206E+00  0.37492E+00  0.37871E+00  0.38266E+00  0.38510E+00  0.39145E+00  0.42808E+00  0.43281E+00  0.43615E+00  0.43639E+00  0.44344E+00  0.44452E+00  0.44797E+00  0.46007E+00  0.46801E+00  0.49039E+00  0.49875E+00  0.50219E+00  0.53073E+00  0.54161E+00  0.55479E+00  0.56583E+00  0.59149E+00  0.61840E+00  0.63277E+00  0.65297E+00  0.69110E+00  0.69569E+00  0.70761E+00  0.71536E+00  0.71775E+00  0.72912E+00  0.74124E+00  0.74420E+00  0.74734E+00  0.74838E+00  0.77540E+00  0.77682E+00  0.78055E+00  0.78883E+00  0.80439E+00  0.80972E+00  0.86080E+00  0.90469E+00  0.93114E+00  0.93200E+00  0.96986E+00  0.98787E+00  0.98906E+00  0.10034E+01  0.10327E+01  0.10421E+01  0.10510E+01  0.10893E+01  0.10920E+01  0.10938E+01  0.10959E+01  0.11163E+01  0.11194E+01  0.11288E+01  0.11321E+01  0.11375E+01  0.11774E+01  0.11987E+01  0.12218E+01  0.12345E+01  0.12526E+01
  0.11395E+00 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79806E+00 -0.77937E+00 -0.77172E+00 -0.76399E+00 -0.75899E+00 -0.75756E+00 -0.73881E+00 -0.73399E+00 -0.37460E+00 -0.33689E+00 -0.33343E+00 -0.31961E+00 -0.28874E+00 -0.28581E+00 -0.28112E+00 -0.27867E+00 -0.27647E+00 -0.27367E+00 -0.26756E+00 -0.26709E+00 -0.26369E+00 -0.26300E+00 -0.25998E+00 -0.23702E+00 -0.21688E+00 -0.21174E+00 -0.21046E+00 -0.20982E+00 -0.20432E+00 -0.20194E+00 -0.19898E+00 -0.19802E+00 -0.19361E+00 -0.18096E+00 -0.17965E+00 -0.17539E+00 -0.16981E+00 -0.16901E+00 -0.16575E+00 -0.15921E+00 -0.14586E+00 -0.14425E+00 -0.13448E+00 -0.13441E+00 -0.13195E+00 -0.12446E+00 -0.12234E+00 -0.11734E+00 -0.10935E+00 -0.10036E+00 -0.49500E-01  0.66511E-01  0.75464E-01  0.16466E+00  0.17554E+00  0.22413E+00  0.30108E+00  0.32610E+00  0.33203E+00  0.33430E+00  0.35587E+00  0.35652E+00  0.36125E+00  0.36167E+00  0.36450E+00  0.36740E+00  0.36998E+00  0.37144E+00  0.37508E+00  0.37737E+00  0.38199E+00  0.38504E+00  0.39341E+00  0.42761E+00  0.43012E+00  0.43470E+00  0.43850E+00  0.44310E+00  0.44459E+00  0.44796E+00  0.46033E+00  0.46880E+00  0.48622E+00  0.50102E+00  0.50509E+00  0.52672E+00  0.54434E+00  0.55795E+00  0.55846E+00  0.58842E+00  0.61073E+00  0.62665E+00  0.65005E+00  0.69029E+00  0.69225E+00  0.71310E+00  0.71790E+00  0.72500E+00  0.73263E+00  0.74960E+00  0.75268E+00  0.75372E+00  0.75594E+00  0.77209E+00  0.77922E+00  0.78111E+00  0.79118E+00  0.80178E+00  0.80902E+00  0.85413E+00  0.89589E+00  0.93511E+00  0.93583E+00  0.95736E+00  0.98669E+00  0.10009E+01  0.10110E+01  0.10219E+01  0.10333E+01  0.10537E+01  0.10763E+01  0.10938E+01  0.11005E+01  0.11006E+01  0.11131E+01  0.11221E+01  0.11271E+01  0.11308E+01  0.11340E+01  0.11822E+01  0.11890E+01  0.12124E+01  0.12361E+01  0.12603E+01
  0.13023E+00 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79778E+00 -0.77934E+00 -0.77249E+00 -0.76356E+00 -0.75859E+00 -0.75801E+00 -0.73880E+00 -0.73396E+00 -0.37459E+00 -0.33591E+00 -0.33054E+00 -0.31888E+00 -0.28872E+00 -0.28579E+00 -0.28449E+00 -0.27856E+00 -0.27640E+00 -0.27368E+00 -0.26765E+00 -0.26756E+00 -0.26620E+00 -0.26304E+00 -0.26177E+00 -0.23838E+00 -0.21575E+00 -0.21170E+00 -0.21093E+00 -0.21051E+00 -0.20505E+00 -0.20182E+00 -0.19836E+00 -0.19643E+00 -0.19332E+00 -0.18096E+00 -0.17963E+00 -0.17339E+00 -0.16910E+00 -0.16901E+00 -0.16330E+00 -0.15924E+00 -0.14829E+00 -0.14386E+00 -0.13642E+00 -0.13459E+00 -0.13300E+00 -0.12440E+00 -0.12321E+00 -0.11342E+00 -0.10945E+00 -0.10045E+00 -0.48767E-01  0.65559E-01  0.79715E-01  0.15850E+00  0.17492E+00  0.22396E+00  0.30125E+00  0.33028E+00  0.33220E+00  0.33310E+00  0.35562E+00  0.35605E+00  0.36207E+00  0.36212E+00  0.36370E+00  0.36597E+00  0.36944E+00  0.37078E+00  0.37517E+00  0.37596E+00  0.38141E+00  0.38498E+00  0.39563E+00  0.42712E+00  0.42716E+00  0.43332E+00  0.44100E+00  0.44275E+00  0.44504E+00  0.44794E+00  0.46031E+00  0.46953E+00  0.48185E+00  0.49988E+00  0.51195E+00  0.52308E+00  0.54751E+00  0.55142E+00  0.56147E+00  0.58427E+00  0.60331E+00  0.62062E+00  0.64831E+00  0.68491E+00  0.69330E+00  0.71851E+00  0.71935E+00  0.73164E+00  0.73629E+00  0.75478E+00  0.75791E+00  0.76539E+00  0.76735E+00  0.76846E+00  0.78101E+00  0.78165E+00  0.79374E+00  0.79898E+00  0.80839E+00  0.84795E+00  0.88611E+00  0.93253E+00  0.94116E+00  0.94891E+00  0.98476E+00  0.10121E+01  0.10142E+01  0.10193E+01  0.10240E+01  0.10567E+01  0.10600E+01  0.10989E+01  0.11044E+01  0.11053E+01  0.11134E+01  0.11233E+01  0.11239E+01  0.11261E+01  0.11358E+01  0.11791E+01  0.11884E+01  0.12027E+01  0.12381E+01  0.12452E+01
  0.14651E+00 -0.42176E+01 -0.42176E+01 -0.40905E+01 -0.40905E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27970E+01 -0.27575E+01 -0.27575E+01 -0.26656E+01 -0.26656E+01 -0.26518E+01 -0.26517E+01 -0.26500E+01 -0.26499E+01 -0.79751E+00 -0.77932E+00 -0.77316E+00 -0.76310E+00 -0.75849E+00 -0.75826E+00 -0.73879E+00 -0.73393E+00 -0.37459E+00 -0.33498E+00 -0.32740E+00 -0.31819E+00 -0.28871E+00 -0.28826E+00 -0.28577E+00 -0.27846E+00 -0.27634E+00 -0.27368E+00 -0.26843E+00 -0.26803E+00 -0.26756E+00 -0.26338E+00 -0.26308E+00 -0.23942E+00 -0.21484E+00 -0.21188E+00 -0.21165E+00 -0.21057E+00 -0.20568E+00 -0.20171E+00 -0.19786E+00 -0.19482E+00 -0.19305E+00 -0.18095E+00 -0.17961E+00 -0.17157E+00 -0.16901E+00 -0.16849E+00 -0.16069E+00 -0.15927E+00 -0.15061E+00 -0.14341E+00 -0.13862E+00 -0.13470E+00 -0.13404E+00 -0.12434E+00 -0.12408E+00 -0.10992E+00 -0.10954E+00 -0.10053E+00 -0.48131E-01  0.64650E-01  0.84157E-01  0.15243E+00  0.17436E+00  0.22380E+00  0.30140E+00  0.33194E+00  0.33266E+00  0.33437E+00  0.35451E+00  0.35621E+00  0.35923E+00  0.36298E+00  0.36349E+00  0.36740E+00  0.36893E+00  0.37015E+00  0.37452E+00  0.37515E+00  0.38093E+00  0.38493E+00  0.39809E+00  0.42395E+00  0.42676E+00  0.43206E+00  0.44242E+00  0.44381E+00  0.44589E+00  0.44792E+00  0.45989E+00  0.47018E+00  0.47738E+00  0.49884E+00  0.51922E+00  0.52014E+00  0.54488E+00  0.55114E+00  0.56526E+00  0.57908E+00  0.59618E+00  0.61477E+00  0.64774E+00  0.67974E+00  0.69420E+00  0.72027E+00  0.72381E+00  0.73751E+00  0.73991E+00  0.75955E+00  0.76268E+00  0.76458E+00  0.77549E+00  0.78211E+00  0.78217E+00  0.78252E+00  0.79613E+00  0.79644E+00  0.80787E+00  0.84233E+00  0.87557E+00  0.91925E+00  0.94713E+00  0.95037E+00  0.98250E+00  0.10038E+01  0.10144E+01  0.10277E+01  0.10280E+01  0.10442E+01  0.10601E+01  0.11014E+01  0.11045E+01  0.11102E+01  0.11153E+01  0.11188E+01  0.11209E+01  0.11310E+01  0.11373E+01  0.11694E+01  0.11931E+01  0.11958E+01  0.12270E+01  0.12407E+01
