# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.3,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.79074E+00 -0.76825E+00 -0.76494E+00 -0.76272E+00 -0.75057E+00 -0.73876E+00 -0.73260E+00 -0.72976E+00 -0.36438E+00 -0.34357E+00 -0.31618E+00 -0.31399E+00 -0.28332E+00 -0.28216E+00 -0.27502E+00 -0.26830E+00 -0.26174E+00 -0.25193E+00 -0.25186E+00 -0.24409E+00 -0.24336E+00 -0.24184E+00 -0.23719E+00 -0.22265E+00 -0.22211E+00 -0.21518E+00 -0.21442E+00 -0.20721E+00 -0.20715E+00 -0.19604E+00 -0.19545E+00 -0.19349E+00 -0.19083E+00 -0.18252E+00 -0.17049E+00 -0.16563E+00 -0.16443E+00 -0.16303E+00 -0.15205E+00 -0.14509E+00 -0.13745E+00 -0.13735E+00 -0.13438E+00 -0.12754E+00 -0.12728E+00 -0.12562E+00 -0.11115E+00 -0.95875E-01 -0.92190E-01 -0.90624E-01 -0.56240E-01  0.66020E-01  0.76953E-01  0.18865E+00  0.19425E+00  0.23436E+00  0.31002E+00  0.31127E+00  0.34539E+00  0.34645E+00  0.36200E+00  0.36496E+00  0.36575E+00  0.36731E+00  0.36781E+00  0.38091E+00  0.38202E+00  0.38202E+00  0.39195E+00  0.39272E+00  0.39316E+00  0.39373E+00  0.39373E+00  0.43787E+00  0.43799E+00  0.44950E+00  0.44999E+00  0.45362E+00  0.45365E+00  0.45553E+00  0.46620E+00  0.47273E+00  0.48675E+00  0.50879E+00  0.51927E+00  0.54204E+00  0.55406E+00  0.55428E+00  0.60314E+00  0.60816E+00  0.66970E+00  0.67430E+00  0.68128E+00  0.68372E+00  0.68506E+00  0.68585E+00  0.69623E+00  0.71923E+00  0.72656E+00  0.72668E+00  0.72759E+00  0.73990E+00  0.74019E+00  0.77056E+00  0.78762E+00  0.78771E+00  0.79365E+00  0.82091E+00  0.82106E+00  0.90789E+00  0.92581E+00  0.92589E+00  0.93872E+00  0.93887E+00  0.98761E+00  0.99024E+00  0.10382E+01  0.10510E+01  0.10779E+01  0.10792E+01  0.10802E+01  0.10848E+01  0.10854E+01  0.11350E+01  0.11350E+01  0.11353E+01  0.11354E+01  0.11526E+01  0.11600E+01  0.11797E+01  0.12397E+01  0.12400E+01  0.12414E+01  0.12465E+01
  0.16279E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.79070E+00 -0.76825E+00 -0.76513E+00 -0.76261E+00 -0.75053E+00 -0.73878E+00 -0.73261E+00 -0.72974E+00 -0.36437E+00 -0.34339E+00 -0.31610E+00 -0.31385E+00 -0.28332E+00 -0.28215E+00 -0.27504E+00 -0.26831E+00 -0.26196E+00 -0.25273E+00 -0.25124E+00 -0.24450E+00 -0.24334E+00 -0.24184E+00 -0.23717E+00 -0.22265E+00 -0.22224E+00 -0.21524E+00 -0.21457E+00 -0.20723E+00 -0.20713E+00 -0.19653E+00 -0.19533E+00 -0.19288E+00 -0.19072E+00 -0.18246E+00 -0.17077E+00 -0.16552E+00 -0.16441E+00 -0.16271E+00 -0.15205E+00 -0.14511E+00 -0.13766E+00 -0.13717E+00 -0.13442E+00 -0.12814E+00 -0.12630E+00 -0.12561E+00 -0.11122E+00 -0.95964E-01 -0.92200E-01 -0.90649E-01 -0.56144E-01  0.66297E-01  0.76912E-01  0.18853E+00  0.19370E+00  0.23425E+00  0.31004E+00  0.31181E+00  0.34530E+00  0.34625E+00  0.36202E+00  0.36509E+00  0.36583E+00  0.36736E+00  0.36782E+00  0.38089E+00  0.38196E+00  0.38205E+00  0.39181E+00  0.39226E+00  0.39250E+00  0.39389E+00  0.39421E+00  0.43781E+00  0.43816E+00  0.44927E+00  0.44977E+00  0.45355E+00  0.45359E+00  0.45553E+00  0.46627E+00  0.47285E+00  0.48737E+00  0.50848E+00  0.51900E+00  0.54224E+00  0.55373E+00  0.55433E+00  0.60238E+00  0.60740E+00  0.66585E+00  0.67058E+00  0.68339E+00  0.68550E+00  0.68627E+00  0.68840E+00  0.69681E+00  0.72021E+00  0.72607E+00  0.72704E+00  0.72836E+00  0.73989E+00  0.74062E+00  0.77141E+00  0.78771E+00  0.78789E+00  0.79334E+00  0.82079E+00  0.82084E+00  0.90503E+00  0.92619E+00  0.92635E+00  0.93815E+00  0.94211E+00  0.98814E+00  0.99052E+00  0.10362E+01  0.10513E+01  0.10770E+01  0.10783E+01  0.10808E+01  0.10852E+01  0.10862E+01  0.11340E+01  0.11347E+01  0.11352E+01  0.11354E+01  0.11512E+01  0.11598E+01  0.11795E+01  0.12398E+01  0.12405E+01  0.12413E+01  0.12474E+01
  0.32558E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.79059E+00 -0.76824E+00 -0.76560E+00 -0.76236E+00 -0.75041E+00 -0.73884E+00 -0.73262E+00 -0.72971E+00 -0.36433E+00 -0.34287E+00 -0.31587E+00 -0.31345E+00 -0.28331E+00 -0.28210E+00 -0.27511E+00 -0.26832E+00 -0.26262E+00 -0.25373E+00 -0.25075E+00 -0.24563E+00 -0.24329E+00 -0.24183E+00 -0.23714E+00 -0.22265E+00 -0.22262E+00 -0.21651E+00 -0.21391E+00 -0.20728E+00 -0.20704E+00 -0.19741E+00 -0.19495E+00 -0.19165E+00 -0.19042E+00 -0.18229E+00 -0.17145E+00 -0.16517E+00 -0.16438E+00 -0.16192E+00 -0.15204E+00 -0.14514E+00 -0.13803E+00 -0.13692E+00 -0.13452E+00 -0.12906E+00 -0.12559E+00 -0.12430E+00 -0.11145E+00 -0.96228E-01 -0.92229E-01 -0.90723E-01 -0.55869E-01  0.67086E-01  0.76827E-01  0.18804E+00  0.19221E+00  0.23393E+00  0.31012E+00  0.31336E+00  0.34509E+00  0.34569E+00  0.36210E+00  0.36545E+00  0.36601E+00  0.36751E+00  0.36791E+00  0.38083E+00  0.38178E+00  0.38214E+00  0.39090E+00  0.39139E+00  0.39146E+00  0.39437E+00  0.39473E+00  0.43765E+00  0.43868E+00  0.44856E+00  0.44914E+00  0.45337E+00  0.45341E+00  0.45553E+00  0.46649E+00  0.47320E+00  0.48921E+00  0.50753E+00  0.51824E+00  0.54285E+00  0.55212E+00  0.55514E+00  0.59940E+00  0.60613E+00  0.65840E+00  0.66512E+00  0.67977E+00  0.68963E+00  0.69254E+00  0.69494E+00  0.69838E+00  0.72242E+00  0.72468E+00  0.72810E+00  0.73065E+00  0.74043E+00  0.74190E+00  0.77368E+00  0.78796E+00  0.78844E+00  0.79244E+00  0.82020E+00  0.82044E+00  0.89862E+00  0.92733E+00  0.92771E+00  0.93600E+00  0.95009E+00  0.98933E+00  0.99169E+00  0.10306E+01  0.10520E+01  0.10742E+01  0.10756E+01  0.10827E+01  0.10863E+01  0.10885E+01  0.11305E+01  0.11338E+01  0.11356E+01  0.11357E+01  0.11467E+01  0.11591E+01  0.11793E+01  0.12385E+01  0.12401E+01  0.12421E+01  0.12522E+01
  0.48836E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.79040E+00 -0.76822E+00 -0.76624E+00 -0.76207E+00 -0.75022E+00 -0.73894E+00 -0.73265E+00 -0.72965E+00 -0.36426E+00 -0.34201E+00 -0.31551E+00 -0.31278E+00 -0.28330E+00 -0.28203E+00 -0.27524E+00 -0.26835E+00 -0.26376E+00 -0.25490E+00 -0.25040E+00 -0.24727E+00 -0.24322E+00 -0.24182E+00 -0.23711E+00 -0.22320E+00 -0.22265E+00 -0.21865E+00 -0.21281E+00 -0.20736E+00 -0.20689E+00 -0.19826E+00 -0.19430E+00 -0.19026E+00 -0.18998E+00 -0.18202E+00 -0.17227E+00 -0.16458E+00 -0.16433E+00 -0.16089E+00 -0.15203E+00 -0.14520E+00 -0.13854E+00 -0.13657E+00 -0.13470E+00 -0.13039E+00 -0.12555E+00 -0.12133E+00 -0.11182E+00 -0.96660E-01 -0.92275E-01 -0.90839E-01 -0.55446E-01  0.68234E-01  0.76845E-01  0.18660E+00  0.19048E+00  0.23347E+00  0.31025E+00  0.31577E+00  0.34480E+00  0.34481E+00  0.36224E+00  0.36599E+00  0.36611E+00  0.36777E+00  0.36824E+00  0.38074E+00  0.38149E+00  0.38227E+00  0.38873E+00  0.39027E+00  0.39072E+00  0.39512E+00  0.39517E+00  0.43738E+00  0.43954E+00  0.44733E+00  0.44819E+00  0.45310E+00  0.45314E+00  0.45552E+00  0.46682E+00  0.47375E+00  0.49220E+00  0.50594E+00  0.51708E+00  0.54386E+00  0.54958E+00  0.55648E+00  0.59406E+00  0.60521E+00  0.65033E+00  0.65923E+00  0.67511E+00  0.69427E+00  0.69818E+00  0.70156E+00  0.70308E+00  0.72075E+00  0.72675E+00  0.72982E+00  0.73439E+00  0.74242E+00  0.74401E+00  0.77676E+00  0.78837E+00  0.78931E+00  0.79097E+00  0.81916E+00  0.81991E+00  0.89113E+00  0.92921E+00  0.92990E+00  0.93243E+00  0.96019E+00  0.99008E+00  0.99451E+00  0.10223E+01  0.10532E+01  0.10691E+01  0.10711E+01  0.10858E+01  0.10880E+01  0.10916E+01  0.11267E+01  0.11322E+01  0.11360E+01  0.11364E+01  0.11394E+01  0.11575E+01  0.11794E+01  0.12329E+01  0.12405E+01  0.12448E+01  0.12524E+01
  0.65115E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.79014E+00 -0.76820E+00 -0.76699E+00 -0.76177E+00 -0.74998E+00 -0.73907E+00 -0.73267E+00 -0.72958E+00 -0.36417E+00 -0.34082E+00 -0.31501E+00 -0.31187E+00 -0.28330E+00 -0.28193E+00 -0.27547E+00 -0.26841E+00 -0.26536E+00 -0.25619E+00 -0.25017E+00 -0.24918E+00 -0.24312E+00 -0.24180E+00 -0.23709E+00 -0.22394E+00 -0.22265E+00 -0.22128E+00 -0.21163E+00 -0.20746E+00 -0.20664E+00 -0.19900E+00 -0.19335E+00 -0.18949E+00 -0.18885E+00 -0.18168E+00 -0.17298E+00 -0.16426E+00 -0.16377E+00 -0.15982E+00 -0.15203E+00 -0.14527E+00 -0.13921E+00 -0.13610E+00 -0.13494E+00 -0.13213E+00 -0.12550E+00 -0.11761E+00 -0.11232E+00 -0.97245E-01 -0.92336E-01 -0.90990E-01 -0.54921E-01  0.69381E-01  0.77317E-01  0.18341E+00  0.18944E+00  0.23293E+00  0.31042E+00  0.31883E+00  0.34369E+00  0.34453E+00  0.36241E+00  0.36596E+00  0.36667E+00  0.36814E+00  0.36893E+00  0.38062E+00  0.38109E+00  0.38242E+00  0.38589E+00  0.38897E+00  0.38981E+00  0.39538E+00  0.39629E+00  0.43703E+00  0.44075E+00  0.44561E+00  0.44702E+00  0.45280E+00  0.45282E+00  0.45549E+00  0.46726E+00  0.47443E+00  0.49623E+00  0.50372E+00  0.51566E+00  0.54530E+00  0.54627E+00  0.55833E+00  0.58738E+00  0.60422E+00  0.64221E+00  0.65313E+00  0.67024E+00  0.69711E+00  0.70386E+00  0.70676E+00  0.71132E+00  0.71701E+00  0.73121E+00  0.73216E+00  0.73948E+00  0.74601E+00  0.74687E+00  0.78010E+00  0.78890E+00  0.78896E+00  0.79047E+00  0.81776E+00  0.81925E+00  0.88350E+00  0.92747E+00  0.93181E+00  0.93280E+00  0.97142E+00  0.98996E+00  0.99847E+00  0.10126E+01  0.10547E+01  0.10614E+01  0.10652E+01  0.10902E+01  0.10905E+01  0.10953E+01  0.11231E+01  0.11300E+01  0.11304E+01  0.11367E+01  0.11370E+01  0.11546E+01  0.11805E+01  0.12254E+01  0.12412E+01  0.12463E+01  0.12488E+01
  0.81394E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.78983E+00 -0.76818E+00 -0.76780E+00 -0.76150E+00 -0.74972E+00 -0.73923E+00 -0.73271E+00 -0.72950E+00 -0.36408E+00 -0.33933E+00 -0.31440E+00 -0.31072E+00 -0.28328E+00 -0.28181E+00 -0.27590E+00 -0.26850E+00 -0.26732E+00 -0.25756E+00 -0.25120E+00 -0.25004E+00 -0.24300E+00 -0.24178E+00 -0.23707E+00 -0.22477E+00 -0.22414E+00 -0.22266E+00 -0.21057E+00 -0.20756E+00 -0.20625E+00 -0.19962E+00 -0.19212E+00 -0.18905E+00 -0.18750E+00 -0.18133E+00 -0.17343E+00 -0.16418E+00 -0.16274E+00 -0.15881E+00 -0.15202E+00 -0.14536E+00 -0.14002E+00 -0.13549E+00 -0.13526E+00 -0.13419E+00 -0.12542E+00 -0.11339E+00 -0.11295E+00 -0.97965E-01 -0.92408E-01 -0.91166E-01 -0.54347E-01  0.69987E-01  0.78772E-01  0.17891E+00  0.18884E+00  0.23235E+00  0.31063E+00  0.32229E+00  0.34241E+00  0.34442E+00  0.36263E+00  0.36556E+00  0.36744E+00  0.36861E+00  0.36995E+00  0.38048E+00  0.38059E+00  0.38219E+00  0.38295E+00  0.38762E+00  0.38870E+00  0.39554E+00  0.39770E+00  0.43662E+00  0.44230E+00  0.44346E+00  0.44566E+00  0.45242E+00  0.45261E+00  0.45545E+00  0.46773E+00  0.47520E+00  0.50092E+00  0.50117E+00  0.51411E+00  0.54243E+00  0.54717E+00  0.56068E+00  0.58008E+00  0.60277E+00  0.63418E+00  0.64693E+00  0.66569E+00  0.69883E+00  0.70856E+00  0.70956E+00  0.71605E+00  0.71941E+00  0.73504E+00  0.73767E+00  0.74577E+00  0.75043E+00  0.75083E+00  0.78335E+00  0.78646E+00  0.78955E+00  0.79182E+00  0.81609E+00  0.81852E+00  0.87610E+00  0.92117E+00  0.93512E+00  0.93626E+00  0.98341E+00  0.98733E+00  0.99940E+00  0.10076E+01  0.10516E+01  0.10567E+01  0.10582E+01  0.10937E+01  0.10956E+01  0.10994E+01  0.11141E+01  0.11264E+01  0.11272E+01  0.11373E+01  0.11376E+01  0.11504E+01  0.11828E+01  0.12167E+01  0.12387E+01  0.12421E+01  0.12539E+01
  0.97673E-01 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.78946E+00 -0.76865E+00 -0.76815E+00 -0.76124E+00 -0.74944E+00 -0.73940E+00 -0.73275E+00 -0.72941E+00 -0.36398E+00 -0.33756E+00 -0.31370E+00 -0.30936E+00 -0.28327E+00 -0.28168E+00 -0.27674E+00 -0.26938E+00 -0.26865E+00 -0.25893E+00 -0.25325E+00 -0.24998E+00 -0.24287E+00 -0.24176E+00 -0.23706E+00 -0.22697E+00 -0.22565E+00 -0.22266E+00 -0.20977E+00 -0.20766E+00 -0.20569E+00 -0.20012E+00 -0.19064E+00 -0.18872E+00 -0.18627E+00 -0.18104E+00 -0.17349E+00 -0.16409E+00 -0.16152E+00 -0.15794E+00 -0.15201E+00 -0.14545E+00 -0.14097E+00 -0.13649E+00 -0.13565E+00 -0.13475E+00 -0.12532E+00 -0.11368E+00 -0.10893E+00 -0.98793E-01 -0.92486E-01 -0.91354E-01 -0.53773E-01  0.69839E-01  0.81408E-01  0.17363E+00  0.18837E+00  0.23179E+00  0.31087E+00  0.32590E+00  0.34105E+00  0.34459E+00  0.36288E+00  0.36491E+00  0.36826E+00  0.36920E+00  0.37119E+00  0.37874E+00  0.38002E+00  0.38033E+00  0.38289E+00  0.38628E+00  0.38742E+00  0.39562E+00  0.39941E+00  0.43617E+00  0.44096E+00  0.44417E+00  0.44420E+00  0.45202E+00  0.45256E+00  0.45540E+00  0.46818E+00  0.47597E+00  0.49763E+00  0.50690E+00  0.51252E+00  0.53835E+00  0.54947E+00  0.56348E+00  0.57260E+00  0.60058E+00  0.62630E+00  0.64069E+00  0.66186E+00  0.70013E+00  0.70440E+00  0.71523E+00  0.71906E+00  0.72719E+00  0.73836E+00  0.74651E+00  0.75311E+00  0.75456E+00  0.75671E+00  0.78352E+00  0.78628E+00  0.79027E+00  0.79323E+00  0.81429E+00  0.81781E+00  0.86904E+00  0.91361E+00  0.93911E+00  0.93999E+00  0.97835E+00  0.99586E+00  0.99598E+00  0.10128E+01  0.10409E+01  0.10501E+01  0.10590E+01  0.10973E+01  0.11001E+01  0.11020E+01  0.11038E+01  0.11239E+01  0.11273E+01  0.11368E+01  0.11386E+01  0.11452E+01  0.11865E+01  0.12072E+01  0.12299E+01  0.12433E+01  0.12603E+01
  0.11395E+00 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.78907E+00 -0.76949E+00 -0.76812E+00 -0.76101E+00 -0.74918E+00 -0.73958E+00 -0.73279E+00 -0.72932E+00 -0.36388E+00 -0.33558E+00 -0.31296E+00 -0.30782E+00 -0.28326E+00 -0.28155E+00 -0.27833E+00 -0.27107E+00 -0.26888E+00 -0.26023E+00 -0.25534E+00 -0.24997E+00 -0.24273E+00 -0.24174E+00 -0.23705E+00 -0.22957E+00 -0.22651E+00 -0.22266E+00 -0.20925E+00 -0.20775E+00 -0.20502E+00 -0.20051E+00 -0.18896E+00 -0.18854E+00 -0.18518E+00 -0.18084E+00 -0.17311E+00 -0.16400E+00 -0.16014E+00 -0.15721E+00 -0.15200E+00 -0.14555E+00 -0.14201E+00 -0.13893E+00 -0.13610E+00 -0.13388E+00 -0.12519E+00 -0.11448E+00 -0.10448E+00 -0.99695E-01 -0.92568E-01 -0.91543E-01 -0.53244E-01  0.69181E-01  0.84960E-01  0.16785E+00  0.18793E+00  0.23126E+00  0.31113E+00  0.32942E+00  0.33968E+00  0.34518E+00  0.36315E+00  0.36398E+00  0.36910E+00  0.36989E+00  0.37246E+00  0.37508E+00  0.37937E+00  0.38017E+00  0.38304E+00  0.38498E+00  0.38602E+00  0.39565E+00  0.40140E+00  0.43571E+00  0.43817E+00  0.44272E+00  0.44637E+00  0.45163E+00  0.45275E+00  0.45534E+00  0.46849E+00  0.47666E+00  0.49402E+00  0.51097E+00  0.51327E+00  0.53433E+00  0.55221E+00  0.56522E+00  0.56672E+00  0.59741E+00  0.61863E+00  0.63448E+00  0.65908E+00  0.69865E+00  0.70179E+00  0.72083E+00  0.72144E+00  0.73450E+00  0.74201E+00  0.75581E+00  0.75912E+00  0.76127E+00  0.76469E+00  0.78020E+00  0.78879E+00  0.79107E+00  0.79446E+00  0.81263E+00  0.81718E+00  0.86242E+00  0.90492E+00  0.94310E+00  0.94376E+00  0.96566E+00  0.99409E+00  0.10090E+01  0.10202E+01  0.10302E+01  0.10412E+01  0.10617E+01  0.10841E+01  0.11020E+01  0.11085E+01  0.11090E+01  0.11205E+01  0.11302E+01  0.11350E+01  0.11365E+01  0.11421E+01  0.11915E+01  0.11974E+01  0.12205E+01  0.12449E+01  0.12679E+01
  0.13023E+00 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.78866E+00 -0.77030E+00 -0.76809E+00 -0.76080E+00 -0.74894E+00 -0.73975E+00 -0.73283E+00 -0.72923E+00 -0.36379E+00 -0.33344E+00 -0.31220E+00 -0.30614E+00 -0.28325E+00 -0.28141E+00 -0.28080E+00 -0.27212E+00 -0.26920E+00 -0.26138E+00 -0.25743E+00 -0.24999E+00 -0.24259E+00 -0.24172E+00 -0.23705E+00 -0.23180E+00 -0.22731E+00 -0.22267E+00 -0.20893E+00 -0.20782E+00 -0.20434E+00 -0.20082E+00 -0.18851E+00 -0.18716E+00 -0.18426E+00 -0.18073E+00 -0.17239E+00 -0.16390E+00 -0.15869E+00 -0.15664E+00 -0.15200E+00 -0.14565E+00 -0.14311E+00 -0.14139E+00 -0.13661E+00 -0.13295E+00 -0.12503E+00 -0.11531E+00 -0.10063E+00 -0.10024E+00 -0.92647E-01 -0.91722E-01 -0.52791E-01  0.68284E-01  0.89122E-01  0.16181E+00  0.18752E+00  0.23079E+00  0.31139E+00  0.33266E+00  0.33836E+00  0.34628E+00  0.36268E+00  0.36342E+00  0.36996E+00  0.37068E+00  0.37099E+00  0.37439E+00  0.37868E+00  0.38003E+00  0.38313E+00  0.38379E+00  0.38455E+00  0.39564E+00  0.40365E+00  0.43483E+00  0.43560E+00  0.44129E+00  0.44889E+00  0.45127E+00  0.45327E+00  0.45528E+00  0.46853E+00  0.47712E+00  0.49030E+00  0.50952E+00  0.52012E+00  0.53073E+00  0.55540E+00  0.55815E+00  0.57033E+00  0.59317E+00  0.61120E+00  0.62833E+00  0.65750E+00  0.69338E+00  0.70272E+00  0.72301E+00  0.72635E+00  0.74118E+00  0.74586E+00  0.76282E+00  0.76387E+00  0.76998E+00  0.77619E+00  0.77656E+00  0.79099E+00  0.79201E+00  0.79514E+00  0.81149E+00  0.81672E+00  0.85628E+00  0.89529E+00  0.94061E+00  0.94904E+00  0.95705E+00  0.99243E+00  0.10204E+01  0.10223E+01  0.10284E+01  0.10317E+01  0.10648E+01  0.10680E+01  0.11071E+01  0.11128E+01  0.11133E+01  0.11206E+01  0.11296E+01  0.11318E+01  0.11342E+01  0.11431E+01  0.11874E+01  0.11978E+01  0.12109E+01  0.12470E+01  0.12525E+01
  0.14651E+00 -0.42228E+01 -0.41754E+01 -0.41263E+01 -0.40601E+01 -0.28033E+01 -0.28029E+01 -0.27609E+01 -0.27527E+01 -0.27520E+01 -0.27210E+01 -0.26994E+01 -0.26865E+01 -0.26840E+01 -0.26336E+01 -0.26234E+01 -0.26230E+01 -0.78826E+00 -0.77104E+00 -0.76807E+00 -0.76063E+00 -0.74873E+00 -0.73990E+00 -0.73286E+00 -0.72915E+00 -0.36372E+00 -0.33126E+00 -0.31147E+00 -0.30436E+00 -0.28382E+00 -0.28324E+00 -0.28129E+00 -0.27267E+00 -0.26961E+00 -0.26231E+00 -0.25947E+00 -0.25003E+00 -0.24246E+00 -0.24170E+00 -0.23705E+00 -0.23359E+00 -0.22803E+00 -0.22267E+00 -0.20874E+00 -0.20788E+00 -0.20371E+00 -0.20105E+00 -0.18858E+00 -0.18536E+00 -0.18351E+00 -0.18065E+00 -0.17148E+00 -0.16382E+00 -0.15723E+00 -0.15620E+00 -0.15199E+00 -0.14575E+00 -0.14421E+00 -0.14376E+00 -0.13716E+00 -0.13200E+00 -0.12485E+00 -0.11614E+00 -0.10153E+00 -0.96432E-01 -0.92719E-01 -0.91882E-01 -0.52433E-01  0.67330E-01  0.93649E-01  0.15572E+00  0.18715E+00  0.23039E+00  0.31165E+00  0.33552E+00  0.33717E+00  0.34788E+00  0.36088E+00  0.36368E+00  0.36787E+00  0.37082E+00  0.37155E+00  0.37583E+00  0.37794E+00  0.37991E+00  0.38274E+00  0.38304E+00  0.38311E+00  0.39562E+00  0.40613E+00  0.43184E+00  0.43503E+00  0.43999E+00  0.45096E+00  0.45169E+00  0.45418E+00  0.45522E+00  0.46816E+00  0.47709E+00  0.48684E+00  0.50824E+00  0.52678E+00  0.52843E+00  0.55161E+00  0.55904E+00  0.57424E+00  0.58790E+00  0.60405E+00  0.62234E+00  0.65711E+00  0.68814E+00  0.70363E+00  0.72407E+00  0.73176E+00  0.74704E+00  0.74974E+00  0.76816E+00  0.76852E+00  0.77267E+00  0.77865E+00  0.78762E+00  0.79332E+00  0.79489E+00  0.79511E+00  0.81130E+00  0.81656E+00  0.85070E+00  0.88497E+00  0.92742E+00  0.95494E+00  0.95842E+00  0.99032E+00  0.10122E+01  0.10220E+01  0.10358E+01  0.10371E+01  0.10523E+01  0.10683E+01  0.11093E+01  0.11127E+01  0.11181E+01  0.11216E+01  0.11267E+01  0.11286E+01  0.11392E+01  0.11444E+01  0.11776E+01  0.12013E+01  0.12053E+01  0.12343E+01  0.12496E+01
