# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79212E+00 -0.76628E+00 -0.76485E+00 -0.76485E+00 -0.76254E+00 -0.75054E+00 -0.75054E+00 -0.74368E+00 -0.35129E+00 -0.34948E+00 -0.33167E+00 -0.31627E+00 -0.31059E+00 -0.26757E+00 -0.26757E+00 -0.26198E+00 -0.25693E+00 -0.25603E+00 -0.25136E+00 -0.25136E+00 -0.24410E+00 -0.24410E+00 -0.23877E+00 -0.23467E+00 -0.23467E+00 -0.23412E+00 -0.23006E+00 -0.22829E+00 -0.22829E+00 -0.21881E+00 -0.20402E+00 -0.20402E+00 -0.20253E+00 -0.19972E+00 -0.19972E+00 -0.18819E+00 -0.18421E+00 -0.17509E+00 -0.16674E+00 -0.16339E+00 -0.15530E+00 -0.14513E+00 -0.14168E+00 -0.14168E+00 -0.13641E+00 -0.13641E+00 -0.13486E+00 -0.12463E+00 -0.12035E+00 -0.11970E+00 -0.11970E+00 -0.35382E-01  0.63501E-01  0.18061E+00  0.18221E+00  0.21176E+00  0.30825E+00  0.30825E+00  0.33831E+00  0.33831E+00  0.36055E+00  0.36123E+00  0.36246E+00  0.36310E+00  0.36471E+00  0.37759E+00  0.37759E+00  0.37781E+00  0.38216E+00  0.38517E+00  0.38517E+00  0.38951E+00  0.38951E+00  0.43378E+00  0.43378E+00  0.44568E+00  0.44580E+00  0.44907E+00  0.44907E+00  0.45107E+00  0.46186E+00  0.46817E+00  0.48185E+00  0.50558E+00  0.50780E+00  0.53815E+00  0.54571E+00  0.54571E+00  0.59749E+00  0.59866E+00  0.66651E+00  0.66741E+00  0.67803E+00  0.67803E+00  0.67910E+00  0.67910E+00  0.69652E+00  0.71491E+00  0.71714E+00  0.72340E+00  0.72340E+00  0.72986E+00  0.72986E+00  0.75407E+00  0.78524E+00  0.78524E+00  0.78729E+00  0.81117E+00  0.81117E+00  0.90380E+00  0.92180E+00  0.92180E+00  0.93164E+00  0.93164E+00  0.98362E+00  0.98416E+00  0.10288E+01  0.10469E+01  0.10742E+01  0.10744E+01  0.10757E+01  0.10780E+01  0.10780E+01  0.11307E+01  0.11307E+01  0.11307E+01  0.11307E+01  0.11483E+01  0.11507E+01  0.11761E+01  0.12347E+01  0.12347E+01  0.12377E+01  0.12388E+01
  0.16279E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79207E+00 -0.76669E+00 -0.76484E+00 -0.76476E+00 -0.76228E+00 -0.75055E+00 -0.75054E+00 -0.74369E+00 -0.35122E+00 -0.34932E+00 -0.33157E+00 -0.31621E+00 -0.31047E+00 -0.26757E+00 -0.26753E+00 -0.26212E+00 -0.25702E+00 -0.25621E+00 -0.25287E+00 -0.25130E+00 -0.24410E+00 -0.24406E+00 -0.23771E+00 -0.23479E+00 -0.23467E+00 -0.23409E+00 -0.23000E+00 -0.22899E+00 -0.22829E+00 -0.21896E+00 -0.20425E+00 -0.20402E+00 -0.20251E+00 -0.19964E+00 -0.19934E+00 -0.18807E+00 -0.18403E+00 -0.17495E+00 -0.16673E+00 -0.16286E+00 -0.15482E+00 -0.14510E+00 -0.14179E+00 -0.14166E+00 -0.13655E+00 -0.13639E+00 -0.13489E+00 -0.12465E+00 -0.12044E+00 -0.11980E+00 -0.11973E+00 -0.35654E-01  0.63864E-01  0.18026E+00  0.18198E+00  0.21164E+00  0.30830E+00  0.30878E+00  0.33810E+00  0.33820E+00  0.36067E+00  0.36131E+00  0.36250E+00  0.36312E+00  0.36474E+00  0.37753E+00  0.37762E+00  0.37779E+00  0.38213E+00  0.38471E+00  0.38504E+00  0.38937E+00  0.38968E+00  0.43373E+00  0.43395E+00  0.44544E+00  0.44558E+00  0.44900E+00  0.44905E+00  0.45103E+00  0.46193E+00  0.46834E+00  0.48246E+00  0.50526E+00  0.50751E+00  0.53835E+00  0.54520E+00  0.54600E+00  0.59645E+00  0.59825E+00  0.66227E+00  0.66418E+00  0.67668E+00  0.68072E+00  0.68083E+00  0.68375E+00  0.69681E+00  0.71568E+00  0.71765E+00  0.72378E+00  0.72419E+00  0.72864E+00  0.73027E+00  0.75540E+00  0.78534E+00  0.78545E+00  0.78698E+00  0.81093E+00  0.81103E+00  0.90058E+00  0.92217E+00  0.92225E+00  0.93091E+00  0.93538E+00  0.98396E+00  0.98470E+00  0.10268E+01  0.10472E+01  0.10733E+01  0.10735E+01  0.10764E+01  0.10784E+01  0.10787E+01  0.11293E+01  0.11304E+01  0.11308E+01  0.11309E+01  0.11467E+01  0.11505E+01  0.11760E+01  0.12348E+01  0.12353E+01  0.12369E+01  0.12405E+01
  0.32558E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79191E+00 -0.76761E+00 -0.76481E+00 -0.76461E+00 -0.76166E+00 -0.75058E+00 -0.75054E+00 -0.74371E+00 -0.35105E+00 -0.34878E+00 -0.33126E+00 -0.31601E+00 -0.31012E+00 -0.26756E+00 -0.26740E+00 -0.26256E+00 -0.25795E+00 -0.25668E+00 -0.25565E+00 -0.25115E+00 -0.24410E+00 -0.24394E+00 -0.23613E+00 -0.23517E+00 -0.23467E+00 -0.23399E+00 -0.23174E+00 -0.22851E+00 -0.22830E+00 -0.21935E+00 -0.20489E+00 -0.20402E+00 -0.20246E+00 -0.19942E+00 -0.19825E+00 -0.18774E+00 -0.18351E+00 -0.17454E+00 -0.16667E+00 -0.16169E+00 -0.15312E+00 -0.14500E+00 -0.14213E+00 -0.14161E+00 -0.13697E+00 -0.13636E+00 -0.13496E+00 -0.12473E+00 -0.12070E+00 -0.12012E+00 -0.11981E+00 -0.36470E-01  0.64945E-01  0.17871E+00  0.18185E+00  0.21129E+00  0.30844E+00  0.31030E+00  0.33749E+00  0.33791E+00  0.36102E+00  0.36149E+00  0.36264E+00  0.36322E+00  0.36483E+00  0.37735E+00  0.37770E+00  0.37773E+00  0.38201E+00  0.38335E+00  0.38464E+00  0.38894E+00  0.39016E+00  0.43357E+00  0.43446E+00  0.44466E+00  0.44500E+00  0.44880E+00  0.44897E+00  0.45091E+00  0.46214E+00  0.46882E+00  0.48425E+00  0.50424E+00  0.50673E+00  0.53895E+00  0.54368E+00  0.54687E+00  0.59269E+00  0.59793E+00  0.65452E+00  0.65866E+00  0.67318E+00  0.68515E+00  0.68606E+00  0.69174E+00  0.69759E+00  0.71660E+00  0.71930E+00  0.72489E+00  0.72653E+00  0.72664E+00  0.73148E+00  0.75862E+00  0.78564E+00  0.78607E+00  0.78609E+00  0.81019E+00  0.81063E+00  0.89364E+00  0.92329E+00  0.92359E+00  0.92872E+00  0.94384E+00  0.98458E+00  0.98666E+00  0.10212E+01  0.10479E+01  0.10704E+01  0.10709E+01  0.10783E+01  0.10795E+01  0.10807E+01  0.11260E+01  0.11294E+01  0.11309E+01  0.11314E+01  0.11420E+01  0.11495E+01  0.11758E+01  0.12332E+01  0.12351E+01  0.12369E+01  0.12462E+01
  0.48836E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79164E+00 -0.76875E+00 -0.76477E+00 -0.76443E+00 -0.76096E+00 -0.75063E+00 -0.75053E+00 -0.74375E+00 -0.35086E+00 -0.34779E+00 -0.33077E+00 -0.31566E+00 -0.30954E+00 -0.26754E+00 -0.26719E+00 -0.26340E+00 -0.26175E+00 -0.25722E+00 -0.25644E+00 -0.25099E+00 -0.24409E+00 -0.24375E+00 -0.23739E+00 -0.23577E+00 -0.23468E+00 -0.23398E+00 -0.23302E+00 -0.22832E+00 -0.22633E+00 -0.21987E+00 -0.20586E+00 -0.20402E+00 -0.20242E+00 -0.19905E+00 -0.19661E+00 -0.18726E+00 -0.18268E+00 -0.17389E+00 -0.16659E+00 -0.16071E+00 -0.14988E+00 -0.14484E+00 -0.14268E+00 -0.14152E+00 -0.13754E+00 -0.13629E+00 -0.13508E+00 -0.12487E+00 -0.12110E+00 -0.12063E+00 -0.11995E+00 -0.37825E-01  0.66729E-01  0.17581E+00  0.18205E+00  0.21074E+00  0.30867E+00  0.31270E+00  0.33652E+00  0.33750E+00  0.36157E+00  0.36157E+00  0.36286E+00  0.36358E+00  0.36497E+00  0.37705E+00  0.37763E+00  0.37784E+00  0.38117E+00  0.38182E+00  0.38399E+00  0.38829E+00  0.39097E+00  0.43332E+00  0.43530E+00  0.44337E+00  0.44410E+00  0.44850E+00  0.44885E+00  0.45072E+00  0.46246E+00  0.46957E+00  0.48717E+00  0.50242E+00  0.50564E+00  0.53995E+00  0.54127E+00  0.54829E+00  0.58704E+00  0.59754E+00  0.64630E+00  0.65257E+00  0.66858E+00  0.69106E+00  0.69176E+00  0.69889E+00  0.70026E+00  0.71492E+00  0.72111E+00  0.72672E+00  0.72830E+00  0.73036E+00  0.73345E+00  0.76259E+00  0.78458E+00  0.78612E+00  0.78711E+00  0.80899E+00  0.80999E+00  0.88573E+00  0.92509E+00  0.92514E+00  0.92575E+00  0.95427E+00  0.98533E+00  0.98993E+00  0.10128E+01  0.10491E+01  0.10650E+01  0.10666E+01  0.10813E+01  0.10814E+01  0.10836E+01  0.11226E+01  0.11278E+01  0.11313E+01  0.11321E+01  0.11342E+01  0.11478E+01  0.11760E+01  0.12273E+01  0.12355E+01  0.12397E+01  0.12479E+01
  0.65115E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79128E+00 -0.76999E+00 -0.76471E+00 -0.76422E+00 -0.76030E+00 -0.75069E+00 -0.75050E+00 -0.74380E+00 -0.35069E+00 -0.34634E+00 -0.33012E+00 -0.31513E+00 -0.30875E+00 -0.26751E+00 -0.26691E+00 -0.26659E+00 -0.26469E+00 -0.25767E+00 -0.25662E+00 -0.25087E+00 -0.24409E+00 -0.24349E+00 -0.24179E+00 -0.23655E+00 -0.23469E+00 -0.23403E+00 -0.23276E+00 -0.22834E+00 -0.22329E+00 -0.22042E+00 -0.20706E+00 -0.20401E+00 -0.20239E+00 -0.19859E+00 -0.19459E+00 -0.18671E+00 -0.18159E+00 -0.17303E+00 -0.16647E+00 -0.16015E+00 -0.14567E+00 -0.14462E+00 -0.14340E+00 -0.14140E+00 -0.13785E+00 -0.13620E+00 -0.13524E+00 -0.12509E+00 -0.12162E+00 -0.12134E+00 -0.12013E+00 -0.39714E-01  0.69186E-01  0.17185E+00  0.18244E+00  0.21001E+00  0.30899E+00  0.31578E+00  0.33527E+00  0.33707E+00  0.36140E+00  0.36226E+00  0.36318E+00  0.36433E+00  0.36517E+00  0.37665E+00  0.37750E+00  0.37800E+00  0.37829E+00  0.38154E+00  0.38311E+00  0.38749E+00  0.39209E+00  0.43300E+00  0.43648E+00  0.44160E+00  0.44293E+00  0.44818E+00  0.44869E+00  0.45050E+00  0.46287E+00  0.47056E+00  0.49112E+00  0.49983E+00  0.50436E+00  0.53814E+00  0.54136E+00  0.55027E+00  0.58031E+00  0.59682E+00  0.63807E+00  0.64625E+00  0.66370E+00  0.69606E+00  0.69756E+00  0.70144E+00  0.70885E+00  0.71019E+00  0.72489E+00  0.72921E+00  0.73308E+00  0.73558E+00  0.73613E+00  0.76662E+00  0.78254E+00  0.78676E+00  0.78849E+00  0.80735E+00  0.80918E+00  0.87775E+00  0.92002E+00  0.92771E+00  0.92862E+00  0.96575E+00  0.98600E+00  0.99399E+00  0.10025E+01  0.10507E+01  0.10571E+01  0.10608E+01  0.10838E+01  0.10858E+01  0.10872E+01  0.11201E+01  0.11241E+01  0.11255E+01  0.11319E+01  0.11327E+01  0.11448E+01  0.11769E+01  0.12197E+01  0.12362E+01  0.12418E+01  0.12437E+01
  0.81394E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79082E+00 -0.77130E+00 -0.76464E+00 -0.76397E+00 -0.75974E+00 -0.75077E+00 -0.75044E+00 -0.74386E+00 -0.35053E+00 -0.34444E+00 -0.32936E+00 -0.31437E+00 -0.30775E+00 -0.27173E+00 -0.26748E+00 -0.26656E+00 -0.26641E+00 -0.25797E+00 -0.25678E+00 -0.25080E+00 -0.24701E+00 -0.24408E+00 -0.24317E+00 -0.23746E+00 -0.23471E+00 -0.23399E+00 -0.23260E+00 -0.22838E+00 -0.22092E+00 -0.21999E+00 -0.20837E+00 -0.20401E+00 -0.20237E+00 -0.19805E+00 -0.19235E+00 -0.18612E+00 -0.18031E+00 -0.17202E+00 -0.16633E+00 -0.15985E+00 -0.14471E+00 -0.14391E+00 -0.14301E+00 -0.14126E+00 -0.13610E+00 -0.13585E+00 -0.13543E+00 -0.12542E+00 -0.12223E+00 -0.12219E+00 -0.12035E+00 -0.42125E-01  0.72280E-01  0.16704E+00  0.18296E+00  0.20914E+00  0.30940E+00  0.31933E+00  0.33382E+00  0.33674E+00  0.36100E+00  0.36304E+00  0.36359E+00  0.36538E+00  0.36541E+00  0.37483E+00  0.37616E+00  0.37734E+00  0.37822E+00  0.38116E+00  0.38204E+00  0.38663E+00  0.39352E+00  0.43262E+00  0.43799E+00  0.43941E+00  0.44156E+00  0.44791E+00  0.44848E+00  0.45025E+00  0.46331E+00  0.47171E+00  0.49598E+00  0.49661E+00  0.50291E+00  0.53452E+00  0.54320E+00  0.55279E+00  0.57303E+00  0.59557E+00  0.62994E+00  0.63981E+00  0.65912E+00  0.69851E+00  0.70334E+00  0.70385E+00  0.70585E+00  0.71733E+00  0.73182E+00  0.73230E+00  0.73873E+00  0.73944E+00  0.74206E+00  0.77037E+00  0.78001E+00  0.78752E+00  0.79012E+00  0.80538E+00  0.80826E+00  0.87000E+00  0.91358E+00  0.93097E+00  0.93203E+00  0.97793E+00  0.98507E+00  0.98991E+00  0.10012E+01  0.10472E+01  0.10526E+01  0.10537E+01  0.10870E+01  0.10911E+01  0.10913E+01  0.11100E+01  0.11210E+01  0.11226E+01  0.11327E+01  0.11329E+01  0.11406E+01  0.11789E+01  0.12109E+01  0.12341E+01  0.12371E+01  0.12489E+01
  0.97673E-01 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.79027E+00 -0.77262E+00 -0.76456E+00 -0.76368E+00 -0.75932E+00 -0.75086E+00 -0.75034E+00 -0.74393E+00 -0.35040E+00 -0.34213E+00 -0.32855E+00 -0.31334E+00 -0.30656E+00 -0.27700E+00 -0.26847E+00 -0.26745E+00 -0.26615E+00 -0.25814E+00 -0.25724E+00 -0.25222E+00 -0.25079E+00 -0.24408E+00 -0.24282E+00 -0.23844E+00 -0.23472E+00 -0.23393E+00 -0.23255E+00 -0.22842E+00 -0.22135E+00 -0.21674E+00 -0.20974E+00 -0.20401E+00 -0.20237E+00 -0.19747E+00 -0.19001E+00 -0.18554E+00 -0.17893E+00 -0.17088E+00 -0.16616E+00 -0.15967E+00 -0.14574E+00 -0.14352E+00 -0.14336E+00 -0.14110E+00 -0.13600E+00 -0.13561E+00 -0.13046E+00 -0.12589E+00 -0.12328E+00 -0.12275E+00 -0.12060E+00 -0.45043E-01  0.75968E-01  0.16157E+00  0.18359E+00  0.20816E+00  0.30989E+00  0.32311E+00  0.33222E+00  0.33667E+00  0.36039E+00  0.36388E+00  0.36412E+00  0.36570E+00  0.36666E+00  0.37100E+00  0.37557E+00  0.37716E+00  0.37841E+00  0.38066E+00  0.38081E+00  0.38582E+00  0.39524E+00  0.43221E+00  0.43687E+00  0.43984E+00  0.44006E+00  0.44778E+00  0.44824E+00  0.45001E+00  0.46370E+00  0.47297E+00  0.49293E+00  0.50130E+00  0.50163E+00  0.53068E+00  0.54547E+00  0.55581E+00  0.56557E+00  0.59355E+00  0.62199E+00  0.63332E+00  0.65526E+00  0.69815E+00  0.70002E+00  0.70840E+00  0.70908E+00  0.72554E+00  0.73591E+00  0.74171E+00  0.74327E+00  0.74479E+00  0.74968E+00  0.77363E+00  0.77702E+00  0.78837E+00  0.79179E+00  0.80330E+00  0.80730E+00  0.86258E+00  0.90584E+00  0.93492E+00  0.93567E+00  0.97381E+00  0.98780E+00  0.99064E+00  0.10076E+01  0.10364E+01  0.10456E+01  0.10550E+01  0.10909E+01  0.10953E+01  0.10955E+01  0.10978E+01  0.11191E+01  0.11225E+01  0.11324E+01  0.11330E+01  0.11357E+01  0.11822E+01  0.12013E+01  0.12254E+01  0.12383E+01  0.12554E+01
  0.11395E+00 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.78964E+00 -0.77394E+00 -0.76448E+00 -0.76335E+00 -0.75904E+00 -0.75095E+00 -0.75020E+00 -0.74402E+00 -0.35027E+00 -0.33943E+00 -0.32775E+00 -0.31199E+00 -0.30520E+00 -0.28232E+00 -0.27073E+00 -0.26742E+00 -0.26572E+00 -0.25974E+00 -0.25822E+00 -0.25543E+00 -0.25082E+00 -0.24407E+00 -0.24246E+00 -0.23943E+00 -0.23474E+00 -0.23386E+00 -0.23255E+00 -0.22847E+00 -0.22168E+00 -0.21369E+00 -0.21107E+00 -0.20400E+00 -0.20237E+00 -0.19689E+00 -0.18770E+00 -0.18497E+00 -0.17756E+00 -0.16962E+00 -0.16598E+00 -0.15951E+00 -0.14706E+00 -0.14467E+00 -0.14285E+00 -0.14093E+00 -0.13607E+00 -0.13563E+00 -0.12654E+00 -0.12449E+00 -0.12393E+00 -0.12322E+00 -0.12085E+00 -0.48443E-01  0.80196E-01  0.15560E+00  0.18431E+00  0.20710E+00  0.31046E+00  0.32685E+00  0.33055E+00  0.33703E+00  0.35954E+00  0.36469E+00  0.36481E+00  0.36601E+00  0.36681E+00  0.36826E+00  0.37492E+00  0.37697E+00  0.37857E+00  0.37946E+00  0.38006E+00  0.38512E+00  0.39725E+00  0.43181E+00  0.43403E+00  0.43853E+00  0.44201E+00  0.44789E+00  0.44798E+00  0.44979E+00  0.46394E+00  0.47422E+00  0.48897E+00  0.49958E+00  0.50793E+00  0.52694E+00  0.54819E+00  0.55819E+00  0.55931E+00  0.59055E+00  0.61424E+00  0.62681E+00  0.65248E+00  0.69212E+00  0.70119E+00  0.71025E+00  0.71476E+00  0.73331E+00  0.73995E+00  0.74749E+00  0.74977E+00  0.75489E+00  0.75828E+00  0.77363E+00  0.77632E+00  0.78927E+00  0.79284E+00  0.80176E+00  0.80637E+00  0.85553E+00  0.89691E+00  0.93856E+00  0.93953E+00  0.96011E+00  0.98731E+00  0.10038E+01  0.10152E+01  0.10256E+01  0.10367E+01  0.10578E+01  0.10793E+01  0.10955E+01  0.11003E+01  0.11053E+01  0.11150E+01  0.11255E+01  0.11276E+01  0.11306E+01  0.11356E+01  0.11868E+01  0.11914E+01  0.12160E+01  0.12399E+01  0.12631E+01
  0.13023E+00 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.78895E+00 -0.77524E+00 -0.76440E+00 -0.76300E+00 -0.75891E+00 -0.75104E+00 -0.75003E+00 -0.74410E+00 -0.35016E+00 -0.33638E+00 -0.32702E+00 -0.31030E+00 -0.30372E+00 -0.28761E+00 -0.27308E+00 -0.26738E+00 -0.26526E+00 -0.26474E+00 -0.25824E+00 -0.25605E+00 -0.25088E+00 -0.24406E+00 -0.24217E+00 -0.24032E+00 -0.23475E+00 -0.23379E+00 -0.23259E+00 -0.22852E+00 -0.22193E+00 -0.21232E+00 -0.21092E+00 -0.20400E+00 -0.20238E+00 -0.19635E+00 -0.18553E+00 -0.18444E+00 -0.17630E+00 -0.16823E+00 -0.16578E+00 -0.15933E+00 -0.14856E+00 -0.14624E+00 -0.14199E+00 -0.14076E+00 -0.13632E+00 -0.13545E+00 -0.12733E+00 -0.12581E+00 -0.12358E+00 -0.12110E+00 -0.11709E+00 -0.52286E-01  0.84908E-01  0.14930E+00  0.18508E+00  0.20600E+00  0.31110E+00  0.32887E+00  0.33022E+00  0.33807E+00  0.35832E+00  0.36294E+00  0.36544E+00  0.36567E+00  0.36633E+00  0.36971E+00  0.37421E+00  0.37677E+00  0.37803E+00  0.37867E+00  0.37940E+00  0.38457E+00  0.39952E+00  0.43087E+00  0.43155E+00  0.43704E+00  0.44451E+00  0.44773E+00  0.44832E+00  0.44959E+00  0.46389E+00  0.47531E+00  0.48498E+00  0.49781E+00  0.51477E+00  0.52365E+00  0.55107E+00  0.55135E+00  0.56326E+00  0.58644E+00  0.60675E+00  0.62032E+00  0.65096E+00  0.68616E+00  0.70224E+00  0.71145E+00  0.72036E+00  0.74042E+00  0.74432E+00  0.75193E+00  0.75533E+00  0.76766E+00  0.76852E+00  0.76989E+00  0.77857E+00  0.79020E+00  0.79203E+00  0.80205E+00  0.80556E+00  0.84889E+00  0.88694E+00  0.93502E+00  0.94479E+00  0.95204E+00  0.98630E+00  0.10158E+01  0.10172E+01  0.10235E+01  0.10273E+01  0.10609E+01  0.10629E+01  0.11007E+01  0.11053E+01  0.11097E+01  0.11145E+01  0.11200E+01  0.11272E+01  0.11296E+01  0.11366E+01  0.11815E+01  0.11928E+01  0.12064E+01  0.12419E+01  0.12478E+01
  0.14651E+00 -0.41987E+01 -0.41688E+01 -0.41688E+01 -0.41280E+01 -0.27768E+01 -0.27768E+01 -0.27450E+01 -0.27450E+01 -0.27444E+01 -0.27444E+01 -0.27418E+01 -0.27172E+01 -0.27172E+01 -0.27003E+01 -0.27003E+01 -0.26843E+01 -0.78821E+00 -0.77648E+00 -0.76433E+00 -0.76265E+00 -0.75890E+00 -0.75112E+00 -0.74984E+00 -0.74419E+00 -0.35007E+00 -0.33303E+00 -0.32640E+00 -0.30829E+00 -0.30217E+00 -0.29279E+00 -0.27542E+00 -0.26995E+00 -0.26735E+00 -0.26482E+00 -0.25823E+00 -0.25621E+00 -0.25095E+00 -0.24405E+00 -0.24217E+00 -0.24086E+00 -0.23477E+00 -0.23370E+00 -0.23265E+00 -0.22857E+00 -0.22211E+00 -0.21344E+00 -0.20850E+00 -0.20400E+00 -0.20239E+00 -0.19588E+00 -0.18397E+00 -0.18359E+00 -0.17524E+00 -0.16671E+00 -0.16558E+00 -0.15910E+00 -0.15018E+00 -0.14785E+00 -0.14097E+00 -0.14061E+00 -0.13659E+00 -0.13522E+00 -0.12820E+00 -0.12722E+00 -0.12383E+00 -0.12134E+00 -0.11026E+00 -0.56511E-01  0.90034E-01  0.14278E+00  0.18586E+00  0.20492E+00  0.31177E+00  0.32727E+00  0.33296E+00  0.34000E+00  0.35633E+00  0.35960E+00  0.36628E+00  0.36656E+00  0.36665E+00  0.37126E+00  0.37345E+00  0.37656E+00  0.37658E+00  0.37864E+00  0.37874E+00  0.38415E+00  0.40204E+00  0.42768E+00  0.43122E+00  0.43565E+00  0.44733E+00  0.44750E+00  0.44914E+00  0.44943E+00  0.46339E+00  0.47561E+00  0.48166E+00  0.49606E+00  0.52109E+00  0.52209E+00  0.54438E+00  0.55497E+00  0.56761E+00  0.58126E+00  0.59954E+00  0.61388E+00  0.65072E+00  0.68040E+00  0.70315E+00  0.71225E+00  0.72587E+00  0.74661E+00  0.74890E+00  0.75635E+00  0.76038E+00  0.76586E+00  0.77753E+00  0.77812E+00  0.78530E+00  0.78936E+00  0.79120E+00  0.80418E+00  0.80501E+00  0.84265E+00  0.87612E+00  0.92111E+00  0.95069E+00  0.95383E+00  0.98460E+00  0.10076E+01  0.10176E+01  0.10309E+01  0.10324E+01  0.10470E+01  0.10645E+01  0.11050E+01  0.11065E+01  0.11105E+01  0.11117E+01  0.11221E+01  0.11234E+01  0.11347E+01  0.11373E+01  0.11716E+01  0.11968E+01  0.12000E+01  0.12296E+01  0.12445E+01
