# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79870E+00 -0.77241E+00 -0.77215E+00 -0.77215E+00 -0.76532E+00 -0.75251E+00 -0.75251E+00 -0.74627E+00 -0.35494E+00 -0.33645E+00 -0.32487E+00 -0.31880E+00 -0.30288E+00 -0.27319E+00 -0.27015E+00 -0.27015E+00 -0.26516E+00 -0.25660E+00 -0.25660E+00 -0.25298E+00 -0.25298E+00 -0.25089E+00 -0.24751E+00 -0.24505E+00 -0.24304E+00 -0.24304E+00 -0.22682E+00 -0.22682E+00 -0.21487E+00 -0.20675E+00 -0.20675E+00 -0.19958E+00 -0.19308E+00 -0.18476E+00 -0.18476E+00 -0.17969E+00 -0.17749E+00 -0.17424E+00 -0.17047E+00 -0.16682E+00 -0.15061E+00 -0.14943E+00 -0.14943E+00 -0.14799E+00 -0.13988E+00 -0.13988E+00 -0.12530E+00 -0.11012E+00 -0.11012E+00 -0.10433E+00 -0.68948E-01  0.51012E-01  0.58286E-01  0.18074E+00  0.18253E+00  0.21574E+00  0.30036E+00  0.30036E+00  0.33390E+00  0.33390E+00  0.35288E+00  0.35318E+00  0.35426E+00  0.35598E+00  0.35632E+00  0.36915E+00  0.37036E+00  0.37036E+00  0.38064E+00  0.38064E+00  0.38099E+00  0.38225E+00  0.38225E+00  0.42635E+00  0.42635E+00  0.43775E+00  0.43860E+00  0.44220E+00  0.44220E+00  0.44396E+00  0.45549E+00  0.46171E+00  0.47578E+00  0.49669E+00  0.50756E+00  0.53068E+00  0.54287E+00  0.54287E+00  0.58992E+00  0.59898E+00  0.65744E+00  0.66375E+00  0.66984E+00  0.66984E+00  0.67651E+00  0.67651E+00  0.68810E+00  0.70622E+00  0.71530E+00  0.71680E+00  0.71680E+00  0.72713E+00  0.72713E+00  0.75649E+00  0.77716E+00  0.77716E+00  0.78190E+00  0.80824E+00  0.80824E+00  0.89630E+00  0.91424E+00  0.91424E+00  0.92716E+00  0.92716E+00  0.97884E+00  0.98014E+00  0.10250E+01  0.10396E+01  0.10662E+01  0.10677E+01  0.10689E+01  0.10738E+01  0.10738E+01  0.11234E+01  0.11234E+01  0.11237E+01  0.11237E+01  0.11418E+01  0.11480E+01  0.11677E+01  0.12279E+01  0.12281E+01  0.12291E+01  0.12356E+01
  0.16279E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79865E+00 -0.77314E+00 -0.77214E+00 -0.77155E+00 -0.76523E+00 -0.75251E+00 -0.75251E+00 -0.74627E+00 -0.35479E+00 -0.33633E+00 -0.32486E+00 -0.31869E+00 -0.30285E+00 -0.27332E+00 -0.27014E+00 -0.27008E+00 -0.26535E+00 -0.25661E+00 -0.25659E+00 -0.25346E+00 -0.25285E+00 -0.25070E+00 -0.24752E+00 -0.24505E+00 -0.24321E+00 -0.24304E+00 -0.22771E+00 -0.22686E+00 -0.21523E+00 -0.20668E+00 -0.20621E+00 -0.19946E+00 -0.19310E+00 -0.18495E+00 -0.18475E+00 -0.17961E+00 -0.17718E+00 -0.17360E+00 -0.17043E+00 -0.16670E+00 -0.15072E+00 -0.14943E+00 -0.14938E+00 -0.14800E+00 -0.13995E+00 -0.13988E+00 -0.12538E+00 -0.11021E+00 -0.11013E+00 -0.10436E+00 -0.68681E-01  0.50756E-01  0.58653E-01  0.18040E+00  0.18225E+00  0.21560E+00  0.30039E+00  0.30090E+00  0.33369E+00  0.33381E+00  0.35290E+00  0.35331E+00  0.35434E+00  0.35604E+00  0.35634E+00  0.36914E+00  0.37030E+00  0.37039E+00  0.38018E+00  0.38049E+00  0.38058E+00  0.38241E+00  0.38248E+00  0.42629E+00  0.42652E+00  0.43752E+00  0.43837E+00  0.44214E+00  0.44216E+00  0.44395E+00  0.45557E+00  0.46184E+00  0.47639E+00  0.49638E+00  0.50729E+00  0.53088E+00  0.54232E+00  0.54315E+00  0.58912E+00  0.59824E+00  0.65371E+00  0.66040E+00  0.66986E+00  0.67343E+00  0.67668E+00  0.67997E+00  0.68858E+00  0.70717E+00  0.71491E+00  0.71716E+00  0.71757E+00  0.72699E+00  0.72754E+00  0.75743E+00  0.77725E+00  0.77734E+00  0.78160E+00  0.80801E+00  0.80811E+00  0.89342E+00  0.91462E+00  0.91470E+00  0.92645E+00  0.93056E+00  0.97923E+00  0.98061E+00  0.10230E+01  0.10398E+01  0.10653E+01  0.10668E+01  0.10695E+01  0.10742E+01  0.10746E+01  0.11223E+01  0.11231E+01  0.11236E+01  0.11238E+01  0.11403E+01  0.11477E+01  0.11676E+01  0.12281E+01  0.12286E+01  0.12291E+01  0.12364E+01
  0.32558E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79850E+00 -0.77410E+00 -0.77213E+00 -0.77097E+00 -0.76500E+00 -0.75254E+00 -0.75253E+00 -0.74627E+00 -0.35436E+00 -0.33598E+00 -0.32481E+00 -0.31834E+00 -0.30279E+00 -0.27374E+00 -0.27012E+00 -0.26989E+00 -0.26583E+00 -0.25662E+00 -0.25655E+00 -0.25467E+00 -0.25252E+00 -0.25037E+00 -0.24754E+00 -0.24506E+00 -0.24371E+00 -0.24304E+00 -0.23020E+00 -0.22698E+00 -0.21607E+00 -0.20647E+00 -0.20483E+00 -0.19911E+00 -0.19317E+00 -0.18539E+00 -0.18473E+00 -0.17940E+00 -0.17639E+00 -0.17194E+00 -0.17032E+00 -0.16625E+00 -0.15104E+00 -0.14944E+00 -0.14923E+00 -0.14803E+00 -0.14014E+00 -0.13987E+00 -0.12562E+00 -0.11047E+00 -0.11016E+00 -0.10443E+00 -0.67880E-01  0.49984E-01  0.59757E-01  0.17885E+00  0.18200E+00  0.21518E+00  0.30051E+00  0.30246E+00  0.33308E+00  0.33357E+00  0.35299E+00  0.35367E+00  0.35452E+00  0.35619E+00  0.35643E+00  0.36908E+00  0.37012E+00  0.37047E+00  0.37883E+00  0.37971E+00  0.38007E+00  0.38282E+00  0.38290E+00  0.42613E+00  0.42704E+00  0.43681E+00  0.43773E+00  0.44195E+00  0.44203E+00  0.44390E+00  0.45581E+00  0.46222E+00  0.47818E+00  0.49544E+00  0.50650E+00  0.53149E+00  0.54072E+00  0.54400E+00  0.58637E+00  0.59672E+00  0.64661E+00  0.65463E+00  0.66768E+00  0.67932E+00  0.67967E+00  0.68688E+00  0.68983E+00  0.70941E+00  0.71344E+00  0.71825E+00  0.71988E+00  0.72744E+00  0.72877E+00  0.75989E+00  0.77751E+00  0.77789E+00  0.78071E+00  0.80735E+00  0.80775E+00  0.88699E+00  0.91575E+00  0.91605E+00  0.92429E+00  0.93856E+00  0.97998E+00  0.98233E+00  0.10174E+01  0.10405E+01  0.10625E+01  0.10641E+01  0.10714E+01  0.10753E+01  0.10767E+01  0.11189E+01  0.11221E+01  0.11240E+01  0.11241E+01  0.11357E+01  0.11468E+01  0.11675E+01  0.12266E+01  0.12284E+01  0.12302E+01  0.12408E+01
  0.48836E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79825E+00 -0.77517E+00 -0.77209E+00 -0.77048E+00 -0.76467E+00 -0.75257E+00 -0.75255E+00 -0.74628E+00 -0.35367E+00 -0.33539E+00 -0.32472E+00 -0.31777E+00 -0.30268E+00 -0.27449E+00 -0.27009E+00 -0.26956E+00 -0.26646E+00 -0.25664E+00 -0.25648E+00 -0.25638E+00 -0.25207E+00 -0.25009E+00 -0.24759E+00 -0.24509E+00 -0.24452E+00 -0.24304E+00 -0.23383E+00 -0.22718E+00 -0.21705E+00 -0.20610E+00 -0.20298E+00 -0.19860E+00 -0.19336E+00 -0.18575E+00 -0.18470E+00 -0.17912E+00 -0.17535E+00 -0.17014E+00 -0.17014E+00 -0.16503E+00 -0.15159E+00 -0.14946E+00 -0.14895E+00 -0.14808E+00 -0.14044E+00 -0.13985E+00 -0.12602E+00 -0.11090E+00 -0.11022E+00 -0.10455E+00 -0.66546E-01  0.48696E-01  0.61593E-01  0.17587E+00  0.18208E+00  0.21454E+00  0.30069E+00  0.30491E+00  0.33212E+00  0.33325E+00  0.35312E+00  0.35423E+00  0.35464E+00  0.35645E+00  0.35675E+00  0.36899E+00  0.36982E+00  0.37061E+00  0.37666E+00  0.37863E+00  0.37938E+00  0.38308E+00  0.38370E+00  0.42587E+00  0.42791E+00  0.43562E+00  0.43675E+00  0.44168E+00  0.44183E+00  0.44382E+00  0.45618E+00  0.46281E+00  0.48111E+00  0.49387E+00  0.50529E+00  0.53250E+00  0.53818E+00  0.54540E+00  0.58147E+00  0.59531E+00  0.63878E+00  0.64841E+00  0.66348E+00  0.68474E+00  0.68536E+00  0.69214E+00  0.69475E+00  0.70912E+00  0.71376E+00  0.72003E+00  0.72364E+00  0.72963E+00  0.73078E+00  0.76316E+00  0.77793E+00  0.77876E+00  0.77924E+00  0.80628E+00  0.80719E+00  0.87946E+00  0.91762E+00  0.91824E+00  0.92072E+00  0.94867E+00  0.98071E+00  0.98539E+00  0.10090E+01  0.10417E+01  0.10575E+01  0.10595E+01  0.10745E+01  0.10770E+01  0.10798E+01  0.11153E+01  0.11205E+01  0.11245E+01  0.11248E+01  0.11282E+01  0.11450E+01  0.11678E+01  0.12212E+01  0.12288E+01  0.12330E+01  0.12410E+01
  0.65115E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79791E+00 -0.77630E+00 -0.77205E+00 -0.77006E+00 -0.76428E+00 -0.75262E+00 -0.75257E+00 -0.74629E+00 -0.35274E+00 -0.33461E+00 -0.32457E+00 -0.31699E+00 -0.30255E+00 -0.27565E+00 -0.27005E+00 -0.26910E+00 -0.26706E+00 -0.25851E+00 -0.25666E+00 -0.25639E+00 -0.25157E+00 -0.24987E+00 -0.24765E+00 -0.24558E+00 -0.24525E+00 -0.24304E+00 -0.23805E+00 -0.22743E+00 -0.21796E+00 -0.20555E+00 -0.20093E+00 -0.19804E+00 -0.19369E+00 -0.18578E+00 -0.18466E+00 -0.17883E+00 -0.17424E+00 -0.16989E+00 -0.16905E+00 -0.16263E+00 -0.15235E+00 -0.14949E+00 -0.14855E+00 -0.14814E+00 -0.14080E+00 -0.13982E+00 -0.12657E+00 -0.11149E+00 -0.11030E+00 -0.10471E+00 -0.64688E-01  0.46915E-01  0.64140E-01  0.17177E+00  0.18232E+00  0.21374E+00  0.30094E+00  0.30802E+00  0.33090E+00  0.33294E+00  0.35330E+00  0.35451E+00  0.35492E+00  0.35682E+00  0.35744E+00  0.36887E+00  0.36942E+00  0.37077E+00  0.37382E+00  0.37740E+00  0.37844E+00  0.38324E+00  0.38481E+00  0.42554E+00  0.42911E+00  0.43393E+00  0.43553E+00  0.44141E+00  0.44157E+00  0.44373E+00  0.45665E+00  0.46357E+00  0.48507E+00  0.49167E+00  0.50380E+00  0.53393E+00  0.53488E+00  0.54733E+00  0.57507E+00  0.59398E+00  0.63079E+00  0.64204E+00  0.65879E+00  0.68842E+00  0.69134E+00  0.69663E+00  0.70289E+00  0.70477E+00  0.71808E+00  0.72244E+00  0.72876E+00  0.73352E+00  0.73357E+00  0.76665E+00  0.77724E+00  0.77849E+00  0.77990E+00  0.80485E+00  0.80649E+00  0.87179E+00  0.91574E+00  0.92022E+00  0.92115E+00  0.95992E+00  0.98113E+00  0.98898E+00  0.99924E+00  0.10433E+01  0.10498E+01  0.10536E+01  0.10789E+01  0.10795E+01  0.10834E+01  0.11122E+01  0.11183E+01  0.11187E+01  0.11252E+01  0.11254E+01  0.11419E+01  0.11690E+01  0.12138E+01  0.12295E+01  0.12349E+01  0.12369E+01
  0.81394E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79749E+00 -0.77749E+00 -0.77200E+00 -0.76968E+00 -0.76390E+00 -0.75268E+00 -0.75259E+00 -0.74630E+00 -0.35161E+00 -0.33367E+00 -0.32431E+00 -0.31599E+00 -0.30240E+00 -0.27720E+00 -0.27000E+00 -0.26851E+00 -0.26754E+00 -0.26101E+00 -0.25669E+00 -0.25629E+00 -0.25110E+00 -0.24970E+00 -0.24778E+00 -0.24684E+00 -0.24595E+00 -0.24304E+00 -0.24202E+00 -0.22772E+00 -0.21873E+00 -0.20484E+00 -0.19882E+00 -0.19757E+00 -0.19409E+00 -0.18538E+00 -0.18462E+00 -0.17862E+00 -0.17317E+00 -0.16956E+00 -0.16857E+00 -0.15953E+00 -0.15331E+00 -0.14952E+00 -0.14823E+00 -0.14799E+00 -0.14118E+00 -0.13978E+00 -0.12726E+00 -0.11222E+00 -0.11038E+00 -0.10489E+00 -0.62331E-01  0.44682E-01  0.67358E-01  0.16677E+00  0.18267E+00  0.21283E+00  0.30126E+00  0.31156E+00  0.32950E+00  0.33276E+00  0.35353E+00  0.35412E+00  0.35571E+00  0.35729E+00  0.35845E+00  0.36873E+00  0.36892E+00  0.37032E+00  0.37108E+00  0.37611E+00  0.37730E+00  0.38332E+00  0.38623E+00  0.42515E+00  0.43066E+00  0.43181E+00  0.43413E+00  0.44120E+00  0.44127E+00  0.44362E+00  0.45715E+00  0.46442E+00  0.48890E+00  0.48993E+00  0.50215E+00  0.53107E+00  0.53580E+00  0.54979E+00  0.56792E+00  0.59231E+00  0.62283E+00  0.63562E+00  0.65436E+00  0.69030E+00  0.69723E+00  0.69926E+00  0.70205E+00  0.71100E+00  0.72483E+00  0.72542E+00  0.73510E+00  0.73691E+00  0.73870E+00  0.76999E+00  0.77475E+00  0.77914E+00  0.78120E+00  0.80318E+00  0.80572E+00  0.86432E+00  0.90942E+00  0.92352E+00  0.92460E+00  0.97192E+00  0.97927E+00  0.98599E+00  0.99747E+00  0.10401E+01  0.10452E+01  0.10465E+01  0.10827E+01  0.10844E+01  0.10874E+01  0.11032E+01  0.11145E+01  0.11155E+01  0.11257E+01  0.11262E+01  0.11375E+01  0.11713E+01  0.12051E+01  0.12272E+01  0.12304E+01  0.12421E+01
  0.97673E-01 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79698E+00 -0.77870E+00 -0.77195E+00 -0.76933E+00 -0.76356E+00 -0.75275E+00 -0.75259E+00 -0.74632E+00 -0.35033E+00 -0.33265E+00 -0.32387E+00 -0.31481E+00 -0.30227E+00 -0.27908E+00 -0.26995E+00 -0.26788E+00 -0.26780E+00 -0.26380E+00 -0.25672E+00 -0.25619E+00 -0.25068E+00 -0.24984E+00 -0.24895E+00 -0.24825E+00 -0.24753E+00 -0.24383E+00 -0.24304E+00 -0.22803E+00 -0.21935E+00 -0.20397E+00 -0.19740E+00 -0.19675E+00 -0.19434E+00 -0.18457E+00 -0.18456E+00 -0.17856E+00 -0.17221E+00 -0.16916E+00 -0.16833E+00 -0.15634E+00 -0.15446E+00 -0.14955E+00 -0.14833E+00 -0.14730E+00 -0.14154E+00 -0.13971E+00 -0.12805E+00 -0.11305E+00 -0.11048E+00 -0.10508E+00 -0.59529E-01  0.42061E-01  0.71200E-01  0.16108E+00  0.18308E+00  0.21185E+00  0.30163E+00  0.31529E+00  0.32798E+00  0.33285E+00  0.35349E+00  0.35379E+00  0.35656E+00  0.35787E+00  0.35969E+00  0.36667E+00  0.36834E+00  0.36858E+00  0.37121E+00  0.37479E+00  0.37599E+00  0.38333E+00  0.38794E+00  0.42472E+00  0.42932E+00  0.43255E+00  0.43263E+00  0.44094E+00  0.44114E+00  0.44351E+00  0.45762E+00  0.46529E+00  0.48564E+00  0.49556E+00  0.50045E+00  0.52704E+00  0.53810E+00  0.55274E+00  0.56050E+00  0.58996E+00  0.61499E+00  0.62917E+00  0.65067E+00  0.69089E+00  0.69463E+00  0.70302E+00  0.70551E+00  0.71889E+00  0.72889E+00  0.73407E+00  0.74086E+00  0.74252E+00  0.74483E+00  0.77183E+00  0.77297E+00  0.77985E+00  0.78248E+00  0.80144E+00  0.80496E+00  0.85719E+00  0.90184E+00  0.92750E+00  0.92830E+00  0.96852E+00  0.98350E+00  0.98450E+00  0.10035E+01  0.10293E+01  0.10384E+01  0.10476E+01  0.10863E+01  0.10891E+01  0.10909E+01  0.10918E+01  0.11121E+01  0.11156E+01  0.11251E+01  0.11273E+01  0.11321E+01  0.11749E+01  0.11957E+01  0.12184E+01  0.12316E+01  0.12485E+01
  0.11395E+00 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79641E+00 -0.77991E+00 -0.77189E+00 -0.76901E+00 -0.76327E+00 -0.75282E+00 -0.75258E+00 -0.74633E+00 -0.34898E+00 -0.33165E+00 -0.32314E+00 -0.31346E+00 -0.30220E+00 -0.28120E+00 -0.26989E+00 -0.26809E+00 -0.26697E+00 -0.26680E+00 -0.25675E+00 -0.25609E+00 -0.25341E+00 -0.25034E+00 -0.24976E+00 -0.24930E+00 -0.24776E+00 -0.24420E+00 -0.24304E+00 -0.22834E+00 -0.21982E+00 -0.20297E+00 -0.19767E+00 -0.19480E+00 -0.19426E+00 -0.18451E+00 -0.18343E+00 -0.17868E+00 -0.17135E+00 -0.16871E+00 -0.16820E+00 -0.15578E+00 -0.15338E+00 -0.14959E+00 -0.14843E+00 -0.14650E+00 -0.14185E+00 -0.13962E+00 -0.12893E+00 -0.11396E+00 -0.11058E+00 -0.10528E+00 -0.56375E-01  0.39146E-01  0.75608E-01  0.15488E+00  0.18354E+00  0.21087E+00  0.30205E+00  0.31897E+00  0.32643E+00  0.33333E+00  0.35259E+00  0.35407E+00  0.35744E+00  0.35856E+00  0.36093E+00  0.36297E+00  0.36769E+00  0.36842E+00  0.37137E+00  0.37353E+00  0.37455E+00  0.38330E+00  0.38993E+00  0.42428E+00  0.42655E+00  0.43110E+00  0.43476E+00  0.44062E+00  0.44133E+00  0.44341E+00  0.45794E+00  0.46607E+00  0.48207E+00  0.49879E+00  0.50178E+00  0.52315E+00  0.54085E+00  0.55313E+00  0.55615E+00  0.58667E+00  0.60733E+00  0.62273E+00  0.64804E+00  0.68708E+00  0.69393E+00  0.70775E+00  0.70871E+00  0.72633E+00  0.73274E+00  0.74372E+00  0.74521E+00  0.75082E+00  0.75295E+00  0.76854E+00  0.77547E+00  0.78060E+00  0.78338E+00  0.79999E+00  0.80430E+00  0.85046E+00  0.89312E+00  0.93137E+00  0.93214E+00  0.95494E+00  0.98258E+00  0.99751E+00  0.10109E+01  0.10187E+01  0.10295E+01  0.10503E+01  0.10729E+01  0.10910E+01  0.10964E+01  0.10981E+01  0.11083E+01  0.11185E+01  0.11234E+01  0.11243E+01  0.11301E+01  0.11798E+01  0.11859E+01  0.12090E+01  0.12332E+01  0.12562E+01
  0.13023E+00 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79579E+00 -0.78108E+00 -0.77183E+00 -0.76870E+00 -0.76306E+00 -0.75288E+00 -0.75256E+00 -0.74635E+00 -0.34762E+00 -0.33080E+00 -0.32202E+00 -0.31199E+00 -0.30227E+00 -0.28343E+00 -0.26986E+00 -0.26983E+00 -0.26822E+00 -0.26602E+00 -0.25743E+00 -0.25678E+00 -0.25601E+00 -0.25130E+00 -0.25007E+00 -0.24918E+00 -0.24788E+00 -0.24431E+00 -0.24304E+00 -0.22861E+00 -0.22018E+00 -0.20188E+00 -0.19822E+00 -0.19396E+00 -0.19305E+00 -0.18446E+00 -0.18209E+00 -0.17900E+00 -0.17059E+00 -0.16821E+00 -0.16811E+00 -0.15723E+00 -0.15080E+00 -0.14962E+00 -0.14855E+00 -0.14562E+00 -0.14208E+00 -0.13951E+00 -0.12985E+00 -0.11490E+00 -0.11068E+00 -0.10546E+00 -0.53009E-01  0.36063E-01  0.80517E-01  0.14832E+00  0.18400E+00  0.20990E+00  0.30250E+00  0.32238E+00  0.32492E+00  0.33434E+00  0.35132E+00  0.35436E+00  0.35834E+00  0.35885E+00  0.35936E+00  0.36280E+00  0.36698E+00  0.36826E+00  0.37147E+00  0.37235E+00  0.37302E+00  0.38326E+00  0.39219E+00  0.42330E+00  0.42412E+00  0.42963E+00  0.43729E+00  0.44031E+00  0.44186E+00  0.44331E+00  0.45796E+00  0.46660E+00  0.47841E+00  0.49721E+00  0.50832E+00  0.51991E+00  0.54404E+00  0.54602E+00  0.55998E+00  0.58232E+00  0.59991E+00  0.61632E+00  0.64665E+00  0.68159E+00  0.69481E+00  0.70919E+00  0.71429E+00  0.73311E+00  0.73686E+00  0.74979E+00  0.75108E+00  0.75978E+00  0.76450E+00  0.76495E+00  0.77760E+00  0.78136E+00  0.78342E+00  0.79936E+00  0.80382E+00  0.84418E+00  0.88344E+00  0.92890E+00  0.93742E+00  0.94596E+00  0.98122E+00  0.10089E+01  0.10109E+01  0.10191E+01  0.10201E+01  0.10534E+01  0.10567E+01  0.10961E+01  0.11011E+01  0.11020E+01  0.11084E+01  0.11173E+01  0.11201E+01  0.11226E+01  0.11314E+01  0.11760E+01  0.11860E+01  0.11994E+01  0.12352E+01  0.12412E+01
  0.14651E+00 -0.41899E+01 -0.41899E+01 -0.41648E+01 -0.40787E+01 -0.27678E+01 -0.27678E+01 -0.27661E+01 -0.27661E+01 -0.27375E+01 -0.27349E+01 -0.27349E+01 -0.27232E+01 -0.27232E+01 -0.26483E+01 -0.26447E+01 -0.26447E+01 -0.79515E+00 -0.78219E+00 -0.77178E+00 -0.76842E+00 -0.76292E+00 -0.75294E+00 -0.75252E+00 -0.74637E+00 -0.34635E+00 -0.33019E+00 -0.32044E+00 -0.31043E+00 -0.30260E+00 -0.28567E+00 -0.27278E+00 -0.26978E+00 -0.26830E+00 -0.26496E+00 -0.26101E+00 -0.25681E+00 -0.25602E+00 -0.25281E+00 -0.24987E+00 -0.24905E+00 -0.24800E+00 -0.24436E+00 -0.24304E+00 -0.22884E+00 -0.22044E+00 -0.20077E+00 -0.19882E+00 -0.19360E+00 -0.19155E+00 -0.18441E+00 -0.18070E+00 -0.17948E+00 -0.16987E+00 -0.16805E+00 -0.16770E+00 -0.15880E+00 -0.14965E+00 -0.14867E+00 -0.14866E+00 -0.14472E+00 -0.14223E+00 -0.13936E+00 -0.13077E+00 -0.11582E+00 -0.11077E+00 -0.10563E+00 -0.49632E-01  0.32985E-01  0.85849E-01  0.14157E+00  0.18445E+00  0.20902E+00  0.30294E+00  0.32352E+00  0.32541E+00  0.33589E+00  0.34948E+00  0.35464E+00  0.35561E+00  0.35924E+00  0.36027E+00  0.36427E+00  0.36623E+00  0.36813E+00  0.37131E+00  0.37144E+00  0.37146E+00  0.38320E+00  0.39468E+00  0.42023E+00  0.42368E+00  0.42827E+00  0.44005E+00  0.44012E+00  0.44279E+00  0.44322E+00  0.45754E+00  0.46649E+00  0.47514E+00  0.49580E+00  0.51364E+00  0.51905E+00  0.53939E+00  0.54768E+00  0.56420E+00  0.57695E+00  0.59277E+00  0.60999E+00  0.64650E+00  0.67611E+00  0.69570E+00  0.71015E+00  0.71975E+00  0.73899E+00  0.74111E+00  0.75429E+00  0.75670E+00  0.76117E+00  0.76901E+00  0.77535E+00  0.78217E+00  0.78224E+00  0.78225E+00  0.79992E+00  0.80369E+00  0.83841E+00  0.87303E+00  0.91578E+00  0.94333E+00  0.94709E+00  0.97921E+00  0.10008E+01  0.10104E+01  0.10244E+01  0.10279E+01  0.10409E+01  0.10569E+01  0.10978E+01  0.11018E+01  0.11037E+01  0.11116E+01  0.11150E+01  0.11169E+01  0.11276E+01  0.11325E+01  0.11662E+01  0.11898E+01  0.11933E+01  0.12230E+01  0.12379E+01
