# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -4.2,     1.99011,         1.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.79107E+00 -0.76507E+00 -0.76507E+00 -0.76151E+00 -0.76103E+00 -0.75446E+00 -0.75446E+00 -0.74577E+00 -0.34627E+00 -0.33414E+00 -0.33414E+00 -0.33099E+00 -0.30737E+00 -0.25459E+00 -0.25459E+00 -0.25387E+00 -0.25387E+00 -0.24944E+00 -0.24944E+00 -0.24830E+00 -0.24827E+00 -0.23408E+00 -0.23362E+00 -0.23139E+00 -0.23139E+00 -0.23118E+00 -0.23064E+00 -0.23051E+00 -0.22826E+00 -0.22411E+00 -0.22411E+00 -0.22369E+00 -0.22367E+00 -0.20003E+00 -0.19999E+00 -0.18371E+00 -0.18371E+00 -0.18050E+00 -0.16424E+00 -0.16231E+00 -0.16231E+00 -0.14656E+00 -0.13820E+00 -0.13820E+00 -0.13763E+00 -0.13763E+00 -0.13227E+00 -0.13227E+00 -0.12569E+00 -0.12559E+00 -0.12253E+00 -0.37791E-01  0.63593E-01  0.18216E+00  0.18216E+00  0.20804E+00  0.30869E+00  0.30872E+00  0.33736E+00  0.33736E+00  0.35998E+00  0.36081E+00  0.36204E+00  0.36268E+00  0.36893E+00  0.37720E+00  0.37729E+00  0.37775E+00  0.37775E+00  0.38469E+00  0.38470E+00  0.38913E+00  0.38913E+00  0.43333E+00  0.43333E+00  0.44537E+00  0.44537E+00  0.44814E+00  0.44870E+00  0.45117E+00  0.46188E+00  0.46806E+00  0.48153E+00  0.50557E+00  0.50557E+00  0.53796E+00  0.54528E+00  0.54528E+00  0.59759E+00  0.59759E+00  0.66655E+00  0.66655E+00  0.67764E+00  0.67771E+00  0.67944E+00  0.67950E+00  0.69869E+00  0.71497E+00  0.71497E+00  0.72363E+00  0.72367E+00  0.72838E+00  0.72838E+00  0.75180E+00  0.78579E+00  0.78585E+00  0.78661E+00  0.80940E+00  0.80940E+00  0.90336E+00  0.92139E+00  0.92139E+00  0.93086E+00  0.93086E+00  0.98392E+00  0.98392E+00  0.10278E+01  0.10466E+01  0.10739E+01  0.10739E+01  0.10754E+01  0.10775E+01  0.10775E+01  0.11302E+01  0.11302E+01  0.11303E+01  0.11303E+01  0.11483E+01  0.11502E+01  0.11755E+01  0.12341E+01  0.12341E+01  0.12376E+01  0.12376E+01
  0.16279E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.79101E+00 -0.76553E+00 -0.76504E+00 -0.76135E+00 -0.76076E+00 -0.75450E+00 -0.75447E+00 -0.74579E+00 -0.34609E+00 -0.33414E+00 -0.33396E+00 -0.33092E+00 -0.30724E+00 -0.25497E+00 -0.25458E+00 -0.25385E+00 -0.25380E+00 -0.25083E+00 -0.24946E+00 -0.24830E+00 -0.24822E+00 -0.23407E+00 -0.23294E+00 -0.23237E+00 -0.23140E+00 -0.23112E+00 -0.23056E+00 -0.23014E+00 -0.22826E+00 -0.22425E+00 -0.22411E+00 -0.22390E+00 -0.22368E+00 -0.19994E+00 -0.19965E+00 -0.18366E+00 -0.18343E+00 -0.18041E+00 -0.16425E+00 -0.16231E+00 -0.16118E+00 -0.14654E+00 -0.13833E+00 -0.13816E+00 -0.13780E+00 -0.13761E+00 -0.13231E+00 -0.13229E+00 -0.12577E+00 -0.12566E+00 -0.12262E+00 -0.38073E-01  0.63959E-01  0.18149E+00  0.18224E+00  0.20794E+00  0.30876E+00  0.30924E+00  0.33714E+00  0.33725E+00  0.36010E+00  0.36089E+00  0.36208E+00  0.36270E+00  0.36897E+00  0.37717E+00  0.37730E+00  0.37773E+00  0.37773E+00  0.38424E+00  0.38456E+00  0.38896E+00  0.38929E+00  0.43327E+00  0.43349E+00  0.44510E+00  0.44518E+00  0.44809E+00  0.44865E+00  0.45111E+00  0.46195E+00  0.46824E+00  0.48213E+00  0.50514E+00  0.50539E+00  0.53816E+00  0.54477E+00  0.54557E+00  0.59619E+00  0.59755E+00  0.66209E+00  0.66368E+00  0.67633E+00  0.68047E+00  0.68113E+00  0.68401E+00  0.69883E+00  0.71530E+00  0.71639E+00  0.72403E+00  0.72445E+00  0.72666E+00  0.72878E+00  0.75326E+00  0.78593E+00  0.78606E+00  0.78630E+00  0.80913E+00  0.80925E+00  0.90009E+00  0.92177E+00  0.92185E+00  0.93013E+00  0.93464E+00  0.98412E+00  0.98462E+00  0.10258E+01  0.10468E+01  0.10730E+01  0.10730E+01  0.10761E+01  0.10779E+01  0.10783E+01  0.11289E+01  0.11300E+01  0.11303E+01  0.11305E+01  0.11466E+01  0.11499E+01  0.11754E+01  0.12342E+01  0.12347E+01  0.12363E+01  0.12398E+01
  0.32558E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.79084E+00 -0.76657E+00 -0.76495E+00 -0.76122E+00 -0.75995E+00 -0.75460E+00 -0.75449E+00 -0.74583E+00 -0.34557E+00 -0.33417E+00 -0.33341E+00 -0.33070E+00 -0.30685E+00 -0.25610E+00 -0.25454E+00 -0.25413E+00 -0.25378E+00 -0.25359E+00 -0.24953E+00 -0.24836E+00 -0.24803E+00 -0.23619E+00 -0.23404E+00 -0.23144E+00 -0.23110E+00 -0.23052E+00 -0.22989E+00 -0.22943E+00 -0.22827E+00 -0.22467E+00 -0.22455E+00 -0.22410E+00 -0.22369E+00 -0.19974E+00 -0.19862E+00 -0.18351E+00 -0.18264E+00 -0.18015E+00 -0.16430E+00 -0.16232E+00 -0.15799E+00 -0.14647E+00 -0.13872E+00 -0.13831E+00 -0.13804E+00 -0.13757E+00 -0.13240E+00 -0.13234E+00 -0.12603E+00 -0.12583E+00 -0.12291E+00 -0.38918E-01  0.65050E-01  0.17953E+00  0.18247E+00  0.20764E+00  0.30892E+00  0.31079E+00  0.33650E+00  0.33693E+00  0.36045E+00  0.36107E+00  0.36221E+00  0.36280E+00  0.36908E+00  0.37701E+00  0.37737E+00  0.37766E+00  0.37768E+00  0.38287E+00  0.38417E+00  0.38846E+00  0.38978E+00  0.43312E+00  0.43399E+00  0.44431E+00  0.44462E+00  0.44796E+00  0.44854E+00  0.45097E+00  0.46215E+00  0.46876E+00  0.48392E+00  0.50384E+00  0.50485E+00  0.53875E+00  0.54325E+00  0.54644E+00  0.59229E+00  0.59738E+00  0.65434E+00  0.65821E+00  0.67285E+00  0.68564E+00  0.68569E+00  0.69198E+00  0.69924E+00  0.71640E+00  0.72011E+00  0.72244E+00  0.72516E+00  0.72680E+00  0.72996E+00  0.75671E+00  0.78539E+00  0.78625E+00  0.78674E+00  0.80834E+00  0.80881E+00  0.89309E+00  0.92288E+00  0.92318E+00  0.92793E+00  0.94316E+00  0.98468E+00  0.98669E+00  0.10202E+01  0.10476E+01  0.10700E+01  0.10704E+01  0.10779E+01  0.10790E+01  0.10803E+01  0.11257E+01  0.11290E+01  0.11305E+01  0.11310E+01  0.11418E+01  0.11490E+01  0.11753E+01  0.12326E+01  0.12345E+01  0.12364E+01  0.12456E+01
  0.48836E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.79056E+00 -0.76786E+00 -0.76480E+00 -0.76109E+00 -0.75899E+00 -0.75476E+00 -0.75451E+00 -0.74591E+00 -0.34473E+00 -0.33421E+00 -0.33251E+00 -0.33030E+00 -0.30619E+00 -0.25867E+00 -0.25747E+00 -0.25447E+00 -0.25368E+00 -0.25324E+00 -0.24965E+00 -0.24845E+00 -0.24772E+00 -0.24076E+00 -0.23400E+00 -0.23150E+00 -0.23106E+00 -0.23046E+00 -0.22980E+00 -0.22828E+00 -0.22588E+00 -0.22556E+00 -0.22534E+00 -0.22409E+00 -0.22370E+00 -0.19943E+00 -0.19701E+00 -0.18327E+00 -0.18136E+00 -0.17976E+00 -0.16439E+00 -0.16232E+00 -0.15319E+00 -0.14635E+00 -0.13935E+00 -0.13915E+00 -0.13784E+00 -0.13750E+00 -0.13253E+00 -0.13241E+00 -0.12648E+00 -0.12608E+00 -0.12338E+00 -0.40323E-01  0.66850E-01  0.17639E+00  0.18285E+00  0.20714E+00  0.30919E+00  0.31324E+00  0.33549E+00  0.33646E+00  0.36094E+00  0.36122E+00  0.36243E+00  0.36316E+00  0.36927E+00  0.37672E+00  0.37751E+00  0.37755E+00  0.37759E+00  0.38068E+00  0.38352E+00  0.38768E+00  0.39058E+00  0.43287E+00  0.43481E+00  0.44302E+00  0.44372E+00  0.44774E+00  0.44840E+00  0.45074E+00  0.46248E+00  0.46958E+00  0.48683E+00  0.50176E+00  0.50397E+00  0.53975E+00  0.54085E+00  0.54788E+00  0.58663E+00  0.59701E+00  0.64611E+00  0.65212E+00  0.66826E+00  0.69139E+00  0.69187E+00  0.69986E+00  0.70056E+00  0.71689E+00  0.71870E+00  0.72528E+00  0.72702E+00  0.73066E+00  0.73189E+00  0.76086E+00  0.78390E+00  0.78678E+00  0.78787E+00  0.80702E+00  0.80811E+00  0.88512E+00  0.92427E+00  0.92474E+00  0.92534E+00  0.95364E+00  0.98547E+00  0.99009E+00  0.10116E+01  0.10488E+01  0.10646E+01  0.10661E+01  0.10808E+01  0.10811E+01  0.10832E+01  0.11224E+01  0.11274E+01  0.11309E+01  0.11317E+01  0.11339E+01  0.11471E+01  0.11754E+01  0.12267E+01  0.12349E+01  0.12392E+01  0.12476E+01
  0.65115E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.79016E+00 -0.76924E+00 -0.76460E+00 -0.76094E+00 -0.75808E+00 -0.75498E+00 -0.75449E+00 -0.74603E+00 -0.34363E+00 -0.33427E+00 -0.33125E+00 -0.32968E+00 -0.30527E+00 -0.26317E+00 -0.25980E+00 -0.25438E+00 -0.25353E+00 -0.25275E+00 -0.24982E+00 -0.24858E+00 -0.24729E+00 -0.24625E+00 -0.23395E+00 -0.23158E+00 -0.23102E+00 -0.23038E+00 -0.22977E+00 -0.22830E+00 -0.22688E+00 -0.22624E+00 -0.22408E+00 -0.22371E+00 -0.22220E+00 -0.19902E+00 -0.19493E+00 -0.18295E+00 -0.17970E+00 -0.17927E+00 -0.16453E+00 -0.16230E+00 -0.14729E+00 -0.14615E+00 -0.14030E+00 -0.14024E+00 -0.13756E+00 -0.13739E+00 -0.13268E+00 -0.13251E+00 -0.12711E+00 -0.12643E+00 -0.12401E+00 -0.42286E-01  0.69332E-01  0.17224E+00  0.18339E+00  0.20645E+00  0.30957E+00  0.31642E+00  0.33418E+00  0.33594E+00  0.36098E+00  0.36172E+00  0.36274E+00  0.36389E+00  0.36952E+00  0.37633E+00  0.37740E+00  0.37747E+00  0.37769E+00  0.37778E+00  0.38265E+00  0.38667E+00  0.39170E+00  0.43254E+00  0.43594E+00  0.44129E+00  0.44255E+00  0.44747E+00  0.44824E+00  0.45046E+00  0.46288E+00  0.47067E+00  0.49076E+00  0.49899E+00  0.50278E+00  0.53773E+00  0.54117E+00  0.54987E+00  0.57990E+00  0.59630E+00  0.63787E+00  0.64579E+00  0.66338E+00  0.69718E+00  0.69817E+00  0.70071E+00  0.70923E+00  0.71084E+00  0.72309E+00  0.72955E+00  0.73104E+00  0.73451E+00  0.73593E+00  0.76501E+00  0.78186E+00  0.78748E+00  0.78943E+00  0.80519E+00  0.80721E+00  0.87708E+00  0.91919E+00  0.92731E+00  0.92821E+00  0.96515E+00  0.98630E+00  0.99473E+00  0.10006E+01  0.10504E+01  0.10567E+01  0.10604E+01  0.10833E+01  0.10855E+01  0.10867E+01  0.11204E+01  0.11231E+01  0.11251E+01  0.11316E+01  0.11323E+01  0.11441E+01  0.11763E+01  0.12191E+01  0.12356E+01  0.12415E+01  0.12432E+01
  0.81394E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.78966E+00 -0.77068E+00 -0.76435E+00 -0.76075E+00 -0.75735E+00 -0.75526E+00 -0.75435E+00 -0.74617E+00 -0.34235E+00 -0.33434E+00 -0.32964E+00 -0.32876E+00 -0.30411E+00 -0.26797E+00 -0.26238E+00 -0.25426E+00 -0.25334E+00 -0.25241E+00 -0.25213E+00 -0.24994E+00 -0.24875E+00 -0.24674E+00 -0.23388E+00 -0.23168E+00 -0.23096E+00 -0.23027E+00 -0.22978E+00 -0.22842E+00 -0.22834E+00 -0.22733E+00 -0.22407E+00 -0.22372E+00 -0.21859E+00 -0.19855E+00 -0.19251E+00 -0.18254E+00 -0.17875E+00 -0.17772E+00 -0.16474E+00 -0.16225E+00 -0.14586E+00 -0.14173E+00 -0.14136E+00 -0.14076E+00 -0.13720E+00 -0.13717E+00 -0.13284E+00 -0.13263E+00 -0.12791E+00 -0.12685E+00 -0.12479E+00 -0.44801E-01  0.72460E-01  0.16726E+00  0.18408E+00  0.20557E+00  0.31006E+00  0.32012E+00  0.33262E+00  0.33546E+00  0.36062E+00  0.36249E+00  0.36314E+00  0.36494E+00  0.36985E+00  0.37431E+00  0.37585E+00  0.37720E+00  0.37735E+00  0.37789E+00  0.38159E+00  0.38553E+00  0.39312E+00  0.43216E+00  0.43723E+00  0.43932E+00  0.44119E+00  0.44723E+00  0.44808E+00  0.45015E+00  0.46332E+00  0.47197E+00  0.49561E+00  0.49563E+00  0.50134E+00  0.53412E+00  0.54300E+00  0.55240E+00  0.57262E+00  0.59505E+00  0.62973E+00  0.63933E+00  0.65879E+00  0.70165E+00  0.70295E+00  0.70300E+00  0.70458E+00  0.71785E+00  0.73061E+00  0.73269E+00  0.73705E+00  0.73772E+00  0.74249E+00  0.76882E+00  0.77932E+00  0.78833E+00  0.79139E+00  0.80287E+00  0.80616E+00  0.86927E+00  0.91272E+00  0.93058E+00  0.93162E+00  0.97735E+00  0.98695E+00  0.98785E+00  0.10005E+01  0.10468E+01  0.10523E+01  0.10533E+01  0.10866E+01  0.10906E+01  0.10910E+01  0.11100E+01  0.11204E+01  0.11221E+01  0.11325E+01  0.11325E+01  0.11398E+01  0.11783E+01  0.12103E+01  0.12338E+01  0.12365E+01  0.12484E+01
  0.97673E-01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.78905E+00 -0.77214E+00 -0.76406E+00 -0.76052E+00 -0.75690E+00 -0.75558E+00 -0.75401E+00 -0.74635E+00 -0.34103E+00 -0.33443E+00 -0.32769E+00 -0.32742E+00 -0.30270E+00 -0.27286E+00 -0.26523E+00 -0.25880E+00 -0.25411E+00 -0.25313E+00 -0.25138E+00 -0.25019E+00 -0.24894E+00 -0.24607E+00 -0.23379E+00 -0.23180E+00 -0.23089E+00 -0.23015E+00 -0.23011E+00 -0.22981E+00 -0.22856E+00 -0.22838E+00 -0.22405E+00 -0.22373E+00 -0.21515E+00 -0.19806E+00 -0.18987E+00 -0.18206E+00 -0.17824E+00 -0.17549E+00 -0.16504E+00 -0.16213E+00 -0.14546E+00 -0.14339E+00 -0.14271E+00 -0.13737E+00 -0.13678E+00 -0.13341E+00 -0.13299E+00 -0.13268E+00 -0.12886E+00 -0.12736E+00 -0.12569E+00 -0.47858E-01  0.76194E-01  0.16162E+00  0.18491E+00  0.20452E+00  0.31067E+00  0.32416E+00  0.33090E+00  0.33513E+00  0.36006E+00  0.36332E+00  0.36362E+00  0.36622E+00  0.37023E+00  0.37044E+00  0.37528E+00  0.37695E+00  0.37722E+00  0.37810E+00  0.38037E+00  0.38431E+00  0.39485E+00  0.43176E+00  0.43626E+00  0.43959E+00  0.43970E+00  0.44709E+00  0.44793E+00  0.44984E+00  0.46371E+00  0.47342E+00  0.49181E+00  0.49967E+00  0.50125E+00  0.53029E+00  0.54527E+00  0.55544E+00  0.56516E+00  0.59302E+00  0.62176E+00  0.63282E+00  0.65494E+00  0.69823E+00  0.70271E+00  0.70594E+00  0.70870E+00  0.72626E+00  0.73637E+00  0.74075E+00  0.74185E+00  0.74304E+00  0.75022E+00  0.77211E+00  0.77633E+00  0.78929E+00  0.79374E+00  0.80008E+00  0.80501E+00  0.86179E+00  0.90493E+00  0.93453E+00  0.93526E+00  0.97384E+00  0.98724E+00  0.99009E+00  0.10073E+01  0.10359E+01  0.10452E+01  0.10547E+01  0.10905E+01  0.10950E+01  0.10950E+01  0.10976E+01  0.11186E+01  0.11220E+01  0.11319E+01  0.11337E+01  0.11341E+01  0.11816E+01  0.12008E+01  0.12251E+01  0.12377E+01  0.12548E+01
  0.11395E+00 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.78834E+00 -0.77360E+00 -0.76374E+00 -0.76027E+00 -0.75676E+00 -0.75594E+00 -0.75346E+00 -0.74657E+00 -0.33977E+00 -0.33454E+00 -0.32556E+00 -0.32540E+00 -0.30105E+00 -0.27778E+00 -0.26825E+00 -0.26535E+00 -0.25394E+00 -0.25288E+00 -0.25049E+00 -0.25045E+00 -0.24917E+00 -0.24529E+00 -0.23369E+00 -0.23194E+00 -0.23190E+00 -0.23082E+00 -0.23001E+00 -0.22989E+00 -0.22985E+00 -0.22843E+00 -0.22404E+00 -0.22375E+00 -0.21193E+00 -0.19761E+00 -0.18712E+00 -0.18152E+00 -0.17781E+00 -0.17309E+00 -0.16545E+00 -0.16192E+00 -0.14522E+00 -0.14492E+00 -0.14427E+00 -0.13714E+00 -0.13629E+00 -0.13312E+00 -0.13295E+00 -0.12994E+00 -0.12794E+00 -0.12666E+00 -0.12605E+00 -0.51447E-01  0.80486E-01  0.15550E+00  0.18588E+00  0.20331E+00  0.31139E+00  0.32831E+00  0.32911E+00  0.33505E+00  0.35932E+00  0.36409E+00  0.36419E+00  0.36643E+00  0.36764E+00  0.37067E+00  0.37466E+00  0.37666E+00  0.37711E+00  0.37827E+00  0.37903E+00  0.38309E+00  0.39685E+00  0.43136E+00  0.43353E+00  0.43817E+00  0.44165E+00  0.44710E+00  0.44784E+00  0.44956E+00  0.46393E+00  0.47499E+00  0.48766E+00  0.49784E+00  0.50756E+00  0.52658E+00  0.54799E+00  0.55776E+00  0.55897E+00  0.59001E+00  0.61400E+00  0.62628E+00  0.65217E+00  0.69197E+00  0.70380E+00  0.70768E+00  0.71437E+00  0.73431E+00  0.74052E+00  0.74528E+00  0.74885E+00  0.75411E+00  0.75899E+00  0.77293E+00  0.77475E+00  0.79034E+00  0.79645E+00  0.79684E+00  0.80383E+00  0.85467E+00  0.89594E+00  0.93814E+00  0.93915E+00  0.95985E+00  0.98694E+00  0.10032E+01  0.10150E+01  0.10252E+01  0.10364E+01  0.10575E+01  0.10789E+01  0.10950E+01  0.10998E+01  0.11051E+01  0.11144E+01  0.11251E+01  0.11272E+01  0.11301E+01  0.11350E+01  0.11862E+01  0.11909E+01  0.12157E+01  0.12393E+01  0.12626E+01
  0.13023E+00 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.78754E+00 -0.77506E+00 -0.76339E+00 -0.75998E+00 -0.75683E+00 -0.75631E+00 -0.75279E+00 -0.74682E+00 -0.33868E+00 -0.33467E+00 -0.32309E+00 -0.32280E+00 -0.29917E+00 -0.28266E+00 -0.27191E+00 -0.27138E+00 -0.25375E+00 -0.25260E+00 -0.25071E+00 -0.24947E+00 -0.24942E+00 -0.24440E+00 -0.23374E+00 -0.23358E+00 -0.23208E+00 -0.23130E+00 -0.23074E+00 -0.22991E+00 -0.22987E+00 -0.22850E+00 -0.22402E+00 -0.22377E+00 -0.20897E+00 -0.19725E+00 -0.18434E+00 -0.18094E+00 -0.17749E+00 -0.17057E+00 -0.16601E+00 -0.16158E+00 -0.14717E+00 -0.14603E+00 -0.14423E+00 -0.13697E+00 -0.13574E+00 -0.13319E+00 -0.13311E+00 -0.13112E+00 -0.12857E+00 -0.12767E+00 -0.11863E+00 -0.55554E-01  0.85288E-01  0.14902E+00  0.18698E+00  0.20196E+00  0.31222E+00  0.32718E+00  0.33255E+00  0.33531E+00  0.35839E+00  0.36181E+00  0.36506E+00  0.36518E+00  0.36912E+00  0.37116E+00  0.37400E+00  0.37632E+00  0.37703E+00  0.37761E+00  0.37837E+00  0.38194E+00  0.39912E+00  0.43048E+00  0.43100E+00  0.43669E+00  0.44412E+00  0.44716E+00  0.44799E+00  0.44935E+00  0.46386E+00  0.47665E+00  0.48328E+00  0.49590E+00  0.51441E+00  0.52333E+00  0.55059E+00  0.55118E+00  0.56295E+00  0.58589E+00  0.60649E+00  0.61975E+00  0.65067E+00  0.68586E+00  0.70487E+00  0.70872E+00  0.71997E+00  0.74180E+00  0.74503E+00  0.74939E+00  0.75436E+00  0.76837E+00  0.76868E+00  0.76918E+00  0.77667E+00  0.79144E+00  0.79319E+00  0.79949E+00  0.80265E+00  0.84792E+00  0.88588E+00  0.93458E+00  0.94442E+00  0.95170E+00  0.98598E+00  0.10153E+01  0.10167E+01  0.10234E+01  0.10270E+01  0.10607E+01  0.10625E+01  0.11002E+01  0.11049E+01  0.11097E+01  0.11136E+01  0.11194E+01  0.11268E+01  0.11292E+01  0.11362E+01  0.11809E+01  0.11921E+01  0.12060E+01  0.12414E+01  0.12475E+01
  0.14651E+00 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.41664E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27420E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.27154E+01 -0.78665E+00 -0.77649E+00 -0.76304E+00 -0.75967E+00 -0.75703E+00 -0.75669E+00 -0.75209E+00 -0.74710E+00 -0.33779E+00 -0.33483E+00 -0.31999E+00 -0.31989E+00 -0.29708E+00 -0.28747E+00 -0.27838E+00 -0.27455E+00 -0.25355E+00 -0.25230E+00 -0.25099E+00 -0.24970E+00 -0.24834E+00 -0.24341E+00 -0.23559E+00 -0.23346E+00 -0.23276E+00 -0.23223E+00 -0.23065E+00 -0.22997E+00 -0.22971E+00 -0.22858E+00 -0.22399E+00 -0.22380E+00 -0.20630E+00 -0.19704E+00 -0.18161E+00 -0.18033E+00 -0.17730E+00 -0.16797E+00 -0.16675E+00 -0.16107E+00 -0.14917E+00 -0.14797E+00 -0.14339E+00 -0.13682E+00 -0.13515E+00 -0.13327E+00 -0.13319E+00 -0.13238E+00 -0.12925E+00 -0.12868E+00 -0.11119E+00 -0.60158E-01  0.90546E-01  0.14232E+00  0.18821E+00  0.20049E+00  0.31318E+00  0.32529E+00  0.33597E+00  0.33659E+00  0.35724E+00  0.35767E+00  0.36592E+00  0.36593E+00  0.37057E+00  0.37169E+00  0.37337E+00  0.37593E+00  0.37615E+00  0.37699E+00  0.37837E+00  0.38089E+00  0.40164E+00  0.42725E+00  0.43072E+00  0.43531E+00  0.44694E+00  0.44710E+00  0.44845E+00  0.44938E+00  0.46333E+00  0.47837E+00  0.47879E+00  0.49388E+00  0.52090E+00  0.52168E+00  0.54386E+00  0.55478E+00  0.56736E+00  0.58070E+00  0.59927E+00  0.61327E+00  0.65048E+00  0.67999E+00  0.70590E+00  0.70932E+00  0.72549E+00  0.74847E+00  0.74984E+00  0.75337E+00  0.75946E+00  0.76513E+00  0.77781E+00  0.77915E+00  0.78368E+00  0.78917E+00  0.79256E+00  0.80142E+00  0.80293E+00  0.84155E+00  0.87495E+00  0.92063E+00  0.95034E+00  0.95347E+00  0.98429E+00  0.10072E+01  0.10173E+01  0.10303E+01  0.10325E+01  0.10465E+01  0.10643E+01  0.11047E+01  0.11060E+01  0.11102E+01  0.11108E+01  0.11216E+01  0.11230E+01  0.11342E+01  0.11369E+01  0.11711E+01  0.11964E+01  0.11993E+01  0.12293E+01  0.12440E+01
