# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99011,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.16872E+00  0.19497E+00  0.19578E+00  0.19923E+00  0.19923E+00  0.20538E+00  0.20538E+00  0.21446E+00  0.59852E+00  0.61151E+00  0.61753E+00  0.63584E+00  0.65899E+00  0.66978E+00  0.67865E+00  0.68169E+00  0.68169E+00  0.68480E+00  0.68480E+00  0.69175E+00  0.69396E+00  0.69938E+00  0.71065E+00  0.71065E+00  0.71180E+00  0.71180E+00  0.71302E+00  0.71302E+00  0.71828E+00  0.71888E+00  0.73558E+00  0.73558E+00  0.75960E+00  0.75960E+00  0.77105E+00  0.77169E+00  0.77499E+00  0.77527E+00  0.77749E+00  0.78886E+00  0.81190E+00  0.81296E+00  0.81296E+00  0.81484E+00  0.81739E+00  0.82446E+00  0.82446E+00  0.82652E+00  0.82652E+00  0.83627E+00  0.96005E+00  0.10162E+01  0.10446E+01  0.11410E+01  0.11511E+01  0.11694E+01  0.12727E+01  0.12727E+01  0.12961E+01  0.12961E+01  0.13191E+01  0.13268E+01  0.13277E+01  0.13297E+01  0.13333E+01  0.13341E+01  0.13373E+01  0.13464E+01  0.13464E+01  0.13532E+01  0.13532E+01  0.13584E+01  0.13584E+01  0.14027E+01  0.14027E+01  0.14157E+01  0.14157E+01  0.14177E+01  0.14178E+01  0.14186E+01  0.14220E+01  0.14220E+01  0.14457E+01  0.14672E+01  0.14687E+01  0.15017E+01  0.15057E+01  0.15057E+01  0.15539E+01  0.15546E+01  0.16214E+01  0.16236E+01  0.16361E+01  0.16361E+01  0.16400E+01  0.16400E+01  0.16586E+01  0.16729E+01  0.16740E+01  0.16769E+01  0.16769E+01  0.16844E+01  0.16844E+01  0.17071E+01  0.17423E+01  0.17423E+01  0.17457E+01  0.17655E+01  0.17655E+01  0.18670E+01  0.18834E+01  0.18834E+01  0.18863E+01  0.18863E+01  0.19422E+01  0.19425E+01  0.19903E+01  0.20072E+01  0.20344E+01  0.20366E+01  0.20366E+01  0.20378E+01  0.20385E+01  0.20926E+01  0.20926E+01  0.20945E+01  0.20945E+01  0.21006E+01  0.21114E+01  0.21293E+01  0.21958E+01  0.21958E+01  0.21964E+01  0.21966E+01
  0.16279E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.16878E+00  0.19469E+00  0.19560E+00  0.19925E+00  0.19969E+00  0.20534E+00  0.20535E+00  0.21444E+00  0.59861E+00  0.61169E+00  0.61753E+00  0.63595E+00  0.65900E+00  0.66971E+00  0.67856E+00  0.68171E+00  0.68174E+00  0.68479E+00  0.68483E+00  0.69163E+00  0.69394E+00  0.69938E+00  0.71058E+00  0.71066E+00  0.71170E+00  0.71180E+00  0.71277E+00  0.71316E+00  0.71811E+00  0.71893E+00  0.73456E+00  0.73552E+00  0.75959E+00  0.75973E+00  0.77105E+00  0.77288E+00  0.77508E+00  0.77540E+00  0.77755E+00  0.78883E+00  0.81188E+00  0.81287E+00  0.81300E+00  0.81488E+00  0.81742E+00  0.82438E+00  0.82443E+00  0.82644E+00  0.82647E+00  0.83618E+00  0.96033E+00  0.10166E+01  0.10443E+01  0.11407E+01  0.11507E+01  0.11693E+01  0.12727E+01  0.12733E+01  0.12960E+01  0.12961E+01  0.13192E+01  0.13269E+01  0.13277E+01  0.13298E+01  0.13333E+01  0.13341E+01  0.13373E+01  0.13463E+01  0.13464E+01  0.13527E+01  0.13530E+01  0.13581E+01  0.13586E+01  0.14026E+01  0.14028E+01  0.14157E+01  0.14157E+01  0.14175E+01  0.14176E+01  0.14189E+01  0.14219E+01  0.14221E+01  0.14463E+01  0.14669E+01  0.14684E+01  0.15019E+01  0.15052E+01  0.15060E+01  0.15527E+01  0.15544E+01  0.16181E+01  0.16207E+01  0.16374E+01  0.16389E+01  0.16404E+01  0.16420E+01  0.16587E+01  0.16736E+01  0.16752E+01  0.16773E+01  0.16777E+01  0.16826E+01  0.16849E+01  0.17087E+01  0.17425E+01  0.17426E+01  0.17454E+01  0.17653E+01  0.17654E+01  0.18626E+01  0.18838E+01  0.18838E+01  0.18856E+01  0.18913E+01  0.19426E+01  0.19431E+01  0.19883E+01  0.20074E+01  0.20351E+01  0.20369E+01  0.20369E+01  0.20373E+01  0.20376E+01  0.20923E+01  0.20928E+01  0.20930E+01  0.20945E+01  0.20991E+01  0.21111E+01  0.21292E+01  0.21948E+01  0.21960E+01  0.21968E+01  0.21985E+01
  0.32558E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.16896E+00  0.19371E+00  0.19556E+00  0.19931E+00  0.20067E+00  0.20522E+00  0.20528E+00  0.21439E+00  0.59887E+00  0.61220E+00  0.61756E+00  0.63628E+00  0.65902E+00  0.66949E+00  0.67834E+00  0.68174E+00  0.68187E+00  0.68476E+00  0.68492E+00  0.69127E+00  0.69387E+00  0.69937E+00  0.71036E+00  0.71067E+00  0.71141E+00  0.71179E+00  0.71207E+00  0.71357E+00  0.71754E+00  0.71906E+00  0.73192E+00  0.73533E+00  0.75970E+00  0.76011E+00  0.77107E+00  0.77525E+00  0.77586E+00  0.77597E+00  0.77772E+00  0.78872E+00  0.81177E+00  0.81262E+00  0.81314E+00  0.81500E+00  0.81750E+00  0.82415E+00  0.82434E+00  0.82620E+00  0.82631E+00  0.83588E+00  0.96116E+00  0.10178E+01  0.10435E+01  0.11396E+01  0.11499E+01  0.11689E+01  0.12729E+01  0.12749E+01  0.12955E+01  0.12960E+01  0.13194E+01  0.13272E+01  0.13279E+01  0.13300E+01  0.13333E+01  0.13340E+01  0.13372E+01  0.13462E+01  0.13465E+01  0.13513E+01  0.13526E+01  0.13573E+01  0.13591E+01  0.14025E+01  0.14032E+01  0.14155E+01  0.14157E+01  0.14166E+01  0.14170E+01  0.14197E+01  0.14217E+01  0.14224E+01  0.14480E+01  0.14659E+01  0.14675E+01  0.15024E+01  0.15035E+01  0.15069E+01  0.15487E+01  0.15543E+01  0.16109E+01  0.16158E+01  0.16344E+01  0.16425E+01  0.16463E+01  0.16481E+01  0.16591E+01  0.16751E+01  0.16782E+01  0.16785E+01  0.16791E+01  0.16801E+01  0.16861E+01  0.17123E+01  0.17428E+01  0.17433E+01  0.17445E+01  0.17644E+01  0.17649E+01  0.18543E+01  0.18833E+01  0.18849E+01  0.18852E+01  0.19011E+01  0.19435E+01  0.19451E+01  0.19826E+01  0.20082E+01  0.20341E+01  0.20349E+01  0.20370E+01  0.20380E+01  0.20394E+01  0.20893E+01  0.20913E+01  0.20933E+01  0.20944E+01  0.20946E+01  0.21101E+01  0.21291E+01  0.21911E+01  0.21964E+01  0.21984E+01  0.22048E+01
  0.48836E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.16925E+00  0.19240E+00  0.19570E+00  0.19942E+00  0.20181E+00  0.20503E+00  0.20517E+00  0.21430E+00  0.59930E+00  0.61297E+00  0.61769E+00  0.63682E+00  0.65904E+00  0.66907E+00  0.67804E+00  0.68180E+00  0.68208E+00  0.68471E+00  0.68506E+00  0.69071E+00  0.69374E+00  0.69935E+00  0.71002E+00  0.71069E+00  0.71094E+00  0.71099E+00  0.71177E+00  0.71422E+00  0.71630E+00  0.71923E+00  0.72863E+00  0.73501E+00  0.76009E+00  0.76071E+00  0.77110E+00  0.77548E+00  0.77669E+00  0.77798E+00  0.78009E+00  0.78851E+00  0.81145E+00  0.81238E+00  0.81336E+00  0.81520E+00  0.81763E+00  0.82378E+00  0.82420E+00  0.82581E+00  0.82605E+00  0.83540E+00  0.96256E+00  0.10197E+01  0.10423E+01  0.11374E+01  0.11491E+01  0.11683E+01  0.12731E+01  0.12775E+01  0.12947E+01  0.12959E+01  0.13197E+01  0.13275E+01  0.13282E+01  0.13305E+01  0.13335E+01  0.13339E+01  0.13371E+01  0.13459E+01  0.13466E+01  0.13489E+01  0.13519E+01  0.13561E+01  0.13599E+01  0.14023E+01  0.14039E+01  0.14152E+01  0.14152E+01  0.14156E+01  0.14160E+01  0.14209E+01  0.14213E+01  0.14229E+01  0.14508E+01  0.14640E+01  0.14663E+01  0.15009E+01  0.15033E+01  0.15083E+01  0.15428E+01  0.15542E+01  0.16031E+01  0.16101E+01  0.16294E+01  0.16486E+01  0.16516E+01  0.16564E+01  0.16596E+01  0.16726E+01  0.16778E+01  0.16805E+01  0.16840E+01  0.16844E+01  0.16881E+01  0.17167E+01  0.17431E+01  0.17433E+01  0.17445E+01  0.17631E+01  0.17642E+01  0.18456E+01  0.18796E+01  0.18868E+01  0.18875E+01  0.19123E+01  0.19447E+01  0.19485E+01  0.19738E+01  0.20094E+01  0.20288E+01  0.20304E+01  0.20399E+01  0.20401E+01  0.20423E+01  0.20855E+01  0.20867E+01  0.20895E+01  0.20941E+01  0.20947E+01  0.21081E+01  0.21294E+01  0.21852E+01  0.21968E+01  0.22013E+01  0.22082E+01
  0.65115E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.16966E+00  0.19098E+00  0.19592E+00  0.19957E+00  0.20296E+00  0.20477E+00  0.20501E+00  0.21418E+00  0.59989E+00  0.61375E+00  0.61815E+00  0.63758E+00  0.65903E+00  0.66841E+00  0.67775E+00  0.68189E+00  0.68238E+00  0.68464E+00  0.68525E+00  0.68998E+00  0.69355E+00  0.69932E+00  0.70956E+00  0.70963E+00  0.71032E+00  0.71072E+00  0.71174E+00  0.71392E+00  0.71507E+00  0.71940E+00  0.72577E+00  0.73457E+00  0.76079E+00  0.76150E+00  0.77113E+00  0.77577E+00  0.77782E+00  0.77832E+00  0.78464E+00  0.78816E+00  0.81076E+00  0.81230E+00  0.81367E+00  0.81549E+00  0.81782E+00  0.82331E+00  0.82401E+00  0.82528E+00  0.82568E+00  0.83474E+00  0.96450E+00  0.10222E+01  0.10406E+01  0.11339E+01  0.11486E+01  0.11674E+01  0.12734E+01  0.12809E+01  0.12937E+01  0.12959E+01  0.13202E+01  0.13278E+01  0.13286E+01  0.13310E+01  0.13337E+01  0.13338E+01  0.13371E+01  0.13454E+01  0.13458E+01  0.13468E+01  0.13510E+01  0.13546E+01  0.13611E+01  0.14020E+01  0.14049E+01  0.14133E+01  0.14147E+01  0.14148E+01  0.14156E+01  0.14207E+01  0.14226E+01  0.14236E+01  0.14546E+01  0.14614E+01  0.14648E+01  0.14974E+01  0.15045E+01  0.15102E+01  0.15357E+01  0.15539E+01  0.15951E+01  0.16041E+01  0.16240E+01  0.16548E+01  0.16571E+01  0.16603E+01  0.16649E+01  0.16665E+01  0.16826E+01  0.16832E+01  0.16893E+01  0.16902E+01  0.16908E+01  0.17211E+01  0.17410E+01  0.17439E+01  0.17461E+01  0.17612E+01  0.17632E+01  0.18370E+01  0.18744E+01  0.18894E+01  0.18904E+01  0.19243E+01  0.19460E+01  0.19532E+01  0.19627E+01  0.20110E+01  0.20207E+01  0.20246E+01  0.20424E+01  0.20445E+01  0.20458E+01  0.20764E+01  0.20833E+01  0.20871E+01  0.20947E+01  0.20950E+01  0.21048E+01  0.21306E+01  0.21777E+01  0.21975E+01  0.22023E+01  0.22053E+01
  0.81394E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.17017E+00  0.18949E+00  0.19621E+00  0.19976E+00  0.20409E+00  0.20444E+00  0.20482E+00  0.21401E+00  0.60062E+00  0.61422E+00  0.61926E+00  0.63854E+00  0.65895E+00  0.66744E+00  0.67756E+00  0.68199E+00  0.68274E+00  0.68455E+00  0.68548E+00  0.68912E+00  0.69326E+00  0.69927E+00  0.70810E+00  0.70901E+00  0.70959E+00  0.71027E+00  0.71075E+00  0.71170E+00  0.71608E+00  0.71957E+00  0.72392E+00  0.73402E+00  0.76177E+00  0.76243E+00  0.77116E+00  0.77613E+00  0.77870E+00  0.77923E+00  0.78762E+00  0.78925E+00  0.80979E+00  0.81234E+00  0.81407E+00  0.81587E+00  0.81807E+00  0.82276E+00  0.82376E+00  0.82460E+00  0.82523E+00  0.83391E+00  0.96698E+00  0.10251E+01  0.10387E+01  0.11292E+01  0.11486E+01  0.11664E+01  0.12738E+01  0.12848E+01  0.12925E+01  0.12960E+01  0.13208E+01  0.13280E+01  0.13291E+01  0.13317E+01  0.13336E+01  0.13343E+01  0.13370E+01  0.13421E+01  0.13449E+01  0.13469E+01  0.13498E+01  0.13529E+01  0.13626E+01  0.14017E+01  0.14061E+01  0.14109E+01  0.14132E+01  0.14145E+01  0.14155E+01  0.14201E+01  0.14244E+01  0.14245E+01  0.14583E+01  0.14593E+01  0.14631E+01  0.14933E+01  0.15061E+01  0.15126E+01  0.15282E+01  0.15532E+01  0.15873E+01  0.15978E+01  0.16188E+01  0.16596E+01  0.16597E+01  0.16616E+01  0.16628E+01  0.16734E+01  0.16865E+01  0.16904E+01  0.16941E+01  0.16960E+01  0.16963E+01  0.17251E+01  0.17385E+01  0.17447E+01  0.17481E+01  0.17589E+01  0.17621E+01  0.18288E+01  0.18678E+01  0.18928E+01  0.18939E+01  0.19369E+01  0.19472E+01  0.19498E+01  0.19590E+01  0.20105E+01  0.20130E+01  0.20174E+01  0.20456E+01  0.20498E+01  0.20500E+01  0.20637E+01  0.20830E+01  0.20841E+01  0.20949E+01  0.20955E+01  0.21000E+01  0.21328E+01  0.21690E+01  0.21950E+01  0.21984E+01  0.22106E+01
  0.97673E-01 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.17080E+00  0.18799E+00  0.19657E+00  0.19998E+00  0.20405E+00  0.20458E+00  0.20517E+00  0.21380E+00  0.60147E+00  0.61424E+00  0.62112E+00  0.63970E+00  0.65874E+00  0.66616E+00  0.67752E+00  0.68211E+00  0.68317E+00  0.68444E+00  0.68573E+00  0.68818E+00  0.69286E+00  0.69918E+00  0.70590E+00  0.70650E+00  0.70839E+00  0.70880E+00  0.71080E+00  0.71166E+00  0.71720E+00  0.71973E+00  0.72288E+00  0.73335E+00  0.76298E+00  0.76346E+00  0.77117E+00  0.77654E+00  0.77909E+00  0.78086E+00  0.78687E+00  0.79371E+00  0.80857E+00  0.81248E+00  0.81454E+00  0.81632E+00  0.81839E+00  0.82214E+00  0.82347E+00  0.82381E+00  0.82469E+00  0.83293E+00  0.96998E+00  0.10276E+01  0.10374E+01  0.11235E+01  0.11488E+01  0.11652E+01  0.12743E+01  0.12891E+01  0.12912E+01  0.12963E+01  0.13215E+01  0.13278E+01  0.13298E+01  0.13325E+01  0.13332E+01  0.13352E+01  0.13370E+01  0.13380E+01  0.13443E+01  0.13471E+01  0.13485E+01  0.13510E+01  0.13643E+01  0.14014E+01  0.14077E+01  0.14082E+01  0.14115E+01  0.14144E+01  0.14154E+01  0.14195E+01  0.14253E+01  0.14266E+01  0.14547E+01  0.14610E+01  0.14648E+01  0.14889E+01  0.15081E+01  0.15156E+01  0.15204E+01  0.15518E+01  0.15797E+01  0.15914E+01  0.16142E+01  0.16536E+01  0.16622E+01  0.16628E+01  0.16684E+01  0.16817E+01  0.16903E+01  0.16979E+01  0.17011E+01  0.17023E+01  0.17038E+01  0.17286E+01  0.17355E+01  0.17456E+01  0.17506E+01  0.17560E+01  0.17610E+01  0.18210E+01  0.18599E+01  0.18969E+01  0.18975E+01  0.19358E+01  0.19481E+01  0.19500E+01  0.19658E+01  0.19993E+01  0.20092E+01  0.20154E+01  0.20492E+01  0.20498E+01  0.20541E+01  0.20566E+01  0.20804E+01  0.20845E+01  0.20941E+01  0.20944E+01  0.20963E+01  0.21363E+01  0.21595E+01  0.21864E+01  0.21996E+01  0.22172E+01
  0.11395E+00 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.17154E+00  0.18647E+00  0.19697E+00  0.20024E+00  0.20361E+00  0.20432E+00  0.20620E+00  0.21355E+00  0.60243E+00  0.61394E+00  0.62360E+00  0.64104E+00  0.65830E+00  0.66459E+00  0.67766E+00  0.68226E+00  0.68365E+00  0.68432E+00  0.68598E+00  0.68718E+00  0.69230E+00  0.69880E+00  0.70167E+00  0.70495E+00  0.70773E+00  0.70798E+00  0.71084E+00  0.71161E+00  0.71842E+00  0.71989E+00  0.72226E+00  0.73258E+00  0.76440E+00  0.76452E+00  0.77115E+00  0.77700E+00  0.77945E+00  0.78269E+00  0.78588E+00  0.79790E+00  0.80716E+00  0.81271E+00  0.81508E+00  0.81686E+00  0.81880E+00  0.82147E+00  0.82291E+00  0.82313E+00  0.82408E+00  0.83183E+00  0.97347E+00  0.10276E+01  0.10386E+01  0.11172E+01  0.11494E+01  0.11639E+01  0.12749E+01  0.12897E+01  0.12936E+01  0.12968E+01  0.13223E+01  0.13273E+01  0.13305E+01  0.13328E+01  0.13333E+01  0.13335E+01  0.13364E+01  0.13371E+01  0.13437E+01  0.13471E+01  0.13472E+01  0.13492E+01  0.13664E+01  0.14011E+01  0.14052E+01  0.14095E+01  0.14098E+01  0.14144E+01  0.14154E+01  0.14188E+01  0.14261E+01  0.14288E+01  0.14508E+01  0.14588E+01  0.14710E+01  0.14845E+01  0.15106E+01  0.15127E+01  0.15190E+01  0.15496E+01  0.15723E+01  0.15850E+01  0.16107E+01  0.16474E+01  0.16631E+01  0.16648E+01  0.16740E+01  0.16897E+01  0.16946E+01  0.17020E+01  0.17080E+01  0.17126E+01  0.17140E+01  0.17315E+01  0.17321E+01  0.17466E+01  0.17527E+01  0.17534E+01  0.17597E+01  0.18136E+01  0.18507E+01  0.18999E+01  0.19016E+01  0.19222E+01  0.19483E+01  0.19634E+01  0.19735E+01  0.19881E+01  0.20002E+01  0.20182E+01  0.20339E+01  0.20541E+01  0.20588E+01  0.20642E+01  0.20761E+01  0.20871E+01  0.20875E+01  0.20926E+01  0.20972E+01  0.21410E+01  0.21497E+01  0.21772E+01  0.22012E+01  0.22242E+01
  0.13023E+00 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.17237E+00  0.18496E+00  0.19743E+00  0.20053E+00  0.20311E+00  0.20402E+00  0.20716E+00  0.21326E+00  0.60348E+00  0.61343E+00  0.62653E+00  0.64256E+00  0.65751E+00  0.66279E+00  0.67796E+00  0.68241E+00  0.68415E+00  0.68418E+00  0.68615E+00  0.68622E+00  0.69158E+00  0.69635E+00  0.69982E+00  0.70355E+00  0.70708E+00  0.70718E+00  0.71090E+00  0.71156E+00  0.71969E+00  0.72003E+00  0.72185E+00  0.73171E+00  0.76559E+00  0.76601E+00  0.77110E+00  0.77748E+00  0.77975E+00  0.78465E+00  0.78467E+00  0.80174E+00  0.80557E+00  0.81306E+00  0.81569E+00  0.81745E+00  0.81930E+00  0.82074E+00  0.82193E+00  0.82275E+00  0.82340E+00  0.83062E+00  0.97741E+00  0.10249E+01  0.10427E+01  0.11104E+01  0.11501E+01  0.11625E+01  0.12756E+01  0.12881E+01  0.12977E+01  0.12981E+01  0.13232E+01  0.13264E+01  0.13290E+01  0.13314E+01  0.13323E+01  0.13342E+01  0.13373E+01  0.13378E+01  0.13429E+01  0.13455E+01  0.13472E+01  0.13473E+01  0.13688E+01  0.14009E+01  0.14019E+01  0.14081E+01  0.14116E+01  0.14148E+01  0.14153E+01  0.14181E+01  0.14268E+01  0.14312E+01  0.14467E+01  0.14564E+01  0.14775E+01  0.14806E+01  0.15053E+01  0.15134E+01  0.15229E+01  0.15463E+01  0.15651E+01  0.15786E+01  0.16084E+01  0.16412E+01  0.16641E+01  0.16661E+01  0.16795E+01  0.16972E+01  0.16994E+01  0.17061E+01  0.17134E+01  0.17223E+01  0.17283E+01  0.17284E+01  0.17337E+01  0.17477E+01  0.17490E+01  0.17566E+01  0.17585E+01  0.18066E+01  0.18405E+01  0.18953E+01  0.19070E+01  0.19151E+01  0.19479E+01  0.19771E+01  0.19778E+01  0.19819E+01  0.19907E+01  0.20181E+01  0.20214E+01  0.20593E+01  0.20636E+01  0.20712E+01  0.20727E+01  0.20793E+01  0.20891E+01  0.20916E+01  0.20979E+01  0.21398E+01  0.21468E+01  0.21676E+01  0.22032E+01  0.22053E+01
  0.14651E+00 -0.32562E+01 -0.32562E+01 -0.32066E+01 -0.32066E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.18368E+01 -0.17935E+01 -0.17935E+01 -0.17772E+01 -0.17772E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01 -0.17648E+01  0.17330E+00  0.18347E+00  0.19794E+00  0.20084E+00  0.20258E+00  0.20370E+00  0.20806E+00  0.21291E+00  0.60458E+00  0.61278E+00  0.62982E+00  0.64424E+00  0.65620E+00  0.66081E+00  0.67841E+00  0.68258E+00  0.68402E+00  0.68467E+00  0.68512E+00  0.68642E+00  0.69069E+00  0.69293E+00  0.69961E+00  0.70238E+00  0.70646E+00  0.70646E+00  0.71096E+00  0.71150E+00  0.72018E+00  0.72099E+00  0.72156E+00  0.73075E+00  0.76661E+00  0.76777E+00  0.77099E+00  0.77798E+00  0.77996E+00  0.78318E+00  0.78676E+00  0.80381E+00  0.80519E+00  0.81352E+00  0.81636E+00  0.81807E+00  0.81992E+00  0.81993E+00  0.82089E+00  0.82233E+00  0.82266E+00  0.82932E+00  0.98175E+00  0.10211E+01  0.10480E+01  0.11034E+01  0.11509E+01  0.11611E+01  0.12764E+01  0.12866E+01  0.12990E+01  0.13025E+01  0.13241E+01  0.13244E+01  0.13253E+01  0.13316E+01  0.13324E+01  0.13351E+01  0.13376E+01  0.13393E+01  0.13422E+01  0.13439E+01  0.13456E+01  0.13471E+01  0.13715E+01  0.13984E+01  0.14008E+01  0.14065E+01  0.14140E+01  0.14153E+01  0.14156E+01  0.14175E+01  0.14272E+01  0.14336E+01  0.14425E+01  0.14539E+01  0.14769E+01  0.14850E+01  0.14983E+01  0.15167E+01  0.15272E+01  0.15418E+01  0.15583E+01  0.15722E+01  0.16075E+01  0.16354E+01  0.16649E+01  0.16669E+01  0.16850E+01  0.17039E+01  0.17044E+01  0.17101E+01  0.17184E+01  0.17244E+01  0.17329E+01  0.17350E+01  0.17437E+01  0.17449E+01  0.17487E+01  0.17573E+01  0.17601E+01  0.18000E+01  0.18295E+01  0.18812E+01  0.19130E+01  0.19169E+01  0.19466E+01  0.19692E+01  0.19810E+01  0.19910E+01  0.19910E+01  0.20029E+01  0.20250E+01  0.20651E+01  0.20660E+01  0.20669E+01  0.20726E+01  0.20820E+01  0.20838E+01  0.20965E+01  0.20982E+01  0.21300E+01  0.21539E+01  0.21581E+01  0.21873E+01  0.22058E+01
