# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99011,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.16875E+00  0.19543E+00  0.19590E+00  0.19656E+00  0.19981E+00  0.20599E+00  0.20940E+00  0.21623E+00  0.58829E+00  0.61089E+00  0.61328E+00  0.63384E+00  0.66934E+00  0.67117E+00  0.67469E+00  0.67718E+00  0.67851E+00  0.68130E+00  0.68803E+00  0.68913E+00  0.69255E+00  0.69417E+00  0.69578E+00  0.70770E+00  0.70829E+00  0.70889E+00  0.71343E+00  0.71351E+00  0.71599E+00  0.71920E+00  0.73331E+00  0.73510E+00  0.73879E+00  0.76015E+00  0.76025E+00  0.76887E+00  0.77498E+00  0.77575E+00  0.77870E+00  0.81108E+00  0.81260E+00  0.81271E+00  0.81596E+00  0.81600E+00  0.82006E+00  0.82551E+00  0.82590E+00  0.82641E+00  0.82776E+00  0.83715E+00  0.95362E+00  0.10153E+01  0.10410E+01  0.11456E+01  0.11476E+01  0.11699E+01  0.12726E+01  0.12727E+01  0.12953E+01  0.12957E+01  0.13179E+01  0.13269E+01  0.13275E+01  0.13300E+01  0.13335E+01  0.13352E+01  0.13353E+01  0.13467E+01  0.13467E+01  0.13532E+01  0.13532E+01  0.13584E+01  0.13584E+01  0.14029E+01  0.14029E+01  0.14157E+01  0.14158E+01  0.14176E+01  0.14180E+01  0.14180E+01  0.14214E+01  0.14222E+01  0.14454E+01  0.14675E+01  0.14676E+01  0.15020E+01  0.15053E+01  0.15055E+01  0.15534E+01  0.15536E+01  0.16221E+01  0.16222E+01  0.16354E+01  0.16356E+01  0.16394E+01  0.16395E+01  0.16579E+01  0.16729E+01  0.16733E+01  0.16759E+01  0.16761E+01  0.16838E+01  0.16838E+01  0.17064E+01  0.17419E+01  0.17420E+01  0.17453E+01  0.17647E+01  0.17649E+01  0.18672E+01  0.18836E+01  0.18838E+01  0.18856E+01  0.18856E+01  0.19407E+01  0.19445E+01  0.19901E+01  0.20075E+01  0.20344E+01  0.20359E+01  0.20361E+01  0.20383E+01  0.20384E+01  0.20928E+01  0.20929E+01  0.20947E+01  0.20948E+01  0.20997E+01  0.21101E+01  0.21289E+01  0.21958E+01  0.21959E+01  0.21962E+01  0.21963E+01
  0.16279E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.16881E+00  0.19502E+00  0.19593E+00  0.19657E+00  0.20018E+00  0.20595E+00  0.20939E+00  0.21622E+00  0.58830E+00  0.61109E+00  0.61339E+00  0.63395E+00  0.66937E+00  0.67100E+00  0.67470E+00  0.67700E+00  0.67855E+00  0.68133E+00  0.68803E+00  0.68902E+00  0.69255E+00  0.69417E+00  0.69577E+00  0.70761E+00  0.70823E+00  0.70901E+00  0.71140E+00  0.71502E+00  0.71599E+00  0.71920E+00  0.73362E+00  0.73457E+00  0.73874E+00  0.76035E+00  0.76036E+00  0.76889E+00  0.77502E+00  0.77592E+00  0.77875E+00  0.81112E+00  0.81248E+00  0.81270E+00  0.81600E+00  0.81604E+00  0.82075E+00  0.82522E+00  0.82587E+00  0.82634E+00  0.82772E+00  0.83705E+00  0.95371E+00  0.10157E+01  0.10409E+01  0.11449E+01  0.11475E+01  0.11698E+01  0.12726E+01  0.12733E+01  0.12953E+01  0.12956E+01  0.13180E+01  0.13270E+01  0.13275E+01  0.13301E+01  0.13335E+01  0.13352E+01  0.13353E+01  0.13467E+01  0.13467E+01  0.13527E+01  0.13531E+01  0.13581E+01  0.13585E+01  0.14029E+01  0.14030E+01  0.14157E+01  0.14157E+01  0.14177E+01  0.14178E+01  0.14179E+01  0.14215E+01  0.14221E+01  0.14460E+01  0.14671E+01  0.14674E+01  0.15021E+01  0.15047E+01  0.15057E+01  0.15519E+01  0.15536E+01  0.16180E+01  0.16200E+01  0.16373E+01  0.16379E+01  0.16397E+01  0.16415E+01  0.16581E+01  0.16737E+01  0.16744E+01  0.16763E+01  0.16769E+01  0.16820E+01  0.16842E+01  0.17080E+01  0.17420E+01  0.17422E+01  0.17450E+01  0.17644E+01  0.17647E+01  0.18626E+01  0.18840E+01  0.18843E+01  0.18849E+01  0.18907E+01  0.19410E+01  0.19452E+01  0.19881E+01  0.20077E+01  0.20350E+01  0.20365E+01  0.20366E+01  0.20374E+01  0.20375E+01  0.20925E+01  0.20931E+01  0.20932E+01  0.20948E+01  0.20981E+01  0.21097E+01  0.21289E+01  0.21945E+01  0.21964E+01  0.21968E+01  0.21982E+01
  0.32558E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.16898E+00  0.19404E+00  0.19603E+00  0.19660E+00  0.20101E+00  0.20583E+00  0.20935E+00  0.21619E+00  0.58834E+00  0.61171E+00  0.61371E+00  0.63426E+00  0.66947E+00  0.67048E+00  0.67471E+00  0.67644E+00  0.67867E+00  0.68142E+00  0.68803E+00  0.68870E+00  0.69255E+00  0.69417E+00  0.69573E+00  0.70733E+00  0.70805E+00  0.70889E+00  0.70934E+00  0.71599E+00  0.71611E+00  0.71921E+00  0.73307E+00  0.73447E+00  0.73861E+00  0.76063E+00  0.76099E+00  0.76896E+00  0.77515E+00  0.77640E+00  0.77891E+00  0.81123E+00  0.81214E+00  0.81270E+00  0.81609E+00  0.81616E+00  0.82276E+00  0.82438E+00  0.82580E+00  0.82611E+00  0.82758E+00  0.83676E+00  0.95399E+00  0.10168E+01  0.10405E+01  0.11428E+01  0.11475E+01  0.11696E+01  0.12728E+01  0.12749E+01  0.12951E+01  0.12952E+01  0.13182E+01  0.13272E+01  0.13277E+01  0.13304E+01  0.13336E+01  0.13351E+01  0.13353E+01  0.13465E+01  0.13468E+01  0.13513E+01  0.13527E+01  0.13573E+01  0.13591E+01  0.14028E+01  0.14035E+01  0.14155E+01  0.14157E+01  0.14168E+01  0.14171E+01  0.14187E+01  0.14218E+01  0.14219E+01  0.14477E+01  0.14659E+01  0.14667E+01  0.15026E+01  0.15031E+01  0.15066E+01  0.15478E+01  0.15536E+01  0.16106E+01  0.16154E+01  0.16340E+01  0.16417E+01  0.16459E+01  0.16474E+01  0.16585E+01  0.16750E+01  0.16767E+01  0.16775E+01  0.16793E+01  0.16793E+01  0.16855E+01  0.17116E+01  0.17423E+01  0.17429E+01  0.17441E+01  0.17636E+01  0.17642E+01  0.18542E+01  0.18826E+01  0.18852E+01  0.18857E+01  0.19006E+01  0.19419E+01  0.19472E+01  0.19824E+01  0.20085E+01  0.20345E+01  0.20348E+01  0.20369E+01  0.20376E+01  0.20387E+01  0.20895E+01  0.20915E+01  0.20935E+01  0.20936E+01  0.20948E+01  0.21084E+01  0.21290E+01  0.21908E+01  0.21966E+01  0.21985E+01  0.22045E+01
  0.48836E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.16926E+00  0.19281E+00  0.19621E+00  0.19665E+00  0.20200E+00  0.20564E+00  0.20930E+00  0.21615E+00  0.58840E+00  0.61274E+00  0.61425E+00  0.63479E+00  0.66963E+00  0.66964E+00  0.67472E+00  0.67549E+00  0.67886E+00  0.68156E+00  0.68802E+00  0.68820E+00  0.69255E+00  0.69416E+00  0.69568E+00  0.70602E+00  0.70689E+00  0.70775E+00  0.70987E+00  0.71599E+00  0.71683E+00  0.71921E+00  0.73083E+00  0.73566E+00  0.73840E+00  0.76107E+00  0.76203E+00  0.76907E+00  0.77537E+00  0.77720E+00  0.77915E+00  0.81141E+00  0.81156E+00  0.81271E+00  0.81624E+00  0.81636E+00  0.82301E+00  0.82567E+00  0.82573E+00  0.82584E+00  0.82736E+00  0.83628E+00  0.95441E+00  0.10187E+01  0.10398E+01  0.11394E+01  0.11475E+01  0.11691E+01  0.12730E+01  0.12775E+01  0.12944E+01  0.12952E+01  0.13185E+01  0.13276E+01  0.13280E+01  0.13308E+01  0.13337E+01  0.13348E+01  0.13354E+01  0.13462E+01  0.13469E+01  0.13490E+01  0.13520E+01  0.13561E+01  0.13599E+01  0.14026E+01  0.14041E+01  0.14152E+01  0.14154E+01  0.14156E+01  0.14162E+01  0.14200E+01  0.14214E+01  0.14223E+01  0.14505E+01  0.14639E+01  0.14657E+01  0.15004E+01  0.15035E+01  0.15080E+01  0.15419E+01  0.15535E+01  0.16027E+01  0.16098E+01  0.16290E+01  0.16478E+01  0.16512E+01  0.16557E+01  0.16591E+01  0.16717E+01  0.16776E+01  0.16795E+01  0.16832E+01  0.16840E+01  0.16875E+01  0.17160E+01  0.17426E+01  0.17428E+01  0.17441E+01  0.17623E+01  0.17635E+01  0.18454E+01  0.18789E+01  0.18871E+01  0.18879E+01  0.19119E+01  0.19433E+01  0.19505E+01  0.19736E+01  0.20097E+01  0.20290E+01  0.20305E+01  0.20394E+01  0.20400E+01  0.20417E+01  0.20856E+01  0.20860E+01  0.20898E+01  0.20943E+01  0.20949E+01  0.21061E+01  0.21295E+01  0.21849E+01  0.21971E+01  0.22014E+01  0.22079E+01
  0.65115E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.16964E+00  0.19146E+00  0.19644E+00  0.19672E+00  0.20301E+00  0.20538E+00  0.20923E+00  0.21610E+00  0.58848E+00  0.61418E+00  0.61497E+00  0.63551E+00  0.66851E+00  0.66985E+00  0.67410E+00  0.67474E+00  0.67911E+00  0.68175E+00  0.68755E+00  0.68802E+00  0.69255E+00  0.69416E+00  0.69560E+00  0.70294E+00  0.70630E+00  0.70736E+00  0.71055E+00  0.71599E+00  0.71729E+00  0.71921E+00  0.72813E+00  0.73700E+00  0.73812E+00  0.76164E+00  0.76346E+00  0.76922E+00  0.77565E+00  0.77828E+00  0.77947E+00  0.81077E+00  0.81166E+00  0.81273E+00  0.81644E+00  0.81665E+00  0.82117E+00  0.82521E+00  0.82549E+00  0.82706E+00  0.82973E+00  0.83562E+00  0.95493E+00  0.10214E+01  0.10389E+01  0.11350E+01  0.11474E+01  0.11685E+01  0.12733E+01  0.12809E+01  0.12934E+01  0.12952E+01  0.13190E+01  0.13279E+01  0.13284E+01  0.13314E+01  0.13340E+01  0.13345E+01  0.13355E+01  0.13458E+01  0.13459E+01  0.13471E+01  0.13511E+01  0.13546E+01  0.13611E+01  0.14023E+01  0.14051E+01  0.14135E+01  0.14148E+01  0.14149E+01  0.14155E+01  0.14209E+01  0.14216E+01  0.14230E+01  0.14543E+01  0.14612E+01  0.14643E+01  0.14969E+01  0.15047E+01  0.15099E+01  0.15348E+01  0.15532E+01  0.15948E+01  0.16037E+01  0.16235E+01  0.16539E+01  0.16567E+01  0.16600E+01  0.16642E+01  0.16656E+01  0.16821E+01  0.16824E+01  0.16885E+01  0.16898E+01  0.16903E+01  0.17204E+01  0.17406E+01  0.17435E+01  0.17457E+01  0.17604E+01  0.17626E+01  0.18368E+01  0.18737E+01  0.18897E+01  0.18908E+01  0.19240E+01  0.19448E+01  0.19549E+01  0.19626E+01  0.20113E+01  0.20208E+01  0.20247E+01  0.20419E+01  0.20444E+01  0.20452E+01  0.20755E+01  0.20834E+01  0.20874E+01  0.20949E+01  0.20952E+01  0.21025E+01  0.21308E+01  0.21774E+01  0.21977E+01  0.22021E+01  0.22054E+01
  0.81394E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.17013E+00  0.19005E+00  0.19675E+00  0.19679E+00  0.20399E+00  0.20505E+00  0.20914E+00  0.21603E+00  0.58857E+00  0.61586E+00  0.61603E+00  0.63642E+00  0.66711E+00  0.67013E+00  0.67224E+00  0.67476E+00  0.67943E+00  0.68199E+00  0.68680E+00  0.68801E+00  0.69255E+00  0.69415E+00  0.69551E+00  0.69976E+00  0.70561E+00  0.70689E+00  0.71133E+00  0.71599E+00  0.71759E+00  0.71922E+00  0.72527E+00  0.73777E+00  0.73831E+00  0.76229E+00  0.76525E+00  0.76941E+00  0.77600E+00  0.77961E+00  0.77984E+00  0.80976E+00  0.81196E+00  0.81279E+00  0.81669E+00  0.81703E+00  0.81893E+00  0.82456E+00  0.82527E+00  0.82669E+00  0.83411E+00  0.83480E+00  0.95551E+00  0.10248E+01  0.10378E+01  0.11297E+01  0.11474E+01  0.11679E+01  0.12737E+01  0.12848E+01  0.12922E+01  0.12953E+01  0.13196E+01  0.13281E+01  0.13289E+01  0.13321E+01  0.13341E+01  0.13345E+01  0.13356E+01  0.13422E+01  0.13453E+01  0.13472E+01  0.13499E+01  0.13528E+01  0.13626E+01  0.14020E+01  0.14063E+01  0.14111E+01  0.14134E+01  0.14145E+01  0.14155E+01  0.14203E+01  0.14235E+01  0.14238E+01  0.14580E+01  0.14591E+01  0.14625E+01  0.14928E+01  0.15063E+01  0.15123E+01  0.15272E+01  0.15525E+01  0.15870E+01  0.15975E+01  0.16183E+01  0.16583E+01  0.16593E+01  0.16613E+01  0.16623E+01  0.16726E+01  0.16855E+01  0.16902E+01  0.16937E+01  0.16951E+01  0.16958E+01  0.17245E+01  0.17380E+01  0.17443E+01  0.17478E+01  0.17580E+01  0.17615E+01  0.18286E+01  0.18670E+01  0.18930E+01  0.18942E+01  0.19366E+01  0.19457E+01  0.19502E+01  0.19605E+01  0.20105E+01  0.20133E+01  0.20175E+01  0.20452E+01  0.20492E+01  0.20499E+01  0.20630E+01  0.20832E+01  0.20843E+01  0.20952E+01  0.20957E+01  0.20977E+01  0.21331E+01  0.21686E+01  0.21948E+01  0.21986E+01  0.22107E+01
  0.97673E-01 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.17071E+00  0.18862E+00  0.19688E+00  0.19710E+00  0.20466E+00  0.20491E+00  0.20905E+00  0.21595E+00  0.58865E+00  0.61687E+00  0.61827E+00  0.63752E+00  0.66550E+00  0.66988E+00  0.67045E+00  0.67479E+00  0.67979E+00  0.68225E+00  0.68599E+00  0.68800E+00  0.69255E+00  0.69414E+00  0.69541E+00  0.69659E+00  0.70484E+00  0.70638E+00  0.71216E+00  0.71599E+00  0.71778E+00  0.71921E+00  0.72250E+00  0.73737E+00  0.73952E+00  0.76298E+00  0.76736E+00  0.76963E+00  0.77640E+00  0.78022E+00  0.78116E+00  0.80856E+00  0.81232E+00  0.81291E+00  0.81637E+00  0.81698E+00  0.81753E+00  0.82380E+00  0.82501E+00  0.82626E+00  0.83383E+00  0.83871E+00  0.95609E+00  0.10288E+01  0.10366E+01  0.11236E+01  0.11473E+01  0.11671E+01  0.12741E+01  0.12891E+01  0.12909E+01  0.12956E+01  0.13203E+01  0.13279E+01  0.13295E+01  0.13328E+01  0.13336E+01  0.13354E+01  0.13359E+01  0.13380E+01  0.13447E+01  0.13474E+01  0.13486E+01  0.13509E+01  0.13644E+01  0.14017E+01  0.14078E+01  0.14084E+01  0.14117E+01  0.14143E+01  0.14154E+01  0.14196E+01  0.14247E+01  0.14257E+01  0.14544E+01  0.14605E+01  0.14646E+01  0.14884E+01  0.15082E+01  0.15152E+01  0.15195E+01  0.15512E+01  0.15794E+01  0.15911E+01  0.16137E+01  0.16529E+01  0.16605E+01  0.16633E+01  0.16680E+01  0.16808E+01  0.16893E+01  0.16975E+01  0.17009E+01  0.17018E+01  0.17029E+01  0.17280E+01  0.17351E+01  0.17452E+01  0.17502E+01  0.17552E+01  0.17603E+01  0.18208E+01  0.18591E+01  0.18970E+01  0.18977E+01  0.19353E+01  0.19476E+01  0.19497E+01  0.19671E+01  0.19993E+01  0.20093E+01  0.20157E+01  0.20486E+01  0.20491E+01  0.20536E+01  0.20565E+01  0.20806E+01  0.20847E+01  0.20917E+01  0.20946E+01  0.20964E+01  0.21365E+01  0.21592E+01  0.21863E+01  0.21998E+01  0.22173E+01
  0.11395E+00 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.17139E+00  0.18720E+00  0.19697E+00  0.19752E+00  0.20422E+00  0.20574E+00  0.20895E+00  0.21585E+00  0.58873E+00  0.61795E+00  0.62089E+00  0.63878E+00  0.66372E+00  0.66703E+00  0.67080E+00  0.67481E+00  0.68018E+00  0.68253E+00  0.68517E+00  0.68799E+00  0.69255E+00  0.69354E+00  0.69413E+00  0.69531E+00  0.70404E+00  0.70584E+00  0.71301E+00  0.71599E+00  0.71791E+00  0.71911E+00  0.72007E+00  0.73694E+00  0.74058E+00  0.76366E+00  0.76973E+00  0.76988E+00  0.77682E+00  0.78060E+00  0.78289E+00  0.80718E+00  0.81271E+00  0.81311E+00  0.81356E+00  0.81730E+00  0.81813E+00  0.82294E+00  0.82473E+00  0.82580E+00  0.83273E+00  0.84326E+00  0.95664E+00  0.10335E+01  0.10352E+01  0.11171E+01  0.11471E+01  0.11664E+01  0.12747E+01  0.12894E+01  0.12936E+01  0.12963E+01  0.13212E+01  0.13274E+01  0.13303E+01  0.13330E+01  0.13336E+01  0.13337E+01  0.13361E+01  0.13366E+01  0.13440E+01  0.13472E+01  0.13475E+01  0.13490E+01  0.13665E+01  0.14014E+01  0.14053E+01  0.14096E+01  0.14100E+01  0.14144E+01  0.14153E+01  0.14189E+01  0.14256E+01  0.14279E+01  0.14505E+01  0.14583E+01  0.14708E+01  0.14839E+01  0.15106E+01  0.15118E+01  0.15186E+01  0.15491E+01  0.15720E+01  0.15847E+01  0.16101E+01  0.16466E+01  0.16618E+01  0.16650E+01  0.16736E+01  0.16887E+01  0.16937E+01  0.17017E+01  0.17075E+01  0.17118E+01  0.17137E+01  0.17309E+01  0.17317E+01  0.17462E+01  0.17519E+01  0.17530E+01  0.17591E+01  0.18133E+01  0.18499E+01  0.19001E+01  0.19017E+01  0.19219E+01  0.19479E+01  0.19631E+01  0.19745E+01  0.19881E+01  0.20003E+01  0.20184E+01  0.20332E+01  0.20537E+01  0.20584E+01  0.20641E+01  0.20763E+01  0.20847E+01  0.20877E+01  0.20927E+01  0.20974E+01  0.21411E+01  0.21494E+01  0.21771E+01  0.22014E+01  0.22240E+01
  0.13023E+00 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.17214E+00  0.18580E+00  0.19706E+00  0.19798E+00  0.20372E+00  0.20648E+00  0.20885E+00  0.21575E+00  0.58881E+00  0.61907E+00  0.62387E+00  0.64018E+00  0.66182E+00  0.66371E+00  0.67118E+00  0.67484E+00  0.68058E+00  0.68282E+00  0.68436E+00  0.68795E+00  0.69072E+00  0.69255E+00  0.69412E+00  0.69522E+00  0.70325E+00  0.70531E+00  0.71383E+00  0.71599E+00  0.71769E+00  0.71800E+00  0.71933E+00  0.73651E+00  0.74147E+00  0.76428E+00  0.77015E+00  0.77229E+00  0.77726E+00  0.78093E+00  0.78477E+00  0.80563E+00  0.81061E+00  0.81312E+00  0.81340E+00  0.81764E+00  0.81886E+00  0.82201E+00  0.82443E+00  0.82533E+00  0.83152E+00  0.84755E+00  0.95714E+00  0.10339E+01  0.10388E+01  0.11101E+01  0.11470E+01  0.11658E+01  0.12754E+01  0.12879E+01  0.12972E+01  0.12981E+01  0.13221E+01  0.13266E+01  0.13290E+01  0.13311E+01  0.13323E+01  0.13346E+01  0.13365E+01  0.13380E+01  0.13433E+01  0.13456E+01  0.13472E+01  0.13475E+01  0.13688E+01  0.14012E+01  0.14020E+01  0.14083E+01  0.14117E+01  0.14147E+01  0.14153E+01  0.14182E+01  0.14263E+01  0.14303E+01  0.14464E+01  0.14559E+01  0.14775E+01  0.14797E+01  0.15044E+01  0.15134E+01  0.15224E+01  0.15458E+01  0.15648E+01  0.15784E+01  0.16077E+01  0.16405E+01  0.16628E+01  0.16663E+01  0.16791E+01  0.16961E+01  0.16984E+01  0.17060E+01  0.17129E+01  0.17215E+01  0.17280E+01  0.17280E+01  0.17331E+01  0.17472E+01  0.17481E+01  0.17562E+01  0.17579E+01  0.18063E+01  0.18397E+01  0.18952E+01  0.19071E+01  0.19150E+01  0.19475E+01  0.19769E+01  0.19777E+01  0.19826E+01  0.19908E+01  0.20175E+01  0.20216E+01  0.20589E+01  0.20635E+01  0.20714E+01  0.20727E+01  0.20768E+01  0.20893E+01  0.20917E+01  0.20982E+01  0.21395E+01  0.21469E+01  0.21676E+01  0.22034E+01  0.22050E+01
  0.14651E+00 -0.32614E+01 -0.32614E+01 -0.32096E+01 -0.32096E+01 -0.18431E+01 -0.18431E+01 -0.18421E+01 -0.18421E+01 -0.17972E+01 -0.17972E+01 -0.17804E+01 -0.17804E+01 -0.17676E+01 -0.17675E+01 -0.17675E+01 -0.17675E+01  0.17295E+00  0.18444E+00  0.19714E+00  0.19849E+00  0.20319E+00  0.20711E+00  0.20876E+00  0.21565E+00  0.58887E+00  0.62013E+00  0.62719E+00  0.64170E+00  0.65986E+00  0.66000E+00  0.67156E+00  0.67486E+00  0.68096E+00  0.68309E+00  0.68360E+00  0.68769E+00  0.68845E+00  0.69255E+00  0.69411E+00  0.69514E+00  0.70252E+00  0.70482E+00  0.71458E+00  0.71598E+00  0.71599E+00  0.71806E+00  0.71930E+00  0.73609E+00  0.74219E+00  0.76482E+00  0.77042E+00  0.77493E+00  0.77768E+00  0.78121E+00  0.78675E+00  0.80395E+00  0.80762E+00  0.81352E+00  0.81380E+00  0.81797E+00  0.81970E+00  0.82103E+00  0.82413E+00  0.82486E+00  0.83025E+00  0.85137E+00  0.95755E+00  0.10326E+01  0.10446E+01  0.11029E+01  0.11469E+01  0.11652E+01  0.12761E+01  0.12864E+01  0.12986E+01  0.13025E+01  0.13230E+01  0.13244E+01  0.13254E+01  0.13315E+01  0.13321E+01  0.13355E+01  0.13369E+01  0.13395E+01  0.13425E+01  0.13441E+01  0.13454E+01  0.13474E+01  0.13715E+01  0.13985E+01  0.14010E+01  0.14067E+01  0.14141E+01  0.14153E+01  0.14154E+01  0.14176E+01  0.14267E+01  0.14327E+01  0.14423E+01  0.14534E+01  0.14763E+01  0.14846E+01  0.14974E+01  0.15167E+01  0.15267E+01  0.15414E+01  0.15580E+01  0.15721E+01  0.16068E+01  0.16346E+01  0.16636E+01  0.16672E+01  0.16845E+01  0.17026E+01  0.17034E+01  0.17101E+01  0.17179E+01  0.17239E+01  0.17321E+01  0.17346E+01  0.17434E+01  0.17440E+01  0.17482E+01  0.17567E+01  0.17597E+01  0.17997E+01  0.18287E+01  0.18810E+01  0.19131E+01  0.19169E+01  0.19464E+01  0.19690E+01  0.19810E+01  0.19908E+01  0.19914E+01  0.20024E+01  0.20253E+01  0.20647E+01  0.20663E+01  0.20683E+01  0.20687E+01  0.20818E+01  0.20839E+01  0.20967E+01  0.20986E+01  0.21297E+01  0.21540E+01  0.21581E+01  0.21870E+01  0.22060E+01
