# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99011,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16596E+00  0.19193E+00  0.19280E+00  0.19512E+00  0.19512E+00  0.20432E+00  0.20432E+00  0.21191E+00  0.58080E+00  0.59066E+00  0.60718E+00  0.62614E+00  0.63114E+00  0.66530E+00  0.66691E+00  0.67041E+00  0.67041E+00  0.68044E+00  0.68044E+00  0.68212E+00  0.68593E+00  0.68899E+00  0.68899E+00  0.69027E+00  0.69040E+00  0.70641E+00  0.70641E+00  0.71531E+00  0.71531E+00  0.71580E+00  0.72363E+00  0.72987E+00  0.72987E+00  0.75898E+00  0.75898E+00  0.76684E+00  0.76704E+00  0.77360E+00  0.77454E+00  0.77781E+00  0.80931E+00  0.80931E+00  0.81134E+00  0.81327E+00  0.81562E+00  0.82178E+00  0.82178E+00  0.82515E+00  0.82515E+00  0.83560E+00  0.84133E+00  0.10111E+01  0.10137E+01  0.11350E+01  0.11423E+01  0.11661E+01  0.12718E+01  0.12718E+01  0.12944E+01  0.12944E+01  0.13181E+01  0.13265E+01  0.13272E+01  0.13297E+01  0.13333E+01  0.13347E+01  0.13356E+01  0.13464E+01  0.13464E+01  0.13513E+01  0.13513E+01  0.13585E+01  0.13585E+01  0.14028E+01  0.14028E+01  0.14154E+01  0.14154E+01  0.14176E+01  0.14182E+01  0.14183E+01  0.14202E+01  0.14222E+01  0.14453E+01  0.14676E+01  0.14679E+01  0.15014E+01  0.15025E+01  0.15025E+01  0.15510E+01  0.15518E+01  0.16213E+01  0.16219E+01  0.16338E+01  0.16338E+01  0.16372E+01  0.16372E+01  0.16567E+01  0.16712E+01  0.16722E+01  0.16753E+01  0.16753E+01  0.16825E+01  0.16825E+01  0.17037E+01  0.17413E+01  0.17413E+01  0.17448E+01  0.17643E+01  0.17643E+01  0.18673E+01  0.18834E+01  0.18834E+01  0.18851E+01  0.18851E+01  0.19411E+01  0.19418E+01  0.19871E+01  0.20070E+01  0.20341E+01  0.20342E+01  0.20342E+01  0.20381E+01  0.20384E+01  0.20927E+01  0.20927E+01  0.20944E+01  0.20944E+01  0.20994E+01  0.21068E+01  0.21308E+01  0.21955E+01  0.21956E+01  0.21958E+01  0.21961E+01
  0.16279E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16601E+00  0.19162E+00  0.19261E+00  0.19513E+00  0.19558E+00  0.20430E+00  0.20430E+00  0.21190E+00  0.58088E+00  0.59076E+00  0.60735E+00  0.62609E+00  0.63124E+00  0.66524E+00  0.66685E+00  0.67042E+00  0.67046E+00  0.68044E+00  0.68047E+00  0.68207E+00  0.68566E+00  0.68892E+00  0.68899E+00  0.69014E+00  0.69039E+00  0.70534E+00  0.70654E+00  0.71523E+00  0.71531E+00  0.71677E+00  0.72332E+00  0.72939E+00  0.72982E+00  0.75893E+00  0.75906E+00  0.76707E+00  0.76798E+00  0.77368E+00  0.77464E+00  0.77787E+00  0.80920E+00  0.80935E+00  0.81134E+00  0.81331E+00  0.81565E+00  0.82145E+00  0.82176E+00  0.82507E+00  0.82510E+00  0.83550E+00  0.84155E+00  0.10110E+01  0.10141E+01  0.11347E+01  0.11420E+01  0.11660E+01  0.12718E+01  0.12724E+01  0.12942E+01  0.12944E+01  0.13182E+01  0.13266E+01  0.13273E+01  0.13298E+01  0.13333E+01  0.13346E+01  0.13356E+01  0.13463E+01  0.13464E+01  0.13508E+01  0.13512E+01  0.13582E+01  0.13587E+01  0.14028E+01  0.14030E+01  0.14154E+01  0.14154E+01  0.14178E+01  0.14180E+01  0.14181E+01  0.14203E+01  0.14221E+01  0.14459E+01  0.14673E+01  0.14676E+01  0.15016E+01  0.15019E+01  0.15028E+01  0.15498E+01  0.15515E+01  0.16172E+01  0.16193E+01  0.16350E+01  0.16361E+01  0.16382E+01  0.16395E+01  0.16569E+01  0.16719E+01  0.16732E+01  0.16757E+01  0.16761E+01  0.16807E+01  0.16829E+01  0.17053E+01  0.17414E+01  0.17415E+01  0.17445E+01  0.17640E+01  0.17642E+01  0.18626E+01  0.18838E+01  0.18839E+01  0.18843E+01  0.18903E+01  0.19416E+01  0.19423E+01  0.19852E+01  0.20073E+01  0.20345E+01  0.20347E+01  0.20348E+01  0.20372E+01  0.20375E+01  0.20924E+01  0.20928E+01  0.20929E+01  0.20944E+01  0.20979E+01  0.21065E+01  0.21307E+01  0.21942E+01  0.21960E+01  0.21966E+01  0.21979E+01
  0.32558E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16618E+00  0.19065E+00  0.19257E+00  0.19517E+00  0.19646E+00  0.20425E+00  0.20428E+00  0.21187E+00  0.58110E+00  0.59104E+00  0.60786E+00  0.62595E+00  0.63154E+00  0.66498E+00  0.66674E+00  0.67043E+00  0.67060E+00  0.68043E+00  0.68054E+00  0.68185E+00  0.68489E+00  0.68869E+00  0.68899E+00  0.68977E+00  0.69035E+00  0.70310E+00  0.70690E+00  0.71501E+00  0.71531E+00  0.71837E+00  0.72258E+00  0.72848E+00  0.72969E+00  0.75902E+00  0.75931E+00  0.76717E+00  0.77090E+00  0.77389E+00  0.77497E+00  0.77807E+00  0.80886E+00  0.80947E+00  0.81134E+00  0.81342E+00  0.81573E+00  0.82049E+00  0.82168E+00  0.82484E+00  0.82496E+00  0.83521E+00  0.84216E+00  0.10106E+01  0.10153E+01  0.11337E+01  0.11413E+01  0.11656E+01  0.12720E+01  0.12739E+01  0.12938E+01  0.12943E+01  0.13184E+01  0.13269E+01  0.13274E+01  0.13300E+01  0.13334E+01  0.13346E+01  0.13356E+01  0.13462E+01  0.13465E+01  0.13494E+01  0.13507E+01  0.13575E+01  0.13592E+01  0.14027E+01  0.14034E+01  0.14151E+01  0.14154E+01  0.14171E+01  0.14174E+01  0.14187E+01  0.14206E+01  0.14219E+01  0.14476E+01  0.14661E+01  0.14669E+01  0.15003E+01  0.15021E+01  0.15036E+01  0.15459E+01  0.15514E+01  0.16097E+01  0.16144E+01  0.16318E+01  0.16399E+01  0.16440E+01  0.16462E+01  0.16573E+01  0.16729E+01  0.16753E+01  0.16769E+01  0.16784E+01  0.16785E+01  0.16841E+01  0.17091E+01  0.17417E+01  0.17423E+01  0.17436E+01  0.17632E+01  0.17637E+01  0.18541E+01  0.18821E+01  0.18849E+01  0.18852E+01  0.19003E+01  0.19424E+01  0.19443E+01  0.19798E+01  0.20080E+01  0.20343E+01  0.20347E+01  0.20357E+01  0.20365E+01  0.20366E+01  0.20891E+01  0.20913E+01  0.20932E+01  0.20934E+01  0.20944E+01  0.21056E+01  0.21305E+01  0.21905E+01  0.21963E+01  0.21983E+01  0.22042E+01
  0.48836E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16647E+00  0.18939E+00  0.19270E+00  0.19524E+00  0.19737E+00  0.20418E+00  0.20425E+00  0.21181E+00  0.58143E+00  0.59154E+00  0.60871E+00  0.62572E+00  0.63204E+00  0.66444E+00  0.66669E+00  0.67044E+00  0.67083E+00  0.68042E+00  0.68067E+00  0.68113E+00  0.68385E+00  0.68832E+00  0.68899E+00  0.68920E+00  0.69030E+00  0.70078E+00  0.70747E+00  0.71465E+00  0.71531E+00  0.71750E+00  0.72320E+00  0.72800E+00  0.72947E+00  0.75944E+00  0.75969E+00  0.76732E+00  0.77418E+00  0.77480E+00  0.77555E+00  0.77841E+00  0.80832E+00  0.80966E+00  0.81134E+00  0.81362E+00  0.81587E+00  0.81901E+00  0.82156E+00  0.82445E+00  0.82473E+00  0.83473E+00  0.84309E+00  0.10100E+01  0.10172E+01  0.11314E+01  0.11406E+01  0.11649E+01  0.12722E+01  0.12765E+01  0.12931E+01  0.12942E+01  0.13187E+01  0.13272E+01  0.13277E+01  0.13305E+01  0.13335E+01  0.13344E+01  0.13356E+01  0.13459E+01  0.13466E+01  0.13471E+01  0.13501E+01  0.13562E+01  0.13600E+01  0.14025E+01  0.14041E+01  0.14148E+01  0.14153E+01  0.14157E+01  0.14164E+01  0.14200E+01  0.14211E+01  0.14214E+01  0.14503E+01  0.14641E+01  0.14659E+01  0.14977E+01  0.15029E+01  0.15050E+01  0.15400E+01  0.15513E+01  0.16018E+01  0.16085E+01  0.16269E+01  0.16457E+01  0.16495E+01  0.16545E+01  0.16579E+01  0.16694E+01  0.16767E+01  0.16789E+01  0.16824E+01  0.16826E+01  0.16862E+01  0.17136E+01  0.17421E+01  0.17422E+01  0.17434E+01  0.17619E+01  0.17630E+01  0.18452E+01  0.18783E+01  0.18868E+01  0.18874E+01  0.19117E+01  0.19434E+01  0.19476E+01  0.19714E+01  0.20092E+01  0.20289E+01  0.20304E+01  0.20375E+01  0.20391E+01  0.20398E+01  0.20851E+01  0.20858E+01  0.20896E+01  0.20942E+01  0.20944E+01  0.21038E+01  0.21306E+01  0.21845E+01  0.21967E+01  0.22011E+01  0.22075E+01
  0.65115E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16686E+00  0.18802E+00  0.19292E+00  0.19533E+00  0.19816E+00  0.20408E+00  0.20426E+00  0.21174E+00  0.58184E+00  0.59226E+00  0.60988E+00  0.62540E+00  0.63272E+00  0.66356E+00  0.66676E+00  0.67047E+00  0.67115E+00  0.67916E+00  0.68041E+00  0.68083E+00  0.68317E+00  0.68782E+00  0.68847E+00  0.68899E+00  0.69024E+00  0.69881E+00  0.70819E+00  0.71418E+00  0.71432E+00  0.71531E+00  0.72472E+00  0.72843E+00  0.72917E+00  0.76018E+00  0.76024E+00  0.76754E+00  0.77452E+00  0.77633E+00  0.77890E+00  0.77912E+00  0.80756E+00  0.80993E+00  0.81137E+00  0.81390E+00  0.81607E+00  0.81714E+00  0.82138E+00  0.82392E+00  0.82441E+00  0.83407E+00  0.84425E+00  0.10092E+01  0.10199E+01  0.11279E+01  0.11404E+01  0.11641E+01  0.12725E+01  0.12798E+01  0.12922E+01  0.12942E+01  0.13192E+01  0.13275E+01  0.13280E+01  0.13310E+01  0.13337E+01  0.13342E+01  0.13356E+01  0.13440E+01  0.13455E+01  0.13468E+01  0.13492E+01  0.13546E+01  0.13612E+01  0.14022E+01  0.14050E+01  0.14138E+01  0.14144E+01  0.14151E+01  0.14153E+01  0.14209E+01  0.14216E+01  0.14218E+01  0.14541E+01  0.14614E+01  0.14645E+01  0.14944E+01  0.15041E+01  0.15070E+01  0.15331E+01  0.15511E+01  0.15939E+01  0.16023E+01  0.16215E+01  0.16516E+01  0.16552E+01  0.16587E+01  0.16630E+01  0.16634E+01  0.16815E+01  0.16815E+01  0.16877E+01  0.16883E+01  0.16889E+01  0.17181E+01  0.17400E+01  0.17428E+01  0.17451E+01  0.17601E+01  0.17621E+01  0.18366E+01  0.18731E+01  0.18894E+01  0.18903E+01  0.19238E+01  0.19446E+01  0.19520E+01  0.19608E+01  0.20108E+01  0.20207E+01  0.20245E+01  0.20401E+01  0.20422E+01  0.20441E+01  0.20752E+01  0.20831E+01  0.20872E+01  0.20945E+01  0.20948E+01  0.21008E+01  0.21315E+01  0.21769E+01  0.21974E+01  0.22017E+01  0.22052E+01
  0.81394E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16736E+00  0.18660E+00  0.19320E+00  0.19544E+00  0.19877E+00  0.20396E+00  0.20434E+00  0.21164E+00  0.58228E+00  0.59322E+00  0.61135E+00  0.62502E+00  0.63359E+00  0.66240E+00  0.66692E+00  0.67049E+00  0.67156E+00  0.67598E+00  0.68040E+00  0.68103E+00  0.68292E+00  0.68721E+00  0.68764E+00  0.68899E+00  0.69014E+00  0.69731E+00  0.70902E+00  0.71056E+00  0.71363E+00  0.71532E+00  0.72548E+00  0.72880E+00  0.72992E+00  0.76073E+00  0.76138E+00  0.76781E+00  0.77489E+00  0.77722E+00  0.77961E+00  0.78346E+00  0.80661E+00  0.81026E+00  0.81142E+00  0.81425E+00  0.81498E+00  0.81634E+00  0.82116E+00  0.82326E+00  0.82401E+00  0.83325E+00  0.84557E+00  0.10082E+01  0.10233E+01  0.11232E+01  0.11405E+01  0.11631E+01  0.12728E+01  0.12836E+01  0.12910E+01  0.12943E+01  0.13198E+01  0.13277E+01  0.13285E+01  0.13317E+01  0.13339E+01  0.13343E+01  0.13357E+01  0.13403E+01  0.13449E+01  0.13469E+01  0.13481E+01  0.13529E+01  0.13627E+01  0.14019E+01  0.14063E+01  0.14114E+01  0.14136E+01  0.14140E+01  0.14152E+01  0.14202E+01  0.14226E+01  0.14236E+01  0.14582E+01  0.14588E+01  0.14627E+01  0.14904E+01  0.15057E+01  0.15095E+01  0.15256E+01  0.15505E+01  0.15861E+01  0.15959E+01  0.16163E+01  0.16559E+01  0.16571E+01  0.16599E+01  0.16609E+01  0.16715E+01  0.16849E+01  0.16893E+01  0.16923E+01  0.16942E+01  0.16944E+01  0.17222E+01  0.17375E+01  0.17436E+01  0.17471E+01  0.17577E+01  0.17610E+01  0.18284E+01  0.18665E+01  0.18928E+01  0.18937E+01  0.19364E+01  0.19450E+01  0.19482E+01  0.19583E+01  0.20105E+01  0.20128E+01  0.20173E+01  0.20434E+01  0.20459E+01  0.20497E+01  0.20627E+01  0.20828E+01  0.20841E+01  0.20944E+01  0.20950E+01  0.20970E+01  0.21333E+01  0.21681E+01  0.21944E+01  0.21983E+01  0.22105E+01
  0.97673E-01 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16796E+00  0.18516E+00  0.19355E+00  0.19557E+00  0.19915E+00  0.20383E+00  0.20452E+00  0.21152E+00  0.58270E+00  0.59443E+00  0.61305E+00  0.62462E+00  0.63463E+00  0.66102E+00  0.66715E+00  0.67052E+00  0.67201E+00  0.67203E+00  0.68039E+00  0.68126E+00  0.68282E+00  0.68650E+00  0.68677E+00  0.68899E+00  0.69000E+00  0.69615E+00  0.70687E+00  0.70992E+00  0.71303E+00  0.71532E+00  0.72572E+00  0.72837E+00  0.73185E+00  0.76130E+00  0.76283E+00  0.76814E+00  0.77530E+00  0.77804E+00  0.78061E+00  0.78755E+00  0.80548E+00  0.81065E+00  0.81153E+00  0.81268E+00  0.81466E+00  0.81670E+00  0.82090E+00  0.82248E+00  0.82356E+00  0.83228E+00  0.84699E+00  0.10070E+01  0.10273E+01  0.11177E+01  0.11408E+01  0.11620E+01  0.12733E+01  0.12877E+01  0.12898E+01  0.12947E+01  0.13205E+01  0.13275E+01  0.13291E+01  0.13325E+01  0.13334E+01  0.13351E+01  0.13358E+01  0.13363E+01  0.13444E+01  0.13468E+01  0.13471E+01  0.13510E+01  0.13645E+01  0.14016E+01  0.14078E+01  0.14086E+01  0.14119E+01  0.14138E+01  0.14151E+01  0.14195E+01  0.14235E+01  0.14257E+01  0.14546E+01  0.14607E+01  0.14642E+01  0.14860E+01  0.15077E+01  0.15125E+01  0.15179E+01  0.15493E+01  0.15785E+01  0.15894E+01  0.16117E+01  0.16507E+01  0.16584E+01  0.16615E+01  0.16666E+01  0.16797E+01  0.16887E+01  0.16962E+01  0.16995E+01  0.17004E+01  0.17022E+01  0.17258E+01  0.17345E+01  0.17445E+01  0.17494E+01  0.17550E+01  0.17598E+01  0.18205E+01  0.18586E+01  0.18968E+01  0.18972E+01  0.19336E+01  0.19466E+01  0.19495E+01  0.19649E+01  0.19992E+01  0.20091E+01  0.20152E+01  0.20473E+01  0.20484E+01  0.20501E+01  0.20562E+01  0.20804E+01  0.20844E+01  0.20904E+01  0.20944E+01  0.20958E+01  0.21364E+01  0.21585E+01  0.21859E+01  0.21995E+01  0.22171E+01
  0.11395E+00 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16866E+00  0.18372E+00  0.19395E+00  0.19570E+00  0.19929E+00  0.20369E+00  0.20482E+00  0.21138E+00  0.58308E+00  0.59587E+00  0.61486E+00  0.62435E+00  0.63583E+00  0.65946E+00  0.66741E+00  0.66755E+00  0.67056E+00  0.67258E+00  0.68037E+00  0.68150E+00  0.68277E+00  0.68573E+00  0.68590E+00  0.68899E+00  0.68977E+00  0.69520E+00  0.70360E+00  0.71084E+00  0.71241E+00  0.71532E+00  0.72579E+00  0.72789E+00  0.73369E+00  0.76185E+00  0.76452E+00  0.76850E+00  0.77573E+00  0.77871E+00  0.78195E+00  0.79116E+00  0.80417E+00  0.81036E+00  0.81108E+00  0.81172E+00  0.81513E+00  0.81715E+00  0.82061E+00  0.82161E+00  0.82306E+00  0.83117E+00  0.84846E+00  0.10058E+01  0.10319E+01  0.11116E+01  0.11413E+01  0.11608E+01  0.12739E+01  0.12884E+01  0.12918E+01  0.12957E+01  0.13213E+01  0.13269E+01  0.13298E+01  0.13318E+01  0.13328E+01  0.13333E+01  0.13361E+01  0.13364E+01  0.13437E+01  0.13454E+01  0.13472E+01  0.13490E+01  0.13666E+01  0.14013E+01  0.14055E+01  0.14096E+01  0.14102E+01  0.14138E+01  0.14150E+01  0.14188E+01  0.14243E+01  0.14280E+01  0.14507E+01  0.14585E+01  0.14703E+01  0.14817E+01  0.15100E+01  0.15102E+01  0.15159E+01  0.15472E+01  0.15711E+01  0.15829E+01  0.16081E+01  0.16444E+01  0.16598E+01  0.16630E+01  0.16723E+01  0.16876E+01  0.16931E+01  0.17003E+01  0.17057E+01  0.17110E+01  0.17126E+01  0.17288E+01  0.17311E+01  0.17455E+01  0.17508E+01  0.17531E+01  0.17586E+01  0.18131E+01  0.18494E+01  0.18994E+01  0.19015E+01  0.19204E+01  0.19467E+01  0.19630E+01  0.19725E+01  0.19880E+01  0.20001E+01  0.20180E+01  0.20330E+01  0.20520E+01  0.20547E+01  0.20638E+01  0.20760E+01  0.20839E+01  0.20873E+01  0.20926E+01  0.20961E+01  0.21407E+01  0.21486E+01  0.21768E+01  0.22010E+01  0.22236E+01
  0.13023E+00 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.16945E+00  0.18229E+00  0.19440E+00  0.19584E+00  0.19921E+00  0.20354E+00  0.20521E+00  0.21122E+00  0.58339E+00  0.59749E+00  0.61644E+00  0.62453E+00  0.63715E+00  0.65778E+00  0.66281E+00  0.66769E+00  0.67058E+00  0.67316E+00  0.68036E+00  0.68174E+00  0.68276E+00  0.68492E+00  0.68507E+00  0.68898E+00  0.68938E+00  0.69432E+00  0.70100E+00  0.71175E+00  0.71181E+00  0.71532E+00  0.72582E+00  0.72739E+00  0.73529E+00  0.76235E+00  0.76639E+00  0.76888E+00  0.77616E+00  0.77921E+00  0.78356E+00  0.79404E+00  0.80270E+00  0.80824E+00  0.81154E+00  0.81199E+00  0.81562E+00  0.81774E+00  0.82028E+00  0.82067E+00  0.82254E+00  0.82997E+00  0.84992E+00  0.10045E+01  0.10370E+01  0.11050E+01  0.11418E+01  0.11595E+01  0.12745E+01  0.12869E+01  0.12947E+01  0.12982E+01  0.13222E+01  0.13258E+01  0.13274E+01  0.13305E+01  0.13322E+01  0.13342E+01  0.13364E+01  0.13378E+01  0.13430E+01  0.13439E+01  0.13472E+01  0.13472E+01  0.13690E+01  0.14011E+01  0.14022E+01  0.14085E+01  0.14117E+01  0.14140E+01  0.14150E+01  0.14181E+01  0.14250E+01  0.14304E+01  0.14466E+01  0.14561E+01  0.14767E+01  0.14779E+01  0.15029E+01  0.15128E+01  0.15199E+01  0.15441E+01  0.15639E+01  0.15764E+01  0.16057E+01  0.16382E+01  0.16608E+01  0.16643E+01  0.16779E+01  0.16950E+01  0.16978E+01  0.17046E+01  0.17110E+01  0.17207E+01  0.17266E+01  0.17273E+01  0.17312E+01  0.17465E+01  0.17476E+01  0.17558E+01  0.17575E+01  0.18060E+01  0.18392E+01  0.18940E+01  0.19068E+01  0.19140E+01  0.19462E+01  0.19767E+01  0.19777E+01  0.19809E+01  0.19905E+01  0.20173E+01  0.20212E+01  0.20572E+01  0.20597E+01  0.20711E+01  0.20724E+01  0.20763E+01  0.20891E+01  0.20914E+01  0.20964E+01  0.21386E+01  0.21463E+01  0.21673E+01  0.22030E+01  0.22046E+01
  0.14651E+00 -0.32705E+01 -0.32620E+01 -0.32620E+01 -0.32003E+01 -0.18526E+01 -0.18526E+01 -0.18438E+01 -0.18438E+01 -0.18428E+01 -0.18428E+01 -0.18045E+01 -0.17977E+01 -0.17977E+01 -0.17711E+01 -0.17587E+01 -0.17587E+01  0.17031E+00  0.18089E+00  0.19489E+00  0.19596E+00  0.19897E+00  0.20341E+00  0.20563E+00  0.21105E+00  0.58364E+00  0.59920E+00  0.61728E+00  0.62567E+00  0.63856E+00  0.65603E+00  0.65793E+00  0.66797E+00  0.67061E+00  0.67378E+00  0.68034E+00  0.68196E+00  0.68276E+00  0.68410E+00  0.68432E+00  0.68875E+00  0.68898E+00  0.69351E+00  0.69920E+00  0.71127E+00  0.71260E+00  0.71532E+00  0.72584E+00  0.72689E+00  0.73659E+00  0.76276E+00  0.76834E+00  0.76924E+00  0.77658E+00  0.77959E+00  0.78533E+00  0.79591E+00  0.80111E+00  0.80665E+00  0.81200E+00  0.81237E+00  0.81611E+00  0.81846E+00  0.81968E+00  0.81993E+00  0.82202E+00  0.82868E+00  0.85130E+00  0.10034E+01  0.10426E+01  0.10982E+01  0.11425E+01  0.11583E+01  0.12752E+01  0.12855E+01  0.12966E+01  0.13021E+01  0.13224E+01  0.13231E+01  0.13251E+01  0.13314E+01  0.13315E+01  0.13351E+01  0.13368E+01  0.13393E+01  0.13422E+01  0.13424E+01  0.13454E+01  0.13471E+01  0.13716E+01  0.13987E+01  0.14010E+01  0.14069E+01  0.14141E+01  0.14147E+01  0.14150E+01  0.14175E+01  0.14254E+01  0.14328E+01  0.14424E+01  0.14536E+01  0.14743E+01  0.14840E+01  0.14959E+01  0.15160E+01  0.15242E+01  0.15398E+01  0.15571E+01  0.15700E+01  0.16047E+01  0.16324E+01  0.16616E+01  0.16651E+01  0.16834E+01  0.17015E+01  0.17028E+01  0.17088E+01  0.17159E+01  0.17232E+01  0.17312E+01  0.17322E+01  0.17424E+01  0.17436E+01  0.17475E+01  0.17564E+01  0.17592E+01  0.17994E+01  0.18281E+01  0.18796E+01  0.19128E+01  0.19161E+01  0.19449E+01  0.19690E+01  0.19807E+01  0.19899E+01  0.19906E+01  0.20022E+01  0.20248E+01  0.20631E+01  0.20645E+01  0.20659E+01  0.20683E+01  0.20816E+01  0.20838E+01  0.20962E+01  0.20963E+01  0.21287E+01  0.21532E+01  0.21578E+01  0.21866E+01  0.22056E+01
