# NKPT   121 NBND   150 NSPIN     2
# NPANEL     6
#      1   (0,0,0)/2
#     14   (0,1,0)/2
#     27   (1,1,0)/2
#     45   (0,0,0)/2
#     74   (0,0,1)/2
#     92   (1,1,1)/2
#    121   (1,1,0)/2
@ WITH G0
@ G0 ON
@ TITLE "ALPHA"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.21162
@ XAXIS TICKLABEL    1,"(0,1,0)/2"
@ XAXIS TICK     2,     0.42325
@ XAXIS TICKLABEL    2,"(1,1,0)/2"
@ XAXIS TICK     3,     0.72253
@ XAXIS TICKLABEL    3,"(0,0,0)/2"
@ XAXIS TICK     4,     1.20668
@ XAXIS TICKLABEL    4,"(0,0,1)/2"
@ XAXIS TICK     5,     1.50596
@ XAXIS TICKLABEL    5,"(1,1,1)/2"
@ XAXIS TICK     6,     1.99011
@ XAXIS TICKLABEL    6,"(1,1,0)/2"
@ WORLD      0.00000,        -3.3,     1.99011,         2.3
@ VIEW      0.15000,     0.15000,     0.63709,     0.85000
  0.00000E+00 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16441E+00  0.19015E+00  0.19015E+00  0.19452E+00  0.19452E+00  0.20056E+00  0.20056E+00  0.20820E+00  0.57758E+00  0.58422E+00  0.58422E+00  0.60053E+00  0.62801E+00  0.65671E+00  0.66105E+00  0.66105E+00  0.66915E+00  0.66915E+00  0.67208E+00  0.67208E+00  0.67605E+00  0.68288E+00  0.68384E+00  0.68384E+00  0.68713E+00  0.68713E+00  0.68743E+00  0.68743E+00  0.68854E+00  0.70310E+00  0.70310E+00  0.72059E+00  0.72059E+00  0.75902E+00  0.75902E+00  0.76048E+00  0.76048E+00  0.76235E+00  0.77457E+00  0.77457E+00  0.77682E+00  0.80738E+00  0.80738E+00  0.81125E+00  0.81248E+00  0.81248E+00  0.81911E+00  0.81911E+00  0.82185E+00  0.82185E+00  0.83545E+00  0.89313E+00  0.10114E+01  0.11299E+01  0.11299E+01  0.11599E+01  0.12714E+01  0.12714E+01  0.12925E+01  0.12925E+01  0.13169E+01  0.13264E+01  0.13269E+01  0.13300E+01  0.13335E+01  0.13345E+01  0.13345E+01  0.13467E+01  0.13467E+01  0.13494E+01  0.13494E+01  0.13589E+01  0.13589E+01  0.14034E+01  0.14034E+01  0.14153E+01  0.14153E+01  0.14163E+01  0.14185E+01  0.14190E+01  0.14190E+01  0.14227E+01  0.14447E+01  0.14676E+01  0.14676E+01  0.14989E+01  0.14989E+01  0.15015E+01  0.15481E+01  0.15481E+01  0.16209E+01  0.16209E+01  0.16318E+01  0.16318E+01  0.16343E+01  0.16343E+01  0.16556E+01  0.16702E+01  0.16702E+01  0.16735E+01  0.16735E+01  0.16800E+01  0.16800E+01  0.16984E+01  0.17405E+01  0.17405E+01  0.17438E+01  0.17627E+01  0.17627E+01  0.18680E+01  0.18836E+01  0.18836E+01  0.18839E+01  0.18839E+01  0.19393E+01  0.19393E+01  0.19839E+01  0.20072E+01  0.20316E+01  0.20316E+01  0.20339E+01  0.20386E+01  0.20386E+01  0.20932E+01  0.20932E+01  0.20946E+01  0.20946E+01  0.20980E+01  0.21028E+01  0.21326E+01  0.21950E+01  0.21950E+01  0.21961E+01  0.21961E+01
  0.16279E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16447E+00  0.18973E+00  0.19018E+00  0.19454E+00  0.19489E+00  0.20052E+00  0.20054E+00  0.20818E+00  0.57765E+00  0.58421E+00  0.58440E+00  0.60071E+00  0.62811E+00  0.65616E+00  0.66090E+00  0.66109E+00  0.66917E+00  0.66921E+00  0.67207E+00  0.67212E+00  0.67596E+00  0.68284E+00  0.68369E+00  0.68383E+00  0.68706E+00  0.68713E+00  0.68734E+00  0.68743E+00  0.68855E+00  0.70320E+00  0.70359E+00  0.71905E+00  0.72054E+00  0.75781E+00  0.75909E+00  0.76175E+00  0.76223E+00  0.76237E+00  0.77461E+00  0.77471E+00  0.77686E+00  0.80727E+00  0.80743E+00  0.81124E+00  0.81251E+00  0.81254E+00  0.81888E+00  0.81908E+00  0.82178E+00  0.82179E+00  0.83535E+00  0.89285E+00  0.10118E+01  0.11293E+01  0.11300E+01  0.11598E+01  0.12714E+01  0.12719E+01  0.12924E+01  0.12925E+01  0.13170E+01  0.13265E+01  0.13269E+01  0.13301E+01  0.13335E+01  0.13345E+01  0.13345E+01  0.13467E+01  0.13468E+01  0.13489E+01  0.13492E+01  0.13586E+01  0.13590E+01  0.14033E+01  0.14035E+01  0.14152E+01  0.14153E+01  0.14166E+01  0.14186E+01  0.14187E+01  0.14188E+01  0.14226E+01  0.14453E+01  0.14671E+01  0.14674E+01  0.14984E+01  0.14992E+01  0.15016E+01  0.15467E+01  0.15481E+01  0.16162E+01  0.16183E+01  0.16329E+01  0.16334E+01  0.16366E+01  0.16368E+01  0.16557E+01  0.16706E+01  0.16716E+01  0.16740E+01  0.16744E+01  0.16778E+01  0.16804E+01  0.17003E+01  0.17406E+01  0.17407E+01  0.17435E+01  0.17624E+01  0.17626E+01  0.18628E+01  0.18829E+01  0.18843E+01  0.18843E+01  0.18893E+01  0.19396E+01  0.19400E+01  0.19821E+01  0.20075E+01  0.20319E+01  0.20321E+01  0.20345E+01  0.20377E+01  0.20377E+01  0.20928E+01  0.20930E+01  0.20933E+01  0.20946E+01  0.20965E+01  0.21025E+01  0.21325E+01  0.21937E+01  0.21962E+01  0.21967E+01  0.21973E+01
  0.32558E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16464E+00  0.18874E+00  0.19029E+00  0.19461E+00  0.19575E+00  0.20040E+00  0.20047E+00  0.20814E+00  0.57786E+00  0.58419E+00  0.58494E+00  0.60124E+00  0.62841E+00  0.65459E+00  0.66045E+00  0.66120E+00  0.66920E+00  0.66937E+00  0.67204E+00  0.67226E+00  0.67569E+00  0.68273E+00  0.68323E+00  0.68381E+00  0.68686E+00  0.68708E+00  0.68713E+00  0.68742E+00  0.68857E+00  0.70349E+00  0.70496E+00  0.71511E+00  0.72040E+00  0.75613E+00  0.75928E+00  0.76242E+00  0.76362E+00  0.76682E+00  0.77473E+00  0.77512E+00  0.77699E+00  0.80694E+00  0.80757E+00  0.81121E+00  0.81258E+00  0.81271E+00  0.81821E+00  0.81901E+00  0.82157E+00  0.82162E+00  0.83506E+00  0.89201E+00  0.10129E+01  0.11274E+01  0.11303E+01  0.11594E+01  0.12715E+01  0.12735E+01  0.12920E+01  0.12923E+01  0.13172E+01  0.13268E+01  0.13270E+01  0.13304E+01  0.13335E+01  0.13343E+01  0.13346E+01  0.13465E+01  0.13468E+01  0.13474E+01  0.13488E+01  0.13578E+01  0.13595E+01  0.14032E+01  0.14039E+01  0.14150E+01  0.14153E+01  0.14174E+01  0.14179E+01  0.14182E+01  0.14189E+01  0.14223E+01  0.14470E+01  0.14659E+01  0.14667E+01  0.14969E+01  0.15001E+01  0.15021E+01  0.15427E+01  0.15482E+01  0.16086E+01  0.16130E+01  0.16292E+01  0.16376E+01  0.16418E+01  0.16445E+01  0.16560E+01  0.16721E+01  0.16729E+01  0.16752E+01  0.16753E+01  0.16768E+01  0.16817E+01  0.17045E+01  0.17409E+01  0.17414E+01  0.17426E+01  0.17616E+01  0.17621E+01  0.18540E+01  0.18806E+01  0.18854E+01  0.18857E+01  0.18996E+01  0.19403E+01  0.19421E+01  0.19768E+01  0.20082E+01  0.20331E+01  0.20336E+01  0.20348E+01  0.20351E+01  0.20364E+01  0.20893E+01  0.20918E+01  0.20918E+01  0.20939E+01  0.20945E+01  0.21016E+01  0.21323E+01  0.21898E+01  0.21964E+01  0.21984E+01  0.22037E+01
  0.48836E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16493E+00  0.18750E+00  0.19047E+00  0.19471E+00  0.19678E+00  0.20020E+00  0.20036E+00  0.20807E+00  0.57820E+00  0.58414E+00  0.58583E+00  0.60216E+00  0.62891E+00  0.65216E+00  0.65971E+00  0.66139E+00  0.66926E+00  0.66963E+00  0.67199E+00  0.67249E+00  0.67527E+00  0.68232E+00  0.68261E+00  0.68377E+00  0.68654E+00  0.68666E+00  0.68714E+00  0.68742E+00  0.68861E+00  0.70396E+00  0.70703E+00  0.71004E+00  0.72016E+00  0.75443E+00  0.75959E+00  0.76250E+00  0.76563E+00  0.77308E+00  0.77493E+00  0.77579E+00  0.77720E+00  0.80640E+00  0.80782E+00  0.81117E+00  0.81269E+00  0.81299E+00  0.81712E+00  0.81889E+00  0.82124E+00  0.82135E+00  0.83457E+00  0.89061E+00  0.10147E+01  0.11244E+01  0.11307E+01  0.11588E+01  0.12717E+01  0.12760E+01  0.12913E+01  0.12922E+01  0.13176E+01  0.13271E+01  0.13272E+01  0.13308E+01  0.13336E+01  0.13341E+01  0.13347E+01  0.13451E+01  0.13462E+01  0.13470E+01  0.13482E+01  0.13565E+01  0.13604E+01  0.14030E+01  0.14046E+01  0.14146E+01  0.14152E+01  0.14164E+01  0.14172E+01  0.14188E+01  0.14194E+01  0.14218E+01  0.14497E+01  0.14639E+01  0.14656E+01  0.14944E+01  0.15016E+01  0.15029E+01  0.15370E+01  0.15482E+01  0.16006E+01  0.16069E+01  0.16243E+01  0.16432E+01  0.16475E+01  0.16529E+01  0.16564E+01  0.16669E+01  0.16751E+01  0.16771E+01  0.16803E+01  0.16807E+01  0.16837E+01  0.17093E+01  0.17410E+01  0.17413E+01  0.17426E+01  0.17603E+01  0.17614E+01  0.18450E+01  0.18768E+01  0.18872E+01  0.18878E+01  0.19111E+01  0.19413E+01  0.19455E+01  0.19686E+01  0.20094E+01  0.20292E+01  0.20307E+01  0.20350E+01  0.20358E+01  0.20396E+01  0.20842E+01  0.20855E+01  0.20900E+01  0.20945E+01  0.20946E+01  0.20998E+01  0.21322E+01  0.21838E+01  0.21969E+01  0.22013E+01  0.22072E+01
  0.65115E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16533E+00  0.18613E+00  0.19071E+00  0.19486E+00  0.19784E+00  0.19993E+00  0.20021E+00  0.20796E+00  0.57862E+00  0.58408E+00  0.58708E+00  0.60347E+00  0.62960E+00  0.64905E+00  0.65871E+00  0.66166E+00  0.66933E+00  0.67000E+00  0.67192E+00  0.67281E+00  0.67471E+00  0.68076E+00  0.68251E+00  0.68371E+00  0.68608E+00  0.68609E+00  0.68715E+00  0.68741E+00  0.68867E+00  0.70458E+00  0.70484E+00  0.70956E+00  0.71983E+00  0.75273E+00  0.75998E+00  0.76260E+00  0.76776E+00  0.77520E+00  0.77670E+00  0.77748E+00  0.78024E+00  0.80566E+00  0.80815E+00  0.81114E+00  0.81285E+00  0.81340E+00  0.81564E+00  0.81872E+00  0.82078E+00  0.82096E+00  0.83391E+00  0.88865E+00  0.10173E+01  0.11203E+01  0.11313E+01  0.11579E+01  0.12720E+01  0.12793E+01  0.12904E+01  0.12921E+01  0.13181E+01  0.13275E+01  0.13276E+01  0.13314E+01  0.13337E+01  0.13339E+01  0.13348E+01  0.13420E+01  0.13458E+01  0.13471E+01  0.13473E+01  0.13548E+01  0.13616E+01  0.14027E+01  0.14055E+01  0.14142E+01  0.14145E+01  0.14152E+01  0.14159E+01  0.14201E+01  0.14205E+01  0.14212E+01  0.14534E+01  0.14612E+01  0.14642E+01  0.14911E+01  0.15036E+01  0.15040E+01  0.15301E+01  0.15480E+01  0.15927E+01  0.16005E+01  0.16190E+01  0.16490E+01  0.16533E+01  0.16570E+01  0.16605E+01  0.16615E+01  0.16798E+01  0.16802E+01  0.16860E+01  0.16860E+01  0.16865E+01  0.17139E+01  0.17390E+01  0.17420E+01  0.17443E+01  0.17584E+01  0.17605E+01  0.18363E+01  0.18716E+01  0.18898E+01  0.18907E+01  0.19233E+01  0.19425E+01  0.19501E+01  0.19580E+01  0.20110E+01  0.20210E+01  0.20248E+01  0.20376E+01  0.20387E+01  0.20439E+01  0.20740E+01  0.20832E+01  0.20876E+01  0.20945E+01  0.20952E+01  0.20969E+01  0.21328E+01  0.21761E+01  0.21975E+01  0.22015E+01  0.22054E+01
  0.81394E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16584E+00  0.18471E+00  0.19102E+00  0.19504E+00  0.19888E+00  0.19959E+00  0.20002E+00  0.20782E+00  0.57911E+00  0.58400E+00  0.58866E+00  0.60520E+00  0.63049E+00  0.64545E+00  0.65747E+00  0.66200E+00  0.66943E+00  0.67046E+00  0.67184E+00  0.67321E+00  0.67403E+00  0.67824E+00  0.68245E+00  0.68365E+00  0.68537E+00  0.68553E+00  0.68716E+00  0.68740E+00  0.68874E+00  0.70026E+00  0.70534E+00  0.71239E+00  0.71941E+00  0.75101E+00  0.76045E+00  0.76273E+00  0.77000E+00  0.77553E+00  0.77778E+00  0.77784E+00  0.78785E+00  0.80471E+00  0.80857E+00  0.81113E+00  0.81306E+00  0.81380E+00  0.81393E+00  0.81851E+00  0.82020E+00  0.82048E+00  0.83308E+00  0.88614E+00  0.10205E+01  0.11155E+01  0.11321E+01  0.11569E+01  0.12724E+01  0.12831E+01  0.12893E+01  0.12921E+01  0.13187E+01  0.13276E+01  0.13280E+01  0.13321E+01  0.13333E+01  0.13344E+01  0.13349E+01  0.13383E+01  0.13453E+01  0.13463E+01  0.13472E+01  0.13530E+01  0.13631E+01  0.14025E+01  0.14067E+01  0.14121E+01  0.14138E+01  0.14144E+01  0.14151E+01  0.14205E+01  0.14209E+01  0.14225E+01  0.14580E+01  0.14580E+01  0.14625E+01  0.14872E+01  0.15055E+01  0.15061E+01  0.15227E+01  0.15476E+01  0.15849E+01  0.15940E+01  0.16137E+01  0.16536E+01  0.16540E+01  0.16577E+01  0.16591E+01  0.16699E+01  0.16832E+01  0.16881E+01  0.16899E+01  0.16918E+01  0.16927E+01  0.17182E+01  0.17364E+01  0.17427E+01  0.17463E+01  0.17560E+01  0.17594E+01  0.18279E+01  0.18650E+01  0.18931E+01  0.18940E+01  0.19360E+01  0.19436E+01  0.19455E+01  0.19559E+01  0.20106E+01  0.20130E+01  0.20176E+01  0.20409E+01  0.20422E+01  0.20494E+01  0.20615E+01  0.20829E+01  0.20845E+01  0.20929E+01  0.20946E+01  0.20954E+01  0.21343E+01  0.21672E+01  0.21943E+01  0.21984E+01  0.22108E+01
  0.97673E-01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16646E+00  0.18325E+00  0.19139E+00  0.19527E+00  0.19918E+00  0.19979E+00  0.19988E+00  0.20764E+00  0.57963E+00  0.58390E+00  0.59058E+00  0.60737E+00  0.63155E+00  0.64152E+00  0.65602E+00  0.66242E+00  0.66954E+00  0.67103E+00  0.67173E+00  0.67326E+00  0.67369E+00  0.67451E+00  0.68242E+00  0.68357E+00  0.68454E+00  0.68488E+00  0.68717E+00  0.68739E+00  0.68883E+00  0.69677E+00  0.70620E+00  0.71535E+00  0.71890E+00  0.74927E+00  0.76094E+00  0.76287E+00  0.77236E+00  0.77591E+00  0.77811E+00  0.77919E+00  0.79568E+00  0.80358E+00  0.80908E+00  0.81115E+00  0.81165E+00  0.81330E+00  0.81459E+00  0.81826E+00  0.81953E+00  0.81991E+00  0.83209E+00  0.88310E+00  0.10243E+01  0.11099E+01  0.11330E+01  0.11556E+01  0.12728E+01  0.12874E+01  0.12881E+01  0.12923E+01  0.13194E+01  0.13274E+01  0.13285E+01  0.13328E+01  0.13328E+01  0.13342E+01  0.13352E+01  0.13353E+01  0.13447E+01  0.13450E+01  0.13474E+01  0.13510E+01  0.13649E+01  0.14022E+01  0.14082E+01  0.14093E+01  0.14127E+01  0.14134E+01  0.14150E+01  0.14198E+01  0.14217E+01  0.14247E+01  0.14544E+01  0.14604E+01  0.14634E+01  0.14830E+01  0.15074E+01  0.15092E+01  0.15151E+01  0.15466E+01  0.15773E+01  0.15874E+01  0.16091E+01  0.16475E+01  0.16568E+01  0.16584E+01  0.16649E+01  0.16782E+01  0.16871E+01  0.16937E+01  0.16976E+01  0.16987E+01  0.17005E+01  0.17219E+01  0.17334E+01  0.17436E+01  0.17488E+01  0.17532E+01  0.17582E+01  0.18200E+01  0.18570E+01  0.18971E+01  0.18974E+01  0.19318E+01  0.19444E+01  0.19492E+01  0.19627E+01  0.19993E+01  0.20093E+01  0.20154E+01  0.20449E+01  0.20462E+01  0.20472E+01  0.20560E+01  0.20807E+01  0.20845E+01  0.20875E+01  0.20948E+01  0.20948E+01  0.21369E+01  0.21575E+01  0.21859E+01  0.21996E+01  0.22174E+01
  0.11395E+00 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16718E+00  0.18179E+00  0.19182E+00  0.19552E+00  0.19872E+00  0.19952E+00  0.20082E+00  0.20743E+00  0.58015E+00  0.58378E+00  0.59283E+00  0.61000E+00  0.63277E+00  0.63737E+00  0.65440E+00  0.66290E+00  0.66966E+00  0.66968E+00  0.67161E+00  0.67168E+00  0.67243E+00  0.67426E+00  0.68242E+00  0.68348E+00  0.68361E+00  0.68415E+00  0.68718E+00  0.68738E+00  0.68893E+00  0.69441E+00  0.70714E+00  0.71831E+00  0.71837E+00  0.74748E+00  0.76144E+00  0.76302E+00  0.77483E+00  0.77633E+00  0.77841E+00  0.78070E+00  0.80228E+00  0.80357E+00  0.80924E+00  0.80967E+00  0.81124E+00  0.81358E+00  0.81538E+00  0.81797E+00  0.81877E+00  0.81926E+00  0.83097E+00  0.87951E+00  0.10287E+01  0.11039E+01  0.11341E+01  0.11541E+01  0.12734E+01  0.12868E+01  0.12919E+01  0.12928E+01  0.13203E+01  0.13269E+01  0.13291E+01  0.13297E+01  0.13321E+01  0.13337E+01  0.13355E+01  0.13365E+01  0.13437E+01  0.13440E+01  0.13475E+01  0.13491E+01  0.13670E+01  0.14019E+01  0.14062E+01  0.14100E+01  0.14109E+01  0.14133E+01  0.14150E+01  0.14190E+01  0.14226E+01  0.14271E+01  0.14506E+01  0.14581E+01  0.14694E+01  0.14788E+01  0.15075E+01  0.15097E+01  0.15127E+01  0.15447E+01  0.15700E+01  0.15808E+01  0.16053E+01  0.16411E+01  0.16590E+01  0.16592E+01  0.16707E+01  0.16862E+01  0.16914E+01  0.16978E+01  0.17032E+01  0.17094E+01  0.17114E+01  0.17250E+01  0.17299E+01  0.17446E+01  0.17499E+01  0.17516E+01  0.17571E+01  0.18125E+01  0.18478E+01  0.18993E+01  0.19018E+01  0.19188E+01  0.19447E+01  0.19627E+01  0.19704E+01  0.19880E+01  0.20003E+01  0.20182E+01  0.20320E+01  0.20496E+01  0.20508E+01  0.20636E+01  0.20764E+01  0.20810E+01  0.20874E+01  0.20930E+01  0.20949E+01  0.21409E+01  0.21475E+01  0.21767E+01  0.22012E+01  0.22229E+01
  0.13023E+00 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16800E+00  0.18032E+00  0.19229E+00  0.19580E+00  0.19820E+00  0.19923E+00  0.20171E+00  0.20717E+00  0.58065E+00  0.58364E+00  0.59538E+00  0.61309E+00  0.63310E+00  0.63416E+00  0.65264E+00  0.66345E+00  0.66409E+00  0.66982E+00  0.67148E+00  0.67155E+00  0.67242E+00  0.67489E+00  0.68245E+00  0.68261E+00  0.68335E+00  0.68338E+00  0.68719E+00  0.68736E+00  0.68905E+00  0.69288E+00  0.70813E+00  0.71764E+00  0.72137E+00  0.74563E+00  0.76192E+00  0.76316E+00  0.77678E+00  0.77743E+00  0.77868E+00  0.78237E+00  0.80082E+00  0.80661E+00  0.81032E+00  0.81140E+00  0.81142E+00  0.81389E+00  0.81631E+00  0.81765E+00  0.81796E+00  0.81854E+00  0.82972E+00  0.87541E+00  0.10335E+01  0.10975E+01  0.11353E+01  0.11525E+01  0.12740E+01  0.12854E+01  0.12937E+01  0.12964E+01  0.13212E+01  0.13251E+01  0.13260E+01  0.13298E+01  0.13314E+01  0.13345E+01  0.13359E+01  0.13379E+01  0.13423E+01  0.13433E+01  0.13471E+01  0.13475E+01  0.13694E+01  0.14017E+01  0.14029E+01  0.14092E+01  0.14121E+01  0.14135E+01  0.14149E+01  0.14182E+01  0.14234E+01  0.14295E+01  0.14465E+01  0.14557E+01  0.14749E+01  0.14760E+01  0.15001E+01  0.15124E+01  0.15168E+01  0.15418E+01  0.15629E+01  0.15742E+01  0.16027E+01  0.16349E+01  0.16599E+01  0.16604E+01  0.16763E+01  0.16936E+01  0.16962E+01  0.17021E+01  0.17085E+01  0.17191E+01  0.17256E+01  0.17261E+01  0.17273E+01  0.17455E+01  0.17461E+01  0.17548E+01  0.17559E+01  0.18054E+01  0.18376E+01  0.18929E+01  0.19071E+01  0.19134E+01  0.19443E+01  0.19765E+01  0.19777E+01  0.19788E+01  0.19907E+01  0.20164E+01  0.20214E+01  0.20550E+01  0.20558E+01  0.20715E+01  0.20720E+01  0.20735E+01  0.20894E+01  0.20915E+01  0.20947E+01  0.21374E+01  0.21462E+01  0.21673E+01  0.22032E+01  0.22039E+01
  0.14651E+00 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.32679E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18500E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01 -0.18020E+01  0.16892E+00  0.17887E+00  0.19281E+00  0.19611E+00  0.19765E+00  0.19892E+00  0.20253E+00  0.20687E+00  0.58111E+00  0.58348E+00  0.59822E+00  0.61664E+00  0.62878E+00  0.63569E+00  0.65077E+00  0.65818E+00  0.66407E+00  0.66998E+00  0.67064E+00  0.67134E+00  0.67324E+00  0.67559E+00  0.68156E+00  0.68250E+00  0.68250E+00  0.68327E+00  0.68721E+00  0.68735E+00  0.68919E+00  0.69188E+00  0.70916E+00  0.71689E+00  0.72430E+00  0.74370E+00  0.76235E+00  0.76328E+00  0.77723E+00  0.77887E+00  0.78014E+00  0.78415E+00  0.79922E+00  0.80382E+00  0.81104E+00  0.81166E+00  0.81423E+00  0.81710E+00  0.81731E+00  0.81736E+00  0.81777E+00  0.81916E+00  0.82838E+00  0.87081E+00  0.10389E+01  0.10908E+01  0.11367E+01  0.11508E+01  0.12747E+01  0.12840E+01  0.12949E+01  0.13009E+01  0.13206E+01  0.13222E+01  0.13247E+01  0.13306E+01  0.13307E+01  0.13354E+01  0.13363E+01  0.13395E+01  0.13408E+01  0.13425E+01  0.13453E+01  0.13474E+01  0.13721E+01  0.13993E+01  0.14016E+01  0.14076E+01  0.14140E+01  0.14144E+01  0.14149E+01  0.14175E+01  0.14238E+01  0.14320E+01  0.14424E+01  0.14531E+01  0.14717E+01  0.14830E+01  0.14932E+01  0.15156E+01  0.15212E+01  0.15378E+01  0.15561E+01  0.15676E+01  0.16016E+01  0.16290E+01  0.16606E+01  0.16614E+01  0.16819E+01  0.17003E+01  0.17012E+01  0.17061E+01  0.17133E+01  0.17220E+01  0.17288E+01  0.17297E+01  0.17408E+01  0.17420E+01  0.17465E+01  0.17547E+01  0.17584E+01  0.17988E+01  0.18265E+01  0.18781E+01  0.19131E+01  0.19158E+01  0.19433E+01  0.19689E+01  0.19809E+01  0.19878E+01  0.19905E+01  0.20014E+01  0.20250E+01  0.20609E+01  0.20611E+01  0.20651E+01  0.20662E+01  0.20812E+01  0.20840E+01  0.20941E+01  0.20964E+01  0.21274E+01  0.21528E+01  0.21578E+01  0.21860E+01  0.22058E+01
